frequency,raw
20.00,-6.57
20.20,-6.53
20.40,-6.47
20.61,-6.40
20.81,-6.34
21.02,-6.26
21.23,-6.19
21.44,-6.11
21.66,-6.03
21.87,-5.94
22.09,-5.87
22.31,-5.80
22.54,-5.72
22.76,-5.64
22.99,-5.56
23.22,-5.49
23.45,-5.41
23.69,-5.35
23.92,-5.27
24.16,-5.17
24.40,-5.10
24.65,-5.00
24.89,-4.94
25.14,-4.83
25.39,-4.76
25.65,-4.69
25.91,-4.61
26.16,-4.53
26.43,-4.48
26.69,-4.41
26.96,-4.36
27.23,-4.27
27.50,-4.22
27.77,-4.18
28.05,-4.10
28.33,-4.04
28.62,-3.97
28.90,-3.90
29.19,-3.83
29.48,-3.76
29.78,-3.69
30.08,-3.63
30.38,-3.55
30.68,-3.50
30.99,-3.43
31.30,-3.37
31.61,-3.29
31.93,-3.24
32.24,-3.16
32.57,-3.11
32.89,-3.06
33.22,-2.98
33.55,-2.94
33.89,-2.89
34.23,-2.83
34.57,-2.78
34.92,-2.73
35.27,-2.69
35.62,-2.64
35.97,-2.59
36.33,-2.55
36.70,-2.49
37.06,-2.43
37.43,-2.39
37.81,-2.33
38.19,-2.28
38.57,-2.23
38.95,-2.19
39.34,-2.14
39.74,-2.11
40.14,-2.05
40.54,-2.02
40.94,-1.97
41.35,-1.94
41.76,-1.91
42.18,-1.87
42.60,-1.82
43.03,-1.79
43.46,-1.76
43.90,-1.73
44.33,-1.69
44.78,-1.64
45.23,-1.64
45.68,-1.59
46.13,-1.59
46.60,-1.55
47.06,-1.55
47.53,-1.55
48.01,-1.52
48.49,-1.50
48.97,-1.50
49.46,-1.50
49.96,-1.50
50.46,-1.50
50.96,-1.55
51.47,-1.55
51.99,-1.59
52.51,-1.63
53.03,-1.69
53.56,-1.75
54.10,-1.81
54.64,-1.89
55.18,-1.94
55.74,-1.99
56.29,-2.04
56.86,-2.06
57.42,-2.01
58.00,-1.96
58.58,-1.88
59.16,-1.81
59.76,-1.71
60.35,-1.62
60.96,-1.51
61.57,-1.40
62.18,-1.29
62.80,-1.19
63.43,-1.10
64.07,-0.99
64.71,-0.93
65.35,-0.84
66.01,-0.78
66.67,-0.72
67.33,-0.66
68.01,-0.62
68.69,-0.59
69.37,-0.57
70.07,-0.57
70.77,-0.52
71.48,-0.52
72.19,-0.52
72.91,-0.52
73.64,-0.49
74.38,-0.48
75.12,-0.45
75.87,-0.43
76.63,-0.38
77.40,-0.38
78.17,-0.34
78.95,-0.34
79.74,-0.29
80.54,-0.29
81.35,-0.29
82.16,-0.24
82.98,-0.24
83.81,-0.24
84.65,-0.20
85.50,-0.20
86.35,-0.15
87.22,-0.15
88.09,-0.13
88.97,-0.10
89.86,-0.10
90.76,-0.10
91.66,-0.08
92.58,-0.09
93.51,-0.10
94.44,-0.10
95.39,-0.10
96.34,-0.10
97.30,-0.10
98.28,-0.10
99.26,-0.10
100.25,-0.10
101.25,-0.10
102.27,-0.10
103.29,-0.10
104.32,-0.10
105.37,-0.10
106.42,-0.10
107.48,-0.10
108.56,-0.10
109.64,-0.10
110.74,-0.13
111.85,-0.15
112.97,-0.15
114.10,-0.15
115.24,-0.15
116.39,-0.15
117.55,-0.18
118.73,-0.20
119.92,-0.20
121.12,-0.23
122.33,-0.24
123.55,-0.24
124.79,-0.29
126.03,-0.29
127.29,-0.29
128.57,-0.34
129.85,-0.34
131.15,-0.34
132.46,-0.38
133.79,-0.38
135.12,-0.43
136.48,-0.43
137.84,-0.43
139.22,-0.48
140.61,-0.48
142.02,-0.52
143.44,-0.52
144.87,-0.56
146.32,-0.57
147.78,-0.62
149.26,-0.62
150.75,-0.66
152.26,-0.66
153.78,-0.71
155.32,-0.73
156.88,-0.76
158.44,-0.79
160.03,-0.82
161.63,-0.85
163.24,-0.88
164.88,-0.91
166.53,-0.94
168.19,-0.98
169.87,-0.99
171.57,-1.03
173.29,-1.05
175.02,-1.08
176.77,-1.13
178.54,-1.16
180.32,-1.20
182.13,-1.25
183.95,-1.29
185.79,-1.33
187.65,-1.38
189.52,-1.42
191.42,-1.45
193.33,-1.50
195.27,-1.53
197.22,-1.57
199.19,-1.62
201.18,-1.65
203.19,-1.71
205.23,-1.74
207.28,-1.77
209.35,-1.82
211.44,-1.85
213.56,-1.88
215.69,-1.92
217.85,-1.97
220.03,-2.00
222.23,-2.04
224.45,-2.08
226.70,-2.12
228.96,-2.17
231.25,-2.20
233.57,-2.26
235.90,-2.29
238.26,-2.34
240.64,-2.39
243.05,-2.43
245.48,-2.48
247.93,-2.54
250.41,-2.59
252.92,-2.62
255.45,-2.68
258.00,-2.73
260.58,-2.78
263.19,-2.82
265.82,-2.87
268.48,-2.92
271.16,-2.97
273.87,-3.01
276.61,-3.07
279.38,-3.12
282.17,-3.15
284.99,-3.21
287.84,-3.24
290.72,-3.27
293.63,-3.32
296.57,-3.35
299.53,-3.39
302.53,-3.44
305.55,-3.47
308.61,-3.50
311.69,-3.55
314.81,-3.59
317.96,-3.62
321.14,-3.65
324.35,-3.69
327.59,-3.69
330.87,-3.73
334.18,-3.73
337.52,-3.78
340.90,-3.78
344.30,-3.78
347.75,-3.78
351.23,-3.81
354.74,-3.83
358.28,-3.83
361.87,-3.82
365.49,-3.79
369.14,-3.78
372.83,-3.78
376.56,-3.77
380.33,-3.73
384.13,-3.70
387.97,-3.69
391.85,-3.64
395.77,-3.61
399.73,-3.57
403.72,-3.53
407.76,-3.49
411.84,-3.44
415.96,-3.41
420.12,-3.35
424.32,-3.32
428.56,-3.27
432.85,-3.24
437.18,-3.20
441.55,-3.15
445.96,-3.11
450.42,-3.07
454.93,-3.01
459.48,-2.97
464.07,-2.93
468.71,-2.87
473.40,-2.82
478.13,-2.76
482.91,-2.73
487.74,-2.67
492.62,-2.61
497.55,-2.55
502.52,-2.50
507.55,-2.45
512.62,-2.41
517.75,-2.35
522.93,-2.30
528.16,-2.27
533.44,-2.20
538.77,-2.16
544.16,-2.10
549.60,-2.05
555.10,-2.02
560.65,-1.99
566.25,-1.93
571.92,-1.92
577.64,-1.87
583.41,-1.84
589.25,-1.83
595.14,-1.80
601.09,-1.78
607.10,-1.78
613.17,-1.73
619.30,-1.73
625.50,-1.70
631.75,-1.69
638.07,-1.68
644.45,-1.64
650.89,-1.64
657.40,-1.59
663.98,-1.59
670.62,-1.55
677.32,-1.55
684.10,-1.51
690.94,-1.50
697.85,-1.47
704.83,-1.45
711.87,-1.41
718.99,-1.40
726.18,-1.36
733.44,-1.33
740.78,-1.30
748.19,-1.27
755.67,-1.24
763.23,-1.22
770.86,-1.22
778.57,-1.17
786.35,-1.17
794.22,-1.17
802.16,-1.17
810.18,-1.13
818.28,-1.13
826.46,-1.08
834.73,-1.07
843.08,-1.03
851.51,-0.98
860.02,-0.95
868.62,-0.88
877.31,-0.82
886.08,-0.77
894.94,-0.69
903.89,-0.64
912.93,-0.57
922.06,-0.50
931.28,-0.44
940.59,-0.38
950.00,-0.32
959.50,-0.26
969.09,-0.20
978.78,-0.13
988.57,-0.08
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.15
1039.00,0.20
1049.39,0.25
1059.88,0.32
1070.48,0.38
1081.19,0.41
1092.00,0.47
1102.92,0.52
1113.95,0.57
1125.09,0.62
1136.34,0.66
1147.70,0.71
1159.18,0.76
1170.77,0.80
1182.48,0.86
1194.30,0.94
1206.25,0.99
1218.31,1.05
1230.49,1.12
1242.80,1.18
1255.22,1.23
1267.78,1.31
1280.45,1.36
1293.26,1.42
1306.19,1.48
1319.25,1.54
1332.45,1.60
1345.77,1.67
1359.23,1.73
1372.82,1.78
1386.55,1.83
1400.41,1.88
1414.42,1.93
1428.56,1.98
1442.85,2.04
1457.28,2.07
1471.85,2.14
1486.57,2.20
1501.43,2.25
1516.45,2.29
1531.61,2.34
1546.93,2.43
1562.40,2.48
1578.02,2.53
1593.80,2.59
1609.74,2.65
1625.84,2.71
1642.10,2.76
1658.52,2.81
1675.10,2.85
1691.85,2.91
1708.77,2.98
1725.86,3.04
1743.12,3.12
1760.55,3.19
1778.15,3.29
1795.94,3.36
1813.90,3.46
1832.03,3.57
1850.36,3.66
1868.86,3.74
1887.55,3.83
1906.42,3.91
1925.49,3.99
1944.74,4.06
1964.19,4.11
1983.83,4.16
2003.67,4.23
2023.71,4.30
2043.94,4.36
2064.38,4.44
2085.03,4.52
2105.88,4.59
2126.94,4.69
2148.20,4.75
2169.69,4.86
2191.38,4.95
2213.30,5.08
2235.43,5.23
2257.78,5.34
2280.36,5.51
2303.17,5.66
2326.20,5.79
2349.46,5.95
2372.95,6.11
2396.68,6.23
2420.65,6.36
2444.86,6.47
2469.31,6.58
2494.00,6.66
2518.94,6.77
2544.13,6.84
2569.57,6.90
2595.27,6.97
2621.22,6.97
2647.43,6.89
2673.90,6.78
2700.64,6.62
2727.65,6.49
2754.93,6.35
2782.48,6.23
2810.30,6.17
2838.40,6.18
2866.79,6.28
2895.46,6.43
2924.41,6.60
2953.65,6.82
2983.19,6.99
3013.02,7.16
3043.15,7.33
3073.58,7.49
3104.32,7.64
3135.36,7.77
3166.72,7.92
3198.38,8.05
3230.37,8.14
3262.67,8.23
3295.30,8.27
3328.25,8.32
3361.53,8.29
3395.15,8.26
3429.10,8.20
3463.39,8.12
3498.03,8.03
3533.01,7.92
3568.34,7.78
3604.02,7.62
3640.06,7.43
3676.46,7.20
3713.22,6.93
3750.36,6.60
3787.86,6.17
3825.74,5.65
3864.00,4.98
3902.64,4.19
3941.66,3.28
3981.08,2.33
4020.89,1.34
4061.10,0.43
4101.71,-0.33
4142.73,-0.93
4184.15,-1.31
4226.00,-1.49
4268.26,-1.30
4310.94,-0.99
4354.05,-0.63
4397.59,-0.16
4441.56,0.26
4485.98,0.69
4530.84,1.05
4576.15,1.36
4621.91,1.59
4668.13,1.79
4714.81,1.96
4761.96,2.04
4809.58,2.08
4857.67,2.08
4906.25,2.05
4955.31,1.97
5004.87,1.88
5054.91,1.77
5105.46,1.64
5156.52,1.51
5208.08,1.38
5260.16,1.26
5312.77,1.16
5365.89,1.07
5419.55,1.02
5473.75,0.97
5528.49,0.98
5583.77,1.03
5639.61,1.10
5696.00,1.19
5752.96,1.33
5810.49,1.52
5868.60,1.68
5927.28,1.88
5986.56,2.10
6046.42,2.34
6106.89,2.57
6167.96,2.80
6229.64,3.04
6291.93,3.25
6354.85,3.50
6418.40,3.74
6482.58,3.95
6547.41,4.17
6612.88,4.41
6679.01,4.63
6745.80,4.87
6813.26,5.09
6881.39,5.31
6950.21,5.50
7019.71,5.68
7089.91,5.80
7160.81,5.90
7232.41,5.82
7304.74,5.68
7377.79,5.47
7451.56,5.14
7526.08,4.76
7601.34,4.38
7677.35,3.95
7754.13,3.58
7831.67,3.28
7909.98,3.06
7989.08,2.89
8068.98,2.90
8149.67,2.96
8231.16,3.07
8313.47,3.18
8396.61,3.05
8480.57,2.74
8565.38,2.19
8651.03,1.33
8737.54,0.22
8824.92,-1.07
8913.17,-2.45
9002.30,-3.83
9092.32,-5.07
9183.25,-6.10
9275.08,-6.89
9367.83,-7.43
9461.51,-7.74
9556.12,-7.79
9651.68,-7.74
9748.20,-7.64
9845.68,-7.58
9944.14,-7.55
10043.58,-7.65
10144.02,-7.75
10245.46,-7.92
10347.91,-8.06
10451.39,-8.21
10555.91,-8.32
10661.46,-8.34
10768.08,-8.27
10875.76,-8.13
10984.52,-7.96
11094.36,-7.78
11205.31,-7.60
11317.36,-7.42
11430.53,-7.25
11544.84,-7.15
11660.29,-7.02
11776.89,-6.91
11894.66,-6.76
12013.60,-6.56
12133.74,-6.33
12255.08,-6.06
12377.63,-5.76
12501.41,-5.45
12626.42,-5.17
12752.68,-4.91
12880.21,-4.69
13009.01,-4.55
13139.10,-4.50
13270.49,-4.61
13403.20,-4.76
13537.23,-4.98
13672.60,-5.24
13809.33,-5.51
13947.42,-5.80
14086.90,-6.06
14227.77,-6.35
14370.04,-6.64
14513.74,-7.00
14658.88,-7.36
14805.47,-7.73
14953.52,-8.06
15103.06,-8.30
15254.09,-8.43
15406.63,-8.24
15560.70,-7.88
15716.30,-7.34
15873.47,-6.65
16032.20,-5.92
16192.52,-5.27
16354.45,-4.71
16517.99,-4.33
16683.17,-4.23
16850.01,-4.52
17018.51,-4.94
17188.69,-5.51
17360.58,-6.14
17534.18,-6.77
17709.53,-7.34
17886.62,-7.80
18065.49,-8.13
18246.14,-8.35
18428.60,-8.52
18612.89,-8.61
18799.02,-8.77
18987.01,-8.95
19176.88,-9.19
19368.65,-9.40
19562.33,-9.63
19757.96,-9.82
19955.54,-9.95
