frequency,raw
20.00,4.22
20.20,4.24
20.40,4.24
20.61,4.24
20.81,4.24
21.02,4.24
21.23,4.24
21.44,4.24
21.66,4.24
21.87,4.24
22.09,4.22
22.31,4.22
22.54,4.22
22.76,4.20
22.99,4.20
23.22,4.20
23.45,4.20
23.69,4.20
23.92,4.20
24.16,4.20
24.40,4.20
24.65,4.20
24.89,4.20
25.14,4.20
25.39,4.18
25.65,4.17
25.91,4.15
26.16,4.15
26.43,4.15
26.69,4.15
26.96,4.15
27.23,4.15
27.50,4.15
27.77,4.15
28.05,4.15
28.33,4.15
28.62,4.15
28.90,4.15
29.19,4.15
29.48,4.13
29.78,4.13
30.08,4.10
30.38,4.10
30.68,4.10
30.99,4.10
31.30,4.10
31.61,4.10
31.93,4.06
32.24,4.06
32.57,4.06
32.89,4.01
33.22,4.01
33.55,3.98
33.89,3.96
34.23,3.95
34.57,3.92
34.92,3.91
35.27,3.87
35.62,3.84
35.97,3.82
36.33,3.78
36.70,3.77
37.06,3.73
37.43,3.73
37.81,3.68
38.19,3.67
38.57,3.64
38.95,3.61
39.34,3.59
39.74,3.55
40.14,3.52
40.54,3.50
40.94,3.46
41.35,3.45
41.76,3.41
42.18,3.39
42.60,3.36
43.03,3.33
43.46,3.31
43.90,3.27
44.33,3.25
44.78,3.22
45.23,3.19
45.68,3.16
46.13,3.13
46.60,3.10
47.06,3.07
47.53,3.03
48.01,3.00
48.49,2.97
48.97,2.94
49.46,2.91
49.96,2.88
50.46,2.85
50.96,2.82
51.47,2.79
51.99,2.75
52.51,2.71
53.03,2.67
53.56,2.64
54.10,2.61
54.64,2.57
55.18,2.52
55.74,2.49
56.29,2.45
56.86,2.41
57.42,2.38
58.00,2.33
58.58,2.29
59.16,2.26
59.76,2.22
60.35,2.17
60.96,2.14
61.57,2.10
62.18,2.06
62.80,2.03
63.43,2.01
64.07,1.96
64.71,1.96
65.35,1.93
66.01,1.92
66.67,1.92
67.33,1.92
68.01,1.92
68.69,1.92
69.37,1.92
70.07,1.92
