frequency,raw
20.00,8.35
20.20,8.38
20.40,8.38
20.61,8.38
20.81,8.38
21.02,8.41
21.23,8.43
21.44,8.43
21.66,8.43
21.87,8.43
22.09,8.43
22.31,8.43
22.54,8.41
22.76,8.38
22.99,8.38
23.22,8.38
23.45,8.38
23.69,8.33
23.92,8.33
24.16,8.31
24.40,8.29
24.65,8.27
24.89,8.24
25.14,8.23
25.39,8.19
25.65,8.17
25.91,8.14
26.16,8.10
26.43,8.05
26.69,8.02
26.96,7.99
27.23,7.94
27.50,7.89
27.77,7.85
28.05,7.80
28.33,7.73
28.62,7.67
28.90,7.61
29.19,7.56
29.48,7.48
29.78,7.42
30.08,7.36
30.38,7.29
30.68,7.21
30.99,7.14
31.30,7.06
31.61,6.98
31.93,6.90
32.24,6.83
32.57,6.74
32.89,6.66
33.22,6.57
33.55,6.49
33.89,6.40
34.23,6.31
34.57,6.23
34.92,6.12
35.27,6.04
35.62,5.95
35.97,5.84
36.33,5.75
36.70,5.65
37.06,5.54
37.43,5.43
37.81,5.32
38.19,5.21
38.57,5.11
38.95,5.00
39.34,4.89
39.74,4.78
40.14,4.69
40.54,4.59
40.94,4.48
41.35,4.37
41.76,4.28
42.18,4.17
42.60,4.07
43.03,3.96
43.46,3.85
43.90,3.74
44.33,3.63
44.78,3.50
45.23,3.37
45.68,3.26
46.13,3.15
46.60,3.04
47.06,2.93
47.53,2.82
48.01,2.71
48.49,2.61
48.97,2.50
49.46,2.39
49.96,2.28
50.46,2.17
50.96,2.07
51.47,1.98
51.99,1.87
52.51,1.76
53.03,1.67
53.56,1.56
54.10,1.48
54.64,1.37
55.18,1.31
55.74,1.20
56.29,1.13
56.86,1.03
57.42,0.97
58.00,0.87
58.58,0.80
59.16,0.72
59.76,0.65
60.35,0.58
60.96,0.52
61.57,0.46
62.18,0.40
62.80,0.35
63.43,0.30
64.07,0.26
64.71,0.21
65.35,0.17
66.01,0.14
66.67,0.09
67.33,0.06
68.01,0.05
68.69,-0.00
69.37,-0.00
70.07,-0.00
70.77,-0.05
71.48,-0.05
72.19,-0.05
72.91,-0.05
73.64,-0.07
74.38,-0.07
75.12,-0.05
75.87,-0.05
76.63,-0.05
77.40,-0.05
78.17,-0.00
78.95,-0.00
79.74,0.03
80.54,0.05
81.35,0.09
82.16,0.10
82.98,0.14
83.81,0.19
84.65,0.22
85.50,0.25
86.35,0.28
87.22,0.31
88.09,0.34
88.97,0.37
89.86,0.42
90.76,0.43
91.66,0.47
92.58,0.50
93.51,0.51
94.44,0.51
95.39,0.56
96.34,0.56
97.30,0.56
98.28,0.56
99.26,0.56
100.25,0.56
101.25,0.54
102.27,0.51
103.29,0.51
104.32,0.47
105.37,0.45
106.42,0.42
107.48,0.37
108.56,0.33
109.64,0.30
110.74,0.24
111.85,0.18
112.97,0.12
114.10,0.05
115.24,-0.02
116.39,-0.07
117.55,-0.16
118.73,-0.23
119.92,-0.30
121.12,-0.38
122.33,-0.46
123.55,-0.54
124.79,-0.61
126.03,-0.69
127.29,-0.75
128.57,-0.82
129.85,-0.90
131.15,-0.98
132.46,-1.04
133.79,-1.11
135.12,-1.19
136.48,-1.25
137.84,-1.32
139.22,-1.40
140.61,-1.48
142.02,-1.55
143.44,-1.61
144.87,-1.67
146.32,-1.74
147.78,-1.79
149.26,-1.84
150.75,-1.89
152.26,-1.93
153.78,-1.99
155.32,-2.03
156.88,-2.07
158.44,-2.11
160.03,-2.16
161.63,-2.19
163.24,-2.22
164.88,-2.25
166.53,-2.28
168.19,-2.33
169.87,-2.35
171.57,-2.37
173.29,-2.41
175.02,-2.42
176.77,-2.45
178.54,-2.47
180.32,-2.47
182.13,-2.51
183.95,-2.51
185.79,-2.51
187.65,-2.56
189.52,-2.56
191.42,-2.56
193.33,-2.56
195.27,-2.58
197.22,-2.61
199.19,-2.61
201.18,-2.61
203.19,-2.61
205.23,-2.61
207.28,-2.61
209.35,-2.61
