frequency,raw
20.00,-11.03
20.20,-10.99
20.40,-10.89
20.61,-10.77
20.81,-10.61
21.02,-10.47
21.23,-10.33
21.44,-10.19
21.66,-10.04
21.87,-9.89
22.09,-9.77
22.31,-9.62
22.54,-9.49
22.76,-9.38
22.99,-9.27
23.22,-9.14
23.45,-9.01
23.69,-8.89
23.92,-8.77
24.16,-8.61
24.40,-8.49
24.65,-8.33
24.89,-8.17
25.14,-8.03
25.39,-7.87
25.65,-7.70
25.91,-7.56
26.16,-7.41
26.43,-7.26
26.69,-7.13
26.96,-6.99
27.23,-6.86
27.50,-6.73
27.77,-6.60
28.05,-6.47
28.33,-6.36
28.62,-6.21
28.90,-6.09
29.19,-5.94
29.48,-5.83
29.78,-5.70
30.08,-5.59
30.38,-5.46
30.68,-5.33
30.99,-5.22
31.30,-5.11
31.61,-5.00
31.93,-4.87
32.24,-4.76
32.57,-4.62
32.89,-4.49
33.22,-4.37
33.55,-4.23
33.89,-4.11
34.23,-3.97
34.57,-3.85
34.92,-3.70
35.27,-3.59
35.62,-3.44
35.97,-3.31
36.33,-3.17
36.70,-3.04
37.06,-2.91
37.43,-2.78
37.81,-2.67
38.19,-2.53
38.57,-2.41
38.95,-2.30
39.34,-2.19
39.74,-2.08
40.14,-1.97
40.54,-1.86
40.94,-1.75
41.35,-1.64
41.76,-1.54
42.18,-1.43
42.60,-1.32
43.03,-1.21
43.46,-1.10
43.90,-0.99
44.33,-0.88
44.78,-0.77
45.23,-0.67
45.68,-0.56
46.13,-0.45
46.60,-0.34
47.06,-0.23
47.53,-0.12
48.01,-0.04
48.49,0.05
48.97,0.11
49.46,0.17
49.96,0.23
50.46,0.28
50.96,0.33
51.47,0.39
51.99,0.44
52.51,0.49
53.03,0.54
53.56,0.60
54.10,0.66
54.64,0.71
55.18,0.77
55.74,0.82
56.29,0.87
56.86,0.93
57.42,0.98
58.00,1.03
58.58,1.09
59.16,1.12
59.76,1.18
60.35,1.23
60.96,1.26
61.57,1.32
62.18,1.35
62.80,1.38
63.43,1.42
64.07,1.44
64.71,1.49
65.35,1.53
66.01,1.56
66.67,1.58
67.33,1.62
68.01,1.65
68.69,1.68
69.37,1.72
70.07,1.77
70.77,1.78
71.48,1.82
72.19,1.84
72.91,1.86
73.64,1.90
74.38,1.91
75.12,1.92
75.87,1.96
76.63,1.96
77.40,1.97
78.17,2.00
78.95,2.00
79.74,2.00
80.54,2.00
81.35,2.00
82.16,2.03
82.98,2.05
83.81,2.05
84.65,2.05
85.50,2.05
86.35,2.05
87.22,2.05
88.09,2.05
88.97,2.05
89.86,2.05
90.76,2.05
91.66,2.03
92.58,2.00
93.51,2.00
94.44,2.00
95.39,2.00
96.34,2.00
97.30,1.96
98.28,1.96
99.26,1.96
100.25,1.96
101.25,1.91
102.27,1.91
103.29,1.91
104.32,1.91
105.37,1.86
106.42,1.86
107.48,1.86
108.56,1.83
109.64,1.82
110.74,1.82
111.85,1.78
112.97,1.77
114.10,1.76
115.24,1.72
116.39,1.72
117.55,1.68
118.73,1.68
119.92,1.67
121.12,1.63
122.33,1.63
123.55,1.58
124.79,1.58
126.03,1.57
127.29,1.54
128.57,1.53
129.85,1.49
131.15,1.49
132.46,1.44
133.79,1.44
135.12,1.40
136.48,1.40
137.84,1.36
139.22,1.35
140.61,1.32
142.02,1.30
143.44,1.28
144.87,1.26
146.32,1.22
147.78,1.21
149.26,1.18
150.75,1.16
152.26,1.12
153.78,1.11
155.32,1.07
156.88,1.07
158.44,1.02
160.03,0.99
161.63,0.97
163.24,0.93
164.88,0.91
166.53,0.88
168.19,0.85
169.87,0.84
171.57,0.79
173.29,0.78
175.02,0.74
176.77,0.70
178.54,0.69
180.32,0.65
182.13,0.62
183.95,0.61
185.79,0.59
187.65,0.56
189.52,0.56
191.42,0.56
193.33,0.56
195.27,0.54
197.22,0.51
199.19,0.51
201.18,0.47
203.19,0.45
205.23,0.41
207.28,0.36
209.35,0.33
211.44,0.28
213.56,0.24
215.69,0.19
217.85,0.16
220.03,0.10
222.23,0.07
224.45,0.02
226.70,-0.01
228.96,-0.05
231.25,-0.09
233.57,-0.11
235.90,-0.14
238.26,-0.17
240.64,-0.19
243.05,-0.19
245.48,-0.19
247.93,-0.21
250.41,-0.19
252.92,-0.19
255.45,-0.15
258.00,-0.12
260.58,-0.07
263.19,-0.03
265.82,0.02
268.48,0.07
271.16,0.11
273.87,0.14
276.61,0.19
279.38,0.19
282.17,0.23
284.99,0.23
287.84,0.23
290.72,0.23
293.63,0.24
296.57,0.28
299.53,0.28
302.53,0.29
305.55,0.33
308.61,0.35
311.69,0.37
314.81,0.40
317.96,0.42
321.14,0.42
324.35,0.44
327.59,0.42
330.87,0.42
334.18,0.40
337.52,0.37
340.90,0.33
344.30,0.29
347.75,0.26
351.23,0.20
354.74,0.17
358.28,0.12
361.87,0.09
365.49,0.06
369.14,0.02
372.83,-0.01
376.56,-0.05
380.33,-0.07
384.13,-0.09
387.97,-0.14
391.85,-0.14
395.77,-0.19
399.73,-0.20
403.72,-0.23
407.76,-0.25
411.84,-0.28
415.96,-0.28
420.12,-0.33
424.32,-0.33
428.56,-0.37
432.85,-0.37
437.18,-0.37
441.55,-0.42
445.96,-0.42
450.42,-0.42
454.93,-0.47
459.48,-0.47
464.07,-0.47
468.71,-0.47
473.40,-0.51
478.13,-0.51
482.91,-0.51
487.74,-0.51
492.62,-0.51
497.55,-0.51
502.52,-0.54
507.55,-0.56
512.62,-0.56
517.75,-0.56
522.93,-0.56
528.16,-0.56
533.44,-0.56
538.77,-0.56
544.16,-0.56
549.60,-0.56
555.10,-0.56
560.65,-0.56
566.25,-0.56
571.92,-0.56
577.64,-0.56
583.41,-0.54
589.25,-0.54
595.14,-0.51
601.09,-0.51
607.10,-0.51
613.17,-0.51
619.30,-0.51
625.50,-0.51
631.75,-0.51
638.07,-0.51
644.45,-0.47
650.89,-0.47
657.40,-0.47
663.98,-0.47
670.62,-0.47
677.32,-0.46
684.10,-0.42
690.94,-0.42
697.85,-0.42
704.83,-0.38
711.87,-0.37
718.99,-0.37
726.18,-0.37
733.44,-0.33
740.78,-0.33
748.19,-0.33
755.67,-0.33
763.23,-0.29
770.86,-0.28
778.57,-0.28
786.35,-0.28
794.22,-0.23
802.16,-0.23
810.18,-0.23
818.28,-0.23
826.46,-0.19
834.73,-0.19
843.08,-0.19
851.51,-0.19
860.02,-0.15
868.62,-0.14
877.31,-0.14
886.08,-0.14
894.94,-0.14
903.89,-0.09
912.93,-0.09
922.06,-0.09
931.28,-0.05
940.59,-0.05
950.00,-0.05
959.50,-0.05
969.09,-0.01
978.78,-0.00
