frequency,raw
20.00,0.87
20.20,0.90
20.40,0.91
20.61,0.95
20.81,0.99
21.02,1.00
21.23,1.04
21.44,1.07
21.66,1.09
21.87,1.12
22.09,1.13
22.31,1.17
22.54,1.18
22.76,1.21
22.99,1.23
23.22,1.23
23.45,1.27
23.69,1.27
23.92,1.27
24.16,1.32
24.40,1.32
24.65,1.32
24.89,1.37
25.14,1.37
25.39,1.37
25.65,1.41
25.91,1.41
26.16,1.41
26.43,1.46
26.69,1.46
26.96,1.46
27.23,1.49
27.50,1.51
27.77,1.51
28.05,1.55
28.33,1.55
28.62,1.60
28.90,1.60
29.19,1.65
29.48,1.65
29.78,1.65
30.08,1.69
30.38,1.69
30.68,1.70
30.99,1.74
31.30,1.74
31.61,1.74
31.93,1.75
32.24,1.79
32.57,1.79
32.89,1.79
33.22,1.79
33.55,1.83
33.89,1.83
34.23,1.83
34.57,1.88
34.92,1.88
35.27,1.90
35.62,1.93
35.97,1.93
36.33,1.97
36.70,1.97
37.06,2.01
37.43,2.02
37.81,2.02
38.19,2.07
38.57,2.07
38.95,2.07
39.34,2.07
39.74,2.09
40.14,2.11
40.54,2.11
40.94,2.11
41.35,2.11
41.76,2.11
42.18,2.11
42.60,2.16
43.03,2.16
43.46,2.16
43.90,2.21
44.33,2.21
44.78,2.25
45.23,2.25
45.68,2.29
46.13,2.30
46.60,2.35
47.06,2.38
47.53,2.39
48.01,2.44
48.49,2.45
48.97,2.48
49.46,2.53
49.96,2.54
50.46,2.58
50.96,2.59
51.47,2.62
51.99,2.65
52.51,2.67
53.03,2.68
53.56,2.72
54.10,2.72
54.64,2.76
55.18,2.76
55.74,2.79
56.29,2.81
56.86,2.85
57.42,2.86
58.00,2.89
58.58,2.92
59.16,2.96
59.76,2.99
60.35,3.02
60.96,3.07
61.57,3.11
62.18,3.16
62.80,3.21
63.43,3.24
64.07,3.30
64.71,3.35
65.35,3.38
66.01,3.44
66.67,3.47
67.33,3.51
68.01,3.55
68.69,3.59
69.37,3.62
70.07,3.65
70.77,3.70
71.48,3.71
72.19,3.74
72.91,3.75
73.64,3.79
74.38,3.79
75.12,3.83
75.87,3.83
76.63,3.83
77.40,3.88
78.17,3.88
78.95,3.88
79.74,3.88
80.54,3.90
81.35,3.93
82.16,3.93
82.98,3.93
83.81,3.93
84.65,3.93
85.50,3.93
86.35,3.93
87.22,3.93
88.09,3.93
88.97,3.93
89.86,3.93
90.76,3.93
91.66,3.93
92.58,3.93
93.51,3.93
94.44,3.93
95.39,3.93
96.34,3.93
97.30,3.93
98.28,3.93
99.26,3.91
100.25,3.90
101.25,3.88
102.27,3.88
103.29,3.88
104.32,3.88
105.37,3.88
106.42,3.88
107.48,3.88
108.56,3.88
109.64,3.88
110.74,3.88
111.85,3.88
112.97,3.88
114.10,3.88
115.24,3.88
116.39,3.88
117.55,3.90
118.73,3.92
119.92,3.93
121.12,3.93
122.33,3.93
123.55,3.93
124.79,3.93
126.03,3.93
127.29,3.93
128.57,3.94
129.85,3.97
131.15,3.97
132.46,3.97
133.79,3.97
135.12,3.97
136.48,3.97
137.84,3.97
139.22,3.97
140.61,3.97
142.02,3.97
143.44,3.97
144.87,3.97
146.32,3.97
147.78,3.97
149.26,3.97
150.75,3.97
152.26,3.95
153.78,3.95
155.32,3.93
156.88,3.93
158.44,3.93
160.03,3.93
161.63,3.93
163.24,3.93
164.88,3.93
166.53,3.93
168.19,3.93
169.87,3.90
171.57,3.88
173.29,3.88
175.02,3.88
176.77,3.88
178.54,3.88
180.32,3.88
182.13,3.88
183.95,3.86
185.79,3.83
187.65,3.83
189.52,3.83
191.42,3.83
193.33,3.83
195.27,3.79
197.22,3.79
199.19,3.79
201.18,3.76
203.19,3.74
205.23,3.74
207.28,3.73
209.35,3.70
211.44,3.70
213.56,3.66
215.69,3.65
217.85,3.62
220.03,3.60
222.23,3.56
224.45,3.56
226.70,3.52
228.96,3.51
231.25,3.46
233.57,3.45
235.90,3.42
238.26,3.39
240.64,3.36
243.05,3.32
245.48,3.28
247.93,3.26
250.41,3.23
252.92,3.18
255.45,3.15
258.00,3.12
260.58,3.07
263.19,3.03
265.82,3.00
268.48,2.94
271.16,2.90
273.87,2.86
276.61,2.80
279.38,2.77
282.17,2.72
284.99,2.67
287.84,2.62
290.72,2.58
293.63,2.53
296.57,2.47
299.53,2.42
302.53,2.37
305.55,2.32
308.61,2.28
311.69,2.22
314.81,2.15
317.96,2.09
321.14,2.04
324.35,2.00
327.59,1.95
330.87,1.89
334.18,1.83
337.52,1.77
340.90,1.72
344.30,1.67
347.75,1.62
351.23,1.56
354.74,1.50
358.28,1.46
361.87,1.41
365.49,1.36
369.14,1.32
372.83,1.27
376.56,1.24
380.33,1.20
384.13,1.16
387.97,1.12
391.85,1.09
395.77,1.06
399.73,1.03
403.72,0.99
407.76,0.95
411.84,0.91
415.96,0.90
420.12,0.86
424.32,0.84
428.56,0.81
432.85,0.78
437.18,0.76
441.55,0.72
445.96,0.72
450.42,0.68
454.93,0.67
459.48,0.67
464.07,0.62
468.71,0.62
473.40,0.62
478.13,0.62
482.91,0.62
487.74,0.62
492.62,0.62
497.55,0.62
502.52,0.62
507.55,0.62
512.62,0.62
517.75,0.65
522.93,0.66
528.16,0.67
533.44,0.67
538.77,0.67
544.16,0.67
549.60,0.70
555.10,0.72
560.65,0.72
566.25,0.72
571.92,0.72
577.64,0.72
583.41,0.72
589.25,0.72
595.14,0.72
601.09,0.72
607.10,0.72
613.17,0.67
619.30,0.67
