frequency,raw
20.00,-3.08
20.20,-3.07
20.40,-3.04
20.61,-2.98
20.81,-2.95
21.02,-2.90
21.23,-2.87
21.44,-2.81
21.66,-2.78
21.87,-2.75
22.09,-2.72
22.31,-2.67
22.54,-2.63
22.76,-2.60
22.99,-2.57
23.22,-2.53
23.45,-2.51
23.69,-2.46
23.92,-2.42
24.16,-2.39
24.40,-2.36
24.65,-2.32
24.89,-2.28
25.14,-2.25
25.39,-2.21
25.65,-2.19
25.91,-2.15
26.16,-2.12
26.43,-2.09
26.69,-2.06
26.96,-2.03
27.23,-2.00
27.50,-1.95
27.77,-1.91
28.05,-1.88
28.33,-1.84
28.62,-1.79
28.90,-1.76
29.19,-1.71
29.48,-1.68
29.78,-1.62
30.08,-1.59
30.38,-1.54
30.68,-1.51
30.99,-1.48
31.30,-1.44
31.61,-1.41
31.93,-1.38
32.24,-1.35
32.57,-1.32
32.89,-1.30
33.22,-1.26
33.55,-1.25
33.89,-1.21
34.23,-1.17
34.57,-1.16
34.92,-1.11
35.27,-1.10
35.62,-1.07
35.97,-1.02
36.33,-1.02
36.70,-0.97
37.06,-0.97
37.43,-0.93
37.81,-0.93
38.19,-0.89
38.57,-0.88
38.95,-0.88
39.34,-0.83
39.74,-0.83
40.14,-0.83
40.54,-0.83
40.94,-0.79
41.35,-0.79
41.76,-0.79
42.18,-0.79
42.60,-0.78
43.03,-0.74
43.46,-0.74
43.90,-0.74
44.33,-0.74
44.78,-0.74
45.23,-0.70
45.68,-0.70
46.13,-0.70
46.60,-0.70
47.06,-0.70
47.53,-0.68
48.01,-0.65
48.49,-0.65
48.97,-0.65
49.46,-0.65
49.96,-0.65
50.46,-0.65
50.96,-0.63
51.47,-0.60
51.99,-0.60
52.51,-0.60
53.03,-0.60
53.56,-0.60
54.10,-0.59
54.64,-0.56
55.18,-0.56
55.74,-0.56
56.29,-0.56
56.86,-0.51
57.42,-0.51
58.00,-0.51
58.58,-0.46
59.16,-0.46
59.76,-0.46
60.35,-0.42
60.96,-0.42
61.57,-0.38
62.18,-0.37
62.80,-0.36
63.43,-0.32
64.07,-0.32
64.71,-0.28
65.35,-0.28
66.01,-0.23
66.67,-0.23
67.33,-0.19
68.01,-0.18
68.69,-0.14
69.37,-0.14
70.07,-0.09
70.77,-0.09
71.48,-0.05
72.19,-0.04
72.91,-0.01
73.64,0.00
74.38,0.05
75.12,0.05
75.87,0.09
76.63,0.10
77.40,0.13
78.17,0.14
78.95,0.14
79.74,0.19
80.54,0.19
81.35,0.24
82.16,0.24
82.98,0.24
83.81,0.24
84.65,0.28
85.50,0.28
86.35,0.28
87.22,0.30
88.09,0.33
88.97,0.33
89.86,0.33
90.76,0.38
91.66,0.38
92.58,0.38
93.51,0.42
94.44,0.42
95.39,0.44
96.34,0.47
97.30,0.47
98.28,0.49
99.26,0.52
100.25,0.52
