frequency,raw
20.00,-12.06
20.20,-12.00
20.40,-11.94
20.61,-11.83
20.81,-11.72
21.02,-11.61
21.23,-11.50
21.44,-11.39
21.66,-11.28
21.87,-11.17
22.09,-11.04
22.31,-10.91
22.54,-10.78
22.76,-10.67
22.99,-10.54
23.22,-10.40
23.45,-10.27
23.69,-10.16
23.92,-10.05
24.16,-9.92
24.40,-9.79
24.65,-9.68
24.89,-9.55
25.14,-9.42
25.39,-9.31
25.65,-9.18
25.91,-9.04
26.16,-8.94
26.43,-8.83
26.69,-8.69
26.96,-8.57
27.23,-8.45
27.50,-8.34
27.77,-8.22
28.05,-8.10
28.33,-7.97
28.62,-7.86
28.90,-7.75
29.19,-7.65
29.48,-7.50
29.78,-7.38
30.08,-7.27
30.38,-7.16
30.68,-7.05
30.99,-6.95
31.30,-6.84
31.61,-6.73
31.93,-6.61
32.24,-6.47
32.57,-6.35
32.89,-6.25
33.22,-6.14
33.55,-6.03
33.89,-5.92
34.23,-5.81
34.57,-5.70
34.92,-5.59
35.27,-5.48
35.62,-5.38
35.97,-5.27
36.33,-5.16
36.70,-5.05
37.06,-4.94
37.43,-4.83
37.81,-4.72
38.19,-4.61
38.57,-4.50
38.95,-4.40
39.34,-4.29
39.74,-4.18
40.14,-4.09
40.54,-3.98
40.94,-3.89
41.35,-3.81
41.76,-3.70
42.18,-3.61
42.60,-3.53
43.03,-3.42
43.46,-3.34
43.90,-3.25
44.33,-3.14
44.78,-3.06
45.23,-2.97
45.68,-2.88
46.13,-2.80
46.60,-2.72
47.06,-2.64
47.53,-2.57
48.01,-2.49
48.49,-2.42
48.97,-2.36
49.46,-2.28
49.96,-2.20
50.46,-2.15
50.96,-2.07
51.47,-2.03
51.99,-1.96
52.51,-1.91
53.03,-1.85
53.56,-1.80
54.10,-1.77
54.64,-1.71
55.18,-1.68
55.74,-1.63
56.29,-1.59
56.86,-1.54
57.42,-1.51
58.00,-1.45
58.58,-1.42
59.16,-1.39
59.76,-1.35
60.35,-1.31
60.96,-1.28
61.57,-1.24
62.18,-1.21
62.80,-1.16
63.43,-1.13
64.07,-1.10
64.71,-1.07
65.35,-1.03
66.01,-0.98
66.67,-0.95
67.33,-0.93
68.01,-0.89
68.69,-0.86
69.37,-0.84
70.07,-0.79
70.77,-0.79
71.48,-0.78
72.19,-0.75
72.91,-0.75
73.64,-0.70
74.38,-0.70
75.12,-0.65
75.87,-0.64
76.63,-0.61
77.40,-0.56
78.17,-0.54
78.95,-0.51
79.74,-0.47
80.54,-0.47
81.35,-0.47
82.16,-0.46
82.98,-0.47
83.81,-0.47
84.65,-0.47
85.50,-0.48
86.35,-0.51
87.22,-0.54
88.09,-0.57
88.97,-0.61
89.86,-0.64
90.76,-0.68
91.66,-0.72
92.58,-0.75
93.51,-0.79
94.44,-0.84
95.39,-0.87
96.34,-0.89
97.30,-0.93
98.28,-0.93
99.26,-0.97
100.25,-0.98
101.25,-0.98
102.27,-0.98
103.29,-0.98
104.32,-0.98
105.37,-0.98
106.42,-0.98
107.48,-1.01
108.56,-1.03
109.64,-1.07
110.74,-1.10
111.85,-1.16
112.97,-1.21
114.10,-1.25
115.24,-1.30
116.39,-1.35
117.55,-1.38
118.73,-1.40
119.92,-1.40
121.12,-1.40
122.33,-1.40
123.55,-1.35
124.79,-1.31
126.03,-1.25
127.29,-1.19
128.57,-1.14
129.85,-1.10
131.15,-1.02
132.46,-0.96
133.79,-0.91
135.12,-0.86
136.48,-0.77
137.84,-0.72
139.22,-0.67
140.61,-0.62
142.02,-0.59
143.44,-0.56
144.87,-0.51
146.32,-0.51
147.78,-0.51
149.26,-0.50
150.75,-0.51
152.26,-0.51
153.78,-0.51
155.32,-0.51
156.88,-0.51
158.44,-0.51
160.03,-0.47
161.63,-0.47
163.24,-0.44
164.88,-0.42
166.53,-0.42
168.19,-0.37
169.87,-0.37
171.57,-0.37
173.29,-0.37
175.02,-0.37
176.77,-0.37
178.54,-0.37
180.32,-0.42
182.13,-0.42
183.95,-0.47
185.79,-0.49
187.65,-0.52
189.52,-0.56
191.42,-0.56
193.33,-0.61
195.27,-0.61
197.22,-0.61
199.19,-0.61
201.18,-0.61
203.19,-0.61
205.23,-0.61
207.28,-0.61
209.35,-0.61
211.44,-0.65
213.56,-0.65
215.69,-0.69
217.85,-0.70
220.03,-0.73
222.23,-0.75
224.45,-0.79
226.70,-0.80
228.96,-0.84
231.25,-0.89
233.57,-0.90
235.90,-0.93
238.26,-0.96
240.64,-0.99
243.05,-1.03
245.48,-1.07
247.93,-1.11
250.41,-1.14
252.92,-1.17
255.45,-1.21
258.00,-1.23
260.58,-1.26
263.19,-1.30
265.82,-1.30
268.48,-1.35
271.16,-1.35
273.87,-1.35
276.61,-1.40
279.38,-1.40
282.17,-1.38
284.99,-1.35
287.84,-1.35
290.72,-1.31
293.63,-1.28
296.57,-1.23
299.53,-1.19
302.53,-1.14
305.55,-1.10
308.61,-1.05
311.69,-0.99
314.81,-0.93
317.96,-0.86
321.14,-0.78
324.35,-0.70
327.59,-0.61
330.87,-0.51
334.18,-0.44
337.52,-0.33
340.90,-0.23
344.30,-0.16
347.75,-0.07
351.23,-0.01
354.74,0.04
358.28,0.09
361.87,0.12
365.49,0.14
369.14,0.14
372.83,0.14
376.56,0.14
380.33,0.14
384.13,0.14
387.97,0.14
391.85,0.09
395.77,0.09
399.73,0.09
403.72,0.09
407.76,0.05
411.84,0.05
415.96,0.05
420.12,0.05
424.32,0.05
428.56,0.02
432.85,0.02
437.18,0.00
441.55,0.00
445.96,0.00
450.42,0.00
454.93,0.02
459.48,0.03
464.07,0.05
468.71,0.05
473.40,0.05
478.13,0.05
482.91,0.05
487.74,0.09
492.62,0.09
497.55,0.09
502.52,0.09
507.55,0.14
512.62,0.14
517.75,0.14
522.93,0.18
528.16,0.19
533.44,0.19
538.77,0.23
544.16,0.23
549.60,0.23
555.10,0.25
560.65,0.28
566.25,0.28
571.92,0.28
577.64,0.30
583.41,0.33
589.25,0.33
595.14,0.33
601.09,0.33
607.10,0.33
613.17,0.33
619.30,0.36
625.50,0.37
631.75,0.37
638.07,0.37
644.45,0.37
650.89,0.37
657.40,0.37
663.98,0.33
670.62,0.33
677.32,0.33
684.10,0.33
690.94,0.33
697.85,0.33
704.83,0.33
711.87,0.33
718.99,0.33
726.18,0.33
733.44,0.33
740.78,0.35
748.19,0.35
755.67,0.35
763.23,0.35
770.86,0.33
778.57,0.33
786.35,0.33
794.22,0.33
802.16,0.28
810.18,0.28
818.28,0.24
826.46,0.23
834.73,0.19
843.08,0.14
851.51,0.11
860.02,0.07
868.62,0.03
877.31,0.00
886.08,-0.03
894.94,-0.05
903.89,-0.05
912.93,-0.05
922.06,-0.05
931.28,-0.04
940.59,0.00
950.00,0.00
959.50,0.00
969.09,0.01
978.78,0.02
988.57,0.02
998.46,0.00
1008.44,0.00
1018.53,0.00
1028.71,-0.01
1039.00,-0.05
1049.39,-0.05
1059.88,-0.09
1070.48,-0.09
1081.19,-0.14
1092.00,-0.14
1102.92,-0.19
1113.95,-0.19
1125.09,-0.23
1136.34,-0.23
1147.70,-0.26
1159.18,-0.28
1170.77,-0.32
1182.48,-0.33
1194.30,-0.36
1206.25,-0.39
1218.31,-0.42
1230.49,-0.46
1242.80,-0.47
1255.22,-0.51
1267.78,-0.51
1280.45,-0.51
1293.26,-0.56
1306.19,-0.56
1319.25,-0.56
1332.45,-0.59
1345.77,-0.61
1359.23,-0.61
1372.82,-0.61
1386.55,-0.63
1400.41,-0.65
1414.42,-0.65
1428.56,-0.65
1442.85,-0.65
1457.28,-0.65
1471.85,-0.65
1486.57,-0.65
1501.43,-0.65
1516.45,-0.65
1531.61,-0.65
1546.93,-0.68
1562.40,-0.72
1578.02,-0.79
1593.80,-0.89
1609.74,-0.96
1625.84,-1.07
1642.10,-1.12
1658.52,-1.22
1675.10,-1.26
1691.85,-1.29
1708.77,-1.30
1725.86,-1.30
1743.12,-1.30
1760.55,-1.29
1778.15,-1.26
1795.94,-1.23
1813.90,-1.19
1832.03,-1.14
1850.36,-1.10
1868.86,-1.05
1887.55,-1.00
1906.42,-0.95
1925.49,-0.88
1944.74,-0.82
1964.19,-0.76
1983.83,-0.69
2003.67,-0.63
2023.71,-0.54
2043.94,-0.45
2064.38,-0.35
2085.03,-0.24
2105.88,-0.13
2126.94,-0.02
2148.20,0.11
2169.69,0.26
2191.38,0.40
2213.30,0.54
2235.43,0.70
2257.78,0.86
2280.36,1.00
2303.17,1.17
2326.20,1.33
2349.46,1.49
2372.95,1.68
2396.68,1.84
2420.65,2.03
2444.86,2.19
2469.31,2.36
2494.00,2.53
2518.94,2.71
2544.13,2.87
2569.57,3.03
2595.27,3.22
2621.22,3.41
2647.43,3.59
2673.90,3.77
2700.64,3.99
2727.65,4.20
2754.93,4.38
2782.48,4.59
2810.30,4.78
2838.40,4.94
2866.79,5.11
2895.46,5.27
2924.41,5.39
2953.65,5.53
2983.19,5.66
3013.02,5.79
3043.15,5.90
3073.58,5.96
3104.32,6.01
3135.36,6.06
3166.72,6.16
3198.38,6.26
3230.37,6.37
3262.67,6.47
3295.30,6.62
3328.25,6.77
3361.53,6.93
3395.15,7.09
3429.10,7.18
3463.39,7.27
3498.03,7.31
3533.01,7.32
3568.34,7.28
3604.02,7.25
3640.06,7.17
3676.46,7.09
3713.22,6.98
3750.36,6.87
3787.86,6.76
3825.74,6.65
3864.00,6.52
3902.64,6.40
3941.66,6.28
3981.08,6.17
4020.89,6.08
4061.10,5.97
4101.71,5.91
4142.73,5.80
4184.15,5.74
4226.00,5.66
4268.26,5.58
4310.94,5.51
4354.05,5.40
4397.59,5.29
4441.56,5.16
4485.98,5.00
4530.84,4.81
4576.15,4.61
4621.91,4.39
4668.13,4.15
4714.81,3.88
4761.96,3.60
4809.58,3.32
4857.67,3.05
4906.25,2.75
4955.31,2.44
5004.87,2.16
5054.91,1.86
5105.46,1.57
5156.52,1.29
5208.08,1.01
5260.16,0.74
5312.77,0.50
5365.89,0.26
5419.55,0.04
5473.75,-0.17
5528.49,-0.37
5583.77,-0.56
5639.61,-0.74
5696.00,-0.92
5752.96,-1.09
5810.49,-1.27
5868.60,-1.43
5927.28,-1.58
5986.56,-1.72
6046.42,-1.85
6106.89,-1.96
6167.96,-2.07
6229.64,-2.15
6291.93,-2.24
6354.85,-2.28
6418.40,-2.33
6482.58,-2.36
6547.41,-2.38
6612.88,-2.38
6679.01,-2.35
6745.80,-2.33
6813.26,-2.32
6881.39,-2.28
6950.21,-2.24
7019.71,-2.21
7089.91,-2.19
7160.81,-2.15
7232.41,-2.11
7304.74,-2.10
7377.79,-2.10
7451.56,-2.10
7526.08,-2.10
7601.34,-2.10
7677.35,-2.05
7754.13,-2.04
7831.67,-1.98
7909.98,-1.90
7989.08,-1.84
8068.98,-1.77
8149.67,-1.67
8231.16,-1.61
8313.47,-1.58
8396.61,-1.61
8480.57,-1.74
8565.38,-1.95
8651.03,-2.28
8737.54,-2.65
8824.92,-3.12
8913.17,-3.59
9002.30,-4.10
9092.32,-4.61
9183.25,-5.04
9275.08,-5.46
9367.83,-5.80
9461.51,-6.10
9556.12,-6.31
9651.68,-6.48
9748.20,-6.55
9845.68,-6.53
9944.14,-6.41
10043.58,-6.22
10144.02,-6.00
10245.46,-5.75
10347.91,-5.57
10451.39,-5.43
10555.91,-5.41
10661.46,-5.55
10768.08,-5.77
10875.76,-6.04
10984.52,-6.33
11094.36,-6.63
11205.31,-6.85
11317.36,-7.05
11430.53,-7.20
11544.84,-7.29
11660.29,-7.35
11776.89,-7.47
11894.66,-7.67
12013.60,-8.01
12133.74,-8.48
12255.08,-9.10
12377.63,-9.82
12501.41,-10.70
12626.42,-11.69
12752.68,-12.76
12880.21,-13.89
13009.01,-15.08
13139.10,-16.33
13270.49,-17.58
13403.20,-18.56
13537.23,-19.21
13672.60,-19.65
13809.33,-19.67
13947.42,-19.69
14086.90,-19.71
14227.77,-19.74
14370.04,-19.76
14513.74,-19.78
14658.88,-19.80
14805.47,-19.82
14953.52,-19.84
15103.06,-19.87
15254.09,-19.78
15406.63,-19.72
15560.70,-19.68
15716.30,-19.64
15873.47,-19.71
16032.20,-19.76
16192.52,-19.81
16354.45,-19.82
16517.99,-19.71
16683.17,-19.57
16850.01,-19.40
17018.51,-19.19
17188.69,-19.06
17360.58,-19.03
17534.18,-19.17
17709.53,-19.43
17886.62,-19.56
18065.49,-19.75
18246.14,-19.96
18428.60,-20.18
18612.89,-20.40
18799.02,-20.62
18987.01,-20.83
19176.88,-21.05
19368.65,-21.27
19562.33,-21.49
19757.96,-21.70
19955.54,-21.92
