frequency,raw
20.00,-9.96
20.20,-9.96
20.40,-9.93
20.61,-9.89
20.81,-9.84
21.02,-9.81
21.23,-9.75
21.44,-9.70
21.66,-9.67
21.87,-9.61
22.09,-9.58
22.31,-9.55
22.54,-9.52
22.76,-9.49
22.99,-9.47
23.22,-9.44
23.45,-9.42
23.69,-9.39
23.92,-9.36
24.16,-9.33
24.40,-9.28
24.65,-9.24
24.89,-9.21
25.14,-9.17
25.39,-9.15
25.65,-9.12
25.91,-9.07
26.16,-9.06
26.43,-9.03
26.69,-8.99
26.96,-8.96
27.23,-8.93
27.50,-8.89
27.77,-8.86
28.05,-8.82
28.33,-8.79
28.62,-8.75
28.90,-8.72
29.19,-8.70
29.48,-8.66
29.78,-8.65
30.08,-8.62
30.38,-8.59
30.68,-8.56
30.99,-8.51
31.30,-8.47
31.61,-8.46
31.93,-8.42
32.24,-8.42
32.57,-8.42
32.89,-8.40
33.22,-8.37
33.55,-8.35
33.89,-8.32
34.23,-8.28
34.57,-8.28
34.92,-8.23
35.27,-8.27
35.62,-8.28
35.97,-8.29
36.33,-8.33
36.70,-8.33
37.06,-8.37
37.43,-8.37
37.81,-8.37
38.19,-8.33
38.57,-8.33
38.95,-8.37
39.34,-8.37
39.74,-8.37
40.14,-8.37
40.54,-8.40
40.94,-8.40
41.35,-8.42
41.76,-8.42
42.18,-8.44
42.60,-8.47
43.03,-8.50
43.46,-8.51
43.90,-8.54
44.33,-8.51
44.78,-8.49
45.23,-8.44
45.68,-8.37
46.13,-8.29
46.60,-8.23
47.06,-8.13
47.53,-8.05
48.01,-7.95
48.49,-7.86
48.97,-7.75
49.46,-7.64
49.96,-7.53
50.46,-7.43
50.96,-7.29
51.47,-7.18
51.99,-7.12
52.51,-7.05
53.03,-7.00
53.56,-6.98
54.10,-6.93
54.64,-6.93
55.18,-6.91
55.74,-6.88
56.29,-6.87
56.86,-6.84
57.42,-6.81
58.00,-6.78
58.58,-6.74
59.16,-6.72
59.76,-6.66
60.35,-6.63
60.96,-6.57
61.57,-6.50
62.18,-6.42
62.80,-6.31
63.43,-6.18
64.07,-6.07
