frequency,raw
20.00,-2.89
20.20,-2.86
20.40,-2.86
20.61,-2.86
20.81,-2.86
21.02,-2.83
21.23,-2.81
21.44,-2.81
21.66,-2.81
21.87,-2.81
22.09,-2.79
22.31,-2.77
22.54,-2.77
22.76,-2.77
22.99,-2.77
23.22,-2.77
23.45,-2.74
23.69,-2.72
23.92,-2.72
24.16,-2.72
24.40,-2.72
24.65,-2.72
24.89,-2.72
25.14,-2.72
25.39,-2.70
25.65,-2.70
25.91,-2.70
26.16,-2.70
26.43,-2.67
26.69,-2.67
26.96,-2.67
27.23,-2.67
27.50,-2.65
27.77,-2.63
28.05,-2.60
28.33,-2.57
28.62,-2.53
28.90,-2.49
29.19,-2.49
29.48,-2.44
29.78,-2.44
30.08,-2.44
30.38,-2.42
30.68,-2.39
30.99,-2.39
31.30,-2.41
31.61,-2.44
31.93,-2.44
32.24,-2.44
32.57,-2.44
32.89,-2.46
33.22,-2.49
33.55,-2.49
33.89,-2.53
34.23,-2.55
34.57,-2.58
34.92,-2.62
35.27,-2.63
35.62,-2.65
35.97,-2.67
36.33,-2.67
36.70,-2.72
37.06,-2.72
37.43,-2.72
37.81,-2.72
38.19,-2.72
38.57,-2.72
38.95,-2.72
39.34,-2.70
39.74,-2.67
40.14,-2.65
40.54,-2.63
40.94,-2.59
41.35,-2.58
41.76,-2.58
42.18,-2.56
42.60,-2.53
43.03,-2.53
43.46,-2.55
43.90,-2.58
44.33,-2.58
44.78,-2.60
45.23,-2.63
45.68,-2.64
46.13,-2.67
46.60,-2.70
47.06,-2.72
47.53,-2.72
48.01,-2.74
48.49,-2.74
48.97,-2.72
49.46,-2.72
49.96,-2.66
50.46,-2.61
50.96,-2.53
51.47,-2.46
51.99,-2.35
52.51,-2.24
53.03,-2.11
53.56,-2.00
54.10,-1.90
54.64,-1.81
55.18,-1.72
55.74,-1.67
56.29,-1.65
56.86,-1.65
57.42,-1.65
58.00,-1.69
58.58,-1.70
59.16,-1.74
59.76,-1.74
60.35,-1.74
60.96,-1.69
61.57,-1.64
62.18,-1.56
62.80,-1.47
63.43,-1.34
64.07,-1.21
64.71,-1.08
65.35,-0.96
66.01,-0.84
66.67,-0.73
67.33,-0.61
68.01,-0.49
68.69,-0.43
69.37,-0.34
70.07,-0.28
70.77,-0.25
71.48,-0.21
72.19,-0.21
72.91,-0.21
73.64,-0.24
74.38,-0.28
75.12,-0.35
75.87,-0.43
76.63,-0.51
77.40,-0.59
78.17,-0.69
78.95,-0.76
79.74,-0.87
80.54,-0.94
81.35,-1.04
82.16,-1.14
