frequency,raw
20.00,-5.65
20.20,-5.62
20.40,-5.57
20.61,-5.51
20.81,-5.43
21.02,-5.37
21.23,-5.30
21.44,-5.22
21.66,-5.15
21.87,-5.07
22.09,-4.99
22.31,-4.93
22.54,-4.84
22.76,-4.78
22.99,-4.70
23.22,-4.65
23.45,-4.57
23.69,-4.50
23.92,-4.44
24.16,-4.36
24.40,-4.30
24.65,-4.24
24.89,-4.18
25.14,-4.10
25.39,-4.04
25.65,-3.97
25.91,-3.90
26.16,-3.85
26.43,-3.80
26.69,-3.74
26.96,-3.67
27.23,-3.62
27.50,-3.55
27.77,-3.49
28.05,-3.43
28.33,-3.37
28.62,-3.30
28.90,-3.25
29.19,-3.20
29.48,-3.15
29.78,-3.10
30.08,-3.04
30.38,-2.98
30.68,-2.92
30.99,-2.89
31.30,-2.83
31.61,-2.78
31.93,-2.74
32.24,-2.69
32.57,-2.64
32.89,-2.60
33.22,-2.55
33.55,-2.50
33.89,-2.46
34.23,-2.41
34.57,-2.36
34.92,-2.33
35.27,-2.27
35.62,-2.24
35.97,-2.20
36.33,-2.16
36.70,-2.13
37.06,-2.07
37.43,-2.04
37.81,-2.01
38.19,-1.96
38.57,-1.92
38.95,-1.89
39.34,-1.85
39.74,-1.81
40.14,-1.78
40.54,-1.73
40.94,-1.69
41.35,-1.66
41.76,-1.63
42.18,-1.60
42.60,-1.57
43.03,-1.54
43.46,-1.50
43.90,-1.47
44.33,-1.44
44.78,-1.41
45.23,-1.38
45.68,-1.36
46.13,-1.32
46.60,-1.32
47.06,-1.28
47.53,-1.27
48.01,-1.26
48.49,-1.22
48.97,-1.22
49.46,-1.22
49.96,-1.19
50.46,-1.18
50.96,-1.18
51.47,-1.18
51.99,-1.18
52.51,-1.18
53.03,-1.18
53.56,-1.18
54.10,-1.18
54.64,-1.18
55.18,-1.18
55.74,-1.18
56.29,-1.19
56.86,-1.20
57.42,-1.20
58.00,-1.18
58.58,-1.18
59.16,-1.18
59.76,-1.18
60.35,-1.18
60.96,-1.13
61.57,-1.13
62.18,-1.09
62.80,-1.08
63.43,-1.05
64.07,-1.04
64.71,-1.04
65.35,-0.99
66.01,-0.99
66.67,-0.96
67.33,-0.94
68.01,-0.94
68.69,-0.90
69.37,-0.90
70.07,-0.90
70.77,-0.89
71.48,-0.85
72.19,-0.85
72.91,-0.85
73.64,-0.85
74.38,-0.85
75.12,-0.85
75.87,-0.85
76.63,-0.85
77.40,-0.85
78.17,-0.86
78.95,-0.90
79.74,-0.90
80.54,-0.90
81.35,-0.90
82.16,-0.90
82.98,-0.93
83.81,-0.94
84.65,-0.94
85.50,-0.94
86.35,-0.99
87.22,-0.99
88.09,-0.99
88.97,-0.99
89.86,-1.04
90.76,-1.04
91.66,-1.08
92.58,-1.08
93.51,-1.10
94.44,-1.13
95.39,-1.16
96.34,-1.18
97.30,-1.22
98.28,-1.22
99.26,-1.26
100.25,-1.27
101.25,-1.32
102.27,-1.32
103.29,-1.36
104.32,-1.36
105.37,-1.40
106.42,-1.41
107.48,-1.45
108.56,-1.47
109.64,-1.50
110.74,-1.53
111.85,-1.55
112.97,-1.59
114.10,-1.60
115.24,-1.64
116.39,-1.67
117.55,-1.70
118.73,-1.73
119.92,-1.76
121.12,-1.79
122.33,-1.83
123.55,-1.85
124.79,-1.88
126.03,-1.92
127.29,-1.97
128.57,-2.00
129.85,-2.01
131.15,-2.06
132.46,-2.09
133.79,-2.12
135.12,-2.15
136.48,-2.19
137.84,-2.22
139.22,-2.25
140.61,-2.29
142.02,-2.33
143.44,-2.37
144.87,-2.41
146.32,-2.45
147.78,-2.48
149.26,-2.53
150.75,-2.57
152.26,-2.60
153.78,-2.65
155.32,-2.69
156.88,-2.74
158.44,-2.78
160.03,-2.82
161.63,-2.85
163.24,-2.91
164.88,-2.94
166.53,-2.99
168.19,-3.03
169.87,-3.08
171.57,-3.11
173.29,-3.17
175.02,-3.20
176.77,-3.25
178.54,-3.30
180.32,-3.34
182.13,-3.39
183.95,-3.44
185.79,-3.50
187.65,-3.53
189.52,-3.60
191.42,-3.66
193.33,-3.69
195.27,-3.75
197.22,-3.80
199.19,-3.85
201.18,-3.89
203.19,-3.94
205.23,-3.97
207.28,-4.03
209.35,-4.06
211.44,-4.11
213.56,-4.14
215.69,-4.20
217.85,-4.23
220.03,-4.27
222.23,-4.31
224.45,-4.34
226.70,-4.38
228.96,-4.39
231.25,-4.43
233.57,-4.43
235.90,-4.43
238.26,-4.43
240.64,-4.43
243.05,-4.39
245.48,-4.38
247.93,-4.34
250.41,-4.30
252.92,-4.24
255.45,-4.20
258.00,-4.13
260.58,-4.07
263.19,-4.00
265.82,-3.92
268.48,-3.85
271.16,-3.78
273.87,-3.69
276.61,-3.64
279.38,-3.56
282.17,-3.48
284.99,-3.42
287.84,-3.36
290.72,-3.30
293.63,-3.25
296.57,-3.20
299.53,-3.15
302.53,-3.10
305.55,-3.08
308.61,-3.04
311.69,-3.04
314.81,-3.04
317.96,-3.04
321.14,-3.08
324.35,-3.08
327.59,-3.08
330.87,-3.13
334.18,-3.13
337.52,-3.13
340.90,-3.13
344.30,-3.13
347.75,-3.13
351.23,-3.13
354.74,-3.13
358.28,-3.13
361.87,-3.13
365.49,-3.15
369.14,-3.15
372.83,-3.18
376.56,-3.18
380.33,-3.18
384.13,-3.18
387.97,-3.18
391.85,-3.18
395.77,-3.18
399.73,-3.18
403.72,-3.18
407.76,-3.18
411.84,-3.18
415.96,-3.18
420.12,-3.18
424.32,-3.18
428.56,-3.18
432.85,-3.18
437.18,-3.18
441.55,-3.18
445.96,-3.18
450.42,-3.18
454.93,-3.18
459.48,-3.18
464.07,-3.18
468.71,-3.15
473.40,-3.13
478.13,-3.13
482.91,-3.13
487.74,-3.13
492.62,-3.13
497.55,-3.13
502.52,-3.13
507.55,-3.13
512.62,-3.08
517.75,-3.08
522.93,-3.08
528.16,-3.08
533.44,-3.04
538.77,-3.04
544.16,-2.99
549.60,-2.98
555.10,-2.94
560.65,-2.94
566.25,-2.90
571.92,-2.90
577.64,-2.85
583.41,-2.84
589.25,-2.80
595.14,-2.80
601.09,-2.76
607.10,-2.74
613.17,-2.71
619.30,-2.71
625.50,-2.71
631.75,-2.69
638.07,-2.67
644.45,-2.67
650.89,-2.66
657.40,-2.62
663.98,-2.60
670.62,-2.54
677.32,-2.46
684.10,-2.40
690.94,-2.29
697.85,-2.20
704.83,-2.09
711.87,-1.99
718.99,-1.88
726.18,-1.77
733.44,-1.66
740.78,-1.57
748.19,-1.48
755.67,-1.41
763.23,-1.33
770.86,-1.26
778.57,-1.20
786.35,-1.13
794.22,-1.07
802.16,-1.01
810.18,-0.97
818.28,-0.92
826.46,-0.87
834.73,-0.82
843.08,-0.78
851.51,-0.73
860.02,-0.70
868.62,-0.66
877.31,-0.62
886.08,-0.58
894.94,-0.57
903.89,-0.52
912.93,-0.52
922.06,-0.48
931.28,-0.48
940.59,-0.50
950.00,-0.50
959.50,-0.48
969.09,-0.44
978.78,-0.36
988.57,-0.21
998.46,-0.03
1008.44,0.18
1018.53,0.45
1028.71,0.75
1039.00,1.08
1049.39,1.41
1059.88,1.71
1070.48,2.04
1081.19,2.34
1092.00,2.63
1102.92,2.88
1113.95,3.13
1125.09,3.32
1136.34,3.52
1147.70,3.70
1159.18,3.87
1170.77,4.03
1182.48,4.14
1194.30,4.29
1206.25,4.41
1218.31,4.53
1230.49,4.62
1242.80,4.73
1255.22,4.79
1267.78,4.89
1280.45,4.94
1293.26,5.00
1306.19,5.09
1319.25,5.13
1332.45,5.19
1345.77,5.26
1359.23,5.32
1372.82,5.34
1386.55,5.29
1400.41,5.14
1414.42,4.85
1428.56,4.46
1442.85,3.96
1457.28,3.34
1471.85,2.67
1486.57,1.99
1501.43,1.33
1516.45,0.76
1531.61,0.32
1546.93,0.01
1562.40,-0.17
1578.02,-0.18
1593.80,-0.06
1609.74,0.12
1625.84,0.31
1642.10,0.52
1658.52,0.71
1675.10,0.89
1691.85,1.06
1708.77,1.20
1725.86,1.29
1743.12,1.40
1760.55,1.46
1778.15,1.59
1795.94,1.71
1813.90,1.87
1832.03,2.06
1850.36,2.23
1868.86,2.43
1887.55,2.59
1906.42,2.68
1925.49,2.53
1944.74,2.16
1964.19,1.56
1983.83,0.75
2003.67,-0.29
2023.71,-1.48
2043.94,-2.72
2064.38,-3.92
2085.03,-4.99
2105.88,-5.81
2126.94,-6.37
2148.20,-6.69
2169.69,-6.58
2191.38,-6.22
2213.30,-5.72
2235.43,-5.08
2257.78,-4.38
2280.36,-3.67
2303.17,-2.97
2326.20,-2.36
2349.46,-1.82
2372.95,-1.41
2396.68,-1.10
2420.65,-0.98
2444.86,-1.16
2469.31,-1.53
2494.00,-2.12
2518.94,-2.91
2544.13,-3.85
2569.57,-4.85
2595.27,-5.87
2621.22,-6.85
2647.43,-7.68
2673.90,-8.35
2700.64,-8.80
2727.65,-9.10
2754.93,-9.17
2782.48,-9.01
2810.30,-8.78
2838.40,-8.46
2866.79,-8.12
2895.46,-7.75
2924.41,-7.41
2953.65,-7.03
2983.19,-6.68
3013.02,-6.29
3043.15,-5.81
3073.58,-5.28
3104.32,-4.64
3135.36,-3.94
3166.72,-3.18
3198.38,-2.41
3230.37,-1.66
3262.67,-0.99
3295.30,-0.39
3328.25,0.03
3361.53,0.33
3395.15,0.51
3429.10,0.59
3463.39,0.55
3498.03,0.45
3533.01,0.33
3568.34,0.18
3604.02,0.03
3640.06,-0.13
3676.46,-0.29
3713.22,-0.42
3750.36,-0.55
3787.86,-0.64
3825.74,-0.71
3864.00,-0.66
3902.64,-0.53
3941.66,-0.33
3981.08,-0.04
4020.89,0.30
4061.10,0.70
4101.71,1.14
4142.73,1.58
4184.15,2.03
4226.00,2.43
4268.26,2.78
4310.94,3.09
4354.05,3.31
4397.59,3.51
4441.56,3.66
4485.98,3.79
4530.84,3.89
4576.15,3.96
4621.91,3.99
4668.13,3.89
4714.81,3.68
4761.96,3.38
4809.58,2.95
4857.67,2.40
4906.25,1.77
4955.31,1.07
5004.87,0.32
5054.91,-0.37
5105.46,-0.98
5156.52,-1.50
5208.08,-1.90
5260.16,-2.16
5312.77,-2.31
5365.89,-2.28
5419.55,-2.14
5473.75,-1.95
5528.49,-1.69
5583.77,-1.38
5639.61,-1.03
5696.00,-0.68
5752.96,-0.29
5810.49,0.09
5868.60,0.39
5927.28,0.63
5986.56,0.82
6046.42,0.95
6106.89,0.93
6167.96,0.83
6229.64,0.67
6291.93,0.50
6354.85,0.30
6418.40,0.11
6482.58,-0.05
6547.41,-0.19
6612.88,-0.32
6679.01,-0.41
6745.80,-0.50
6813.26,-0.53
6881.39,-0.57
6950.21,-0.59
7019.71,-0.64
7089.91,-0.71
7160.81,-0.82
7232.41,-0.98
7304.74,-1.14
7377.79,-1.33
7451.56,-1.51
7526.08,-1.66
7601.34,-1.78
7677.35,-1.81
7754.13,-1.69
7831.67,-1.48
7909.98,-1.21
7989.08,-0.87
8068.98,-0.44
8149.67,0.02
8231.16,0.49
8313.47,0.93
8396.61,1.32
8480.57,1.62
8565.38,1.85
8651.03,1.83
8737.54,1.55
8824.92,1.09
8913.17,0.45
9002.30,-0.41
9092.32,-1.47
9183.25,-2.71
9275.08,-4.17
9367.83,-5.70
9461.51,-7.20
9556.12,-8.63
9651.68,-9.74
9748.20,-10.49
9845.68,-10.95
9944.14,-10.77
10043.58,-10.06
10144.02,-9.16
10245.46,-8.06
10347.91,-6.91
10451.39,-5.95
10555.91,-5.22
10661.46,-4.77
10768.08,-4.54
10875.76,-4.71
10984.52,-4.93
11094.36,-5.24
11205.31,-5.53
11317.36,-5.74
11430.53,-5.83
11544.84,-5.64
11660.29,-5.33
11776.89,-4.89
11894.66,-4.43
12013.60,-3.98
12133.74,-3.61
12255.08,-3.39
12377.63,-3.52
12501.41,-3.84
12626.42,-4.26
12752.68,-4.83
12880.21,-5.39
13009.01,-5.91
13139.10,-6.34
13270.49,-6.60
13403.20,-6.67
13537.23,-6.60
13672.60,-6.52
13809.33,-6.48
13947.42,-6.41
14086.90,-6.41
14227.77,-6.66
14370.04,-7.07
14513.74,-7.70
14658.88,-8.56
14805.47,-9.54
14953.52,-10.59
15103.06,-11.67
15254.09,-12.67
15406.63,-13.44
15560.70,-14.04
15716.30,-14.19
15873.47,-13.69
16032.20,-13.01
16192.52,-12.10
16354.45,-11.10
16517.99,-10.14
16683.17,-9.34
16850.01,-8.74
17018.51,-8.38
17188.69,-8.43
17360.58,-8.73
17534.18,-9.16
17709.53,-9.71
17886.62,-10.25
18065.49,-10.79
18246.14,-11.24
18428.60,-11.66
18612.89,-12.02
18799.02,-12.41
18987.01,-12.80
19176.88,-13.13
19368.65,-13.42
19562.33,-13.68
19757.96,-13.89
19955.54,-13.98
