frequency,raw
20.00,-3.49
20.20,-3.41
20.40,-3.28
20.61,-3.16
20.81,-3.03
21.02,-2.90
21.23,-2.78
21.44,-2.68
21.66,-2.55
21.87,-2.43
22.09,-2.35
22.31,-2.25
22.54,-2.14
22.76,-2.05
22.99,-1.99
23.22,-1.90
23.45,-1.81
23.69,-1.76
23.92,-1.69
24.16,-1.62
24.40,-1.56
24.65,-1.52
24.89,-1.47
25.14,-1.41
25.39,-1.39
25.65,-1.33
25.91,-1.29
26.16,-1.26
26.43,-1.21
26.69,-1.18
26.96,-1.14
27.23,-1.09
27.50,-1.04
27.77,-0.98
28.05,-0.92
28.33,-0.84
28.62,-0.77
28.90,-0.69
29.19,-0.59
29.48,-0.50
29.78,-0.40
30.08,-0.29
30.38,-0.19
30.68,-0.08
30.99,0.03
31.30,0.14
31.61,0.24
31.93,0.34
32.24,0.43
32.57,0.52
32.89,0.61
33.22,0.68
33.55,0.75
33.89,0.81
34.23,0.87
34.57,0.91
34.92,0.95
35.27,0.99
35.62,1.01
35.97,1.03
36.33,1.05
36.70,1.06
37.06,1.07
37.43,1.07
37.81,1.08
38.19,1.09
38.57,1.10
38.95,1.12
39.34,1.14
39.74,1.16
40.14,1.19
40.54,1.23
40.94,1.26
41.35,1.30
41.76,1.34
42.18,1.37
42.60,1.40
43.03,1.43
43.46,1.45
43.90,1.46
44.33,1.47
44.78,1.46
45.23,1.45
45.68,1.44
46.13,1.41
46.60,1.38
47.06,1.35
47.53,1.32
48.01,1.29
48.49,1.26
48.97,1.24
49.46,1.22
49.96,1.21
50.46,1.21
50.96,1.22
51.47,1.23
51.99,1.25
52.51,1.26
53.03,1.28
53.56,1.29
54.10,1.29
54.64,1.29
55.18,1.28
55.74,1.26
56.29,1.23
56.86,1.21
57.42,1.17
58.00,1.14
58.58,1.12
59.16,1.10
59.76,1.09
60.35,1.09
60.96,1.10
61.57,1.11
62.18,1.13
62.80,1.15
63.43,1.16
64.07,1.17
64.71,1.17
65.35,1.17
66.01,1.15
66.67,1.13
67.33,1.11
68.01,1.09
68.69,1.07
69.37,1.07
70.07,1.07
70.77,1.08
71.48,1.10
72.19,1.13
72.91,1.16
73.64,1.18
74.38,1.19
75.12,1.20
75.87,1.20
76.63,1.19
77.40,1.17
78.17,1.16
78.95,1.14
79.74,1.14
80.54,1.14
81.35,1.16
82.16,1.17
82.98,1.19
83.81,1.20
84.65,1.20
85.50,1.19
86.35,1.17
87.22,1.15
88.09,1.12
88.97,1.10
89.86,1.08
90.76,1.07
91.66,1.07
92.58,1.07
93.51,1.07
94.44,1.06
95.39,1.05
96.34,1.02
97.30,0.99
98.28,0.96
99.26,0.93
100.25,0.90
101.25,0.87
102.27,0.85
103.29,0.83
104.32,0.80
105.37,0.77
106.42,0.72
107.48,0.67
108.56,0.62
109.64,0.56
110.74,0.52
111.85,0.47
112.97,0.43
114.10,0.38
115.24,0.32
116.39,0.26
117.55,0.19
118.73,0.12
119.92,0.05
121.12,-0.01
122.33,-0.07
123.55,-0.13
124.79,-0.19
126.03,-0.26
127.29,-0.34
128.57,-0.42
129.85,-0.51
131.15,-0.59
132.46,-0.67
133.79,-0.75
135.12,-0.84
136.48,-0.93
137.84,-1.03
139.22,-1.12
140.61,-1.21
142.02,-1.30
143.44,-1.39
144.87,-1.48
146.32,-1.56
147.78,-1.65
149.26,-1.74
150.75,-1.82
152.26,-1.90
153.78,-1.97
155.32,-2.04
156.88,-2.10
158.44,-2.17
160.03,-2.22
161.63,-2.27
163.24,-2.32
164.88,-2.35
166.53,-2.39
168.19,-2.42
169.87,-2.44
171.57,-2.46
173.29,-2.47
175.02,-2.48
176.77,-2.49
178.54,-2.50
180.32,-2.50
182.13,-2.50
183.95,-2.51
185.79,-2.51
187.65,-2.52
189.52,-2.53
191.42,-2.54
193.33,-2.55
195.27,-2.57
197.22,-2.58
199.19,-2.59
201.18,-2.60
203.19,-2.61
205.23,-2.61
207.28,-2.61
209.35,-2.60
211.44,-2.58
213.56,-2.57
215.69,-2.55
217.85,-2.53
220.03,-2.50
222.23,-2.48
224.45,-2.46
226.70,-2.43
228.96,-2.40
231.25,-2.36
233.57,-2.31
235.90,-2.25
238.26,-2.19
240.64,-2.13
243.05,-2.07
245.48,-2.00
247.93,-1.94
250.41,-1.88
252.92,-1.83
255.45,-1.79
258.00,-1.75
260.58,-1.72
263.19,-1.70
265.82,-1.68
268.48,-1.67
271.16,-1.66
273.87,-1.66
276.61,-1.66
279.38,-1.67
282.17,-1.67
284.99,-1.69
287.84,-1.70
290.72,-1.71
293.63,-1.73
296.57,-1.74
299.53,-1.75
302.53,-1.77
305.55,-1.78
308.61,-1.78
311.69,-1.79
314.81,-1.79
317.96,-1.80
321.14,-1.80
324.35,-1.80
327.59,-1.80
330.87,-1.80
334.18,-1.80
337.52,-1.80
340.90,-1.80
344.30,-1.79
347.75,-1.79
351.23,-1.78
354.74,-1.78
358.28,-1.77
361.87,-1.77
365.49,-1.76
369.14,-1.76
372.83,-1.75
376.56,-1.75
380.33,-1.75
384.13,-1.76
387.97,-1.76
391.85,-1.77
395.77,-1.78
399.73,-1.79
403.72,-1.80
407.76,-1.81
411.84,-1.81
415.96,-1.82
420.12,-1.82
424.32,-1.83
428.56,-1.83
432.85,-1.84
437.18,-1.86
441.55,-1.87
445.96,-1.89
450.42,-1.92
454.93,-1.95
459.48,-1.99
464.07,-2.03
468.71,-2.07
473.40,-2.12
478.13,-2.18
482.91,-2.23
487.74,-2.29
492.62,-2.35
497.55,-2.40
502.52,-2.45
