frequency,raw
20.00,-45.53
20.20,-46.35
20.40,-46.24
20.61,-45.85
20.81,-45.75
21.02,-46.21
21.23,-47.20
21.44,-48.24
21.66,-48.03
21.87,-45.93
22.09,-44.01
22.31,-42.79
22.54,-42.23
22.76,-42.08
22.99,-42.14
23.22,-42.15
23.45,-42.19
23.69,-42.61
23.92,-43.63
24.16,-44.94
24.40,-45.30
24.65,-44.32
24.89,-42.83
25.14,-42.21
25.39,-42.57
25.65,-42.75
25.91,-41.42
26.16,-38.82
26.43,-36.22
26.69,-34.38
26.96,-33.28
27.23,-32.69
27.50,-32.54
27.77,-32.75
28.05,-32.89
28.33,-32.77
28.62,-32.67
28.90,-32.37
29.19,-31.11
29.48,-30.15
29.78,-30.12
30.08,-31.04
30.38,-32.62
30.68,-34.42
30.99,-36.22
31.30,-37.64
31.61,-38.02
31.93,-37.67
32.24,-36.98
32.57,-36.76
32.89,-37.00
33.22,-37.39
33.55,-37.72
33.89,-38.10
34.23,-38.13
34.57,-37.25
34.92,-35.88
35.27,-34.83
35.62,-34.20
35.97,-34.09
36.33,-34.41
36.70,-34.82
37.06,-34.89
37.43,-34.76
37.81,-34.43
38.19,-33.86
38.57,-33.28
38.95,-33.00
39.34,-32.91
39.74,-32.83
40.14,-32.77
40.54,-32.74
40.94,-32.72
41.35,-32.73
41.76,-32.71
42.18,-32.37
42.60,-31.57
43.03,-30.55
43.46,-29.72
43.90,-29.26
44.33,-29.20
44.78,-29.34
45.23,-29.40
45.68,-29.13
46.13,-28.71
46.60,-28.40
47.06,-28.44
47.53,-28.80
48.01,-29.22
48.49,-29.25
48.97,-28.77
49.46,-28.05
49.96,-27.50
50.46,-27.27
50.96,-27.29
51.47,-27.30
51.99,-27.08
52.51,-26.63
53.03,-26.09
53.56,-25.56
54.10,-25.08
54.64,-24.66
55.18,-24.16
55.74,-23.50
56.29,-22.82
56.86,-22.41
57.42,-22.45
58.00,-22.84
58.58,-22.60
59.16,-21.43
59.76,-20.39
60.35,-19.79
60.96,-19.41
61.57,-18.91
62.18,-18.26
62.80,-17.72
63.43,-17.43
64.07,-17.33
64.71,-17.30
65.35,-17.24
66.01,-17.15
66.67,-17.08
67.33,-17.01
68.01,-16.91
68.69,-16.74
69.37,-16.51
70.07,-16.29
70.77,-16.12
71.48,-15.99
72.19,-15.90
72.91,-15.83
73.64,-15.75
74.38,-15.65
75.12,-15.57
75.87,-15.44
76.63,-15.25
77.40,-14.99
78.17,-14.76
78.95,-14.56
79.74,-14.40
80.54,-14.27
81.35,-14.15
82.16,-14.01
82.98,-13.88
83.81,-13.75
84.65,-13.60
85.50,-13.46
86.35,-13.34
87.22,-13.23
88.09,-13.12
88.97,-12.99
89.86,-12.87
90.76,-12.72
91.66,-12.57
92.58,-12.42
93.51,-12.27
94.44,-12.11
95.39,-11.93
96.34,-11.75
97.30,-11.57
98.28,-11.38
99.26,-11.18
100.25,-11.00
101.25,-10.81
102.27,-10.61
103.29,-10.41
104.32,-10.23
105.37,-10.06
106.42,-9.90
107.48,-9.71
108.56,-9.53
109.64,-9.36
110.74,-9.18
111.85,-8.98
112.97,-8.79
114.10,-8.62
115.24,-8.48
116.39,-8.34
117.55,-8.17
118.73,-7.98
119.92,-7.79
121.12,-7.59
122.33,-7.40
123.55,-7.21
124.79,-7.00
126.03,-6.80
127.29,-6.62
128.57,-6.45
129.85,-6.29
131.15,-6.13
132.46,-5.96
133.79,-5.79
135.12,-5.63
136.48,-5.47
137.84,-5.32
139.22,-5.17
140.61,-5.02
142.02,-4.86
143.44,-4.71
144.87,-4.56
146.32,-4.41
147.78,-4.27
149.26,-4.14
150.75,-4.00
152.26,-3.87
153.78,-3.74
155.32,-3.60
156.88,-3.45
158.44,-3.30
160.03,-3.15
161.63,-3.02
163.24,-2.90
164.88,-2.80
166.53,-2.71
168.19,-2.63
169.87,-2.55
171.57,-2.50
173.29,-2.47
175.02,-2.45
176.77,-2.45
178.54,-2.46
180.32,-2.47
182.13,-2.49
183.95,-2.52
185.79,-2.56
187.65,-2.62
189.52,-2.69
191.42,-2.76
193.33,-2.82
195.27,-2.89
197.22,-2.97
199.19,-3.05
201.18,-3.14
203.19,-3.23
205.23,-3.32
207.28,-3.40
209.35,-3.46
211.44,-3.52
213.56,-3.56
215.69,-3.58
217.85,-3.60
220.03,-3.61
222.23,-3.61
224.45,-3.59
226.70,-3.57
228.96,-3.54
231.25,-3.51
233.57,-3.47
235.90,-3.42
238.26,-3.37
240.64,-3.31
243.05,-3.25
245.48,-3.18
247.93,-3.11
250.41,-3.03
252.92,-2.95
255.45,-2.88
258.00,-2.79
260.58,-2.70
263.19,-2.61
265.82,-2.53
268.48,-2.45
271.16,-2.38
273.87,-2.31
276.61,-2.25
279.38,-2.20
282.17,-2.15
284.99,-2.10
287.84,-2.06
290.72,-2.02
293.63,-1.98
296.57,-1.94
299.53,-1.89
302.53,-1.85
305.55,-1.81
308.61,-1.76
311.69,-1.71
314.81,-1.66
317.96,-1.60
321.14,-1.54
324.35,-1.47
327.59,-1.40
330.87,-1.34
334.18,-1.27
337.52,-1.21
340.90,-1.15
344.30,-1.10
347.75,-1.05
351.23,-1.02
354.74,-0.99
358.28,-0.97
361.87,-0.95
365.49,-0.93
369.14,-0.92
372.83,-0.92
376.56,-0.93
380.33,-0.93
384.13,-0.93
387.97,-0.93
391.85,-0.94
395.77,-0.95
399.73,-0.96
403.72,-0.97
407.76,-0.99
411.84,-1.00
415.96,-1.01
420.12,-1.01
424.32,-1.02
428.56,-1.01
432.85,-1.01
437.18,-1.00
441.55,-0.98
445.96,-0.97
450.42,-0.95
454.93,-0.93
459.48,-0.91
464.07,-0.90
468.71,-0.88
473.40,-0.87
478.13,-0.85
482.91,-0.84
487.74,-0.83
492.62,-0.82
497.55,-0.81
502.52,-0.80
507.55,-0.80
512.62,-0.79
517.75,-0.79
522.93,-0.78
528.16,-0.78
533.44,-0.77
538.77,-0.76
544.16,-0.75
549.60,-0.74
555.10,-0.73
560.65,-0.72
566.25,-0.71
571.92,-0.71
577.64,-0.70
583.41,-0.69
589.25,-0.68
595.14,-0.67
601.09,-0.65
607.10,-0.64
613.17,-0.62
619.30,-0.61
625.50,-0.59
631.75,-0.58
638.07,-0.56
644.45,-0.55
650.89,-0.53
657.40,-0.52
663.98,-0.51
670.62,-0.49
677.32,-0.49
684.10,-0.48
690.94,-0.47
697.85,-0.46
704.83,-0.45
711.87,-0.44
718.99,-0.43
726.18,-0.42
733.44,-0.41
740.78,-0.40
748.19,-0.39
755.67,-0.38
763.23,-0.36
770.86,-0.35
778.57,-0.34
786.35,-0.33
794.22,-0.32
802.16,-0.31
810.18,-0.30
818.28,-0.28
826.46,-0.27
834.73,-0.26
843.08,-0.24
851.51,-0.23
860.02,-0.22
868.62,-0.21
877.31,-0.20
886.08,-0.18
894.94,-0.17
903.89,-0.16
912.93,-0.14
922.06,-0.12
931.28,-0.11
940.59,-0.09
950.00,-0.08
959.50,-0.06
969.09,-0.04
978.78,-0.03
