frequency,raw
20.00,-35.08
20.20,-35.12
20.40,-35.16
20.61,-35.72
20.81,-36.85
21.02,-37.99
21.23,-39.14
21.44,-40.23
21.66,-40.16
21.87,-39.70
22.09,-39.23
22.31,-38.76
22.54,-37.81
22.76,-36.03
22.99,-34.20
23.22,-32.35
23.45,-30.68
23.69,-32.09
23.92,-33.51
24.16,-34.94
24.40,-36.20
24.65,-36.68
24.89,-36.92
25.14,-37.16
25.39,-37.41
25.65,-37.76
25.91,-38.03
26.16,-38.23
26.43,-38.44
26.69,-38.60
26.96,-38.68
27.23,-38.73
27.50,-38.92
27.77,-39.09
28.05,-38.91
28.33,-37.72
28.62,-35.68
28.90,-33.86
29.19,-32.43
29.48,-32.42
29.78,-33.44
30.08,-34.73
30.38,-36.10
30.68,-36.60
30.99,-36.78
31.30,-36.81
31.61,-36.88
31.93,-36.82
32.24,-36.63
32.57,-36.27
32.89,-35.90
33.22,-35.41
33.55,-34.34
33.89,-32.73
34.23,-31.21
34.57,-30.96
34.92,-31.59
35.27,-31.88
35.62,-31.36
35.97,-31.16
36.33,-31.86
36.70,-32.46
37.06,-32.63
37.43,-32.71
37.81,-32.65
38.19,-32.47
38.57,-32.17
38.95,-31.89
39.34,-31.70
39.74,-31.62
40.14,-31.72
40.54,-31.78
40.94,-31.84
41.35,-32.06
41.76,-32.25
42.18,-32.09
42.60,-31.62
43.03,-31.22
43.46,-31.02
43.90,-30.80
44.33,-30.57
44.78,-30.32
45.23,-30.08
45.68,-29.85
46.13,-29.73
46.60,-29.64
47.06,-29.47
47.53,-29.16
48.01,-28.91
48.49,-28.77
48.97,-28.59
49.46,-28.34
49.96,-28.11
50.46,-27.89
50.96,-27.66
51.47,-27.41
51.99,-27.23
52.51,-27.11
53.03,-26.97
53.56,-26.82
54.10,-26.72
54.64,-26.64
55.18,-26.55
55.74,-26.42
56.29,-26.25
56.86,-26.06
57.42,-25.85
58.00,-25.74
58.58,-25.64
59.16,-25.37
59.76,-25.11
60.35,-24.95
60.96,-24.82
61.57,-24.69
62.18,-24.60
62.80,-24.45
63.43,-24.25
64.07,-23.89
64.71,-23.71
65.35,-23.84
66.01,-23.63
66.67,-23.52
67.33,-23.61
68.01,-23.25
68.69,-23.08
69.37,-23.14
70.07,-23.30
70.77,-23.09
71.48,-22.74
72.19,-22.61
72.91,-22.55
73.64,-22.53
74.38,-22.51
75.12,-22.41
75.87,-22.15
76.63,-21.97
77.40,-21.90
78.17,-21.89
78.95,-21.90
79.74,-21.70
80.54,-21.58
81.35,-21.50
82.16,-21.29
82.98,-21.08
83.81,-21.05
84.65,-20.96
85.50,-20.84
86.35,-20.75
87.22,-20.63
88.09,-20.47
88.97,-20.36
89.86,-20.24
90.76,-20.21
91.66,-20.06
92.58,-19.93
93.51,-19.82
94.44,-19.70
95.39,-19.63
96.34,-19.55
97.30,-19.45
98.28,-19.34
99.26,-19.22
100.25,-19.17
101.25,-19.11
102.27,-19.06
103.29,-18.96
104.32,-18.87
105.37,-18.78
106.42,-18.68
107.48,-18.59
108.56,-18.53
109.64,-18.45
110.74,-18.37
111.85,-18.26
112.97,-18.16
114.10,-18.06
115.24,-17.96
116.39,-17.93
117.55,-17.89
118.73,-17.68
119.92,-17.57
121.12,-17.51
122.33,-17.45
123.55,-17.39
124.79,-17.26
126.03,-17.23
127.29,-17.10
128.57,-17.03
129.85,-16.94
131.15,-16.80
132.46,-16.71
133.79,-16.61
135.12,-16.50
136.48,-16.43
137.84,-16.37
139.22,-16.28
140.61,-16.24
142.02,-16.18
143.44,-16.13
144.87,-16.07
146.32,-16.01
147.78,-15.94
149.26,-15.84
150.75,-15.76
152.26,-15.77
153.78,-15.64
155.32,-15.55
156.88,-15.45
158.44,-15.46
160.03,-15.33
161.63,-15.28
163.24,-15.20
164.88,-15.07
166.53,-15.05
168.19,-14.91
169.87,-14.81
171.57,-14.72
173.29,-14.60
175.02,-14.46
176.77,-14.35
178.54,-14.24
180.32,-14.11
182.13,-13.98
183.95,-13.89
185.79,-13.80
187.65,-13.65
189.52,-13.54
191.42,-13.41
193.33,-13.28
195.27,-13.14
197.22,-13.00
199.19,-12.87
201.18,-12.74
203.19,-12.60
205.23,-12.47
207.28,-12.34
209.35,-12.23
211.44,-12.08
213.56,-11.94
215.69,-11.82
217.85,-11.67
220.03,-11.54
222.23,-11.39
224.45,-11.26
226.70,-11.16
228.96,-11.01
231.25,-10.89
233.57,-10.76
235.90,-10.65
238.26,-10.53
240.64,-10.42
243.05,-10.29
245.48,-10.16
247.93,-10.05
250.41,-9.91
252.92,-9.85
255.45,-9.72
258.00,-9.61
260.58,-9.50
263.19,-9.43
265.82,-9.26
268.48,-9.19
271.16,-9.06
273.87,-8.99
276.61,-8.87
279.38,-8.77
282.17,-8.68
284.99,-8.59
287.84,-8.49
290.72,-8.41
293.63,-8.32
296.57,-8.25
299.53,-8.15
302.53,-8.07
305.55,-7.97
308.61,-7.88
311.69,-7.79
314.81,-7.68
317.96,-7.57
321.14,-7.49
324.35,-7.40
327.59,-7.29
330.87,-7.19
334.18,-7.09
337.52,-6.98
340.90,-6.88
344.30,-6.75
347.75,-6.70
351.23,-6.61
354.74,-6.51
358.28,-6.41
361.87,-6.32
365.49,-6.21
369.14,-6.10
372.83,-6.00
376.56,-5.90
380.33,-5.81
384.13,-5.72
387.97,-5.65
391.85,-5.57
395.77,-5.51
399.73,-5.44
403.72,-5.38
407.76,-5.32
411.84,-5.26
415.96,-5.19
420.12,-5.13
424.32,-5.05
428.56,-4.97
432.85,-4.89
437.18,-4.82
441.55,-4.72
445.96,-4.64
450.42,-4.55
454.93,-4.46
459.48,-4.38
464.07,-4.29
468.71,-4.21
473.40,-4.12
478.13,-4.04
482.91,-3.95
487.74,-3.87
492.62,-3.80
497.55,-3.71
502.52,-3.63
507.55,-3.56
512.62,-3.48
517.75,-3.41
522.93,-3.33
528.16,-3.26
533.44,-3.19
538.77,-3.12
544.16,-3.05
549.60,-2.98
555.10,-2.91
560.65,-2.85
566.25,-2.79
571.92,-2.72
577.64,-2.66
583.41,-2.60
589.25,-2.53
595.14,-2.47
601.09,-2.41
607.10,-2.34
613.17,-2.28
619.30,-2.21
625.50,-2.15
631.75,-2.09
638.07,-2.02
644.45,-1.95
650.89,-1.89
657.40,-1.83
663.98,-1.76
670.62,-1.69
677.32,-1.62
684.10,-1.56
690.94,-1.49
697.85,-1.42
704.83,-1.34
711.87,-1.26
718.99,-1.19
726.18,-1.14
733.44,-1.13
740.78,-1.13
748.19,-1.19
755.67,-1.27
763.23,-1.27
770.86,-1.24
778.57,-1.20
786.35,-1.12
794.22,-1.04
802.16,-0.97
810.18,-0.90
818.28,-0.84
826.46,-0.78
834.73,-0.72
843.08,-0.68
851.51,-0.63
860.02,-0.58
868.62,-0.54
877.31,-0.49
886.08,-0.45
894.94,-0.40
903.89,-0.36
912.93,-0.32
922.06,-0.28
931.28,-0.23
940.59,-0.19
950.00,-0.16
959.50,-0.13
969.09,-0.09
978.78,-0.06
988.57,-0.03
998.46,-0.00
1008.44,0.02
1018.53,0.04
1028.71,0.07
1039.00,0.11
1049.39,0.11
1059.88,0.14
1070.48,0.20
1081.19,0.25
1092.00,0.29
1102.92,0.32
1113.95,0.36
1125.09,0.39
1136.34,0.41
1147.70,0.44
1159.18,0.46
1170.77,0.48
1182.48,0.50
1194.30,0.52
1206.25,0.57
1218.31,0.62
1230.49,0.62
1242.80,0.66
1255.22,0.69
1267.78,0.72
1280.45,0.75
1293.26,0.77
1306.19,0.80
1319.25,0.82
1332.45,0.85
1345.77,0.87
1359.23,0.90
1372.82,0.93
1386.55,0.95
1400.41,0.97
1414.42,0.99
1428.56,1.02
1442.85,1.04
1457.28,1.07
1471.85,1.08
1486.57,1.09
1501.43,1.09
1516.45,1.11
1531.61,1.11
1546.93,1.12
1562.40,1.13
1578.02,1.16
1593.80,1.22
1609.74,1.30
1625.84,1.41
1642.10,1.60
1658.52,1.75
1675.10,1.78
1691.85,1.76
1708.77,1.74
1725.86,1.70
1743.12,1.69
1760.55,1.69
1778.15,1.64
1795.94,1.62
1813.90,1.61
1832.03,1.59
1850.36,1.60
1868.86,1.62
1887.55,1.68
1906.42,1.69
1925.49,1.75
1944.74,1.80
1964.19,1.86
1983.83,1.91
2003.67,1.91
2023.71,1.93
2043.94,1.93
2064.38,1.92
2085.03,1.92
2105.88,1.95
2126.94,1.99
2148.20,2.02
2169.69,2.06
2191.38,2.09
2213.30,2.10
2235.43,2.09
2257.78,2.06
2280.36,2.03
2303.17,2.00
2326.20,2.02
2349.46,2.03
2372.95,2.07
2396.68,2.06
2420.65,2.04
2444.86,2.01
2469.31,1.97
2494.00,1.90
2518.94,1.91
2544.13,1.91
2569.57,1.94
2595.27,2.02
2621.22,2.13
