frequency,raw
20.00,3.40
20.20,3.39
20.40,3.38
20.61,3.38
20.81,3.39
21.02,3.41
21.23,3.43
21.44,3.48
21.66,3.52
21.87,3.57
22.09,3.62
22.31,3.68
22.54,3.75
22.76,3.82
22.99,3.90
23.22,3.98
23.45,4.07
23.69,4.17
23.92,4.26
24.16,4.36
24.40,4.47
24.65,4.58
24.89,4.69
25.14,4.80
25.39,4.92
25.65,5.03
25.91,5.16
26.16,5.29
26.43,5.41
26.69,5.55
26.96,5.69
27.23,5.81
27.50,5.95
27.77,6.08
28.05,6.22
28.33,6.35
28.62,6.48
28.90,6.61
29.19,6.75
29.48,6.88
29.78,7.01
30.08,7.14
30.38,7.28
30.68,7.41
30.99,7.53
31.30,7.65
31.61,7.78
31.93,7.90
32.24,8.02
32.57,8.13
32.89,8.25
33.22,8.37
33.55,8.48
33.89,8.58
34.23,8.68
34.57,8.78
34.92,8.88
35.27,8.98
35.62,9.06
35.97,9.15
36.33,9.23
36.70,9.31
37.06,9.38
37.43,9.45
37.81,9.51
38.19,9.58
38.57,9.63
38.95,9.68
39.34,9.73
39.74,9.78
40.14,9.81
40.54,9.85
40.94,9.88
41.35,9.91
41.76,9.94
42.18,9.96
42.60,9.97
43.03,9.98
43.46,9.99
43.90,10.00
44.33,10.00
44.78,9.99
45.23,9.98
45.68,9.98
46.13,9.96
46.60,9.95
47.06,9.93
47.53,9.91
48.01,9.88
48.49,9.86
48.97,9.83
49.46,9.81
49.96,9.77
50.46,9.74
50.96,9.71
51.47,9.67
51.99,9.64
52.51,9.60
53.03,9.56
53.56,9.52
54.10,9.48
54.64,9.44
55.18,9.40
55.74,9.35
56.29,9.31
56.86,9.26
57.42,9.22
58.00,9.17
58.58,9.12
59.16,9.08
59.76,9.03
60.35,8.98
60.96,8.93
61.57,8.88
62.18,8.83
62.80,8.77
63.43,8.72
64.07,8.66
64.71,8.60
65.35,8.55
66.01,8.49
66.67,8.43
67.33,8.37
68.01,8.31
68.69,8.24
69.37,8.18
70.07,8.12
70.77,8.06
71.48,8.00
72.19,7.94
72.91,7.88
73.64,7.82
74.38,7.77
75.12,7.71
75.87,7.65
76.63,7.60
77.40,7.54
78.17,7.49
78.95,7.44
79.74,7.38
80.54,7.33
81.35,7.27
82.16,7.22
82.98,7.16
83.81,7.10
84.65,7.05
85.50,6.99
86.35,6.92
87.22,6.86
88.09,6.80
88.97,6.73
89.86,6.67
90.76,6.60
91.66,6.54
92.58,6.47
93.51,6.41
94.44,6.35
95.39,6.28
96.34,6.22
97.30,6.17
98.28,6.11
99.26,6.05
100.25,6.00
101.25,5.95
102.27,5.90
103.29,5.85
104.32,5.80
105.37,5.75
106.42,5.70
107.48,5.65
108.56,5.60
109.64,5.56
110.74,5.52
111.85,5.48
112.97,5.44
114.10,5.41
115.24,5.38
116.39,5.36
117.55,5.34
118.73,5.33
119.92,5.33
