frequency,raw
20.00,9.42
20.20,9.43
20.40,9.43
20.61,9.43
20.81,9.43
21.02,9.44
21.23,9.44
21.44,9.44
21.66,9.45
21.87,9.45
22.09,9.45
22.31,9.45
22.54,9.46
22.76,9.46
22.99,9.46
23.22,9.46
23.45,9.47
23.69,9.47
23.92,9.47
24.16,9.48
24.40,9.48
24.65,9.48
24.89,9.49
25.14,9.49
25.39,9.49
25.65,9.49
25.91,9.50
26.16,9.50
26.43,9.50
26.69,9.50
26.96,9.51
27.23,9.51
27.50,9.51
27.77,9.52
28.05,9.52
28.33,9.52
28.62,9.52
28.90,9.53
29.19,9.53
29.48,9.53
29.78,9.53
30.08,9.54
30.38,9.54
30.68,9.54
30.99,9.55
31.30,9.55
31.61,9.55
31.93,9.55
32.24,9.56
32.57,9.56
32.89,9.56
33.22,9.57
33.55,9.57
33.89,9.57
34.23,9.57
34.57,9.58
34.92,9.58
35.27,9.58
35.62,9.58
35.97,9.59
36.33,9.59
36.70,9.59
37.06,9.59
37.43,9.59
37.81,9.59
38.19,9.60
38.57,9.60
38.95,9.60
39.34,9.60
39.74,9.60
40.14,9.60
40.54,9.60
40.94,9.60
41.35,9.60
41.76,9.60
42.18,9.60
42.60,9.60
43.03,9.60
43.46,9.60
43.90,9.59
44.33,9.59
44.78,9.58
45.23,9.58
45.68,9.57
46.13,9.57
46.60,9.56
47.06,9.55
47.53,9.55
48.01,9.54
48.49,9.53
48.97,9.52
49.46,9.51
49.96,9.50
50.46,9.49
50.96,9.47
51.47,9.46
51.99,9.44
52.51,9.42
53.03,9.40
53.56,9.38
54.10,9.36
54.64,9.34
55.18,9.31
55.74,9.29
56.29,9.26
56.86,9.23
57.42,9.20
58.00,9.17
58.58,9.14
59.16,9.11
59.76,9.08
60.35,9.05
60.96,9.02
61.57,8.99
62.18,8.95
62.80,8.92
63.43,8.88
64.07,8.84
64.71,8.80
65.35,8.76
66.01,8.72
66.67,8.67
67.33,8.63
68.01,8.58
68.69,8.54
69.37,8.49
70.07,8.44
70.77,8.39
71.48,8.34
72.19,8.29
72.91,8.24
73.64,8.19
74.38,8.14
75.12,8.08
75.87,8.02
76.63,7.97
77.40,7.91
78.17,7.85
78.95,7.79
79.74,7.74
80.54,7.68
81.35,7.61
82.16,7.55
82.98,7.49
83.81,7.43
84.65,7.36
85.50,7.30
86.35,7.23
87.22,7.17
88.09,7.10
88.97,7.03
89.86,6.96
90.76,6.89
91.66,6.82
92.58,6.75
93.51,6.68
94.44,6.60
95.39,6.53
96.34,6.45
97.30,6.37
98.28,6.29
99.26,6.21
100.25,6.13
101.25,6.04
102.27,5.95
103.29,5.87
104.32,5.78
105.37,5.68
106.42,5.59
107.48,5.50
108.56,5.40
109.64,5.31
110.74,5.21
111.85,5.11
112.97,5.00
114.10,4.90
115.24,4.79
116.39,4.68
117.55,4.57
118.73,4.45
119.92,4.34
121.12,4.22
122.33,4.10
123.55,3.99
124.79,3.86
126.03,3.74
127.29,3.61
128.57,3.48
129.85,3.35
131.15,3.22
132.46,3.08
133.79,2.95
135.12,2.81
136.48,2.67
137.84,2.54
139.22,2.41
140.61,2.28
142.02,2.15
143.44,2.02
144.87,1.90
146.32,1.79
147.78,1.68
149.26,1.58
150.75,1.48
152.26,1.40
153.78,1.32
155.32,1.24
156.88,1.17
158.44,1.11
160.03,1.05
161.63,0.99
163.24,0.94
164.88,0.88
166.53,0.83
168.19,0.77
169.87,0.72
171.57,0.66
173.29,0.61
175.02,0.55
176.77,0.49
178.54,0.44
180.32,0.39
182.13,0.34
183.95,0.30
185.79,0.26
187.65,0.23
189.52,0.20
191.42,0.17
193.33,0.15
195.27,0.14
197.22,0.13
199.19,0.12
201.18,0.12
203.19,0.12
205.23,0.13
207.28,0.14
209.35,0.15
211.44,0.16
213.56,0.18
215.69,0.20
217.85,0.22
220.03,0.24
222.23,0.26
224.45,0.28
226.70,0.30
228.96,0.32
231.25,0.34
233.57,0.36
235.90,0.38
238.26,0.40
240.64,0.41
243.05,0.43
245.48,0.44
247.93,0.45
250.41,0.46
252.92,0.47
255.45,0.48
258.00,0.48
260.58,0.48
263.19,0.49
265.82,0.49
268.48,0.49
271.16,0.48
273.87,0.48
276.61,0.47
279.38,0.47
282.17,0.46
284.99,0.45
287.84,0.43
290.72,0.42
293.63,0.40
296.57,0.39
299.53,0.37
302.53,0.35
305.55,0.33
308.61,0.30
311.69,0.28
314.81,0.25
317.96,0.22
321.14,0.19
324.35,0.16
327.59,0.13
330.87,0.10
334.18,0.06
337.52,0.03
340.90,-0.01
344.30,-0.05
347.75,-0.08
351.23,-0.12
354.74,-0.16
358.28,-0.20
361.87,-0.25
365.49,-0.29
369.14,-0.33
372.83,-0.37
376.56,-0.42
380.33,-0.46
384.13,-0.51
387.97,-0.55
391.85,-0.60
395.77,-0.65
399.73,-0.70
403.72,-0.74
407.76,-0.79
411.84,-0.84
415.96,-0.89
420.12,-0.94
424.32,-0.99
428.56,-1.04
432.85,-1.09
437.18,-1.14
441.55,-1.20
445.96,-1.25
450.42,-1.30
454.93,-1.35
459.48,-1.41
464.07,-1.46
468.71,-1.51
473.40,-1.57
478.13,-1.62
482.91,-1.67
487.74,-1.73
492.62,-1.78
497.55,-1.84
502.52,-1.89
507.55,-1.95
512.62,-2.00
517.75,-2.06
522.93,-2.11
528.16,-2.17
533.44,-2.22
538.77,-2.27
544.16,-2.33
549.60,-2.38
555.10,-2.43
560.65,-2.49
566.25,-2.54
571.92,-2.59
577.64,-2.64
583.41,-2.68
589.25,-2.73
595.14,-2.78
601.09,-2.82
607.10,-2.86
613.17,-2.90
619.30,-2.93
625.50,-2.97
631.75,-3.00
638.07,-3.02
644.45,-3.04
650.89,-3.06
657.40,-3.07
663.98,-3.08
670.62,-3.08
677.32,-3.08
684.10,-3.07
690.94,-3.06
697.85,-3.04
704.83,-3.02
711.87,-2.99
718.99,-2.96
726.18,-2.92
733.44,-2.88
740.78,-2.83
748.19,-2.78
755.67,-2.73
763.23,-2.68
770.86,-2.62
778.57,-2.56
786.35,-2.50
794.22,-2.44
802.16,-2.37
810.18,-2.30
818.28,-2.23
826.46,-2.16
834.73,-2.08
843.08,-2.00
851.51,-1.91
860.02,-1.81
868.62,-1.72
877.31,-1.61
886.08,-1.50
894.94,-1.39
903.89,-1.28
912.93,-1.16
922.06,-1.04
931.28,-0.91
940.59,-0.79
950.00,-0.66
959.50,-0.53
969.09,-0.40
978.78,-0.27
988.57,-0.15
998.46,-0.02
1008.44,0.11
1018.53,0.23
1028.71,0.36
1039.00,0.48
1049.39,0.60
1059.88,0.73
1070.48,0.85
1081.19,0.97
1092.00,1.09
1102.92,1.22
1113.95,1.34
1125.09,1.46
1136.34,1.58
1147.70,1.70
1159.18,1.83
1170.77,1.95
1182.48,2.07
1194.30,2.19
1206.25,2.31
1218.31,2.43
1230.49,2.55
1242.80,2.67
1255.22,2.79
1267.78,2.90
1280.45,3.01
1293.26,3.12
1306.19,3.23
1319.25,3.33
1332.45,3.43
1345.77,3.53
1359.23,3.62
1372.82,3.71
1386.55,3.79
1400.41,3.87
1414.42,3.94
1428.56,4.00
1442.85,4.06
1457.28,4.12
1471.85,4.16
1486.57,4.21
1501.43,4.24
1516.45,4.27
1531.61,4.29
1546.93,4.30
1562.40,4.31
1578.02,4.31
1593.80,4.31
1609.74,4.30
1625.84,4.29
1642.10,4.27
1658.52,4.25
1675.10,4.23
1691.85,4.21
1708.77,4.18
1725.86,4.16
1743.12,4.13
1760.55,4.11
1778.15,4.09
1795.94,4.07
1813.90,4.06
1832.03,4.05
1850.36,4.05
1868.86,4.05
1887.55,4.05
1906.42,4.06
1925.49,4.08
1944.74,4.10
1964.19,4.12
1983.83,4.15
2003.67,4.19
2023.71,4.23
2043.94,4.27
2064.38,4.32
2085.03,4.38
2105.88,4.44
2126.94,4.50
2148.20,4.57
2169.69,4.65
2191.38,4.73
2213.30,4.81
2235.43,4.90
2257.78,4.99
2280.36,5.09
2303.17,5.20
2326.20,5.31
2349.46,5.42
2372.95,5.54
2396.68,5.66
2420.65,5.79
2444.86,5.92
2469.31,6.06
2494.00,6.20
2518.94,6.35
2544.13,6.50
2569.57,6.65
2595.27,6.81
2621.22,6.97
2647.43,7.14
2673.90,7.31
2700.64,7.48
2727.65,7.66
2754.93,7.83
2782.48,8.01
2810.30,8.19
2838.40,8.37
2866.79,8.55
2895.46,8.73
2924.41,8.91
2953.65,9.09
2983.19,9.26
3013.02,9.42
3043.15,9.58
3073.58,9.73
3104.32,9.87
3135.36,10.00
3166.72,10.12
3198.38,10.22
3230.37,10.31
3262.67,10.38
3295.30,10.43
3328.25,10.46
3361.53,10.48
3395.15,10.47
3429.10,10.44
3463.39,10.40
3498.03,10.33
3533.01,10.24
3568.34,10.14
3604.02,10.02
3640.06,9.88
3676.46,9.74
3713.22,9.57
3750.36,9.40
3787.86,9.22
3825.74,9.03
3864.00,8.83
3902.64,8.63
3941.66,8.42
3981.08,8.21
4020.89,8.00
4061.10,7.79
4101.71,7.58
4142.73,7.37
4184.15,7.15
4226.00,6.95
4268.26,6.74
4310.94,6.54
4354.05,6.34
4397.59,6.15
4441.56,5.96
4485.98,5.78
4530.84,5.60
4576.15,5.43
4621.91,5.26
4668.13,5.10
4714.81,4.94
4761.96,4.80
4809.58,4.66
4857.67,4.53
4906.25,4.40
4955.31,4.29
5004.87,4.18
5054.91,4.07
5105.46,3.98
5156.52,3.89
5208.08,3.82
5260.16,3.75
5312.77,3.69
5365.89,3.63
5419.55,3.59
5473.75,3.56
5528.49,3.54
5583.77,3.53
5639.61,3.53
5696.00,3.54
5752.96,3.56
5810.49,3.59
5868.60,3.63
5927.28,3.68
5986.56,3.74
6046.42,3.81
6106.89,3.89
6167.96,3.98
6229.64,4.08
6291.93,4.20
6354.85,4.33
6418.40,4.47
6482.58,4.63
6547.41,4.81
6612.88,5.00
6679.01,5.22
6745.80,5.44
6813.26,5.69
6881.39,5.96
6950.21,6.25
7019.71,6.55
7089.91,6.86
7160.81,7.16
7232.41,7.44
7304.74,7.67
7377.79,7.84
7451.56,7.94
7526.08,7.90
7601.34,7.78
7677.35,7.56
7754.13,7.22
7831.67,6.81
7909.98,6.36
7989.08,5.87
8068.98,5.39
8149.67,4.91
8231.16,4.47
8313.47,4.07
8396.61,3.70
8480.57,3.36
8565.38,3.07
8651.03,2.79
8737.54,2.53
8824.92,2.29
8913.17,2.07
9002.30,1.86
9092.32,1.67
9183.25,1.50
9275.08,1.35
9367.83,1.21
9461.51,1.11
9556.12,1.02
9651.68,0.95
9748.20,0.92
9845.68,0.91
9944.14,0.93
10043.58,0.99
10144.02,1.09
10245.46,1.21
10347.91,1.39
10451.39,1.61
10555.91,1.86
10661.46,2.17
10768.08,2.52
10875.76,2.89
10984.52,3.28
11094.36,3.64
11205.31,3.97
11317.36,4.22
11430.53,4.31
11544.84,4.26
11660.29,4.08
11776.89,3.63
11894.66,3.04
12013.60,2.31
12133.74,1.40
12255.08,0.41
12377.63,-0.63
12501.41,-1.71
12626.42,-2.78
12752.68,-3.83
12880.21,-4.85
13009.01,-5.80
13139.10,-6.73
13270.49,-7.60
13403.20,-8.42
13537.23,-9.19
13672.60,-9.92
13809.33,-10.58
13947.42,-11.20
14086.90,-11.77
14227.77,-12.27
14370.04,-12.70
14513.74,-13.08
14658.88,-13.37
14805.47,-13.57
14953.52,-13.69
15103.06,-13.73
15254.09,-13.65
15406.63,-13.51
15560.70,-13.30
15716.30,-12.98
15873.47,-12.62
16032.20,-12.20
16192.52,-11.72
16354.45,-11.21
16517.99,-10.67
16683.17,-10.09
16850.01,-9.49
17018.51,-8.87
17188.69,-8.25
17360.58,-7.64
17534.18,-7.06
17709.53,-6.51
17886.62,-6.04
18065.49,-5.65
18246.14,-5.32
18428.60,-5.14
18612.89,-5.05
18799.02,-5.03
18987.01,-5.11
19176.88,-5.24
19368.65,-5.40
19562.33,-5.55
19757.96,-5.67
19955.54,-5.73
