frequency,raw
20.00,8.55
20.20,8.52
20.40,8.48
20.61,8.48
20.81,8.51
21.02,8.53
21.23,8.56
21.44,8.59
21.66,8.63
21.87,8.68
22.09,8.72
22.31,8.77
22.54,8.83
22.76,8.92
22.99,9.00
23.22,9.09
23.45,9.17
23.69,9.27
23.92,9.36
24.16,9.45
24.40,9.55
24.65,9.66
24.89,9.77
25.14,9.89
25.39,10.00
25.65,10.13
25.91,10.23
26.16,10.33
26.43,10.47
26.69,10.59
26.96,10.69
27.23,10.81
27.50,10.95
27.77,11.06
28.05,11.15
28.33,11.30
28.62,11.42
28.90,11.53
29.19,11.64
29.48,11.78
29.78,11.89
30.08,11.98
30.38,12.13
30.68,12.23
30.99,12.33
31.30,12.47
31.61,12.56
31.93,12.66
32.24,12.77
32.57,12.88
32.89,12.97
33.22,13.07
33.55,13.19
33.89,13.27
34.23,13.37
34.57,13.47
34.92,13.55
35.27,13.65
35.62,13.74
35.97,13.82
36.33,13.91
36.70,13.99
37.06,14.07
37.43,14.15
37.81,14.23
38.19,14.30
38.57,14.37
38.95,14.44
39.34,14.51
39.74,14.58
40.14,14.64
40.54,14.71
40.94,14.76
41.35,14.82
41.76,14.88
42.18,14.93
42.60,14.98
43.03,15.03
43.46,15.08
43.90,15.12
44.33,15.16
44.78,15.20
45.23,15.24
45.68,15.28
46.13,15.31
46.60,15.34
47.06,15.38
47.53,15.40
48.01,15.43
48.49,15.45
48.97,15.47
49.46,15.49
49.96,15.50
50.46,15.52
50.96,15.53
51.47,15.54
51.99,15.55
52.51,15.55
53.03,15.55
53.56,15.55
54.10,15.55
54.64,15.55
55.18,15.54
55.74,15.53
56.29,15.52
56.86,15.51
57.42,15.49
58.00,15.47
58.58,15.45
59.16,15.43
59.76,15.40
60.35,15.37
60.96,15.34
61.57,15.31
62.18,15.27
62.80,15.24
63.43,15.20
64.07,15.15
64.71,15.11
65.35,15.06
66.01,15.01
66.67,14.96
67.33,14.91
68.01,14.85
68.69,14.79
69.37,14.73
70.07,14.67
70.77,14.60
71.48,14.53
72.19,14.46
72.91,14.39
73.64,14.31
74.38,14.23
75.12,14.15
75.87,14.07
76.63,13.98
77.40,13.89
78.17,13.80
78.95,13.71
79.74,13.61
80.54,13.51
81.35,13.41
82.16,13.31
82.98,13.20
83.81,13.09
84.65,12.98
85.50,12.86
86.35,12.75
87.22,12.63
88.09,12.50
88.97,12.38
89.86,12.25
90.76,12.12
91.66,11.99
92.58,11.86
93.51,11.72
94.44,11.58
95.39,11.44
96.34,11.30
97.30,11.15
98.28,11.00
99.26,10.85
100.25,10.70
101.25,10.54
102.27,10.38
103.29,10.21
104.32,10.05
105.37,9.88
106.42,9.70
107.48,9.53
108.56,9.35
109.64,9.17
110.74,8.99
111.85,8.81
112.97,8.62
114.10,8.44
115.24,8.25
116.39,8.07
117.55,7.88
118.73,7.69
119.92,7.49
121.12,7.30
122.33,7.10
123.55,6.89
124.79,6.68
126.03,6.47
127.29,6.25
128.57,6.03
129.85,5.81
131.15,5.59
132.46,5.36
133.79,5.12
135.12,4.89
136.48,4.66
137.84,4.42
139.22,4.18
140.61,3.94
142.02,3.70
143.44,3.46
144.87,3.22
146.32,2.98
147.78,2.74
149.26,2.50
150.75,2.27
152.26,2.03
153.78,1.80
155.32,1.57
156.88,1.34
158.44,1.11
160.03,0.88
161.63,0.64
163.24,0.42
