frequency,raw
20.00,4.87
20.20,4.90
20.40,4.92
20.61,4.94
20.81,4.96
21.02,4.96
21.23,4.93
21.44,4.91
21.66,4.89
21.87,4.87
22.09,4.87
22.31,4.87
22.54,4.88
22.76,4.89
22.99,4.90
23.22,4.92
23.45,4.94
23.69,4.95
23.92,4.96
24.16,4.96
24.40,4.96
24.65,4.95
24.89,4.93
25.14,4.90
25.39,4.89
25.65,4.87
25.91,4.86
26.16,4.86
26.43,4.88
26.69,4.89
26.96,4.90
27.23,4.90
27.50,4.90
27.77,4.89
28.05,4.88
28.33,4.87
28.62,4.86
28.90,4.86
29.19,4.85
29.48,4.85
29.78,4.85
30.08,4.85
30.38,4.85
30.68,4.85
30.99,4.84
31.30,4.84
31.61,4.83
31.93,4.82
32.24,4.81
32.57,4.80
32.89,4.79
33.22,4.78
33.55,4.78
33.89,4.77
34.23,4.76
34.57,4.76
34.92,4.75
35.27,4.74
35.62,4.74
35.97,4.73
36.33,4.73
36.70,4.72
37.06,4.71
37.43,4.70
37.81,4.68
38.19,4.67
38.57,4.66
38.95,4.64
39.34,4.63
39.74,4.61
40.14,4.60
40.54,4.58
40.94,4.56
41.35,4.54
41.76,4.53
42.18,4.52
42.60,4.50
43.03,4.48
43.46,4.47
43.90,4.45
44.33,4.43
44.78,4.41
45.23,4.38
45.68,4.36
46.13,4.34
46.60,4.31
47.06,4.28
47.53,4.25
48.01,4.21
48.49,4.18
48.97,4.14
49.46,4.10
49.96,4.06
50.46,4.02
50.96,3.98
51.47,3.94
51.99,3.90
52.51,3.85
53.03,3.81
53.56,3.76
54.10,3.72
54.64,3.67
55.18,3.62
55.74,3.57
56.29,3.51
56.86,3.46
57.42,3.41
58.00,3.35
58.58,3.29
59.16,3.24
59.76,3.19
60.35,3.14
60.96,3.08
61.57,3.03
62.18,2.98
62.80,2.92
63.43,2.87
64.07,2.81
64.71,2.76
65.35,2.70
66.01,2.65
66.67,2.60
67.33,2.55
68.01,2.50
68.69,2.45
69.37,2.39
70.07,2.34
70.77,2.29
71.48,2.24
72.19,2.19
72.91,2.14
73.64,2.09
74.38,2.05
75.12,2.00
75.87,1.96
76.63,1.91
77.40,1.87
78.17,1.83
78.95,1.78
79.74,1.74
80.54,1.69
81.35,1.65
82.16,1.61
82.98,1.57
83.81,1.53
84.65,1.50
85.50,1.46
86.35,1.42
87.22,1.39
88.09,1.35
88.97,1.31
89.86,1.28
90.76,1.24
91.66,1.20
92.58,1.17
93.51,1.13
94.44,1.09
95.39,1.06
96.34,1.02
97.30,0.98
98.28,0.94
99.26,0.91
100.25,0.87
101.25,0.84
