frequency,raw
20.00,9.77
20.20,9.86
20.40,9.94
20.61,10.02
20.81,10.07
21.02,10.13
21.23,10.19
21.44,10.24
21.66,10.29
21.87,10.33
22.09,10.38
22.31,10.43
22.54,10.46
22.76,10.48
22.99,10.50
23.22,10.52
23.45,10.54
23.69,10.54
23.92,10.54
24.16,10.54
24.40,10.54
24.65,10.53
24.89,10.52
25.14,10.51
25.39,10.50
25.65,10.47
25.91,10.45
26.16,10.42
26.43,10.38
26.69,10.35
26.96,10.32
27.23,10.29
27.50,10.25
27.77,10.21
28.05,10.18
28.33,10.14
28.62,10.10
28.90,10.07
29.19,10.03
29.48,9.98
29.78,9.94
30.08,9.91
30.38,9.85
30.68,9.82
30.99,9.79
31.30,9.74
31.61,9.70
31.93,9.67
32.24,9.63
32.57,9.59
32.89,9.55
33.22,9.51
33.55,9.47
33.89,9.44
34.23,9.40
34.57,9.35
34.92,9.32
35.27,9.28
35.62,9.24
35.97,9.20
36.33,9.16
36.70,9.12
37.06,9.08
37.43,9.03
37.81,8.98
38.19,8.93
38.57,8.88
38.95,8.83
39.34,8.78
39.74,8.72
40.14,8.66
40.54,8.61
40.94,8.56
41.35,8.50
41.76,8.44
42.18,8.38
42.60,8.31
43.03,8.25
43.46,8.18
43.90,8.11
44.33,8.05
44.78,7.98
45.23,7.91
45.68,7.84
46.13,7.78
46.60,7.72
47.06,7.65
47.53,7.59
48.01,7.53
48.49,7.47
48.97,7.42
49.46,7.36
49.96,7.31
50.46,7.26
50.96,7.21
51.47,7.16
51.99,7.12
52.51,7.08
53.03,7.04
53.56,7.01
54.10,6.97
54.64,6.93
55.18,6.90
55.74,6.86
56.29,6.83
56.86,6.80
57.42,6.76
58.00,6.72
58.58,6.68
59.16,6.63
59.76,6.59
60.35,6.54
60.96,6.49
61.57,6.43
62.18,6.38
62.80,6.32
63.43,6.26
64.07,6.20
64.71,6.14
65.35,6.08
66.01,6.01
66.67,5.95
67.33,5.89
68.01,5.82
68.69,5.76
69.37,5.70
70.07,5.64
70.77,5.59
71.48,5.54
72.19,5.49
72.91,5.44
73.64,5.40
74.38,5.36
75.12,5.31
75.87,5.27
76.63,5.23
77.40,5.19
78.17,5.15
78.95,5.10
79.74,5.05
80.54,5.00
81.35,4.94
82.16,4.88
82.98,4.81
83.81,4.75
84.65,4.67
85.50,4.60
86.35,4.52
87.22,4.44
88.09,4.36
88.97,4.28
89.86,4.20
90.76,4.12
91.66,4.04
92.58,3.97
93.51,3.90
94.44,3.84
95.39,3.77
96.34,3.71
97.30,3.65
98.28,3.58
99.26,3.52
100.25,3.45
101.25,3.38
102.27,3.31
103.29,3.23
104.32,3.14
105.37,3.05
106.42,2.96
107.48,2.86
108.56,2.76
109.64,2.66
110.74,2.56
111.85,2.46
112.97,2.37
114.10,2.28
115.24,2.20
116.39,2.12
117.55,2.05
118.73,1.98
119.92,1.91
121.12,1.85
122.33,1.78
123.55,1.72
124.79,1.65
126.03,1.58
127.29,1.51
128.57,1.43
129.85,1.36
131.15,1.29
132.46,1.22
133.79,1.15
135.12,1.10
136.48,1.05
137.84,1.01
139.22,0.98
140.61,0.96
142.02,0.94
143.44,0.93
144.87,0.92
146.32,0.91
147.78,0.91
149.26,0.90
150.75,0.89
152.26,0.88
153.78,0.88
155.32,0.87
156.88,0.88
158.44,0.89
160.03,0.90
161.63,0.92
163.24,0.95
164.88,0.98
166.53,1.01
168.19,1.04
169.87,1.06
171.57,1.08
173.29,1.09
175.02,1.09
176.77,1.09
178.54,1.09
180.32,1.08
182.13,1.07
183.95,1.06
185.79,1.05
187.65,1.04
189.52,1.01
191.42,0.98
193.33,0.94
195.27,0.88
197.22,0.82
199.19,0.75
201.18,0.67
203.19,0.59
205.23,0.51
207.28,0.43
209.35,0.34
211.44,0.26
213.56,0.17
215.69,0.08
217.85,-0.02
220.03,-0.11
222.23,-0.21
224.45,-0.30
226.70,-0.39
228.96,-0.46
231.25,-0.53
233.57,-0.59
235.90,-0.65
238.26,-0.70
240.64,-0.74
243.05,-0.78
245.48,-0.82
247.93,-0.85
250.41,-0.86
252.92,-0.87
255.45,-0.87
258.00,-0.87
260.58,-0.86
263.19,-0.85
265.82,-0.84
268.48,-0.82
271.16,-0.80
273.87,-0.78
276.61,-0.76
279.38,-0.73
282.17,-0.70
284.99,-0.68
287.84,-0.66
290.72,-0.64
293.63,-0.62
296.57,-0.60
299.53,-0.58
302.53,-0.56
305.55,-0.54
308.61,-0.53
311.69,-0.53
314.81,-0.52
317.96,-0.52
321.14,-0.52
324.35,-0.52
327.59,-0.53
330.87,-0.55
334.18,-0.56
337.52,-0.59
340.90,-0.61
344.30,-0.64
347.75,-0.68
351.23,-0.72
354.74,-0.76
358.28,-0.80
361.87,-0.85
365.49,-0.89
369.14,-0.93
372.83,-0.97
376.56,-1.01
380.33,-1.04
384.13,-1.06
387.97,-1.07
391.85,-1.08
395.77,-1.08
399.73,-1.08
403.72,-1.09
407.76,-1.10
411.84,-1.12
415.96,-1.15
420.12,-1.19
424.32,-1.23
428.56,-1.27
432.85,-1.31
437.18,-1.35
441.55,-1.37
445.96,-1.39
450.42,-1.40
454.93,-1.40
459.48,-1.39
464.07,-1.37
468.71,-1.35
473.40,-1.32
478.13,-1.29
482.91,-1.26
487.74,-1.22
492.62,-1.18
497.55,-1.14
502.52,-1.09
507.55,-1.05
512.62,-1.00
517.75,-0.94
522.93,-0.89
528.16,-0.83
533.44,-0.78
538.77,-0.72
544.16,-0.67
549.60,-0.61
555.10,-0.56
560.65,-0.51
566.25,-0.46
571.92,-0.41
577.64,-0.36
583.41,-0.31
589.25,-0.26
595.14,-0.21
601.09,-0.16
607.10,-0.11
613.17,-0.06
619.30,-0.01
625.50,0.03
631.75,0.08
638.07,0.12
644.45,0.16
650.89,0.20
657.40,0.25
663.98,0.29
670.62,0.33
677.32,0.37
684.10,0.41
690.94,0.45
697.85,0.48
704.83,0.51
711.87,0.54
718.99,0.56
726.18,0.58
733.44,0.59
740.78,0.60
748.19,0.61
755.67,0.62
763.23,0.62
770.86,0.62
778.57,0.61
786.35,0.60
794.22,0.59
802.16,0.58
810.18,0.56
818.28,0.54
826.46,0.52
834.73,0.49
843.08,0.47
851.51,0.44
860.02,0.41
868.62,0.38
877.31,0.35
886.08,0.32
894.94,0.28
903.89,0.25
912.93,0.22
922.06,0.19
931.28,0.16
940.59,0.13
950.00,0.10
959.50,0.08
969.09,0.05
978.78,0.03
988.57,0.02
998.46,0.00
1008.44,-0.01
1018.53,-0.02
1028.71,-0.02
1039.00,-0.02
1049.39,-0.01
1059.88,-0.00
1070.48,0.01
1081.19,0.03
1092.00,0.05
1102.92,0.08
1113.95,0.12
1125.09,0.15
1136.34,0.20
1147.70,0.24
1159.18,0.29
1170.77,0.35
1182.48,0.41
1194.30,0.47
1206.25,0.54
1218.31,0.61
1230.49,0.68
1242.80,0.76
1255.22,0.84
1267.78,0.93
1280.45,1.02
1293.26,1.11
1306.19,1.21
1319.25,1.31
1332.45,1.41
1345.77,1.52
1359.23,1.63
1372.82,1.74
1386.55,1.85
1400.41,1.97
1414.42,2.08
1428.56,2.20
1442.85,2.32
1457.28,2.44
1471.85,2.57
1486.57,2.69
1501.43,2.82
1516.45,2.94
1531.61,3.07
1546.93,3.20
1562.40,3.34
1578.02,3.48
1593.80,3.62
1609.74,3.77
1625.84,3.92
1642.10,4.07
1658.52,4.24
1675.10,4.41
1691.85,4.59
1708.77,4.77
1725.86,4.96
1743.12,5.16
1760.55,5.37
1778.15,5.58
1795.94,5.81
1813.90,6.04
1832.03,6.28
1850.36,6.52
1868.86,6.77
1887.55,7.03
1906.42,7.29
1925.49,7.55
1944.74,7.82
1964.19,8.09
1983.83,8.36
2003.67,8.63
2023.71,8.91
2043.94,9.18
2064.38,9.44
2085.03,9.70
2105.88,9.96
2126.94,10.21
2148.20,10.45
2169.69,10.69
2191.38,10.91
2213.30,11.12
2235.43,11.32
2257.78,11.50
2280.36,11.67
2303.17,11.83
2326.20,11.97
2349.46,12.09
2372.95,12.20
2396.68,12.30
2420.65,12.38
2444.86,12.45
2469.31,12.51
2494.00,12.57
2518.94,12.61
2544.13,12.64
2569.57,12.67
2595.27,12.70
2621.22,12.72
2647.43,12.73
2673.90,12.74
2700.64,12.75
2727.65,12.75
