frequency,raw
20.00,11.42
20.20,11.51
20.40,11.60
20.61,11.68
20.81,11.76
21.02,11.84
21.23,11.92
21.44,11.99
21.66,12.06
21.87,12.13
22.09,12.20
22.31,12.26
22.54,12.32
22.76,12.38
22.99,12.43
23.22,12.48
23.45,12.53
23.69,12.58
23.92,12.62
24.16,12.66
24.40,12.70
24.65,12.73
24.89,12.77
25.14,12.80
25.39,12.82
25.65,12.85
25.91,12.87
26.16,12.89
26.43,12.90
26.69,12.91
26.96,12.92
27.23,12.93
27.50,12.93
27.77,12.93
28.05,12.93
28.33,12.92
28.62,12.92
28.90,12.91
29.19,12.91
29.48,12.90
29.78,12.88
30.08,12.87
30.38,12.85
30.68,12.83
30.99,12.81
31.30,12.79
31.61,12.76
31.93,12.74
32.24,12.72
32.57,12.69
32.89,12.66
33.22,12.63
33.55,12.60
33.89,12.57
34.23,12.53
34.57,12.50
34.92,12.47
35.27,12.43
35.62,12.40
35.97,12.36
36.33,12.32
36.70,12.28
37.06,12.25
37.43,12.21
37.81,12.17
38.19,12.12
38.57,12.08
38.95,12.04
39.34,12.00
39.74,11.96
40.14,11.91
40.54,11.87
40.94,11.83
41.35,11.78
41.76,11.74
42.18,11.69
42.60,11.65
43.03,11.61
43.46,11.56
43.90,11.52
44.33,11.48
44.78,11.43
45.23,11.39
45.68,11.34
46.13,11.30
46.60,11.26
47.06,11.21
47.53,11.17
48.01,11.12
48.49,11.08
48.97,11.04
49.46,10.99
49.96,10.95
50.46,10.90
50.96,10.86
51.47,10.81
51.99,10.77
52.51,10.72
53.03,10.68
53.56,10.64
54.10,10.59
54.64,10.55
55.18,10.50
55.74,10.46
56.29,10.41
56.86,10.37
57.42,10.32
58.00,10.27
58.58,10.23
59.16,10.18
59.76,10.14
60.35,10.09
60.96,10.05
61.57,10.00
62.18,9.96
62.80,9.91
63.43,9.86
64.07,9.81
64.71,9.77
65.35,9.72
66.01,9.67
66.67,9.62
67.33,9.57
68.01,9.52
68.69,9.46
69.37,9.41
70.07,9.36
70.77,9.30
71.48,9.25
72.19,9.20
72.91,9.14
73.64,9.08
74.38,9.02
75.12,8.96
75.87,8.90
76.63,8.84
77.40,8.78
78.17,8.72
78.95,8.66
79.74,8.59
80.54,8.53
81.35,8.46
82.16,8.39
82.98,8.32
83.81,8.25
84.65,8.18
85.50,8.11
86.35,8.04
87.22,7.97
88.09,7.89
88.97,7.82
89.86,7.74
90.76,7.66
91.66,7.58
92.58,7.50
93.51,7.42
94.44,7.33
95.39,7.25
96.34,7.16
97.30,7.07
98.28,6.98
99.26,6.89
100.25,6.80
101.25,6.70
102.27,6.61
103.29,6.51
104.32,6.41
105.37,6.31
106.42,6.21
107.48,6.11
108.56,6.01
109.64,5.90
110.74,5.80
111.85,5.69
112.97,5.59
114.10,5.48
115.24,5.37
116.39,5.27
117.55,5.16
118.73,5.05
119.92,4.95
121.12,4.84
122.33,4.74
123.55,4.64
124.79,4.55
126.03,4.45
127.29,4.36
128.57,4.27
129.85,4.19
131.15,4.11
132.46,4.03
133.79,3.96
135.12,3.89
136.48,3.82
137.84,3.76
139.22,3.70
140.61,3.65
142.02,3.61
143.44,3.57
144.87,3.53
146.32,3.51
147.78,3.48
149.26,3.46
150.75,3.45
152.26,3.44
153.78,3.43
155.32,3.43
156.88,3.43
158.44,3.43
160.03,3.44
161.63,3.44
163.24,3.45
164.88,3.46
166.53,3.47
168.19,3.48
169.87,3.49
171.57,3.50
173.29,3.51
175.02,3.51
176.77,3.51
178.54,3.51
180.32,3.50
182.13,3.49
183.95,3.47
185.79,3.45
187.65,3.42
189.52,3.38
191.42,3.34
193.33,3.29
195.27,3.24
197.22,3.18
199.19,3.11
201.18,3.04
203.19,2.96
205.23,2.87
207.28,2.79
209.35,2.70
211.44,2.60
213.56,2.51
215.69,2.42
217.85,2.32
220.03,2.23
222.23,2.14
224.45,2.06
226.70,1.98
228.96,1.91
231.25,1.84
233.57,1.78
235.90,1.73
238.26,1.68
240.64,1.64
243.05,1.61
245.48,1.59
247.93,1.58
250.41,1.58
252.92,1.58
255.45,1.59
258.00,1.60
260.58,1.63
263.19,1.65
265.82,1.68
268.48,1.72
271.16,1.76
273.87,1.80
276.61,1.84
279.38,1.89
282.17,1.94
284.99,1.99
287.84,2.03
290.72,2.08
293.63,2.13
296.57,2.17
299.53,2.22
302.53,2.26
305.55,2.30
308.61,2.34
311.69,2.38
314.81,2.42
317.96,2.45
321.14,2.48
324.35,2.50
327.59,2.52
330.87,2.53
334.18,2.55
337.52,2.55
340.90,2.55
344.30,2.55
347.75,2.55
351.23,2.54
354.74,2.53
358.28,2.52
361.87,2.50
365.49,2.48
