frequency,raw
20.00,8.92
20.20,8.94
20.40,8.96
20.61,9.01
20.81,9.08
21.02,9.15
21.23,9.22
21.44,9.30
21.66,9.36
21.87,9.42
22.09,9.48
22.31,9.54
22.54,9.60
22.76,9.65
22.99,9.69
23.22,9.74
23.45,9.78
23.69,9.81
23.92,9.85
24.16,9.88
24.40,9.91
24.65,9.95
24.89,9.99
25.14,10.03
25.39,10.07
25.65,10.12
25.91,10.16
26.16,10.20
26.43,10.27
26.69,10.32
26.96,10.37
27.23,10.42
27.50,10.48
27.77,10.52
28.05,10.55
28.33,10.59
28.62,10.63
28.90,10.65
29.19,10.68
29.48,10.71
29.78,10.73
30.08,10.76
30.38,10.81
30.68,10.85
30.99,10.88
31.30,10.94
31.61,10.98
31.93,11.01
32.24,11.04
32.57,11.06
32.89,11.08
33.22,11.09
33.55,11.10
33.89,11.12
34.23,11.14
34.57,11.17
34.92,11.19
35.27,11.21
35.62,11.22
35.97,11.22
36.33,11.22
36.70,11.22
37.06,11.22
37.43,11.21
37.81,11.19
38.19,11.17
38.57,11.15
38.95,11.13
39.34,11.13
39.74,11.13
40.14,11.17
40.54,11.20
40.94,11.22
41.35,11.24
41.76,11.24
42.18,11.22
42.60,11.18
43.03,11.15
43.46,11.12
43.90,11.09
44.33,11.07
44.78,11.05
45.23,11.04
45.68,11.02
46.13,10.99
46.60,10.96
47.06,10.93
47.53,10.88
48.01,10.84
48.49,10.79
48.97,10.74
49.46,10.68
49.96,10.63
50.46,10.58
50.96,10.52
51.47,10.46
51.99,10.40
52.51,10.34
53.03,10.29
53.56,10.22
54.10,10.15
54.64,10.07
55.18,9.99
55.74,9.89
56.29,9.79
56.86,9.70
57.42,9.61
58.00,9.51
58.58,9.41
59.16,9.33
59.76,9.25
60.35,9.16
60.96,9.06
61.57,8.97
62.18,8.87
62.80,8.75
63.43,8.64
64.07,8.52
64.71,8.41
65.35,8.30
66.01,8.18
66.67,8.06
67.33,7.94
68.01,7.81
68.69,7.68
69.37,7.55
70.07,7.41
70.77,7.27
71.48,7.13
72.19,6.98
72.91,6.83
73.64,6.68
74.38,6.52
75.12,6.36
75.87,6.20
76.63,6.04
77.40,5.87
78.17,5.71
78.95,5.54
79.74,5.37
80.54,5.19
81.35,5.01
82.16,4.83
82.98,4.65
83.81,4.46
84.65,4.27
85.50,4.08
86.35,3.88
87.22,3.68
88.09,3.48
88.97,3.27
89.86,3.06
90.76,2.84
91.66,2.62
92.58,2.39
93.51,2.15
94.44,1.91
95.39,1.68
96.34,1.45
97.30,1.24
98.28,1.06
99.26,0.92
100.25,0.83
101.25,0.82
102.27,0.86
103.29,0.96
104.32,1.10
105.37,1.26
106.42,1.42
107.48,1.57
108.56,1.67
109.64,1.73
110.74,1.76
111.85,1.73
112.97,1.66
114.10,1.57
115.24,1.44
116.39,1.30
117.55,1.15
118.73,0.98
119.92,0.81
121.12,0.64
122.33,0.47
123.55,0.29
124.79,0.12
126.03,-0.06
127.29,-0.23
128.57,-0.39
129.85,-0.56
131.15,-0.72
132.46,-0.88
133.79,-1.03
135.12,-1.18
136.48,-1.33
137.84,-1.47
139.22,-1.61
140.61,-1.74
142.02,-1.87
143.44,-1.99
144.87,-2.11
146.32,-2.22
147.78,-2.32
149.26,-2.41
150.75,-2.49
152.26,-2.57
153.78,-2.63
155.32,-2.68
156.88,-2.73
158.44,-2.76
160.03,-2.80
