frequency,raw
20.00,8.64
20.20,8.87
20.40,9.10
20.61,9.30
20.81,9.47
21.02,9.64
21.23,9.81
21.44,9.99
21.66,10.10
21.87,10.19
22.09,10.29
22.31,10.39
22.54,10.47
22.76,10.52
22.99,10.57
23.22,10.62
23.45,10.67
23.69,10.71
23.92,10.74
24.16,10.78
24.40,10.81
24.65,10.84
24.89,10.87
25.14,10.90
25.39,10.93
25.65,10.96
25.91,10.98
26.16,11.00
26.43,11.02
26.69,11.03
26.96,11.04
27.23,11.05
27.50,11.05
27.77,11.04
28.05,11.04
28.33,11.02
28.62,11.01
28.90,11.00
29.19,10.98
29.48,10.95
29.78,10.93
30.08,10.91
30.38,10.88
30.68,10.86
30.99,10.84
31.30,10.81
31.61,10.79
31.93,10.76
32.24,10.74
32.57,10.72
32.89,10.70
33.22,10.68
33.55,10.66
33.89,10.65
34.23,10.63
34.57,10.61
34.92,10.60
35.27,10.58
35.62,10.57
35.97,10.56
36.33,10.55
36.70,10.54
37.06,10.53
37.43,10.53
37.81,10.52
38.19,10.51
38.57,10.51
38.95,10.50
39.34,10.49
39.74,10.49
40.14,10.48
40.54,10.48
40.94,10.47
41.35,10.47
41.76,10.46
42.18,10.45
42.60,10.44
43.03,10.43
43.46,10.41
43.90,10.40
44.33,10.39
44.78,10.37
45.23,10.36
45.68,10.34
46.13,10.33
46.60,10.31
47.06,10.29
47.53,10.27
48.01,10.25
48.49,10.23
48.97,10.20
49.46,10.18
49.96,10.16
50.46,10.13
50.96,10.11
51.47,10.08
51.99,10.05
52.51,10.03
53.03,10.00
53.56,9.97
54.10,9.95
54.64,9.92
55.18,9.89
55.74,9.86
56.29,9.83
56.86,9.80
57.42,9.77
58.00,9.74
58.58,9.70
59.16,9.67
59.76,9.63
60.35,9.59
60.96,9.55
61.57,9.51
62.18,9.47
62.80,9.42
63.43,9.38
64.07,9.33
64.71,9.28
65.35,9.22
66.01,9.17
66.67,9.11
67.33,9.05
68.01,8.99
68.69,8.93
69.37,8.86
70.07,8.80
70.77,8.73
71.48,8.67
72.19,8.60
72.91,8.53
73.64,8.46
74.38,8.39
75.12,8.32
75.87,8.25
76.63,8.18
77.40,8.11
78.17,8.04
78.95,7.97
79.74,7.89
80.54,7.82
81.35,7.75
82.16,7.67
82.98,7.59
83.81,7.52
84.65,7.44
85.50,7.35
86.35,7.27
87.22,7.18
88.09,7.10
88.97,7.01
89.86,6.92
90.76,6.82
91.66,6.73
92.58,6.64
93.51,6.55
94.44,6.46
95.39,6.36
96.34,6.27
97.30,6.19
98.28,6.10
99.26,6.01
100.25,5.93
101.25,5.85
102.27,5.77
103.29,5.69
104.32,5.60
105.37,5.52
106.42,5.44
107.48,5.36
108.56,5.28
109.64,5.20
110.74,5.11
111.85,5.03
112.97,4.95
114.10,4.86
115.24,4.78
116.39,4.70
117.55,4.63
118.73,4.55
119.92,4.48
121.12,4.42
122.33,4.35
123.55,4.29
124.79,4.23
126.03,4.18
127.29,4.12
128.57,4.07
129.85,4.01
131.15,3.96
132.46,3.90
133.79,3.84
135.12,3.79
136.48,3.73
137.84,3.68
139.22,3.62
140.61,3.57
142.02,3.52
143.44,3.47
144.87,3.43
146.32,3.39
147.78,3.35
149.26,3.31
150.75,3.27
152.26,3.23
153.78,3.18
155.32,3.14
156.88,3.09
158.44,3.04
160.03,2.99
161.63,2.94
163.24,2.89
164.88,2.84
166.53,2.79
168.19,2.74
169.87,2.70
171.57,2.65
173.29,2.61
175.02,2.56
176.77,2.51
178.54,2.46
180.32,2.41
182.13,2.36
183.95,2.31
185.79,2.26
187.65,2.21
189.52,2.16
191.42,2.12
193.33,2.07
195.27,2.03
197.22,1.99
199.19,1.94
201.18,1.89
203.19,1.84
205.23,1.79
207.28,1.74
209.35,1.69
211.44,1.64
213.56,1.59
215.69,1.55
217.85,1.50
220.03,1.46
222.23,1.41
224.45,1.36
226.70,1.31
228.96,1.26
231.25,1.21
233.57,1.17
235.90,1.12
238.26,1.07
240.64,1.03
243.05,0.98
245.48,0.94
247.93,0.89
250.41,0.84
252.92,0.79
255.45,0.74
258.00,0.70
260.58,0.65
263.19,0.60
265.82,0.56
268.48,0.51
271.16,0.46
273.87,0.41
276.61,0.36
279.38,0.31
282.17,0.26
284.99,0.22
287.84,0.18
290.72,0.13
293.63,0.09
296.57,0.04
299.53,0.00
302.53,-0.04
305.55,-0.08
308.61,-0.12
311.69,-0.16
314.81,-0.20
317.96,-0.24
321.14,-0.27
324.35,-0.31
327.59,-0.35
330.87,-0.38
334.18,-0.42
337.52,-0.45
340.90,-0.49
344.30,-0.52
347.75,-0.56
351.23,-0.59
354.74,-0.63
358.28,-0.66
361.87,-0.70
365.49,-0.73
369.14,-0.76
372.83,-0.79
376.56,-0.82
380.33,-0.85
384.13,-0.88
387.97,-0.91
391.85,-0.93
395.77,-0.96
399.73,-0.99
403.72,-1.03
407.76,-1.06
411.84,-1.10
415.96,-1.14
420.12,-1.18
424.32,-1.22
428.56,-1.27
432.85,-1.31
437.18,-1.35
441.55,-1.38
445.96,-1.42
450.42,-1.45
454.93,-1.48
459.48,-1.50
464.07,-1.53
468.71,-1.55
473.40,-1.56
478.13,-1.57
482.91,-1.58
487.74,-1.59
492.62,-1.60
497.55,-1.60
502.52,-1.61
507.55,-1.61
512.62,-1.61
517.75,-1.61
522.93,-1.61
528.16,-1.62
533.44,-1.62
538.77,-1.62
544.16,-1.61
549.60,-1.61
555.10,-1.60
560.65,-1.59
566.25,-1.57
571.92,-1.55
