frequency,raw
20.00,3.02
20.20,3.07
20.40,3.12
20.61,3.17
20.81,3.23
21.02,3.28
21.23,3.33
21.44,3.38
21.66,3.44
21.87,3.49
22.09,3.55
22.31,3.60
22.54,3.65
22.76,3.70
22.99,3.75
23.22,3.80
23.45,3.85
23.69,3.90
23.92,3.95
24.16,4.00
24.40,4.05
24.65,4.10
24.89,4.15
25.14,4.20
25.39,4.25
25.65,4.30
25.91,4.34
26.16,4.38
26.43,4.42
26.69,4.46
26.96,4.51
27.23,4.55
27.50,4.59
27.77,4.64
28.05,4.68
28.33,4.72
28.62,4.77
28.90,4.81
29.19,4.85
29.48,4.90
29.78,4.94
30.08,4.98
30.38,5.01
30.68,5.05
30.99,5.08
31.30,5.11
31.61,5.14
31.93,5.18
32.24,5.22
32.57,5.25
32.89,5.28
33.22,5.31
33.55,5.34
33.89,5.37
34.23,5.41
34.57,5.44
34.92,5.48
35.27,5.51
35.62,5.53
35.97,5.56
36.33,5.58
36.70,5.61
37.06,5.64
37.43,5.67
37.81,5.70
38.19,5.72
38.57,5.75
38.95,5.78
39.34,5.80
39.74,5.82
40.14,5.84
40.54,5.86
40.94,5.88
41.35,5.90
41.76,5.92
42.18,5.94
42.60,5.95
43.03,5.96
43.46,5.98
43.90,6.00
44.33,6.02
44.78,6.03
45.23,6.05
45.68,6.06
46.13,6.07
46.60,6.08
47.06,6.09
47.53,6.10
48.01,6.10
48.49,6.12
48.97,6.13
49.46,6.13
49.96,6.13
50.46,6.13
50.96,6.14
51.47,6.15
51.99,6.16
52.51,6.16
53.03,6.16
53.56,6.16
54.10,6.16
54.64,6.16
55.18,6.16
55.74,6.16
56.29,6.16
56.86,6.15
57.42,6.14
58.00,6.14
58.58,6.13
59.16,6.12
59.76,6.11
60.35,6.10
60.96,6.08
61.57,6.07
62.18,6.05
62.80,6.04
63.43,6.03
64.07,6.01
64.71,6.00
65.35,5.98
66.01,5.96
66.67,5.93
67.33,5.91
68.01,5.89
68.69,5.86
69.37,5.84
70.07,5.81
70.77,5.79
71.48,5.76
72.19,5.72
72.91,5.69
73.64,5.66
74.38,5.63
75.12,5.59
75.87,5.56
76.63,5.52
77.40,5.48
78.17,5.44
78.95,5.40
79.74,5.36
80.54,5.32
81.35,5.27
82.16,5.22
82.98,5.18
83.81,5.13
84.65,5.08
85.50,5.03
86.35,4.97
87.22,4.92
88.09,4.86
88.97,4.80
89.86,4.74
90.76,4.68
91.66,4.62
92.58,4.56
93.51,4.49
94.44,4.43
95.39,4.36
96.34,4.29
97.30,4.22
98.28,4.14
99.26,4.06
100.25,3.98
101.25,3.90
102.27,3.81
103.29,3.73
104.32,3.65
105.37,3.57
106.42,3.48
107.48,3.38
108.56,3.29
109.64,3.19
110.74,3.10
111.85,3.00
112.97,2.90
114.10,2.79
115.24,2.69
116.39,2.59
117.55,2.48
118.73,2.36
119.92,2.25
121.12,2.13
122.33,2.01
123.55,1.89
124.79,1.76
126.03,1.63
127.29,1.50
128.57,1.36
129.85,1.22
131.15,1.08
132.46,0.93
133.79,0.79
135.12,0.64
136.48,0.49
137.84,0.33
139.22,0.17
140.61,0.01
142.02,-0.15
143.44,-0.32
144.87,-0.49
146.32,-0.66
147.78,-0.84
149.26,-1.02
150.75,-1.21
152.26,-1.40
153.78,-1.59
155.32,-1.78
156.88,-1.97
158.44,-2.15
160.03,-2.33
161.63,-2.51
163.24,-2.68
164.88,-2.85
166.53,-3.01
168.19,-3.16
169.87,-3.32
171.57,-3.46
173.29,-3.60
175.02,-3.73
176.77,-3.86
178.54,-3.97
180.32,-4.08
182.13,-4.18
183.95,-4.26
185.79,-4.32
187.65,-4.36
189.52,-4.38
191.42,-4.39
193.33,-4.39
195.27,-4.39
197.22,-4.38
199.19,-4.36
201.18,-4.34
203.19,-4.35
205.23,-4.36
207.28,-4.38
209.35,-4.39
211.44,-4.41
213.56,-4.43
215.69,-4.46
217.85,-4.49
220.03,-4.53
222.23,-4.57
224.45,-4.60
226.70,-4.63
228.96,-4.67
231.25,-4.70
233.57,-4.74
235.90,-4.78
238.26,-4.82
240.64,-4.85
243.05,-4.89
245.48,-4.93
247.93,-4.96
250.41,-5.00
252.92,-5.03
255.45,-5.06
258.00,-5.08
260.58,-5.11
263.19,-5.14
265.82,-5.17
268.48,-5.19
271.16,-5.20
273.87,-5.21
276.61,-5.23
279.38,-5.25
282.17,-5.26
284.99,-5.26
287.84,-5.26
290.72,-5.27
293.63,-5.28
296.57,-5.28
299.53,-5.28
302.53,-5.28
305.55,-5.28
308.61,-5.28
311.69,-5.29
314.81,-5.29
317.96,-5.30
321.14,-5.31
324.35,-5.32
327.59,-5.33
330.87,-5.34
334.18,-5.36
337.52,-5.37
340.90,-5.38
344.30,-5.40
347.75,-5.41
351.23,-5.43
354.74,-5.45
358.28,-5.46
361.87,-5.48
365.49,-5.50
369.14,-5.51
372.83,-5.52
376.56,-5.54
380.33,-5.55
384.13,-5.58
387.97,-5.61
391.85,-5.64
395.77,-5.68
399.73,-5.72
403.72,-5.76
407.76,-5.80
411.84,-5.84
415.96,-5.87
420.12,-5.89
424.32,-5.91
428.56,-5.92
432.85,-5.92
437.18,-5.91
441.55,-5.89
445.96,-5.86
450.42,-5.81
454.93,-5.75
459.48,-5.69
464.07,-5.62
468.71,-5.55
473.40,-5.46
478.13,-5.38
482.91,-5.30
487.74,-5.22
492.62,-5.13
497.55,-5.03
502.52,-4.94
507.55,-4.84
512.62,-4.75
517.75,-4.66
522.93,-4.58
528.16,-4.51
533.44,-4.44
538.77,-4.37
544.16,-4.31
549.60,-4.25
555.10,-4.18
560.65,-4.12
566.25,-4.05
571.92,-3.99
577.64,-3.92
583.41,-3.85
589.25,-3.78
595.14,-3.71
601.09,-3.65
607.10,-3.59
613.17,-3.52
619.30,-3.44
625.50,-3.36
631.75,-3.28
638.07,-3.19
644.45,-3.10
650.89,-3.01
657.40,-2.92
663.98,-2.83
670.62,-2.74
677.32,-2.65
684.10,-2.56
690.94,-2.46
697.85,-2.38
