frequency,raw
20.00,-1.33
20.20,-1.28
20.40,-1.21
20.61,-1.16
20.81,-1.10
21.02,-1.05
21.23,-1.02
21.44,-0.98
21.66,-0.94
21.87,-0.89
22.09,-0.84
22.31,-0.78
22.54,-0.72
22.76,-0.66
22.99,-0.60
23.22,-0.54
23.45,-0.48
23.69,-0.41
23.92,-0.36
24.16,-0.32
24.40,-0.29
24.65,-0.25
24.89,-0.21
25.14,-0.17
25.39,-0.12
25.65,-0.07
25.91,-0.03
26.16,0.02
26.43,0.06
26.69,0.10
26.96,0.14
27.23,0.16
27.50,0.20
27.77,0.26
28.05,0.31
28.33,0.34
28.62,0.37
28.90,0.44
29.19,0.50
29.48,0.51
29.78,0.48
30.08,0.48
30.38,0.51
30.68,0.55
30.99,0.57
31.30,0.59
31.61,0.61
31.93,0.63
32.24,0.67
32.57,0.72
32.89,0.77
33.22,0.82
33.55,0.84
33.89,0.86
34.23,0.90
34.57,0.93
34.92,0.94
35.27,0.94
35.62,0.94
35.97,0.96
36.33,1.00
36.70,1.02
37.06,1.03
37.43,1.02
37.81,1.01
38.19,1.04
38.57,1.06
38.95,1.06
39.34,1.06
39.74,1.06
40.14,1.06
40.54,1.10
40.94,1.19
41.35,1.22
41.76,1.22
42.18,1.21
42.60,1.22
43.03,1.22
43.46,1.21
43.90,1.19
44.33,1.18
44.78,1.19
45.23,1.18
45.68,1.15
46.13,1.14
46.60,1.12
47.06,1.10
47.53,1.08
48.01,1.06
48.49,1.03
48.97,1.01
49.46,0.97
49.96,0.95
50.46,0.94
50.96,0.92
51.47,0.91
51.99,0.90
52.51,0.89
53.03,0.90
53.56,0.90
54.10,0.90
54.64,0.92
55.18,0.94
55.74,0.97
56.29,1.00
56.86,1.05
57.42,1.10
58.00,1.14
58.58,1.19
59.16,1.20
59.76,1.24
60.35,1.26
60.96,1.29
61.57,1.32
62.18,1.35
62.80,1.39
63.43,1.42
64.07,1.47
64.71,1.51
65.35,1.53
66.01,1.57
66.67,1.60
67.33,1.63
68.01,1.66
68.69,1.68
69.37,1.70
70.07,1.73
70.77,1.75
71.48,1.79
72.19,1.80
72.91,1.83
73.64,1.82
74.38,1.83
75.12,1.86
75.87,1.87
76.63,1.88
77.40,1.90
78.17,1.91
78.95,1.92
79.74,1.94
80.54,1.95
81.35,1.95
82.16,1.96
82.98,1.96
83.81,1.97
84.65,1.98
85.50,1.98
86.35,1.99
87.22,1.99
88.09,1.99
88.97,2.00
89.86,2.01
90.76,2.02
91.66,2.02
92.58,2.03
93.51,2.04
94.44,2.05
95.39,2.06
96.34,2.07
97.30,2.08
98.28,2.09
99.26,2.10
100.25,2.11
101.25,2.13
102.27,2.13
103.29,2.14
104.32,2.14
105.37,2.15
106.42,2.16
107.48,2.16
108.56,2.17
109.64,2.18
110.74,2.18
111.85,2.19
112.97,2.20
114.10,2.21
115.24,2.21
116.39,2.23
117.55,2.23
118.73,2.24
119.92,2.22
121.12,2.26
122.33,2.27
123.55,2.27
124.79,2.26
126.03,2.27
127.29,2.27
128.57,2.26
129.85,2.26
131.15,2.25
132.46,2.25
133.79,2.24
135.12,2.22
136.48,2.20
137.84,2.17
139.22,2.13
140.61,2.10
142.02,2.07
143.44,2.05
144.87,2.01
146.32,1.99
147.78,1.96
149.26,1.94
150.75,1.90
152.26,1.87
153.78,1.84
155.32,1.81
156.88,1.77
158.44,1.74
160.03,1.71
161.63,1.68
163.24,1.65
164.88,1.62
166.53,1.59
168.19,1.56
169.87,1.53
171.57,1.51
173.29,1.48
175.02,1.45
176.77,1.42
178.54,1.39
180.32,1.36
182.13,1.33
183.95,1.30
185.79,1.26
187.65,1.23
189.52,1.19
191.42,1.16
193.33,1.12
195.27,1.09
197.22,1.05
199.19,1.01
201.18,0.97
203.19,0.93
205.23,0.89
207.28,0.85
209.35,0.80
211.44,0.75
213.56,0.71
215.69,0.68
217.85,0.64
220.03,0.62
222.23,0.60
224.45,0.60
226.70,0.61
228.96,0.63
231.25,0.67
233.57,0.71
235.90,0.75
238.26,0.79
240.64,0.83
243.05,0.86
245.48,0.89
247.93,0.90
250.41,0.91
252.92,0.92
255.45,0.91
258.00,0.91
260.58,0.91
263.19,0.91
265.82,0.91
268.48,0.93
271.16,0.96
273.87,1.00
276.61,1.06
279.38,1.11
282.17,1.16
284.99,1.21
287.84,1.25
290.72,1.28
293.63,1.30
296.57,1.32
299.53,1.33
302.53,1.33
305.55,1.33
308.61,1.33
311.69,1.32
314.81,1.30
317.96,1.29
321.14,1.27
324.35,1.26
327.59,1.24
330.87,1.22
334.18,1.21
337.52,1.19
340.90,1.16
344.30,1.14
347.75,1.12
351.23,1.09
354.74,1.07
358.28,1.05
361.87,1.02
365.49,0.99
369.14,0.96
372.83,0.92
376.56,0.89
380.33,0.85
384.13,0.82
387.97,0.79
391.85,0.76
395.77,0.73
399.73,0.71
403.72,0.69
407.76,0.66
411.84,0.63
415.96,0.60
420.12,0.56
424.32,0.52
428.56,0.47
432.85,0.42
437.18,0.38
441.55,0.35
445.96,0.33
450.42,0.33
454.93,0.33
459.48,0.33
464.07,0.34
468.71,0.35
473.40,0.35
478.13,0.36
482.91,0.37
487.74,0.38
492.62,0.40
497.55,0.42
502.52,0.44
507.55,0.46
512.62,0.49
517.75,0.52
522.93,0.55
528.16,0.57
533.44,0.60
538.77,0.63
544.16,0.66
549.60,0.69
555.10,0.72
560.65,0.75
566.25,0.78
571.92,0.82
577.64,0.86
583.41,0.89
589.25,0.92
595.14,0.96
601.09,0.99
607.10,1.02
613.17,1.06
619.30,1.09
625.50,1.12
631.75,1.15
638.07,1.18
644.45,1.21
650.89,1.23
657.40,1.24
663.98,1.25
670.62,1.26
677.32,1.27
684.10,1.29
690.94,1.29
697.85,1.30
704.83,1.31
711.87,1.30
718.99,1.29
726.18,1.26
733.44,1.24
740.78,1.22
748.19,1.19
755.67,1.16
763.23,1.13
770.86,1.08
778.57,1.04
786.35,0.98
794.22,0.92
802.16,0.86
810.18,0.80
818.28,0.75
826.46,0.70
834.73,0.65
843.08,0.60
851.51,0.55
860.02,0.51
868.62,0.47
877.31,0.41
886.08,0.36
894.94,0.31
903.89,0.26
912.93,0.20
922.06,0.16
931.28,0.12
940.59,0.08
950.00,0.05
959.50,0.01
969.09,-0.01
978.78,-0.02
988.57,-0.01
998.46,-0.00
1008.44,0.01
1018.53,0.02
1028.71,0.04
1039.00,0.06
1049.39,0.11
1059.88,0.15
1070.48,0.19
1081.19,0.25
1092.00,0.31
1102.92,0.39
1113.95,0.46
1125.09,0.54
1136.34,0.62
1147.70,0.71
1159.18,0.81
1170.77,0.91
1182.48,1.02
1194.30,1.13
1206.25,1.25
1218.31,1.36
1230.49,1.47
1242.80,1.54
1255.22,1.59
1267.78,1.60
1280.45,1.58
1293.26,1.55
1306.19,1.53
1319.25,1.54
1332.45,1.56
1345.77,1.61
1359.23,1.68
1372.82,1.75
1386.55,1.84
1400.41,1.92
1414.42,2.02
1428.56,2.12
1442.85,2.23
1457.28,2.33
1471.85,2.43
1486.57,2.52
1501.43,2.60
1516.45,2.68
1531.61,2.74
1546.93,2.79
1562.40,2.83
1578.02,2.87
1593.80,2.90
1609.74,2.92
1625.84,2.96
1642.10,2.98
1658.52,3.03
1675.10,3.06
1691.85,3.09
1708.77,3.10
1725.86,3.11
1743.12,3.09
1760.55,3.08
1778.15,3.06
1795.94,3.05
1813.90,3.04
1832.03,3.04
1850.36,3.06
1868.86,3.07
1887.55,3.09
1906.42,3.10
1925.49,3.10
1944.74,3.10
1964.19,3.10
1983.83,3.10
2003.67,3.11
2023.71,3.14
2043.94,3.18
2064.38,3.23
2085.03,3.30
2105.88,3.37
2126.94,3.44
2148.20,3.50
2169.69,3.57
2191.38,3.63
2213.30,3.69
2235.43,3.76
2257.78,3.82
2280.36,3.90
2303.17,3.98
2326.20,4.05
2349.46,4.11
2372.95,4.17
2396.68,4.24
2420.65,4.29
2444.86,4.36
2469.31,4.40
2494.00,4.46
2518.94,4.53
2544.13,4.59
2569.57,4.67
2595.27,4.72
2621.22,4.79
2647.43,4.84
2673.90,4.91
2700.64,5.00
2727.65,5.07
2754.93,5.15
2782.48,5.22
2810.30,5.30
2838.40,5.37
2866.79,5.47
2895.46,5.58
2924.41,5.69
2953.65,5.84
2983.19,6.02
3013.02,6.25
3043.15,6.51
3073.58,6.82
3104.32,7.16
3135.36,7.48
3166.72,7.77
3198.38,8.07
3230.37,8.30
3262.67,8.47
3295.30,8.55
3328.25,8.61
3361.53,8.57
3395.15,8.46
3429.10,8.32
3463.39,8.10
3498.03,7.84
3533.01,7.54
3568.34,7.19
3604.02,6.84
3640.06,6.46
3676.46,6.05
3713.22,5.62
3750.36,5.17
3787.86,4.73
3825.74,4.31
3864.00,3.93
3902.64,3.55
3941.66,3.18
3981.08,2.78
4020.89,2.36
4061.10,1.92
4101.71,1.46
4142.73,1.00
4184.15,0.54
4226.00,0.07
4268.26,-0.49
4310.94,-1.12
4354.05,-1.75
4397.59,-2.38
4441.56,-2.78
4485.98,-2.85
4530.84,-2.55
4576.15,-2.00
4621.91,-1.32
4668.13,-0.66
4714.81,-0.12
4761.96,0.22
4809.58,0.47
4857.67,0.65
4906.25,0.79
4955.31,0.96
5004.87,1.18
5054.91,1.45
5105.46,1.78
5156.52,2.16
5208.08,2.56
5260.16,3.00
5312.77,3.48
5365.89,4.03
5419.55,4.59
5473.75,5.16
5528.49,5.74
5583.77,6.29
5639.61,6.82
5696.00,7.31
5752.96,7.81
5810.49,8.31
5868.60,8.81
5927.28,9.28
5986.56,9.76
6046.42,10.22
6106.89,10.66
6167.96,11.07
6229.64,11.45
6291.93,11.77
6354.85,12.01
6418.40,12.17
6482.58,12.24
6547.41,12.23
6612.88,12.14
6679.01,11.99
6745.80,11.78
6813.26,11.54
6881.39,11.31
6950.21,11.10
7019.71,10.94
7089.91,10.81
7160.81,10.71
7232.41,10.60
7304.74,10.50
7377.79,10.38
7451.56,10.25
7526.08,10.10
7601.34,9.92
7677.35,9.75
7754.13,9.60
7831.67,9.47
7909.98,9.34
7989.08,9.18
8068.98,8.93
8149.67,8.61
8231.16,8.24
8313.47,7.80
8396.61,7.31
8480.57,6.79
8565.38,6.29
8651.03,5.85
8737.54,5.50
8824.92,5.21
8913.17,4.96
9002.30,4.69
9092.32,4.41
9183.25,4.13
9275.08,3.85
9367.83,3.53
9461.51,3.16
9556.12,2.73
9651.68,2.23
9748.20,1.66
9845.68,1.02
9944.14,0.32
10043.58,-0.37
10144.02,-1.00
10245.46,-1.46
10347.91,-1.73
10451.39,-1.79
10555.91,-1.65
10661.46,-1.42
10768.08,-1.20
10875.76,-1.10
10984.52,-1.17
11094.36,-1.46
11205.31,-1.93
11317.36,-2.54
11430.53,-3.27
11544.84,-4.06
11660.29,-4.85
11776.89,-5.58
11894.66,-6.08
12013.60,-6.28
12133.74,-6.06
12255.08,-5.45
12377.63,-4.70
12501.41,-3.95
12626.42,-3.40
12752.68,-3.05
12880.21,-2.92
13009.01,-3.05
13139.10,-3.36
13270.49,-3.83
13403.20,-4.35
13537.23,-4.86
13672.60,-5.32
13809.33,-5.76
13947.42,-6.26
14086.90,-6.92
14227.77,-7.67
14370.04,-8.46
14513.74,-9.37
14658.88,-10.29
14805.47,-11.22
14953.52,-12.08
15103.06,-12.59
