frequency,raw
20.00,4.68
20.20,4.66
20.40,4.64
20.61,4.62
20.81,4.60
21.02,4.58
21.23,4.56
21.44,4.54
21.66,4.53
21.87,4.52
22.09,4.50
22.31,4.49
22.54,4.48
22.76,4.48
22.99,4.47
23.22,4.46
23.45,4.46
23.69,4.46
23.92,4.45
24.16,4.45
24.40,4.45
24.65,4.45
24.89,4.45
25.14,4.46
25.39,4.46
25.65,4.46
25.91,4.46
26.16,4.47
26.43,4.47
26.69,4.47
26.96,4.48
27.23,4.48
27.50,4.49
27.77,4.49
28.05,4.50
28.33,4.50
28.62,4.51
28.90,4.51
29.19,4.52
29.48,4.53
29.78,4.53
30.08,4.53
30.38,4.54
30.68,4.54
30.99,4.54
31.30,4.54
31.61,4.54
31.93,4.54
32.24,4.54
32.57,4.53
32.89,4.52
33.22,4.51
33.55,4.49
33.89,4.48
34.23,4.46
34.57,4.44
34.92,4.42
35.27,4.39
35.62,4.36
35.97,4.33
36.33,4.29
36.70,4.26
37.06,4.22
37.43,4.18
37.81,4.13
38.19,4.09
38.57,4.04
38.95,3.98
39.34,3.93
39.74,3.87
40.14,3.80
40.54,3.74
40.94,3.68
41.35,3.61
41.76,3.54
42.18,3.47
42.60,3.40
43.03,3.33
43.46,3.26
43.90,3.19
44.33,3.11
44.78,3.04
45.23,2.97
45.68,2.89
46.13,2.83
46.60,2.76
47.06,2.68
47.53,2.62
48.01,2.55
48.49,2.49
48.97,2.42
49.46,2.36
49.96,2.30
50.46,2.25
50.96,2.19
51.47,2.14
51.99,2.09
52.51,2.04
53.03,2.00
53.56,1.96
54.10,1.92
54.64,1.88
55.18,1.85
55.74,1.82
56.29,1.79
56.86,1.76
57.42,1.73
58.00,1.71
58.58,1.69
59.16,1.67
59.76,1.65
60.35,1.63
60.96,1.61
61.57,1.59
62.18,1.58
62.80,1.56
63.43,1.55
64.07,1.54
64.71,1.53
65.35,1.52
66.01,1.52
66.67,1.51
67.33,1.51
68.01,1.51
68.69,1.51
69.37,1.51
70.07,1.52
70.77,1.53
71.48,1.54
72.19,1.55
72.91,1.56
73.64,1.58
74.38,1.59
75.12,1.61
75.87,1.63
76.63,1.65
77.40,1.67
78.17,1.68
78.95,1.70
79.74,1.72
80.54,1.73
81.35,1.75
82.16,1.76
82.98,1.77
83.81,1.77
84.65,1.77
85.50,1.77
86.35,1.77
87.22,1.76
88.09,1.75
88.97,1.74
89.86,1.72
90.76,1.71
91.66,1.68
92.58,1.66
93.51,1.64
94.44,1.61
95.39,1.58
96.34,1.55
97.30,1.52
98.28,1.49
99.26,1.45
100.25,1.42
101.25,1.38
102.27,1.34
103.29,1.29
104.32,1.24
105.37,1.19
106.42,1.14
107.48,1.08
108.56,1.02
109.64,0.95
110.74,0.88
111.85,0.81
112.97,0.73
114.10,0.66
115.24,0.57
116.39,0.49
117.55,0.40
118.73,0.31
119.92,0.22
121.12,0.13
122.33,0.04
123.55,-0.06
124.79,-0.16
126.03,-0.26
127.29,-0.37
128.57,-0.48
129.85,-0.59
131.15,-0.70
132.46,-0.82
133.79,-0.94
135.12,-1.07
136.48,-1.19
137.84,-1.32
139.22,-1.45
140.61,-1.58
142.02,-1.70
143.44,-1.83
144.87,-1.96
146.32,-2.08
147.78,-2.20
149.26,-2.33
150.75,-2.45
152.26,-2.57
153.78,-2.69
155.32,-2.82
156.88,-2.94
158.44,-3.06
160.03,-3.19
161.63,-3.31
163.24,-3.43
164.88,-3.54
166.53,-3.65
168.19,-3.76
169.87,-3.86
171.57,-3.97
173.29,-4.07
175.02,-4.17
176.77,-4.26
178.54,-4.36
180.32,-4.46
182.13,-4.56
183.95,-4.65
185.79,-4.74
187.65,-4.83
189.52,-4.91
191.42,-4.99
193.33,-5.06
195.27,-5.13
197.22,-5.20
199.19,-5.27
201.18,-5.34
203.19,-5.40
205.23,-5.47
207.28,-5.53
209.35,-5.59
211.44,-5.65
213.56,-5.70
215.69,-5.74
217.85,-5.79
220.03,-5.83
222.23,-5.87
224.45,-5.91
226.70,-5.95
228.96,-5.99
231.25,-6.03
233.57,-6.07
235.90,-6.10
238.26,-6.13
240.64,-6.16
243.05,-6.19
245.48,-6.21
247.93,-6.24
250.41,-6.27
252.92,-6.29
255.45,-6.32
258.00,-6.34
260.58,-6.36
263.19,-6.37
265.82,-6.38
268.48,-6.40
271.16,-6.41
273.87,-6.42
276.61,-6.42
279.38,-6.43
282.17,-6.43
284.99,-6.43
287.84,-6.43
290.72,-6.43
293.63,-6.43
296.57,-6.43
299.53,-6.43
302.53,-6.42
305.55,-6.42
308.61,-6.41
311.69,-6.41
314.81,-6.40
317.96,-6.39
321.14,-6.38
324.35,-6.37
327.59,-6.36
330.87,-6.35
334.18,-6.34
337.52,-6.33
340.90,-6.31
344.30,-6.30
347.75,-6.29
351.23,-6.28
354.74,-6.27
358.28,-6.27
361.87,-6.26
365.49,-6.26
369.14,-6.26
372.83,-6.26
376.56,-6.27
380.33,-6.28
384.13,-6.30
387.97,-6.31
391.85,-6.34
395.77,-6.36
399.73,-6.39
403.72,-6.42
407.76,-6.45
411.84,-6.48
415.96,-6.51
420.12,-6.54
424.32,-6.58
428.56,-6.61
432.85,-6.64
437.18,-6.67
441.55,-6.70
445.96,-6.73
450.42,-6.76
454.93,-6.79
459.48,-6.81
464.07,-6.82
468.71,-6.84
473.40,-6.84
478.13,-6.84
482.91,-6.84
487.74,-6.83
492.62,-6.81
497.55,-6.78
502.52,-6.74
507.55,-6.70
512.62,-6.64
517.75,-6.56
522.93,-6.48
528.16,-6.38
533.44,-6.26
538.77,-6.12
544.16,-5.96
549.60,-5.79
555.10,-5.59
560.65,-5.37
566.25,-5.14
571.92,-4.89
577.64,-4.61
583.41,-4.33
589.25,-4.04
595.14,-3.73
601.09,-3.43
607.10,-3.12
613.17,-2.81
619.30,-2.52
625.50,-2.23
631.75,-1.97
638.07,-1.72
644.45,-1.49
650.89,-1.30
657.40,-1.13
663.98,-0.99
670.62,-0.89
677.32,-0.81
684.10,-0.76
690.94,-0.74
697.85,-0.72
704.83,-0.73
711.87,-0.74
718.99,-0.77
726.18,-0.79
733.44,-0.83
740.78,-0.86
748.19,-0.88
755.67,-0.91
763.23,-0.93
770.86,-0.95
778.57,-0.96
786.35,-0.97
794.22,-0.97
802.16,-0.97
810.18,-0.96
818.28,-0.95
826.46,-0.94
834.73,-0.92
843.08,-0.90
851.51,-0.87
860.02,-0.84
868.62,-0.80
877.31,-0.76
886.08,-0.72
894.94,-0.67
903.89,-0.62
912.93,-0.57
922.06,-0.52
931.28,-0.47
940.59,-0.41
950.00,-0.36
959.50,-0.29
969.09,-0.23
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.23
1039.00,0.31
1049.39,0.39
