frequency,raw
20.00,6.03
20.20,6.05
20.40,6.07
20.61,6.10
20.81,6.12
21.02,6.14
21.23,6.17
21.44,6.19
21.66,6.21
21.87,6.23
22.09,6.25
22.31,6.26
22.54,6.28
22.76,6.30
22.99,6.32
23.22,6.33
23.45,6.35
23.69,6.37
23.92,6.39
24.16,6.40
24.40,6.41
24.65,6.42
24.89,6.44
25.14,6.45
25.39,6.46
25.65,6.47
25.91,6.48
26.16,6.49
26.43,6.50
26.69,6.51
26.96,6.52
27.23,6.53
27.50,6.54
27.77,6.54
28.05,6.55
28.33,6.56
28.62,6.56
28.90,6.57
29.19,6.57
29.48,6.58
29.78,6.58
30.08,6.57
30.38,6.56
30.68,6.55
30.99,6.55
31.30,6.55
31.61,6.54
31.93,6.54
32.24,6.53
32.57,6.52
32.89,6.51
33.22,6.50
33.55,6.49
33.89,6.48
34.23,6.47
34.57,6.46
34.92,6.45
35.27,6.45
35.62,6.43
35.97,6.41
36.33,6.38
36.70,6.36
37.06,6.35
37.43,6.34
37.81,6.33
38.19,6.29
38.57,6.27
38.95,6.24
39.34,6.22
39.74,6.20
40.14,6.18
40.54,6.16
40.94,6.14
41.35,6.10
41.76,6.05
42.18,5.99
42.60,5.93
43.03,5.87
43.46,5.82
43.90,5.78
44.33,5.74
44.78,5.70
45.23,5.65
45.68,5.60
46.13,5.57
46.60,5.53
47.06,5.48
47.53,5.44
48.01,5.41
48.49,5.37
48.97,5.33
49.46,5.30
49.96,5.26
50.46,5.23
50.96,5.21
51.47,5.19
51.99,5.16
52.51,5.13
53.03,5.10
53.56,5.07
54.10,5.04
54.64,5.01
55.18,4.96
55.74,4.90
56.29,4.84
56.86,4.77
57.42,4.72
58.00,4.67
58.58,4.59
59.16,4.39
59.76,4.36
60.35,4.34
60.96,4.22
61.57,4.12
62.18,4.02
62.80,3.91
63.43,3.79
64.07,3.67
64.71,3.54
65.35,3.43
66.01,3.32
66.67,3.21
67.33,3.10
68.01,3.00
68.69,2.90
69.37,2.81
70.07,2.73
70.77,2.64
71.48,2.55
72.19,2.47
72.91,2.41
73.64,2.35
74.38,2.27
75.12,2.24
75.87,2.20
76.63,2.14
77.40,2.10
78.17,2.08
78.95,2.08
79.74,2.07
80.54,2.07
81.35,2.08
82.16,2.08
82.98,2.12
83.81,2.16
84.65,2.20
85.50,2.26
86.35,2.33
87.22,2.41
88.09,2.49
88.97,2.57
89.86,2.65
90.76,2.74
