frequency,raw
20.00,-4.49
20.20,-4.51
20.40,-4.54
20.61,-4.56
20.81,-4.59
21.02,-4.61
21.23,-4.64
21.44,-4.66
21.66,-4.69
21.87,-4.72
22.09,-4.74
22.31,-4.76
22.54,-4.79
22.76,-4.81
22.99,-4.83
23.22,-4.85
23.45,-4.87
23.69,-4.89
23.92,-4.91
24.16,-4.92
24.40,-4.93
24.65,-4.94
24.89,-4.95
25.14,-4.96
25.39,-4.96
25.65,-4.96
25.91,-4.96
26.16,-4.96
26.43,-4.95
26.69,-4.94
26.96,-4.93
27.23,-4.91
27.50,-4.90
27.77,-4.88
28.05,-4.86
28.33,-4.83
28.62,-4.81
28.90,-4.78
29.19,-4.75
29.48,-4.72
29.78,-4.69
30.08,-4.65
30.38,-4.62
30.68,-4.58
30.99,-4.55
31.30,-4.51
31.61,-4.48
31.93,-4.44
32.24,-4.41
32.57,-4.37
32.89,-4.34
33.22,-4.31
33.55,-4.28
33.89,-4.25
34.23,-4.22
34.57,-4.20
34.92,-4.17
35.27,-4.15
35.62,-4.14
35.97,-4.12
36.33,-4.11
36.70,-4.10
37.06,-4.09
37.43,-4.09
37.81,-4.09
38.19,-4.09
38.57,-4.09
38.95,-4.10
39.34,-4.11
39.74,-4.12
40.14,-4.14
40.54,-4.15
40.94,-4.17
41.35,-4.19
41.76,-4.20
42.18,-4.22
42.60,-4.24
43.03,-4.26
43.46,-4.27
43.90,-4.29
44.33,-4.30
44.78,-4.30
45.23,-4.31
45.68,-4.31
46.13,-4.30
46.60,-4.29
47.06,-4.28
47.53,-4.26
48.01,-4.23
48.49,-4.20
48.97,-4.17
49.46,-4.13
49.96,-4.08
50.46,-4.04
50.96,-3.98
51.47,-3.93
51.99,-3.88
52.51,-3.82
53.03,-3.76
53.56,-3.70
54.10,-3.65
54.64,-3.59
55.18,-3.54
55.74,-3.50
56.29,-3.45
56.86,-3.41
57.42,-3.38
58.00,-3.35
58.58,-3.33
59.16,-3.31
59.76,-3.30
60.35,-3.30
60.96,-3.30
61.57,-3.31
62.18,-3.32
62.80,-3.34
63.43,-3.36
64.07,-3.39
64.71,-3.42
65.35,-3.45
66.01,-3.48
66.67,-3.51
67.33,-3.54
68.01,-3.57
68.69,-3.59
69.37,-3.61
70.07,-3.62
70.77,-3.63
71.48,-3.64
72.19,-3.64
72.91,-3.63
73.64,-3.63
74.38,-3.61
75.12,-3.60
75.87,-3.58
76.63,-3.57
77.40,-3.55
78.17,-3.54
78.95,-3.53
79.74,-3.52
80.54,-3.52
81.35,-3.52
82.16,-3.53
82.98,-3.54
83.81,-3.55
84.65,-3.57
85.50,-3.60
86.35,-3.62
87.22,-3.65
88.09,-3.67
88.97,-3.69
89.86,-3.71
90.76,-3.72
91.66,-3.73
92.58,-3.73
93.51,-3.72
94.44,-3.71
95.39,-3.69
96.34,-3.67
97.30,-3.65
98.28,-3.63
99.26,-3.61
100.25,-3.60
101.25,-3.59
102.27,-3.58
103.29,-3.58
104.32,-3.59
105.37,-3.60
106.42,-3.62
107.48,-3.64
108.56,-3.66
109.64,-3.68
110.74,-3.70
111.85,-3.71
112.97,-3.72
114.10,-3.72
115.24,-3.72
116.39,-3.71
117.55,-3.69
118.73,-3.68
119.92,-3.66
121.12,-3.64
122.33,-3.63
123.55,-3.62
124.79,-3.61
126.03,-3.61
127.29,-3.62
128.57,-3.63
129.85,-3.64
131.15,-3.65
132.46,-3.66
133.79,-3.66
135.12,-3.66
136.48,-3.65
137.84,-3.64
139.22,-3.62
140.61,-3.61
142.02,-3.59
143.44,-3.58
144.87,-3.57
146.32,-3.57
147.78,-3.57
149.26,-3.58
150.75,-3.60
152.26,-3.61
153.78,-3.62
155.32,-3.62
156.88,-3.62
158.44,-3.61
