frequency,raw
20.00,11.02
20.20,10.94
20.40,10.87
20.61,10.83
20.81,10.77
21.02,10.71
21.23,10.68
21.44,10.64
21.66,10.60
21.87,10.58
22.09,10.56
22.31,10.55
22.54,10.54
22.76,10.54
22.99,10.54
23.22,10.54
23.45,10.56
23.69,10.57
23.92,10.59
24.16,10.61
24.40,10.63
24.65,10.66
24.89,10.67
25.14,10.70
25.39,10.72
25.65,10.74
25.91,10.76
26.16,10.79
26.43,10.81
26.69,10.82
26.96,10.84
27.23,10.85
27.50,10.87
27.77,10.88
28.05,10.89
28.33,10.90
28.62,10.90
28.90,10.91
29.19,10.91
29.48,10.91
29.78,10.91
30.08,10.91
30.38,10.90
30.68,10.89
30.99,10.88
31.30,10.87
31.61,10.85
31.93,10.84
32.24,10.82
32.57,10.80
32.89,10.78
33.22,10.76
33.55,10.74
33.89,10.71
34.23,10.69
34.57,10.66
34.92,10.63
35.27,10.61
35.62,10.58
35.97,10.56
36.33,10.53
36.70,10.50
37.06,10.47
37.43,10.45
37.81,10.42
38.19,10.40
38.57,10.37
38.95,10.34
39.34,10.31
39.74,10.28
40.14,10.25
40.54,10.22
40.94,10.18
41.35,10.15
41.76,10.12
42.18,10.09
42.60,10.07
43.03,10.04
43.46,10.02
43.90,9.99
44.33,9.97
44.78,9.95
45.23,9.93
45.68,9.91
46.13,9.89
46.60,9.87
47.06,9.86
47.53,9.84
48.01,9.82
48.49,9.81
48.97,9.80
49.46,9.78
49.96,9.77
50.46,9.75
50.96,9.73
51.47,9.71
51.99,9.68
52.51,9.65
53.03,9.61
53.56,9.56
54.10,9.51
54.64,9.46
55.18,9.40
55.74,9.33
56.29,9.27
56.86,9.20
57.42,9.12
58.00,9.05
58.58,8.97
59.16,8.89
59.76,8.80
60.35,8.71
60.96,8.62
61.57,8.53
62.18,8.44
62.80,8.34
63.43,8.23
64.07,8.13
64.71,8.01
65.35,7.90
66.01,7.77
66.67,7.64
67.33,7.51
68.01,7.35
68.69,7.19
69.37,7.02
70.07,6.83
70.77,6.63
71.48,6.42
72.19,6.19
72.91,5.96
73.64,5.71
74.38,5.46
75.12,5.21
75.87,4.95
76.63,4.68
77.40,4.41
78.17,4.15
78.95,3.89
79.74,3.63
80.54,3.38
81.35,3.14
82.16,2.91
82.98,2.69
83.81,2.48
84.65,2.28
85.50,2.10
86.35,1.93
87.22,1.78
88.09,1.65
88.97,1.53
89.86,1.43
90.76,1.36
91.66,1.30
92.58,1.25
93.51,1.23
94.44,1.22
95.39,1.23
96.34,1.24
97.30,1.27
98.28,1.31
99.26,1.35
100.25,1.40
101.25,1.45
102.27,1.51
103.29,1.56
104.32,1.62
105.37,1.68
106.42,1.74
107.48,1.79
108.56,1.84
109.64,1.89
110.74,1.93
111.85,1.98
112.97,2.02
114.10,2.05
115.24,2.08
116.39,2.11
117.55,2.14
118.73,2.16
119.92,2.17
121.12,2.19
122.33,2.20
123.55,2.20
124.79,2.21
126.03,2.21
127.29,2.21
128.57,2.20
129.85,2.20
131.15,2.19
132.46,2.18
133.79,2.17
135.12,2.16
136.48,2.14
137.84,2.13
139.22,2.12
140.61,2.10
142.02,2.09
143.44,2.08
144.87,2.06
146.32,2.05
147.78,2.04
149.26,2.03
150.75,2.02
152.26,2.01
153.78,2.00
155.32,2.00
156.88,1.99
158.44,1.99
160.03,1.99
161.63,2.00
163.24,2.00
164.88,2.01
166.53,2.01
168.19,2.02
169.87,2.03
171.57,2.04
173.29,2.05
175.02,2.06
176.77,2.08
178.54,2.09
180.32,2.11
182.13,2.12
183.95,2.14
185.79,2.16
187.65,2.18
189.52,2.19
191.42,2.21
193.33,2.23
195.27,2.24
197.22,2.26
199.19,2.27
201.18,2.29
203.19,2.30
205.23,2.32
207.28,2.33
209.35,2.34
211.44,2.35
213.56,2.36
215.69,2.37
217.85,2.37
220.03,2.38
222.23,2.38
224.45,2.38
226.70,2.38
228.96,2.37
231.25,2.37
233.57,2.36
235.90,2.35
238.26,2.35
240.64,2.34
243.05,2.33
245.48,2.32
247.93,2.30
250.41,2.29
252.92,2.27
255.45,2.26
258.00,2.24
260.58,2.22
263.19,2.20
265.82,2.18
268.48,2.15
271.16,2.13
273.87,2.10
276.61,2.08
279.38,2.05
282.17,2.02
284.99,1.99
287.84,1.96
290.72,1.93
293.63,1.89
296.57,1.86
299.53,1.83
302.53,1.79
305.55,1.76
308.61,1.72
311.69,1.68
314.81,1.65
317.96,1.61
321.14,1.57
324.35,1.53
327.59,1.49
330.87,1.45
334.18,1.41
337.52,1.37
340.90,1.33
344.30,1.29
347.75,1.24
351.23,1.20
354.74,1.15
358.28,1.10
361.87,1.05
365.49,1.00
369.14,0.94
372.83,0.89
376.56,0.83
380.33,0.77
384.13,0.71
387.97,0.64
391.85,0.58
395.77,0.52
399.73,0.47
403.72,0.41
407.76,0.36
411.84,0.31
415.96,0.26
420.12,0.22
424.32,0.17
428.56,0.13
432.85,0.09
437.18,0.05
441.55,0.02
445.96,-0.02
450.42,-0.06
454.93,-0.10
459.48,-0.13
464.07,-0.17
468.71,-0.20
473.40,-0.23
478.13,-0.26
482.91,-0.29
487.74,-0.32
492.62,-0.34
497.55,-0.37
502.52,-0.39
507.55,-0.41
512.62,-0.42
517.75,-0.44
522.93,-0.45
528.16,-0.46
533.44,-0.46
538.77,-0.47
544.16,-0.48
549.60,-0.48
555.10,-0.49
560.65,-0.50
566.25,-0.50
571.92,-0.51
577.64,-0.53
583.41,-0.54
589.25,-0.55
595.14,-0.57
601.09,-0.59
607.10,-0.60
613.17,-0.62
619.30,-0.64
625.50,-0.66
631.75,-0.68
638.07,-0.69
644.45,-0.71
650.89,-0.73
657.40,-0.74
663.98,-0.76
670.62,-0.79
677.32,-0.81
684.10,-0.85
690.94,-0.88
697.85,-0.92
704.83,-0.96
711.87,-1.00
718.99,-1.04
726.18,-1.08
733.44,-1.12
740.78,-1.16
748.19,-1.20
755.67,-1.24
763.23,-1.27
770.86,-1.29
778.57,-1.31
786.35,-1.33
794.22,-1.33
802.16,-1.34
810.18,-1.33
818.28,-1.32
826.46,-1.30
