frequency,raw
20.00,-0.24
20.20,-0.21
20.40,-0.18
20.61,-0.14
20.81,-0.10
21.02,-0.06
21.23,-0.02
21.44,0.02
21.66,0.11
21.87,0.22
22.09,0.32
22.31,0.43
22.54,0.52
22.76,0.59
22.99,0.65
23.22,0.71
23.45,0.78
23.69,0.83
23.92,0.88
24.16,0.94
24.40,0.98
24.65,0.95
24.89,0.91
25.14,0.86
25.39,0.81
25.65,0.81
25.91,0.82
26.16,0.84
26.43,0.89
26.69,0.93
26.96,0.97
27.23,1.01
27.50,1.04
27.77,1.06
28.05,1.06
28.33,1.08
28.62,1.09
28.90,1.09
29.19,1.07
29.48,1.01
29.78,0.96
30.08,0.91
30.38,0.83
30.68,0.80
30.99,0.80
31.30,0.84
31.61,0.87
31.93,0.90
32.24,0.92
32.57,0.93
32.89,0.94
33.22,0.94
33.55,0.94
33.89,0.93
34.23,0.92
34.57,0.90
34.92,0.90
35.27,0.91
35.62,0.91
35.97,0.90
36.33,0.89
36.70,0.86
37.06,0.80
37.43,0.71
37.81,0.66
38.19,0.61
38.57,0.55
38.95,0.51
39.34,0.46
39.74,0.39
40.14,0.26
40.54,0.19
40.94,0.15
41.35,0.10
41.76,0.04
42.18,0.02
42.60,0.01
43.03,-0.02
43.46,-0.09
43.90,-0.15
44.33,-0.19
44.78,-0.23
45.23,-0.29
45.68,-0.37
46.13,-0.44
46.60,-0.52
47.06,-0.61
47.53,-0.69
48.01,-0.76
48.49,-0.82
48.97,-0.86
49.46,-0.89
49.96,-0.91
50.46,-0.92
50.96,-0.93
51.47,-0.94
51.99,-0.94
52.51,-0.92
53.03,-0.89
53.56,-0.85
54.10,-0.79
54.64,-0.72
55.18,-0.65
55.74,-0.58
56.29,-0.51
56.86,-0.44
57.42,-0.36
58.00,-0.27
58.58,-0.20
59.16,-0.13
59.76,-0.08
60.35,-0.02
60.96,0.02
61.57,0.06
62.18,0.11
62.80,0.17
63.43,0.21
64.07,0.25
64.71,0.28
65.35,0.29
66.01,0.30
66.67,0.30
67.33,0.29
68.01,0.28
68.69,0.28
69.37,0.28
70.07,0.27
70.77,0.27
71.48,0.27
72.19,0.27
72.91,0.27
73.64,0.27
74.38,0.25
75.12,0.23
75.87,0.21
76.63,0.18
77.40,0.14
78.17,0.10
78.95,0.05
79.74,-0.00
80.54,-0.06
81.35,-0.13
82.16,-0.20
82.98,-0.28
83.81,-0.36
84.65,-0.44
85.50,-0.53
86.35,-0.61
87.22,-0.70
88.09,-0.79
88.97,-0.89
89.86,-0.99
90.76,-1.08
91.66,-1.18
92.58,-1.28
93.51,-1.38
94.44,-1.48
95.39,-1.58
96.34,-1.68
97.30,-1.78
98.28,-1.88
99.26,-1.98
100.25,-2.08
101.25,-2.18
102.27,-2.28
103.29,-2.38
104.32,-2.48
105.37,-2.58
106.42,-2.67
107.48,-2.77
108.56,-2.86
109.64,-2.95
110.74,-3.04
111.85,-3.13
112.97,-3.22
114.10,-3.30
115.24,-3.37
116.39,-3.45
117.55,-3.52
118.73,-3.58
119.92,-3.64
121.12,-3.70
122.33,-3.76
123.55,-3.81
124.79,-3.87
126.03,-3.92
127.29,-3.97
128.57,-4.02
129.85,-4.07
131.15,-4.13
132.46,-4.19
133.79,-4.25
135.12,-4.32
136.48,-4.38
137.84,-4.45
139.22,-4.52
140.61,-4.59
142.02,-4.67
143.44,-4.74
144.87,-4.82
146.32,-4.89
147.78,-4.97
149.26,-5.04
150.75,-5.11
152.26,-5.18
153.78,-5.24
155.32,-5.30
156.88,-5.35
158.44,-5.41
160.03,-5.46
161.63,-5.50
163.24,-5.55
164.88,-5.59
166.53,-5.63
168.19,-5.66
169.87,-5.69
171.57,-5.71
173.29,-5.72
175.02,-5.72
176.77,-5.71
178.54,-5.70
180.32,-5.67
182.13,-5.63
183.95,-5.59
185.79,-5.54
187.65,-5.48
189.52,-5.42
191.42,-5.36
193.33,-5.30
195.27,-5.25
197.22,-5.21
199.19,-5.17
201.18,-5.15
203.19,-5.13
205.23,-5.12
207.28,-5.11
209.35,-5.11
211.44,-5.12
213.56,-5.13
215.69,-5.14
217.85,-5.15
220.03,-5.17
222.23,-5.19
224.45,-5.22
226.70,-5.25
228.96,-5.29
231.25,-5.34
233.57,-5.40
235.90,-5.46
238.26,-5.53
240.64,-5.58
243.05,-5.62
245.48,-5.64
247.93,-5.64
250.41,-5.64
252.92,-5.62
255.45,-5.60
258.00,-5.58
260.58,-5.57
263.19,-5.57
265.82,-5.58
268.48,-5.60
271.16,-5.62
273.87,-5.65
276.61,-5.67
279.38,-5.68
282.17,-5.69
284.99,-5.68
287.84,-5.67
290.72,-5.66
293.63,-5.64
296.57,-5.64
299.53,-5.64
302.53,-5.65
305.55,-5.66
308.61,-5.67
311.69,-5.69
314.81,-5.70
317.96,-5.71
321.14,-5.71
324.35,-5.70
327.59,-5.69
330.87,-5.67
334.18,-5.64
337.52,-5.62
340.90,-5.60
344.30,-5.59
347.75,-5.59
351.23,-5.60
354.74,-5.62
358.28,-5.65
361.87,-5.69
365.49,-5.74
369.14,-5.77
372.83,-5.80
