frequency,raw
20.00,6.14
20.20,6.15
20.40,6.16
20.61,6.17
20.81,6.17
21.02,6.17
21.23,6.17
21.44,6.17
21.66,6.16
21.87,6.15
22.09,6.14
22.31,6.13
22.54,6.11
22.76,6.10
22.99,6.08
23.22,6.06
23.45,6.05
23.69,6.04
23.92,6.04
24.16,6.03
24.40,6.02
24.65,6.01
24.89,6.01
25.14,6.00
25.39,5.99
25.65,5.97
25.91,5.96
26.16,5.94
26.43,5.93
26.69,5.92
26.96,5.91
27.23,5.91
27.50,5.90
27.77,5.90
28.05,5.89
28.33,5.89
28.62,5.89
28.90,5.89
29.19,5.90
29.48,5.92
29.78,5.93
30.08,5.94
30.38,5.96
30.68,5.98
30.99,6.00
31.30,6.03
31.61,6.05
31.93,6.07
32.24,6.10
32.57,6.12
32.89,6.14
33.22,6.16
33.55,6.17
33.89,6.18
34.23,6.19
34.57,6.20
34.92,6.20
35.27,6.21
35.62,6.22
35.97,6.22
36.33,6.22
36.70,6.22
37.06,6.23
37.43,6.24
37.81,6.27
38.19,6.30
38.57,6.33
38.95,6.37
39.34,6.41
39.74,6.46
40.14,6.52
40.54,6.58
40.94,6.63
41.35,6.70
41.76,6.76
42.18,6.81
42.60,6.86
43.03,6.92
43.46,6.99
43.90,7.06
44.33,7.11
44.78,7.17
45.23,7.22
45.68,7.27
46.13,7.31
46.60,7.36
47.06,7.41
47.53,7.45
48.01,7.50
48.49,7.55
48.97,7.60
49.46,7.65
49.96,7.70
50.46,7.76
50.96,7.81
51.47,7.87
51.99,7.93
52.51,7.98
53.03,8.03
53.56,8.08
54.10,8.12
54.64,8.16
55.18,8.19
55.74,8.22
56.29,8.25
56.86,8.26
57.42,8.27
58.00,8.28
58.58,8.28
59.16,8.28
59.76,8.27
60.35,8.26
60.96,8.25
61.57,8.24
62.18,8.22
62.80,8.20
63.43,8.18
64.07,8.15
64.71,8.12
65.35,8.09
66.01,8.06
66.67,8.03
67.33,7.99
68.01,7.96
68.69,7.93
69.37,7.89
70.07,7.86
70.77,7.82
71.48,7.79
72.19,7.76
72.91,7.72
73.64,7.69
74.38,7.65
