frequency,raw
20.00,4.99
20.20,5.06
20.40,5.16
20.61,5.21
20.81,5.28
21.02,5.36
21.23,5.41
21.44,5.48
21.66,5.55
21.87,5.60
22.09,5.66
22.31,5.72
22.54,5.77
22.76,5.82
22.99,5.88
23.22,5.93
23.45,5.97
23.69,6.02
23.92,6.07
24.16,6.11
24.40,6.15
24.65,6.19
24.89,6.23
25.14,6.26
25.39,6.30
25.65,6.33
25.91,6.36
26.16,6.39
26.43,6.41
26.69,6.44
26.96,6.46
27.23,6.48
27.50,6.50
27.77,6.52
28.05,6.54
28.33,6.55
28.62,6.57
28.90,6.58
29.19,6.59
29.48,6.60
29.78,6.61
30.08,6.62
30.38,6.62
30.68,6.63
30.99,6.63
31.30,6.63
31.61,6.63
31.93,6.63
32.24,6.63
32.57,6.63
32.89,6.62
33.22,6.62
33.55,6.61
33.89,6.61
34.23,6.60
34.57,6.59
34.92,6.58
35.27,6.57
35.62,6.56
35.97,6.55
36.33,6.54
36.70,6.52
37.06,6.51
37.43,6.49
37.81,6.47
38.19,6.45
38.57,6.44
38.95,6.41
39.34,6.39
39.74,6.37
40.14,6.34
40.54,6.31
40.94,6.28
41.35,6.25
41.76,6.22
42.18,6.18
42.60,6.15
43.03,6.11
43.46,6.07
43.90,6.02
44.33,5.98
44.78,5.93
45.23,5.89
45.68,5.84
46.13,5.79
46.60,5.74
47.06,5.69
47.53,5.63
48.01,5.58
48.49,5.53
48.97,5.48
49.46,5.42
49.96,5.37
50.46,5.32
50.96,5.27
51.47,5.22
51.99,5.18
52.51,5.13
53.03,5.09
53.56,5.05
54.10,5.02
54.64,4.98
55.18,4.95
55.74,4.93
56.29,4.91
56.86,4.89
57.42,4.87
58.00,4.86
58.58,4.85
59.16,4.84
59.76,4.84
60.35,4.83
60.96,4.83
61.57,4.84
62.18,4.84
62.80,4.85
63.43,4.86
64.07,4.87
64.71,4.88
65.35,4.89
66.01,4.90
66.67,4.91
67.33,4.92
68.01,4.94
68.69,4.95
69.37,4.96
70.07,4.98
70.77,4.99
71.48,5.00
72.19,5.01
72.91,5.01
73.64,5.02
74.38,5.02
75.12,5.03
75.87,5.03
76.63,5.02
77.40,5.02
78.17,5.01
78.95,5.00
79.74,4.98
80.54,4.97
81.35,4.94
82.16,4.92
82.98,4.89
83.81,4.86
84.65,4.82
85.50,4.78
86.35,4.74
87.22,4.69
88.09,4.64
88.97,4.58
89.86,4.52
90.76,4.45
91.66,4.38
92.58,4.30
93.51,4.21
94.44,4.12
95.39,4.02
96.34,3.91
97.30,3.80
98.28,3.67
99.26,3.54
100.25,3.41
101.25,3.26
102.27,3.11
103.29,2.95
104.32,2.79
105.37,2.62
106.42,2.45
107.48,2.28
108.56,2.11
109.64,1.93
110.74,1.75
111.85,1.57
112.97,1.39
114.10,1.20
115.24,1.02
116.39,0.84
117.55,0.66
118.73,0.49
119.92,0.31
121.12,0.15
122.33,-0.01
123.55,-0.17
124.79,-0.32
126.03,-0.46
127.29,-0.60
128.57,-0.73
129.85,-0.86
131.15,-0.99
132.46,-1.12
133.79,-1.25
135.12,-1.38
136.48,-1.51
137.84,-1.64
139.22,-1.76
140.61,-1.88
142.02,-1.98
143.44,-2.07
144.87,-2.15
146.32,-2.22
147.78,-2.28
149.26,-2.35
150.75,-2.41
152.26,-2.47
153.78,-2.54
155.32,-2.62
156.88,-2.69
158.44,-2.77
160.03,-2.84
161.63,-2.90
163.24,-2.95
164.88,-2.99
166.53,-3.03
168.19,-3.05
169.87,-3.08
171.57,-3.10
173.29,-3.12
175.02,-3.15
176.77,-3.17
178.54,-3.19
180.32,-3.21
182.13,-3.22
183.95,-3.23
185.79,-3.24
187.65,-3.26
189.52,-3.27
191.42,-3.29
193.33,-3.31
195.27,-3.32
197.22,-3.33
199.19,-3.34
201.18,-3.34
203.19,-3.34
205.23,-3.33
207.28,-3.33
209.35,-3.33
211.44,-3.33
213.56,-3.32
215.69,-3.31
217.85,-3.30
220.03,-3.29
222.23,-3.28
224.45,-3.28
226.70,-3.29
228.96,-3.30
231.25,-3.32
233.57,-3.33
235.90,-3.33
238.26,-3.32
240.64,-3.31
243.05,-3.31
245.48,-3.30
247.93,-3.31
250.41,-3.31
252.92,-3.31
255.45,-3.32
258.00,-3.32
260.58,-3.33
263.19,-3.33
265.82,-3.32
268.48,-3.30
271.16,-3.27
273.87,-3.24
276.61,-3.20
279.38,-3.17
282.17,-3.14
284.99,-3.11
287.84,-3.09
290.72,-3.07
293.63,-3.05
296.57,-3.04
299.53,-3.03
302.53,-3.03
305.55,-3.03
308.61,-3.03
311.69,-3.02
314.81,-2.99
317.96,-2.95
321.14,-2.90
324.35,-2.83
327.59,-2.76
330.87,-2.68
334.18,-2.60
337.52,-2.53
340.90,-2.47
344.30,-2.42
347.75,-2.38
351.23,-2.35
354.74,-2.31
358.28,-2.27
361.87,-2.23
365.49,-2.19
369.14,-2.15
372.83,-2.10
376.56,-2.05
380.33,-1.98
384.13,-1.90
387.97,-1.80
391.85,-1.69
395.77,-1.59
399.73,-1.50
403.72,-1.42
407.76,-1.36
411.84,-1.30
415.96,-1.25
420.12,-1.22
424.32,-1.18
428.56,-1.15
432.85,-1.13
437.18,-1.10
441.55,-1.07
445.96,-1.04
450.42,-1.01
454.93,-0.99
459.48,-0.98
464.07,-0.98
468.71,-0.99
473.40,-0.99
478.13,-0.99
482.91,-0.97
487.74,-0.94
492.62,-0.91
497.55,-0.89
502.52,-0.88
507.55,-0.88
512.62,-0.89
517.75,-0.90
522.93,-0.90
528.16,-0.88
533.44,-0.85
538.77,-0.81
544.16,-0.77
549.60,-0.73
555.10,-0.69
560.65,-0.67
566.25,-0.65
571.92,-0.64
577.64,-0.65
583.41,-0.66
589.25,-0.67
595.14,-0.67
601.09,-0.66
607.10,-0.63
613.17,-0.60
619.30,-0.55
625.50,-0.50
631.75,-0.46
638.07,-0.43
644.45,-0.42
650.89,-0.41
657.40,-0.40
663.98,-0.41
670.62,-0.41
677.32,-0.40
684.10,-0.39
690.94,-0.36
697.85,-0.32
704.83,-0.29
711.87,-0.26
718.99,-0.23
726.18,-0.21
733.44,-0.20
740.78,-0.19
748.19,-0.19
755.67,-0.18
763.23,-0.17
770.86,-0.16
778.57,-0.15
786.35,-0.14
794.22,-0.15
802.16,-0.17
810.18,-0.20
818.28,-0.24
826.46,-0.30
834.73,-0.37
843.08,-0.42
851.51,-0.47
860.02,-0.50
868.62,-0.52
877.31,-0.52
886.08,-0.50
894.94,-0.47
903.89,-0.42
912.93,-0.35
922.06,-0.26
931.28,-0.16
940.59,-0.06
950.00,0.02
959.50,0.07
969.09,0.10
978.78,0.08
988.57,0.05
998.46,0.01
1008.44,-0.03
1018.53,-0.05
1028.71,-0.07
1039.00,-0.09
1049.39,-0.09
1059.88,-0.08
1070.48,-0.07
1081.19,-0.07
1092.00,-0.06
1102.92,-0.05
1113.95,-0.05
1125.09,-0.05
1136.34,-0.06
1147.70,-0.06
1159.18,-0.06
1170.77,-0.08
1182.48,-0.10
1194.30,-0.12
1206.25,-0.13
1218.31,-0.13
1230.49,-0.12
1242.80,-0.10
1255.22,-0.06
1267.78,-0.04
1280.45,-0.04
1293.26,-0.05
1306.19,-0.06
1319.25,-0.07
1332.45,-0.07
1345.77,-0.05
1359.23,-0.03
1372.82,-0.01
1386.55,-0.02
1400.41,-0.07
1414.42,-0.16
1428.56,-0.27
1442.85,-0.40
1457.28,-0.52
1471.85,-0.62
1486.57,-0.67
1501.43,-0.69
1516.45,-0.66
1531.61,-0.60
1546.93,-0.50
1562.40,-0.40
1578.02,-0.29
1593.80,-0.16
1609.74,-0.03
1625.84,0.11
1642.10,0.24
1658.52,0.37
1675.10,0.51
1691.85,0.67
1708.77,0.84
1725.86,1.01
1743.12,1.19
1760.55,1.38
1778.15,1.58
1795.94,1.78
1813.90,1.98
1832.03,2.20
1850.36,2.45
1868.86,2.72
1887.55,3.01
1906.42,3.31
1925.49,3.61
1944.74,3.91
1964.19,4.20
1983.83,4.50
2003.67,4.81
2023.71,5.12
2043.94,5.47
2064.38,5.81
2085.03,6.14
2105.88,6.47
2126.94,6.79
2148.20,7.10
2169.69,7.38
2191.38,7.66
2213.30,7.91
2235.43,8.15
2257.78,8.36
2280.36,8.55
