frequency,raw
20.00,-5.68
20.20,-5.62
20.40,-5.56
20.61,-5.50
20.81,-5.44
21.02,-5.38
21.23,-5.32
21.44,-5.27
21.66,-5.22
21.87,-5.17
22.09,-5.12
22.31,-5.07
22.54,-5.02
22.76,-4.97
22.99,-4.92
23.22,-4.87
23.45,-4.83
23.69,-4.79
23.92,-4.75
24.16,-4.72
24.40,-4.69
24.65,-4.66
24.89,-4.64
25.14,-4.61
25.39,-4.58
25.65,-4.54
25.91,-4.50
26.16,-4.47
26.43,-4.43
26.69,-4.41
26.96,-4.39
27.23,-4.38
27.50,-4.37
27.77,-4.35
28.05,-4.32
28.33,-4.28
28.62,-4.23
28.90,-4.18
29.19,-4.13
29.48,-4.09
29.78,-4.04
30.08,-4.00
30.38,-3.96
30.68,-3.91
30.99,-3.84
31.30,-3.76
31.61,-3.68
31.93,-3.59
32.24,-3.49
32.57,-3.39
32.89,-3.29
33.22,-3.19
33.55,-3.09
33.89,-3.00
34.23,-2.91
34.57,-2.83
34.92,-2.75
35.27,-2.67
35.62,-2.58
35.97,-2.48
36.33,-2.38
36.70,-2.28
37.06,-2.19
37.43,-2.11
37.81,-2.03
38.19,-1.96
38.57,-1.90
38.95,-1.85
39.34,-1.80
39.74,-1.76
40.14,-1.72
40.54,-1.70
40.94,-1.67
41.35,-1.66
41.76,-1.65
42.18,-1.64
42.60,-1.63
43.03,-1.63
43.46,-1.63
43.90,-1.63
44.33,-1.63
44.78,-1.63
45.23,-1.64
45.68,-1.65
46.13,-1.66
46.60,-1.67
47.06,-1.69
47.53,-1.71
48.01,-1.73
48.49,-1.75
48.97,-1.77
49.46,-1.79
49.96,-1.80
50.46,-1.82
50.96,-1.84
51.47,-1.85
51.99,-1.86
52.51,-1.87
53.03,-1.88
53.56,-1.87
54.10,-1.86
54.64,-1.85
55.18,-1.83
55.74,-1.79
56.29,-1.75
56.86,-1.70
57.42,-1.65
58.00,-1.60
58.58,-1.56
59.16,-1.55
59.76,-1.54
60.35,-1.53
60.96,-1.52
61.57,-1.50
62.18,-1.49
62.80,-1.48
63.43,-1.48
64.07,-1.47
64.71,-1.47
65.35,-1.46
66.01,-1.46
66.67,-1.46
67.33,-1.46
68.01,-1.47
68.69,-1.47
69.37,-1.48
70.07,-1.49
70.77,-1.50
71.48,-1.51
72.19,-1.52
72.91,-1.53
73.64,-1.54
74.38,-1.55
75.12,-1.56
75.87,-1.57
76.63,-1.57
77.40,-1.58
78.17,-1.59
78.95,-1.60
79.74,-1.62
80.54,-1.63
81.35,-1.64
82.16,-1.66
82.98,-1.67
83.81,-1.68
84.65,-1.69
85.50,-1.71
86.35,-1.72
87.22,-1.73
88.09,-1.74
88.97,-1.75
89.86,-1.77
90.76,-1.78
91.66,-1.79
92.58,-1.80
93.51,-1.81
94.44,-1.82
95.39,-1.83
96.34,-1.84
97.30,-1.84
98.28,-1.85
99.26,-1.85
100.25,-1.85
101.25,-1.86
102.27,-1.86
103.29,-1.86
104.32,-1.87
105.37,-1.87
106.42,-1.87
107.48,-1.87
108.56,-1.87
109.64,-1.87
110.74,-1.88
111.85,-1.89
112.97,-1.89
114.10,-1.90
115.24,-1.91
116.39,-1.91
117.55,-1.92
118.73,-1.93
119.92,-1.93
121.12,-1.94
122.33,-1.95
123.55,-1.96
124.79,-1.97
126.03,-1.97
127.29,-1.98
128.57,-1.98
129.85,-1.99
131.15,-1.99
132.46,-1.99
133.79,-2.00
135.12,-2.00
136.48,-2.01
137.84,-2.01
139.22,-2.02
140.61,-2.02
142.02,-2.03
143.44,-2.03
144.87,-2.04
146.32,-2.04
147.78,-2.04
149.26,-2.04
150.75,-2.04
152.26,-2.04
153.78,-2.05
155.32,-2.05
156.88,-2.05
158.44,-2.05
160.03,-2.05
161.63,-2.05
163.24,-2.05
164.88,-2.05
166.53,-2.05
168.19,-2.05
169.87,-2.05
171.57,-2.05
173.29,-2.05
175.02,-2.05
176.77,-2.05
178.54,-2.05
180.32,-2.05
182.13,-2.05
183.95,-2.05
185.79,-2.05
