frequency,raw
20.00,7.65
20.20,7.58
20.40,7.50
20.61,7.48
20.81,7.54
21.02,7.59
21.23,7.64
21.44,7.71
21.66,7.98
21.87,8.33
22.09,8.68
22.31,9.03
22.54,9.31
22.76,9.48
22.99,9.64
23.22,9.80
23.45,9.96
23.69,10.02
23.92,10.07
24.16,10.13
24.40,10.19
24.65,10.27
24.89,10.35
25.14,10.42
25.39,10.51
25.65,10.68
25.91,10.84
26.16,10.97
26.43,11.14
26.69,11.25
26.96,11.32
27.23,11.39
27.50,11.48
27.77,11.54
28.05,11.59
28.33,11.66
28.62,11.72
28.90,11.77
29.19,11.81
29.48,11.86
29.78,11.88
30.08,11.87
30.38,11.81
30.68,11.75
30.99,11.66
31.30,11.50
31.61,11.38
31.93,11.25
32.24,11.11
32.57,10.95
32.89,10.81
33.22,10.67
33.55,10.49
33.89,10.37
34.23,10.22
34.57,10.06
34.92,9.95
35.27,9.81
35.62,9.70
35.97,9.66
36.33,9.64
36.70,9.65
37.06,9.70
37.43,9.77
37.81,9.82
38.19,9.87
38.57,9.92
38.95,9.97
39.34,10.00
39.74,10.02
40.14,10.01
40.54,10.02
40.94,10.02
41.35,10.03
41.76,10.08
42.18,10.16
42.60,10.26
43.03,10.36
43.46,10.46
43.90,10.55
44.33,10.63
44.78,10.68
45.23,10.71
45.68,10.73
46.13,10.73
46.60,10.70
47.06,10.65
47.53,10.59
48.01,10.50
48.49,10.40
48.97,10.29
49.46,10.16
49.96,10.04
50.46,9.92
50.96,9.79
51.47,9.66
51.99,9.53
52.51,9.41
53.03,9.30
53.56,9.18
54.10,9.07
54.64,8.96
55.18,8.86
55.74,8.76
56.29,8.67
56.86,8.58
57.42,8.49
58.00,8.40
58.58,8.31
59.16,8.23
59.76,8.16
60.35,8.10
60.96,8.04
61.57,8.00
62.18,7.96
62.80,7.92
63.43,7.88
64.07,7.83
64.71,7.79
65.35,7.75
66.01,7.70
66.67,7.65
67.33,7.59
68.01,7.54
68.69,7.49
69.37,7.43
70.07,7.38
70.77,7.32
71.48,7.26
72.19,7.20
72.91,7.14
73.64,7.08
74.38,7.02
75.12,6.96
75.87,6.89
76.63,6.83
77.40,6.77
78.17,6.70
78.95,6.64
79.74,6.58
80.54,6.51
81.35,6.45
82.16,6.38
82.98,6.32
83.81,6.26
84.65,6.20
85.50,6.14
86.35,6.08
87.22,6.02
88.09,5.97
88.97,5.91
89.86,5.87
90.76,5.82
91.66,5.78
92.58,5.73
93.51,5.69
94.44,5.65
95.39,5.61
96.34,5.57
97.30,5.54
98.28,5.50
99.26,5.47
100.25,5.44
101.25,5.41
102.27,5.37
103.29,5.34
104.32,5.30
105.37,5.25
106.42,5.19
107.48,5.12
108.56,5.04
109.64,4.95
110.74,4.85
111.85,4.75
112.97,4.63
114.10,4.51
115.24,4.39
116.39,4.26
117.55,4.13
118.73,4.00
119.92,3.88
121.12,3.75
122.33,3.63
123.55,3.51
124.79,3.39
126.03,3.28
127.29,3.16
128.57,3.04
129.85,2.91
131.15,2.79
132.46,2.65
133.79,2.52
135.12,2.38
136.48,2.25
137.84,2.11
139.22,1.99
140.61,1.87
142.02,1.76
143.44,1.66
144.87,1.56
146.32,1.48
147.78,1.40
149.26,1.32
150.75,1.25
152.26,1.18
153.78,1.11
155.32,1.04
156.88,0.97
158.44,0.90
160.03,0.83
161.63,0.77
163.24,0.71
164.88,0.66
166.53,0.61
168.19,0.57
169.87,0.54
171.57,0.51
173.29,0.48
175.02,0.46
176.77,0.44
178.54,0.43
180.32,0.42
182.13,0.41
183.95,0.40
185.79,0.40
