frequency,raw
20.00,-7.82
20.20,-7.81
20.40,-7.79
20.61,-7.77
20.81,-7.75
21.02,-7.71
21.23,-7.67
21.44,-7.62
21.66,-7.53
21.87,-7.45
22.09,-7.38
22.31,-7.27
22.54,-7.16
22.76,-7.05
22.99,-6.98
23.22,-6.86
23.45,-6.75
23.69,-6.69
23.92,-6.61
24.16,-6.54
24.40,-6.49
24.65,-6.46
24.89,-6.42
25.14,-6.40
25.39,-6.39
25.65,-6.37
25.91,-6.36
26.16,-6.35
26.43,-6.32
26.69,-6.30
26.96,-6.26
27.23,-6.21
27.50,-6.15
27.77,-6.08
28.05,-6.00
28.33,-5.90
28.62,-5.82
28.90,-5.74
29.19,-5.65
29.48,-5.58
29.78,-5.51
30.08,-5.45
30.38,-5.41
30.68,-5.38
30.99,-5.35
31.30,-5.33
31.61,-5.31
31.93,-5.29
32.24,-5.26
32.57,-5.23
32.89,-5.19
33.22,-5.14
33.55,-5.08
33.89,-5.02
34.23,-4.95
34.57,-4.89
34.92,-4.83
35.27,-4.79
35.62,-4.74
35.97,-4.71
36.33,-4.68
36.70,-4.66
37.06,-4.65
37.43,-4.63
37.81,-4.60
38.19,-4.57
38.57,-4.54
38.95,-4.49
39.34,-4.44
39.74,-4.39
40.14,-4.35
40.54,-4.31
40.94,-4.28
41.35,-4.27
41.76,-4.27
42.18,-4.27
42.60,-4.28
43.03,-4.29
43.46,-4.30
43.90,-4.31
44.33,-4.32
44.78,-4.32
45.23,-4.33
45.68,-4.35
46.13,-4.39
46.60,-4.45
47.06,-4.52
47.53,-4.62
48.01,-4.73
48.49,-4.84
48.97,-4.94
49.46,-5.00
49.96,-5.03
50.46,-5.01
50.96,-4.95
51.47,-4.86
51.99,-4.73
52.51,-4.61
53.03,-4.48
53.56,-4.37
54.10,-4.28
54.64,-4.20
55.18,-4.14
55.74,-4.10
56.29,-4.05
56.86,-4.01
57.42,-3.96
58.00,-3.90
58.58,-3.85
59.16,-3.80
59.76,-3.75
60.35,-3.72
60.96,-3.71
61.57,-3.72
62.18,-3.75
62.80,-3.80
63.43,-3.86
64.07,-3.94
64.71,-4.01
65.35,-4.09
66.01,-4.16
66.67,-4.21
67.33,-4.25
68.01,-4.26
68.69,-4.24
69.37,-4.21
70.07,-4.14
70.77,-4.06
71.48,-3.97
72.19,-3.87
72.91,-3.77
73.64,-3.68
74.38,-3.60
75.12,-3.53
75.87,-3.47
76.63,-3.41
77.40,-3.36
78.17,-3.32
78.95,-3.29
79.74,-3.26
80.54,-3.24
81.35,-3.22
82.16,-3.21
82.98,-3.19
83.81,-3.18
84.65,-3.18
85.50,-3.17
86.35,-3.17
87.22,-3.17
88.09,-3.17
88.97,-3.17
89.86,-3.18
90.76,-3.18
91.66,-3.18
92.58,-3.19
93.51,-3.20
94.44,-3.21
95.39,-3.22
96.34,-3.23
97.30,-3.24
98.28,-3.25
99.26,-3.26
100.25,-3.26
101.25,-3.27
102.27,-3.27
103.29,-3.28
104.32,-3.28
105.37,-3.29
106.42,-3.30
107.48,-3.30
108.56,-3.31
109.64,-3.32
110.74,-3.33
111.85,-3.34
112.97,-3.35
114.10,-3.36
115.24,-3.37
116.39,-3.38
117.55,-3.39
118.73,-3.40
119.92,-3.42
121.12,-3.43
122.33,-3.44
123.55,-3.45
124.79,-3.47
126.03,-3.48
127.29,-3.49
128.57,-3.51
129.85,-3.52
131.15,-3.54
132.46,-3.56
133.79,-3.57
135.12,-3.59
136.48,-3.61
137.84,-3.63
139.22,-3.65
140.61,-3.66
142.02,-3.67
143.44,-3.69
144.87,-3.70
146.32,-3.72
147.78,-3.73
149.26,-3.75
150.75,-3.77
152.26,-3.79
153.78,-3.80
155.32,-3.81
156.88,-3.82
158.44,-3.83
160.03,-3.85
161.63,-3.86
163.24,-3.87
164.88,-3.89
166.53,-3.90
168.19,-3.92
169.87,-3.93
171.57,-3.95
173.29,-3.96
175.02,-3.98
176.77,-3.99
178.54,-4.01
180.32,-4.02
182.13,-4.03
183.95,-4.04
185.79,-4.05
187.65,-4.06
189.52,-4.07
191.42,-4.09
193.33,-4.11
195.27,-4.12
197.22,-4.14
199.19,-4.16
201.18,-4.17
203.19,-4.18
205.23,-4.19
207.28,-4.20
209.35,-4.20
211.44,-4.21
213.56,-4.21
215.69,-4.20
217.85,-4.20
220.03,-4.20
222.23,-4.20
224.45,-4.19
226.70,-4.19
228.96,-4.18
231.25,-4.18
233.57,-4.17
235.90,-4.17
238.26,-4.16
240.64,-4.16
243.05,-4.15
245.48,-4.15
247.93,-4.14
250.41,-4.14
252.92,-4.14
255.45,-4.14
258.00,-4.15
260.58,-4.16
263.19,-4.18
265.82,-4.21
268.48,-4.24
271.16,-4.26
273.87,-4.27
276.61,-4.27
279.38,-4.26
282.17,-4.24
284.99,-4.21
287.84,-4.18
290.72,-4.15
293.63,-4.13
296.57,-4.11
299.53,-4.08
302.53,-4.06
305.55,-4.05
308.61,-4.03
311.69,-4.01
314.81,-3.99
317.96,-3.98
321.14,-3.96
324.35,-3.95
327.59,-3.93
330.87,-3.92
334.18,-3.91
337.52,-3.89
340.90,-3.88
344.30,-3.87
347.75,-3.86
351.23,-3.84
354.74,-3.83
358.28,-3.82
361.87,-3.81
365.49,-3.80
369.14,-3.80
372.83,-3.80
376.56,-3.80
380.33,-3.80
384.13,-3.80
387.97,-3.80
391.85,-3.80
395.77,-3.80
399.73,-3.80
403.72,-3.80
407.76,-3.79
411.84,-3.78
415.96,-3.76
420.12,-3.75
424.32,-3.72
428.56,-3.70
432.85,-3.68
437.18,-3.65
441.55,-3.62
445.96,-3.59
450.42,-3.56
454.93,-3.52
459.48,-3.48
464.07,-3.45
468.71,-3.41
473.40,-3.37
478.13,-3.33
482.91,-3.29
487.74,-3.26
492.62,-3.22
497.55,-3.19
502.52,-3.15
507.55,-3.11
512.62,-3.08
517.75,-3.04
522.93,-3.01
528.16,-2.98
533.44,-2.94
538.77,-2.91
544.16,-2.88
549.60,-2.85
555.10,-2.81
560.65,-2.78
566.25,-2.74
571.92,-2.71
577.64,-2.67
583.41,-2.64
589.25,-2.60
595.14,-2.56
601.09,-2.52
607.10,-2.48
613.17,-2.43
619.30,-2.37
625.50,-2.31
631.75,-2.25
638.07,-2.19
644.45,-2.13
650.89,-2.06
657.40,-2.00
663.98,-1.94
670.62,-1.89
677.32,-1.84
684.10,-1.79
690.94,-1.76
697.85,-1.75
704.83,-1.76
711.87,-1.78
718.99,-1.82
726.18,-1.87
733.44,-1.90
740.78,-1.92
748.19,-1.91
755.67,-1.87
763.23,-1.80
770.86,-1.73
778.57,-1.66
786.35,-1.59
794.22,-1.52
802.16,-1.45
810.18,-1.39
818.28,-1.33
826.46,-1.27
834.73,-1.21
843.08,-1.14
851.51,-1.07
860.02,-0.99
868.62,-0.91
877.31,-0.84
886.08,-0.76
894.94,-0.70
903.89,-0.63
912.93,-0.56
922.06,-0.50
931.28,-0.44
940.59,-0.37
950.00,-0.31
959.50,-0.25
969.09,-0.19
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.19
1039.00,0.26
1049.39,0.33
1059.88,0.40
1070.48,0.47
1081.19,0.54
1092.00,0.60
1102.92,0.65
1113.95,0.70
1125.09,0.75
1136.34,0.80
1147.70,0.85
1159.18,0.91
1170.77,0.97
1182.48,1.04
1194.30,1.11
1206.25,1.19
1218.31,1.26
1230.49,1.34
1242.80,1.41
1255.22,1.48
1267.78,1.54
1280.45,1.60
1293.26,1.66
1306.19,1.72
1319.25,1.78
1332.45,1.85
1345.77,1.91
1359.23,1.98
1372.82,2.05
1386.55,2.12
1400.41,2.18
1414.42,2.24
1428.56,2.31
1442.85,2.39
1457.28,2.48
1471.85,2.58
1486.57,2.67
1501.43,2.76
1516.45,2.84
1531.61,2.89
1546.93,2.94
1562.40,2.99
1578.02,3.04
1593.80,3.11
1609.74,3.19
1625.84,3.28
1642.10,3.37
1658.52,3.46
1675.10,3.54
1691.85,3.62
1708.77,3.69
1725.86,3.77
1743.12,3.86
1760.55,3.94
1778.15,4.03
1795.94,4.13
1813.90,4.25
1832.03,4.39
1850.36,4.53
1868.86,4.69
1887.55,4.86
1906.42,5.02
1925.49,5.17
1944.74,5.32
1964.19,5.47
1983.83,5.64
2003.67,5.82
2023.71,6.03
2043.94,6.25
2064.38,6.47
2085.03,6.69
2105.88,6.89
2126.94,7.08
2148.20,7.25
2169.69,7.42
2191.38,7.59
2213.30,7.78
2235.43,7.97
2257.78,8.17
2280.36,8.35
2303.17,8.52
2326.20,8.66
2349.46,8.77
2372.95,8.85
2396.68,8.92
2420.65,8.98
2444.86,9.03
2469.31,9.08
2494.00,9.13
2518.94,9.17
2544.13,9.21
2569.57,9.24
2595.27,9.29
2621.22,9.35
2647.43,9.42
2673.90,9.50
2700.64,9.58
2727.65,9.66
2754.93,9.73
2782.48,9.80
2810.30,9.87
2838.40,9.94
2866.79,10.01
2895.46,10.08
2924.41,10.15
2953.65,10.21
2983.19,10.27
3013.02,10.33
3043.15,10.37
3073.58,10.42
3104.32,10.46
3135.36,10.49
3166.72,10.51
3198.38,10.53
3230.37,10.54
3262.67,10.54
