frequency,raw
20.00,-3.64
20.20,-3.61
20.40,-3.58
20.61,-3.55
20.81,-3.52
21.02,-3.48
21.23,-3.45
21.44,-3.41
21.66,-3.37
21.87,-3.33
22.09,-3.29
22.31,-3.26
22.54,-3.23
22.76,-3.19
22.99,-3.17
23.22,-3.14
23.45,-3.11
23.69,-3.08
23.92,-3.05
24.16,-3.02
24.40,-2.99
24.65,-2.96
24.89,-2.93
25.14,-2.90
25.39,-2.87
25.65,-2.83
25.91,-2.80
26.16,-2.77
26.43,-2.75
26.69,-2.74
26.96,-2.74
27.23,-2.74
27.50,-2.73
27.77,-2.72
28.05,-2.68
28.33,-2.64
28.62,-2.59
28.90,-2.54
29.19,-2.51
29.48,-2.49
29.78,-2.48
30.08,-2.48
30.38,-2.48
30.68,-2.47
30.99,-2.45
31.30,-2.43
31.61,-2.41
31.93,-2.39
32.24,-2.38
32.57,-2.37
32.89,-2.36
33.22,-2.35
33.55,-2.34
33.89,-2.33
34.23,-2.33
34.57,-2.33
34.92,-2.33
35.27,-2.34
35.62,-2.35
35.97,-2.36
36.33,-2.38
36.70,-2.39
37.06,-2.41
37.43,-2.43
37.81,-2.46
38.19,-2.49
38.57,-2.52
38.95,-2.55
39.34,-2.59
39.74,-2.64
40.14,-2.69
40.54,-2.75
40.94,-2.81
41.35,-2.87
41.76,-2.92
42.18,-2.97
42.60,-3.02
43.03,-3.05
43.46,-3.05
43.90,-3.04
44.33,-3.01
44.78,-2.97
45.23,-2.93
45.68,-2.89
46.13,-2.84
46.60,-2.80
47.06,-2.77
47.53,-2.74
48.01,-2.72
48.49,-2.70
48.97,-2.70
49.46,-2.70
49.96,-2.69
50.46,-2.69
50.96,-2.69
51.47,-2.69
51.99,-2.71
52.51,-2.73
53.03,-2.75
53.56,-2.77
54.10,-2.78
54.64,-2.79
55.18,-2.78
55.74,-2.77
56.29,-2.72
56.86,-2.64
57.42,-2.56
58.00,-2.52
58.58,-2.52
59.16,-2.51
59.76,-2.43
60.35,-2.31
60.96,-2.21
61.57,-2.13
62.18,-2.06
62.80,-2.00
63.43,-1.94
64.07,-1.90
64.71,-1.85
65.35,-1.81
66.01,-1.76
66.67,-1.72
67.33,-1.67
68.01,-1.63
68.69,-1.58
69.37,-1.53
70.07,-1.49
70.77,-1.46
71.48,-1.43
72.19,-1.40
72.91,-1.36
73.64,-1.34
74.38,-1.32
75.12,-1.30
75.87,-1.28
76.63,-1.26
77.40,-1.25
78.17,-1.24
78.95,-1.23
79.74,-1.22
80.54,-1.21
81.35,-1.20
82.16,-1.18
82.98,-1.18
83.81,-1.18
84.65,-1.18
85.50,-1.17
86.35,-1.16
87.22,-1.16
88.09,-1.15
88.97,-1.14
89.86,-1.14
90.76,-1.13
91.66,-1.12
92.58,-1.11
93.51,-1.09
94.44,-1.08
95.39,-1.07
96.34,-1.06
97.30,-1.05
98.28,-1.04
99.26,-1.03
100.25,-1.03
101.25,-1.02
102.27,-1.01
103.29,-1.00
104.32,-0.98
105.37,-0.97
106.42,-0.97
107.48,-0.96
108.56,-0.96
109.64,-0.95
110.74,-0.94
111.85,-0.93
112.97,-0.92
114.10,-0.92
115.24,-0.92
116.39,-0.91
117.55,-0.90
118.73,-0.89
119.92,-0.88
121.12,-0.88
122.33,-0.87
123.55,-0.86
124.79,-0.86
126.03,-0.86
127.29,-0.85
128.57,-0.84
129.85,-0.84
131.15,-0.83
132.46,-0.82
133.79,-0.81
135.12,-0.80
136.48,-0.79
137.84,-0.79
139.22,-0.79
140.61,-0.78
142.02,-0.78
143.44,-0.79
144.87,-0.79
146.32,-0.79
147.78,-0.78
149.26,-0.78
150.75,-0.78
152.26,-0.77
153.78,-0.77
155.32,-0.77
156.88,-0.77
158.44,-0.77
160.03,-0.77
161.63,-0.77
163.24,-0.76
164.88,-0.77
166.53,-0.77
168.19,-0.77
169.87,-0.77
171.57,-0.76
173.29,-0.76
175.02,-0.76
176.77,-0.76
178.54,-0.76
180.32,-0.76
182.13,-0.76
183.95,-0.76
185.79,-0.77
187.65,-0.77
189.52,-0.77
191.42,-0.76
193.33,-0.76
195.27,-0.76
197.22,-0.76
199.19,-0.76
201.18,-0.76
203.19,-0.76
205.23,-0.76
207.28,-0.76
209.35,-0.76
211.44,-0.76
213.56,-0.76
215.69,-0.76
217.85,-0.76
220.03,-0.76
222.23,-0.76
224.45,-0.76
226.70,-0.76
228.96,-0.76
231.25,-0.77
233.57,-0.77
