frequency,raw
20.00,6.99
20.20,7.00
20.40,7.00
20.61,7.01
20.81,7.01
21.02,7.00
21.23,7.00
21.44,6.99
21.66,6.98
21.87,6.96
22.09,6.95
22.31,6.93
22.54,6.92
22.76,6.89
22.99,6.87
23.22,6.85
23.45,6.82
23.69,6.79
23.92,6.76
24.16,6.73
24.40,6.70
24.65,6.67
24.89,6.63
25.14,6.60
25.39,6.57
25.65,6.53
25.91,6.49
26.16,6.45
26.43,6.41
26.69,6.37
26.96,6.32
27.23,6.27
27.50,6.22
27.77,6.18
28.05,6.13
28.33,6.08
28.62,6.02
28.90,5.97
29.19,5.91
29.48,5.85
29.78,5.79
30.08,5.72
30.38,5.66
30.68,5.59
30.99,5.53
31.30,5.46
31.61,5.39
31.93,5.32
32.24,5.25
32.57,5.18
32.89,5.11
33.22,5.03
33.55,4.96
33.89,4.89
34.23,4.81
34.57,4.74
34.92,4.66
35.27,4.58
35.62,4.50
35.97,4.42
36.33,4.33
36.70,4.25
37.06,4.16
37.43,4.07
37.81,3.99
38.19,3.90
38.57,3.81
38.95,3.71
39.34,3.62
39.74,3.53
40.14,3.43
40.54,3.34
40.94,3.24
41.35,3.15
41.76,3.05
42.18,2.96
42.60,2.86
43.03,2.77
43.46,2.68
43.90,2.58
44.33,2.49
44.78,2.39
45.23,2.30
45.68,2.21
46.13,2.11
46.60,2.02
47.06,1.92
47.53,1.83
48.01,1.74
48.49,1.65
48.97,1.56
49.46,1.47
49.96,1.38
50.46,1.29
50.96,1.21
51.47,1.12
51.99,1.04
52.51,0.96
53.03,0.88
53.56,0.80
54.10,0.73
54.64,0.66
55.18,0.59
55.74,0.52
56.29,0.45
56.86,0.39
57.42,0.33
58.00,0.27
58.58,0.21
59.16,0.16
59.76,0.11
60.35,0.06
60.96,0.02
61.57,-0.02
62.18,-0.06
62.80,-0.10
63.43,-0.13
64.07,-0.15
64.71,-0.18
65.35,-0.20
66.01,-0.21
66.67,-0.23
67.33,-0.24
68.01,-0.24
68.69,-0.24
69.37,-0.24
70.07,-0.24
70.77,-0.23
71.48,-0.22
72.19,-0.21
72.91,-0.19
73.64,-0.17
74.38,-0.15
75.12,-0.12
75.87,-0.09
76.63,-0.06
77.40,-0.02
78.17,0.01
78.95,0.05
79.74,0.09
80.54,0.14
81.35,0.18
82.16,0.23
82.98,0.28
83.81,0.33
84.65,0.38
85.50,0.43
86.35,0.48
87.22,0.52
88.09,0.57
88.97,0.61
89.86,0.66
90.76,0.70
91.66,0.74
92.58,0.77
93.51,0.81
94.44,0.84
95.39,0.86
96.34,0.88
97.30,0.89
98.28,0.90
99.26,0.91
100.25,0.91
101.25,0.90
102.27,0.89
103.29,0.88
104.32,0.86
105.37,0.83
106.42,0.80
107.48,0.77
108.56,0.73
109.64,0.69
110.74,0.64
111.85,0.59
112.97,0.53
114.10,0.47
115.24,0.41
116.39,0.35
117.55,0.28
118.73,0.21
119.92,0.14
121.12,0.07
122.33,0.00
123.55,-0.07
124.79,-0.14
126.03,-0.22
127.29,-0.29
128.57,-0.37
129.85,-0.45
131.15,-0.53
132.46,-0.61
133.79,-0.68
135.12,-0.76
136.48,-0.83
137.84,-0.90
139.22,-0.97
140.61,-1.04
142.02,-1.10
143.44,-1.17
144.87,-1.23
146.32,-1.29
147.78,-1.35
149.26,-1.41
150.75,-1.47
152.26,-1.53
153.78,-1.59
155.32,-1.64
156.88,-1.70
158.44,-1.75
160.03,-1.80
161.63,-1.86
163.24,-1.91
164.88,-1.96
166.53,-2.01
168.19,-2.05
169.87,-2.10
171.57,-2.14
173.29,-2.19
175.02,-2.23
176.77,-2.27
178.54,-2.31
180.32,-2.35
182.13,-2.40
183.95,-2.44
185.79,-2.48
187.65,-2.52
189.52,-2.55
191.42,-2.59
193.33,-2.63
195.27,-2.66
197.22,-2.69
199.19,-2.72
201.18,-2.76
203.19,-2.79
205.23,-2.82
207.28,-2.85
209.35,-2.87
211.44,-2.90
213.56,-2.93
215.69,-2.96
217.85,-2.99
220.03,-3.02
222.23,-3.05
224.45,-3.09
226.70,-3.12
228.96,-3.16
231.25,-3.19
233.57,-3.23
235.90,-3.26
238.26,-3.28
240.64,-3.29
243.05,-3.30
245.48,-3.31
247.93,-3.30
250.41,-3.29
252.92,-3.28
255.45,-3.26
258.00,-3.24
260.58,-3.21
263.19,-3.19
265.82,-3.17
268.48,-3.15
271.16,-3.13
273.87,-3.11
276.61,-3.10
279.38,-3.09
282.17,-3.08
284.99,-3.08
287.84,-3.07
290.72,-3.06
293.63,-3.05
296.57,-3.04
299.53,-3.03
302.53,-3.02
305.55,-3.00
308.61,-2.99
311.69,-2.97
314.81,-2.95
317.96,-2.94
321.14,-2.92
324.35,-2.91
327.59,-2.89
330.87,-2.88
334.18,-2.86
337.52,-2.84
340.90,-2.83
344.30,-2.81
347.75,-2.78
351.23,-2.76
354.74,-2.74
358.28,-2.74
361.87,-2.74
365.49,-2.73
369.14,-2.73
372.83,-2.73
376.56,-2.72
380.33,-2.71
384.13,-2.70
387.97,-2.69
391.85,-2.67
395.77,-2.66
399.73,-2.64
403.72,-2.62
407.76,-2.60
411.84,-2.57
415.96,-2.54
420.12,-2.51
424.32,-2.48
428.56,-2.45
432.85,-2.42
437.18,-2.38
441.55,-2.35
445.96,-2.32
450.42,-2.27
454.93,-2.22
459.48,-2.17
464.07,-2.13
468.71,-2.08
473.40,-2.04
478.13,-2.00
482.91,-1.96
487.74,-1.93
492.62,-1.89
497.55,-1.86
502.52,-1.82
507.55,-1.79
512.62,-1.75
517.75,-1.72
522.93,-1.68
528.16,-1.64
533.44,-1.60
538.77,-1.57
544.16,-1.53
549.60,-1.50
555.10,-1.46
560.65,-1.43
566.25,-1.40
571.92,-1.37
577.64,-1.34
583.41,-1.31
589.25,-1.28
595.14,-1.25
601.09,-1.22
607.10,-1.18
613.17,-1.15
619.30,-1.11
625.50,-1.07
631.75,-1.04
638.07,-1.00
644.45,-0.96
650.89,-0.92
657.40,-0.89
663.98,-0.85
670.62,-0.81
677.32,-0.77
684.10,-0.73
690.94,-0.69
697.85,-0.65
704.83,-0.62
711.87,-0.58
718.99,-0.54
726.18,-0.51
733.44,-0.47
740.78,-0.44
748.19,-0.41
755.67,-0.37
763.23,-0.34
770.86,-0.30
778.57,-0.27
786.35,-0.24
794.22,-0.21
802.16,-0.18
810.18,-0.15
818.28,-0.12
826.46,-0.10
834.73,-0.08
843.08,-0.06
851.51,-0.04
860.02,-0.03
868.62,-0.01
877.31,-0.00
886.08,0.01
894.94,0.02
903.89,0.02
912.93,0.03
922.06,0.04
931.28,0.04
940.59,0.04
950.00,0.04
959.50,0.04
969.09,0.03
978.78,0.02
988.57,0.02
998.46,0.00
1008.44,-0.01
1018.53,-0.03
1028.71,-0.06
1039.00,-0.08
1049.39,-0.11
1059.88,-0.15
1070.48,-0.18
1081.19,-0.23
1092.00,-0.27
1102.92,-0.32
1113.95,-0.37
1125.09,-0.42
1136.34,-0.48
1147.70,-0.54
1159.18,-0.60
1170.77,-0.67
1182.48,-0.73
1194.30,-0.79
1206.25,-0.85
1218.31,-0.90
1230.49,-0.94
1242.80,-0.98
1255.22,-1.01
1267.78,-1.03
1280.45,-1.04
1293.26,-1.04
1306.19,-1.04
1319.25,-1.02
1332.45,-0.99
1345.77,-0.94
1359.23,-0.89
1372.82,-0.81
1386.55,-0.72
1400.41,-0.62
1414.42,-0.50
1428.56,-0.36
1442.85,-0.21
1457.28,-0.04
1471.85,0.16
1486.57,0.38
1501.43,0.60
1516.45,0.86
1531.61,1.13
1546.93,1.41
1562.40,1.72
1578.02,2.04
1593.80,2.37
1609.74,2.72
1625.84,3.09
1642.10,3.47
1658.52,3.85
1675.10,4.25
1691.85,4.66
1708.77,5.07
1725.86,5.48
1743.12,5.90
1760.55,6.33
1778.15,6.75
1795.94,7.16
1813.90,7.57
1832.03,7.96
1850.36,8.32
1868.86,8.65
1887.55,8.94
1906.42,9.18
1925.49,9.38
1944.74,9.54
1964.19,9.63
1983.83,9.68
2003.67,9.68
2023.71,9.62
2043.94,9.51
2064.38,9.37
2085.03,9.18
2105.88,8.96
2126.94,8.72
2148.20,8.46
2169.69,8.18
2191.38,7.90
2213.30,7.62
2235.43,7.34
2257.78,7.06
2280.36,6.79
2303.17,6.54
2326.20,6.30
2349.46,6.07
2372.95,5.86
2396.68,5.68
2420.65,5.51
2444.86,5.37
2469.31,5.27
2494.00,5.19
2518.94,5.15
2544.13,5.16
2569.57,5.20
2595.27,5.27
2621.22,5.39
2647.43,5.52
2673.90,5.67
2700.64,5.84
2727.65,6.01
2754.93,6.18
2782.48,6.34
2810.30,6.49
2838.40,6.63
2866.79,6.74
2895.46,6.82
2924.41,6.88
2953.65,6.90
2983.19,6.88
3013.02,6.83
3043.15,6.74
3073.58,6.60
3104.32,6.43
3135.36,6.23
3166.72,5.98
3198.38,5.71
3230.37,5.41
3262.67,5.07
3295.30,4.72
3328.25,4.35
3361.53,3.96
3395.15,3.58
3429.10,3.20
3463.39,2.83
3498.03,2.49
3533.01,2.17
3568.34,1.88
3604.02,1.62
3640.06,1.40
3676.46,1.20
3713.22,1.04
3750.36,0.90
3787.86,0.77
3825.74,0.67
3864.00,0.59
3902.64,0.53
3941.66,0.50
3981.08,0.51
4020.89,0.56
4061.10,0.65
4101.71,0.81
4142.73,1.00
4184.15,1.23
4226.00,1.50
4268.26,1.77
4310.94,2.03
4354.05,2.26
4397.59,2.45
4441.56,2.59
4485.98,2.68
4530.84,2.70
4576.15,2.69
4621.91,2.63
4668.13,2.54
4714.81,2.44
4761.96,2.32
4809.58,2.20
4857.67,2.08
4906.25,1.96
4955.31,1.85
5004.87,1.74
5054.91,1.64
5105.46,1.55
5156.52,1.47
5208.08,1.40
5260.16,1.35
5312.77,1.33
5365.89,1.31
5419.55,1.32
5473.75,1.35
5528.49,1.40
5583.77,1.46
5639.61,1.55
5696.00,1.65
5752.96,1.77
5810.49,1.91
5868.60,2.07
5927.28,2.24
5986.56,2.43
6046.42,2.65
6106.89,2.89
6167.96,3.14
6229.64,3.43
6291.93,3.72
6354.85,4.02
6418.40,4.34
6482.58,4.64
6547.41,4.95
6612.88,5.23
6679.01,5.47
6745.80,5.70
6813.26,5.86
6881.39,5.99
6950.21,6.09
7019.71,6.16
7089.91,6.23
7160.81,6.30
7232.41,6.39
7304.74,6.53
7377.79,6.70
7451.56,6.91
7526.08,7.18
7601.34,7.48
7677.35,7.81
7754.13,8.16
7831.67,8.53
7909.98,8.89
7989.08,9.25
8068.98,9.57
8149.67,9.86
8231.16,10.07
8313.47,10.16
8396.61,10.14
8480.57,9.98
8565.38,9.60
8651.03,9.09
8737.54,8.45
8824.92,7.62
8913.17,6.73
9002.30,5.78
9092.32,4.81
9183.25,3.87
9275.08,2.97
9367.83,2.14
9461.51,1.41
9556.12,0.76
9651.68,0.21
9748.20,-0.21
9845.68,-0.54
9944.14,-0.77
10043.58,-0.84
10144.02,-0.83
10245.46,-0.74
10347.91,-0.51
10451.39,-0.23
10555.91,0.11
10661.46,0.49
10768.08,0.86
10875.76,1.18
10984.52,1.41
11094.36,1.44
11205.31,1.32
11317.36,1.00
11430.53,0.39
11544.84,-0.36
11660.29,-1.25
11776.89,-2.29
11894.66,-3.33
12013.60,-4.37
12133.74,-5.30
12255.08,-6.11
12377.63,-6.80
12501.41,-7.33
12626.42,-7.70
12752.68,-7.98
12880.21,-8.13
13009.01,-8.16
13139.10,-8.14
13270.49,-8.07
13403.20,-8.00
13537.23,-7.96
13672.60,-7.96
13809.33,-8.05
13947.42,-8.22
14086.90,-8.46
14227.77,-8.83
14370.04,-9.31
14513.74,-9.85
14658.88,-10.45
14805.47,-11.04
14953.52,-11.58
15103.06,-12.06
15254.09,-12.43
15406.63,-12.73
15560.70,-12.95
15716.30,-13.12
15873.47,-13.32
16032.20,-13.55
16192.52,-13.88
16354.45,-14.36
16517.99,-14.99
16683.17,-15.87
