frequency,raw
20.00,8.81
20.20,8.79
20.40,8.76
20.61,8.73
20.81,8.69
21.02,8.65
21.23,8.61
21.44,8.57
21.66,8.57
21.87,8.59
22.09,8.60
22.31,8.61
22.54,8.62
22.76,8.63
22.99,8.63
23.22,8.63
23.45,8.64
23.69,8.68
23.92,8.72
24.16,8.77
24.40,8.82
24.65,8.91
24.89,9.01
25.14,9.11
25.39,9.21
25.65,9.31
25.91,9.38
26.16,9.45
26.43,9.53
26.69,9.59
26.96,9.63
27.23,9.70
27.50,9.80
27.77,9.89
28.05,9.95
28.33,10.05
28.62,10.12
28.90,10.16
29.19,10.20
29.48,10.27
29.78,10.31
30.08,10.33
30.38,10.34
30.68,10.33
30.99,10.28
31.30,10.20
31.61,10.13
31.93,10.06
32.24,9.98
32.57,9.90
32.89,9.83
33.22,9.73
33.55,9.61
33.89,9.51
34.23,9.38
34.57,9.24
34.92,9.15
35.27,9.06
35.62,8.98
35.97,8.92
36.33,8.84
36.70,8.78
37.06,8.73
37.43,8.68
37.81,8.63
38.19,8.60
38.57,8.57
38.95,8.56
39.34,8.54
39.74,8.53
40.14,8.53
40.54,8.53
40.94,8.52
41.35,8.50
41.76,8.46
42.18,8.40
42.60,8.35
43.03,8.29
43.46,8.25
43.90,8.23
44.33,8.22
44.78,8.23
45.23,8.25
45.68,8.27
46.13,8.29
46.60,8.32
47.06,8.36
47.53,8.40
48.01,8.44
48.49,8.48
48.97,8.51
49.46,8.53
49.96,8.53
50.46,8.52
50.96,8.50
51.47,8.47
51.99,8.43
52.51,8.39
53.03,8.33
53.56,8.25
54.10,8.16
54.64,8.07
55.18,7.98
55.74,7.88
56.29,7.79
56.86,7.69
57.42,7.59
58.00,7.48
58.58,7.38
59.16,7.28
59.76,7.17
60.35,7.08
60.96,6.98
61.57,6.88
62.18,6.78
62.80,6.69
63.43,6.59
64.07,6.50
64.71,6.42
65.35,6.33
66.01,6.25
66.67,6.17
67.33,6.09
68.01,6.01
68.69,5.93
69.37,5.85
70.07,5.77
70.77,5.69
71.48,5.60
72.19,5.52
72.91,5.43
73.64,5.35
74.38,5.26
75.12,5.18
75.87,5.09
76.63,5.00
77.40,4.92
78.17,4.83
78.95,4.74
79.74,4.65
80.54,4.56
81.35,4.47
82.16,4.37
82.98,4.28
83.81,4.18
84.65,4.07
85.50,3.97
86.35,3.86
87.22,3.75
88.09,3.64
88.97,3.53
89.86,3.41
90.76,3.29
91.66,3.16
92.58,3.04
93.51,2.91
94.44,2.79
95.39,2.66
96.34,2.54
97.30,2.41
98.28,2.29
99.26,2.17
100.25,2.05
101.25,1.93
102.27,1.81
103.29,1.69
104.32,1.57
105.37,1.46
106.42,1.35
107.48,1.23
108.56,1.12
109.64,1.01
110.74,0.91
111.85,0.81
112.97,0.71
114.10,0.61
115.24,0.51
