frequency,raw
20.00,8.16
20.20,8.22
20.40,8.27
20.61,8.31
20.81,8.35
21.02,8.38
21.23,8.41
21.44,8.45
21.66,8.48
21.87,8.50
22.09,8.53
22.31,8.55
22.54,8.58
22.76,8.60
22.99,8.63
23.22,8.65
23.45,8.68
23.69,8.69
23.92,8.71
24.16,8.73
24.40,8.75
24.65,8.76
24.89,8.77
25.14,8.79
25.39,8.80
25.65,8.81
25.91,8.82
26.16,8.82
26.43,8.83
26.69,8.84
26.96,8.84
27.23,8.84
27.50,8.84
27.77,8.83
28.05,8.83
28.33,8.81
28.62,8.80
28.90,8.79
29.19,8.77
29.48,8.76
29.78,8.75
30.08,8.74
30.38,8.72
30.68,8.70
30.99,8.68
31.30,8.65
31.61,8.63
31.93,8.61
32.24,8.58
32.57,8.55
32.89,8.52
33.22,8.50
33.55,8.46
33.89,8.43
34.23,8.40
34.57,8.36
34.92,8.33
35.27,8.29
35.62,8.25
35.97,8.21
36.33,8.17
36.70,8.14
37.06,8.10
37.43,8.06
37.81,8.02
38.19,7.97
38.57,7.92
38.95,7.87
39.34,7.82
39.74,7.77
40.14,7.72
40.54,7.67
40.94,7.61
41.35,7.56
41.76,7.51
42.18,7.45
42.60,7.40
43.03,7.35
43.46,7.30
43.90,7.26
44.33,7.22
44.78,7.19
45.23,7.16
45.68,7.13
46.13,7.11
46.60,7.10
47.06,7.09
47.53,7.09
48.01,7.10
48.49,7.12
48.97,7.14
49.46,7.17
49.96,7.19
50.46,7.22
50.96,7.24
51.47,7.25
51.99,7.25
52.51,7.23
53.03,7.20
53.56,7.14
54.10,7.06
54.64,6.97
55.18,6.87
55.74,6.76
56.29,6.67
56.86,6.58
57.42,6.50
58.00,6.41
58.58,6.32
59.16,6.21
59.76,6.08
60.35,5.93
60.96,5.78
61.57,5.63
62.18,5.49
62.80,5.37
63.43,5.25
64.07,5.14
64.71,5.04
65.35,4.95
66.01,4.88
66.67,4.83
67.33,4.78
68.01,4.75
68.69,4.73
69.37,4.72
70.07,4.71
70.77,4.71
71.48,4.71
72.19,4.71
72.91,4.71
73.64,4.71
74.38,4.70
75.12,4.68
75.87,4.66
76.63,4.63
77.40,4.60
78.17,4.56
78.95,4.51
79.74,4.46
80.54,4.41
81.35,4.35
82.16,4.28
82.98,4.21
83.81,4.13
84.65,4.06
85.50,3.98
86.35,3.90
87.22,3.82
88.09,3.73
88.97,3.65
89.86,3.56
90.76,3.47
91.66,3.38
92.58,3.29
93.51,3.20
94.44,3.11
95.39,3.01
96.34,2.92
97.30,2.83
98.28,2.73
99.26,2.64
100.25,2.55
101.25,2.46
102.27,2.37
103.29,2.28
104.32,2.19
105.37,2.11
106.42,2.02
107.48,1.94
108.56,1.85
109.64,1.77
110.74,1.69
111.85,1.61
112.97,1.53
114.10,1.45
115.24,1.37
116.39,1.29
117.55,1.21
118.73,1.13
119.92,1.05
121.12,0.97
122.33,0.90
123.55,0.82
124.79,0.75
126.03,0.68
127.29,0.60
128.57,0.53
129.85,0.46
131.15,0.39
132.46,0.32
133.79,0.25
135.12,0.18
136.48,0.11
137.84,0.04
139.22,-0.03
140.61,-0.10
142.02,-0.17
143.44,-0.24
144.87,-0.31
146.32,-0.38
147.78,-0.45
149.26,-0.51
150.75,-0.57
152.26,-0.64
153.78,-0.70
155.32,-0.76
156.88,-0.83
158.44,-0.89
160.03,-0.96
161.63,-1.03
163.24,-1.10
164.88,-1.18
166.53,-1.26
168.19,-1.34
169.87,-1.42
171.57,-1.51
173.29,-1.60
175.02,-1.70
176.77,-1.80
178.54,-1.89
180.32,-1.98
182.13,-2.06
183.95,-2.13
185.79,-2.18
187.65,-2.23
189.52,-2.26
191.42,-2.30
193.33,-2.33
195.27,-2.37
197.22,-2.40
199.19,-2.44
201.18,-2.48
203.19,-2.52
205.23,-2.56
207.28,-2.61
209.35,-2.65
211.44,-2.69
213.56,-2.73
215.69,-2.77
217.85,-2.81
220.03,-2.85
222.23,-2.89
224.45,-2.94
226.70,-2.98
228.96,-3.02
231.25,-3.06
233.57,-3.10
235.90,-3.14
238.26,-3.18
240.64,-3.21
243.05,-3.24
245.48,-3.28
247.93,-3.31
250.41,-3.34
252.92,-3.37
255.45,-3.39
258.00,-3.41
260.58,-3.43
263.19,-3.45
265.82,-3.46
268.48,-3.47
271.16,-3.48
273.87,-3.49
276.61,-3.48
279.38,-3.48
282.17,-3.47
284.99,-3.45
287.84,-3.43
290.72,-3.40
293.63,-3.37
296.57,-3.34
299.53,-3.30
