frequency,raw
20.00,5.32
20.20,5.35
20.40,5.39
20.61,5.40
20.81,5.40
21.02,5.40
21.23,5.39
21.44,5.39
21.66,5.37
21.87,5.35
22.09,5.33
22.31,5.30
22.54,5.28
22.76,5.26
22.99,5.24
23.22,5.21
23.45,5.19
23.69,5.18
23.92,5.16
24.16,5.15
24.40,5.13
24.65,5.12
24.89,5.10
25.14,5.08
25.39,5.06
25.65,5.03
25.91,5.00
26.16,4.97
26.43,4.92
26.69,4.88
26.96,4.83
27.23,4.78
27.50,4.71
27.77,4.65
28.05,4.60
28.33,4.52
28.62,4.45
28.90,4.39
29.19,4.32
29.48,4.24
29.78,4.18
30.08,4.13
30.38,4.06
30.68,4.01
30.99,3.98
31.30,3.95
31.61,3.94
31.93,3.93
32.24,3.93
32.57,3.93
32.89,3.93
33.22,3.95
33.55,3.97
33.89,3.99
34.23,4.02
34.57,4.07
34.92,4.11
35.27,4.18
35.62,4.26
35.97,4.33
36.33,4.43
36.70,4.52
37.06,4.60
37.43,4.68
37.81,4.73
38.19,4.78
38.57,4.84
38.95,4.88
39.34,4.90
39.74,4.90
40.14,4.91
40.54,4.89
40.94,4.88
41.35,4.91
41.76,4.95
42.18,4.97
42.60,4.97
43.03,4.97
43.46,4.95
43.90,4.93
44.33,4.88
44.78,4.82
45.23,4.75
45.68,4.67
46.13,4.55
46.60,4.40
47.06,4.24
47.53,4.11
48.01,3.96
48.49,3.80
48.97,3.63
49.46,3.46
49.96,3.30
50.46,3.16
50.96,3.03
51.47,2.90
51.99,2.81
52.51,2.74
53.03,2.70
53.56,2.70
54.10,2.71
54.64,2.74
55.18,2.81
55.74,2.89
56.29,3.00
56.86,3.10
57.42,3.20
58.00,3.33
58.58,3.46
59.16,3.58
59.76,3.72
60.35,3.87
60.96,4.03
61.57,4.20
62.18,4.38
62.80,4.57
63.43,4.75
64.07,4.93
64.71,5.10
65.35,5.27
66.01,5.41
66.67,5.55
67.33,5.68
68.01,5.80
68.69,5.90
69.37,6.00
70.07,6.08
70.77,6.16
71.48,6.23
72.19,6.30
72.91,6.36
73.64,6.41
74.38,6.47
75.12,6.52
75.87,6.57
76.63,6.61
77.40,6.65
78.17,6.68
78.95,6.72
79.74,6.77
80.54,6.81
81.35,6.84
82.16,6.88
82.98,6.90
83.81,6.93
84.65,6.94
85.50,6.94
86.35,6.93
87.22,6.90
88.09,6.87
88.97,6.82
89.86,6.77
90.76,6.72
91.66,6.67
92.58,6.61
93.51,6.56
94.44,6.52
95.39,6.48
96.34,6.45
97.30,6.42
98.28,6.40
99.26,6.39
100.25,6.39
101.25,6.39
102.27,6.41
103.29,6.43
104.32,6.46
105.37,6.50
106.42,6.54
107.48,6.58
108.56,6.62
109.64,6.66
110.74,6.70
111.85,6.73
112.97,6.75
114.10,6.77
115.24,6.77
116.39,6.77
117.55,6.75
118.73,6.72
119.92,6.68
121.12,6.63
122.33,6.57
123.55,6.51
124.79,6.43
126.03,6.36
127.29,6.29
128.57,6.22
129.85,6.15
131.15,6.09
132.46,6.04
133.79,6.00
135.12,5.96
136.48,5.94
137.84,5.92
139.22,5.90
140.61,5.89
142.02,5.87
143.44,5.84
144.87,5.80
146.32,5.75
147.78,5.71
149.26,5.66
150.75,5.63
152.26,5.61
153.78,5.59
155.32,5.59
156.88,5.59
158.44,5.58
160.03,5.57
161.63,5.55
163.24,5.52
164.88,5.48
166.53,5.43
168.19,5.36
169.87,5.29
171.57,5.22
173.29,5.15
175.02,5.08
176.77,5.01
178.54,4.95
180.32,4.90
182.13,4.85
183.95,4.79
185.79,4.73
187.65,4.67
189.52,4.59
191.42,4.51
193.33,4.42
195.27,4.32
197.22,4.23
199.19,4.13
201.18,4.04
203.19,3.96
205.23,3.88
207.28,3.81
209.35,3.73
211.44,3.64
213.56,3.54
215.69,3.43
217.85,3.31
220.03,3.19
222.23,3.08
224.45,2.96
226.70,2.85
228.96,2.75
231.25,2.65
233.57,2.54
235.90,2.43
238.26,2.30
240.64,2.17
243.05,2.03
245.48,1.88
247.93,1.73
250.41,1.59
252.92,1.44
255.45,1.29
258.00,1.14
260.58,0.99
263.19,0.83
265.82,0.68
268.48,0.54
271.16,0.42
273.87,0.31
276.61,0.21
279.38,0.11
282.17,0.00
284.99,-0.12
287.84,-0.24
290.72,-0.38
293.63,-0.53
296.57,-0.69
299.53,-0.84
302.53,-1.00
305.55,-1.16
308.61,-1.33
311.69,-1.51
314.81,-1.69
317.96,-1.87
321.14,-2.06
324.35,-2.23
327.59,-2.40
330.87,-2.58
334.18,-2.75
337.52,-2.94
340.90,-3.12
344.30,-3.30
347.75,-3.46
351.23,-3.63
354.74,-3.80
358.28,-3.98
361.87,-4.16
365.49,-4.34
369.14,-4.51
372.83,-4.67
376.56,-4.81
380.33,-4.95
384.13,-5.09
387.97,-5.23
391.85,-5.35
395.77,-5.46
399.73,-5.56
403.72,-5.65
