frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.58,6.58,-0.79,-0.79,0.79,0.81,0.24,7.37,7.37,7.37
20.20,6.58,6.58,-0.79,-0.79,0.79,0.81,0.25,7.37,7.37,7.37
20.40,6.58,6.58,-0.79,-0.79,0.79,0.81,0.26,7.37,7.37,7.37
20.61,6.58,6.58,-0.79,-0.79,0.78,0.81,0.27,7.36,7.37,7.37
20.81,6.59,6.59,-0.78,-0.78,0.78,0.81,0.27,7.37,7.37,7.37
21.02,6.59,6.59,-0.78,-0.77,0.77,0.81,0.28,7.36,7.36,7.37
21.23,6.60,6.60,-0.77,-0.77,0.77,0.81,0.29,7.37,7.36,7.36
21.44,6.60,6.60,-0.76,-0.76,0.76,0.80,0.30,7.36,7.36,7.36
21.66,6.61,6.61,-0.75,-0.75,0.75,0.80,0.31,7.36,7.36,7.36
21.87,6.63,6.62,-0.73,-0.74,0.74,0.80,0.32,7.37,7.36,7.36
22.09,6.64,6.64,-0.72,-0.72,0.72,0.80,0.33,7.36,7.36,7.36
22.31,6.65,6.65,-0.71,-0.71,0.71,0.80,0.34,7.36,7.36,7.36
22.54,6.66,6.66,-0.70,-0.70,0.70,0.80,0.35,7.36,7.36,7.36
22.76,6.67,6.67,-0.69,-0.69,0.69,0.80,0.36,7.36,7.36,7.36
22.99,6.68,6.68,-0.68,-0.68,0.68,0.80,0.37,7.36,7.36,7.36
23.22,6.68,6.68,-0.68,-0.68,0.68,0.80,0.38,7.36,7.36,7.36
23.45,6.68,6.68,-0.68,-0.67,0.67,0.80,0.39,7.35,7.36,7.36
23.69,6.69,6.69,-0.67,-0.67,0.67,0.80,0.40,7.36,7.36,7.35
23.92,6.69,6.69,-0.66,-0.66,0.67,0.80,0.41,7.36,7.35,7.35
24.16,6.69,6.69,-0.66,-0.66,0.66,0.80,0.42,7.35,7.35,7.35
24.40,6.69,6.69,-0.66,-0.66,0.66,0.80,0.43,7.35,7.35,7.35
24.65,6.69,6.69,-0.66,-0.66,0.66,0.80,0.45,7.34,7.35,7.35
24.89,6.70,6.70,-0.65,-0.65,0.65,0.80,0.46,7.35,7.35,7.35
25.14,6.70,6.70,-0.65,-0.65,0.65,0.80,0.47,7.34,7.35,7.35
25.39,6.71,6.71,-0.64,-0.64,0.64,0.80,0.48,7.35,7.35,7.35
25.65,6.71,6.71,-0.64,-0.63,0.63,0.80,0.49,7.34,7.34,7.34
25.91,6.72,6.72,-0.62,-0.63,0.63,0.80,0.51,7.35,7.34,7.34
26.16,6.72,6.72,-0.62,-0.62,0.62,0.80,0.52,7.34,7.34,7.34
26.43,6.73,6.73,-0.61,-0.61,0.62,0.80,0.53,7.34,7.34,7.34
26.69,6.73,6.73,-0.61,-0.61,0.61,0.80,0.54,7.34,7.34,7.34
26.96,6.73,6.73,-0.61,-0.61,0.61,0.79,0.56,7.33,7.33,7.34
27.23,6.73,6.73,-0.61,-0.60,0.60,0.79,0.57,7.33,7.33,7.33
27.50,6.73,6.73,-0.60,-0.60,0.60,0.79,0.58,7.33,7.33,7.33
27.77,6.74,6.74,-0.59,-0.60,0.60,0.79,0.59,7.34,7.33,7.33
28.05,6.74,6.74,-0.59,-0.59,0.60,0.79,0.60,7.34,7.33,7.33
28.33,6.73,6.73,-0.60,-0.59,0.59,0.79,0.61,7.32,7.33,7.33
28.62,6.73,6.73,-0.60,-0.59,0.59,0.79,0.62,7.32,7.32,7.32
28.90,6.73,6.73,-0.59,-0.59,0.59,0.79,0.63,7.32,7.32,7.32
29.19,6.73,6.73,-0.59,-0.59,0.59,0.79,0.64,7.31,7.32,7.32
29.48,6.73,6.73,-0.59,-0.58,0.58,0.79,0.65,7.31,7.31,7.32
29.78,6.74,6.74,-0.58,-0.58,0.58,0.79,0.65,7.32,7.31,7.31
30.08,6.74,6.74,-0.57,-0.57,0.58,0.79,0.66,7.32,7.32,7.31
30.38,6.74,6.74,-0.57,-0.57,0.58,0.79,0.67,7.31,7.32,7.31
30.68,6.74,6.74,-0.57,-0.57,0.58,0.79,0.67,7.32,7.31,7.31
30.99,6.73,6.73,-0.57,-0.57,0.58,0.79,0.68,7.31,7.31,7.30
31.30,6.72,6.72,-0.58,-0.58,0.58,0.78,0.68,7.30,7.30,7.30
31.61,6.71,6.71,-0.59,-0.59,0.59,0.78,0.68,7.30,7.30,7.30
31.93,6.70,6.70,-0.60,-0.60,0.59,0.78,0.68,7.29,7.29,7.29
32.24,6.69,6.69,-0.60,-0.60,0.59,0.78,0.69,7.28,7.28,7.29
32.57,6.69,6.69,-0.60,-0.60,0.59,0.78,0.69,7.28,7.28,7.29
32.89,6.69,6.69,-0.59,-0.59,0.59,0.78,0.69,7.28,7.28,7.28
33.22,6.70,6.70,-0.58,-0.58,0.58,0.78,0.69,7.28,7.28,7.28
33.55,6.70,6.70,-0.58,-0.58,0.58,0.78,0.69,7.28,7.28,7.28
33.89,6.70,6.70,-0.57,-0.57,0.57,0.78,0.68,7.27,7.28,7.27
34.23,6.70,6.70,-0.57,-0.57,0.57,0.78,0.68,7.27,7.27,7.27
34.57,6.70,6.70,-0.56,-0.57,0.57,0.78,0.68,7.27,7.27,7.26
34.92,6.69,6.69,-0.57,-0.57,0.57,0.78,0.68,7.26,7.26,7.26
35.27,6.68,6.68,-0.57,-0.57,0.58,0.78,0.67,7.26,7.26,7.25
35.62,6.67,6.67,-0.58,-0.58,0.58,0.77,0.67,7.25,7.25,7.25
35.97,6.66,6.66,-0.59,-0.59,0.59,0.77,0.66,7.25,7.24,7.24
36.33,6.64,6.64,-0.60,-0.60,0.59,0.77,0.66,7.23,7.23,7.24
36.70,6.63,6.63,-0.60,-0.60,0.60,0.77,0.66,7.23,7.23,7.23
37.06,6.62,6.62,-0.61,-0.61,0.60,0.77,0.65,7.22,7.22,7.23
37.43,6.62,6.62,-0.60,-0.61,0.61,0.77,0.65,7.23,7.22,7.22
37.81,6.61,6.61,-0.61,-0.61,0.61,0.77,0.64,7.22,7.22,7.22
38.19,6.60,6.60,-0.61,-0.61,0.61,0.77,0.64,7.21,7.21,7.21
38.57,6.58,6.58,-0.62,-0.62,0.62,0.77,0.64,7.20,7.20,7.20
38.95,6.57,6.57,-0.63,-0.63,0.63,0.77,0.63,7.19,7.20,7.20
39.34,6.56,6.56,-0.63,-0.63,0.63,0.76,0.63,7.19,7.19,7.19
39.74,6.54,6.54,-0.64,-0.64,0.65,0.76,0.63,7.18,7.19,7.18
40.14,6.52,6.52,-0.65,-0.65,0.66,0.76,0.63,7.18,7.18,7.17
40.54,6.50,6.50,-0.67,-0.67,0.67,0.76,0.62,7.17,7.17,7.17
40.94,6.48,6.48,-0.68,-0.68,0.68,0.76,0.62,7.16,7.16,7.16
41.35,6.45,6.45,-0.70,-0.70,0.70,0.76,0.62,7.14,7.15,7.15
41.76,6.43,6.43,-0.71,-0.71,0.71,0.76,0.62,7.13,7.13,7.14
42.18,6.41,6.41,-0.72,-0.72,0.71,0.76,0.62,7.12,7.12,7.13
42.60,6.40,6.40,-0.72,-0.72,0.72,0.76,0.62,7.12,7.12,7.12
43.03,6.39,6.39,-0.72,-0.72,0.72,0.76,0.62,7.11,7.11,7.11
43.46,6.38,6.38,-0.72,-0.72,0.72,0.75,0.62,7.10,7.10,7.10
43.90,6.38,6.38,-0.71,-0.72,0.72,0.75,0.63,7.10,7.10,7.09
44.33,6.37,6.37,-0.71,-0.72,0.72,0.75,0.63,7.09,7.09,7.08
44.78,6.35,6.35,-0.72,-0.72,0.72,0.75,0.63,7.07,7.08,7.07
45.23,6.34,6.34,-0.72,-0.72,0.72,0.75,0.64,7.06,7.06,7.06
45.68,6.32,6.32,-0.73,-0.73,0.73,0.75,0.64,7.05,7.05,7.05
46.13,6.30,6.30,-0.74,-0.73,0.73,0.75,0.64,7.03,7.03,7.03
46.60,6.28,6.28,-0.74,-0.74,0.74,0.75,0.65,7.02,7.02,7.02
47.06,6.26,6.26,-0.75,-0.75,0.75,0.75,0.65,7.01,7.01,7.01
