frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-13.81,-13.81,-19.97,-19.96,6.00,6.85,2.86,-7.81,-7.81,6.15
20.20,-13.58,-13.58,-19.76,-19.76,6.00,6.84,2.94,-7.58,-7.58,6.18
20.40,-13.35,-13.35,-19.56,-19.56,6.00,6.83,3.02,-7.35,-7.35,6.21
20.61,-13.13,-13.12,-19.36,-19.36,6.00,6.82,3.11,-7.13,-7.12,6.23
20.81,-12.89,-12.89,-19.15,-19.15,6.00,6.81,3.19,-6.89,-6.89,6.26
21.02,-12.66,-12.66,-18.95,-18.94,6.00,6.80,3.29,-6.66,-6.66,6.29
21.23,-12.43,-12.43,-18.73,-18.73,6.00,6.79,3.38,-6.43,-6.43,6.30
21.44,-12.21,-12.21,-18.52,-18.52,6.00,6.78,3.48,-6.21,-6.21,6.31
21.66,-12.01,-12.00,-18.32,-18.32,6.00,6.77,3.58,-6.01,-6.00,6.32
21.87,-11.80,-11.80,-18.12,-18.12,6.00,6.76,3.68,-5.80,-5.80,6.32
22.09,-11.61,-11.61,-17.94,-17.93,6.00,6.75,3.78,-5.61,-5.61,6.33
22.31,-11.41,-11.41,-17.74,-17.74,6.00,6.74,3.89,-5.41,-5.41,6.33
22.54,-11.22,-11.21,-17.54,-17.54,6.00,6.73,4.00,-5.22,-5.21,6.33
22.76,-11.00,-11.00,-17.33,-17.33,6.00,6.72,4.12,-5.00,-5.00,6.32
22.99,-10.79,-10.79,-17.11,-17.11,6.00,6.71,4.23,-4.79,-4.79,6.31
23.22,-10.56,-10.57,-16.88,-16.88,6.00,6.70,4.35,-4.56,-4.57,6.31
23.45,-10.34,-10.35,-16.65,-16.66,6.00,6.68,4.47,-4.34,-4.35,6.31
23.69,-10.13,-10.12,-16.44,-16.44,6.00,6.67,4.60,-4.13,-4.12,6.31
23.92,-9.91,-9.91,-16.22,-16.23,6.00,6.66,4.72,-3.91,-3.91,6.31
24.16,-9.70,-9.71,-16.02,-16.02,6.00,6.65,4.85,-3.70,-3.71,6.32
24.40,-9.51,-9.51,-15.83,-15.82,6.00,6.63,4.98,-3.51,-3.51,6.32
24.65,-9.32,-9.31,-15.62,-15.63,6.00,6.62,5.12,-3.32,-3.31,6.31
24.89,-9.12,-9.12,-15.43,-15.43,6.00,6.61,5.25,-3.12,-3.12,6.31
25.14,-8.93,-8.93,-15.24,-15.24,6.00,6.59,5.39,-2.93,-2.93,6.31
25.39,-8.74,-8.74,-15.05,-15.05,6.00,6.58,5.53,-2.74,-2.74,6.31
25.65,-8.55,-8.55,-14.86,-14.85,6.00,6.56,5.67,-2.55,-2.55,6.30
25.91,-8.37,-8.36,-14.66,-14.66,6.00,6.55,5.81,-2.37,-2.36,6.29
26.16,-8.17,-8.17,-14.46,-14.47,6.00,6.54,5.95,-2.17,-2.17,6.29
26.43,-7.99,-7.99,-14.28,-14.28,6.00,6.52,6.09,-1.99,-1.99,6.29
26.69,-7.80,-7.81,-14.09,-14.10,6.00,6.51,6.22,-1.80,-1.81,6.29
26.96,-7.64,-7.63,-13.92,-13.92,6.00,6.49,6.36,-1.64,-1.63,6.29
27.23,-7.46,-7.45,-13.74,-13.74,6.00,6.47,6.49,-1.46,-1.45,6.29
27.50,-7.26,-7.26,-13.55,-13.55,6.00,6.46,6.62,-1.26,-1.26,6.29
27.77,-7.06,-7.07,-13.34,-13.34,6.00,6.44,6.75,-1.06,-1.07,6.27
28.05,-6.86,-6.86,-13.14,-13.13,6.00,6.42,6.87,-0.86,-0.86,6.27
28.33,-6.64,-6.64,-12.90,-12.91,6.00,6.41,6.99,-0.64,-0.64,6.26
28.62,-6.42,-6.42,-12.68,-12.68,6.00,6.39,7.10,-0.42,-0.42,6.26
28.90,-6.19,-6.19,-12.45,-12.45,6.00,6.37,7.20,-0.19,-0.19,6.26
29.19,-5.97,-5.98,-12.22,-12.23,6.00,6.36,7.29,0.03,0.02,6.25
29.48,-5.76,-5.76,-12.02,-12.01,6.00,6.34,7.37,0.24,0.24,6.26
29.78,-5.56,-5.55,-11.80,-11.80,6.00,6.32,7.45,0.44,0.45,6.24
30.08,-5.35,-5.35,-11.59,-11.59,6.00,6.30,7.50,0.65,0.65,6.24
30.38,-5.14,-5.14,-11.37,-11.37,6.00,6.28,7.56,0.86,0.86,6.23
30.68,-4.92,-4.93,-11.15,-11.15,6.00,6.26,7.59,1.08,1.07,6.23
30.99,-4.72,-4.72,-10.93,-10.94,6.00,6.24,7.62,1.28,1.28,6.22
31.30,-4.52,-4.51,-10.73,-10.73,6.00,6.22,7.63,1.48,1.49,6.21
31.61,-4.31,-4.32,-10.53,-10.52,6.00,6.20,7.63,1.69,1.68,6.21
31.93,-4.13,-4.13,-10.33,-10.33,6.00,6.18,7.62,1.87,1.87,6.20
32.24,-3.95,-3.95,-10.14,-10.14,6.00,6.16,7.60,2.05,2.05,6.19
32.57,-3.79,-3.78,-9.97,-9.97,6.00,6.14,7.56,2.21,2.22,6.18
32.89,-3.62,-3.62,-9.80,-9.80,6.00,6.11,7.51,2.38,2.38,6.18
33.22,-3.47,-3.47,-9.64,-9.64,6.00,6.09,7.45,2.53,2.53,6.17
33.55,-3.32,-3.32,-9.49,-9.49,6.00,6.07,7.38,2.68,2.68,6.17
33.89,-3.18,-3.18,-9.34,-9.34,6.00,6.04,7.30,2.82,2.82,6.15
34.23,-3.03,-3.04,-9.18,-9.18,6.00,6.02,7.22,2.97,2.96,6.15
34.57,-2.89,-2.89,-9.03,-9.03,6.00,6.00,7.13,3.11,3.11,6.14
34.92,-2.74,-2.74,-8.86,-8.86,6.00,5.97,7.03,3.26,3.26,6.12
35.27,-2.58,-2.58,-8.70,-8.69,6.00,5.94,6.92,3.42,3.42,6.12
35.62,-2.41,-2.41,-8.52,-8.52,6.00,5.92,6.81,3.59,3.59,6.11
35.97,-2.25,-2.25,-8.34,-8.35,6.00,5.89,6.70,3.75,3.75,6.09
36.33,-2.09,-2.09,-8.18,-8.18,6.00,5.87,6.59,3.91,3.91,6.09
36.70,-1.93,-1.93,-8.01,-8.01,6.00,5.84,6.47,4.07,4.07,6.08
37.06,-1.77,-1.77,-7.83,-7.84,6.00,5.81,6.35,4.23,4.23,6.06
37.43,-1.61,-1.61,-7.67,-7.67,6.00,5.78,6.23,4.39,4.39,6.06
37.81,-1.45,-1.45,-7.50,-7.50,6.00,5.75,6.11,4.55,4.55,6.04
38.19,-1.29,-1.29,-7.32,-7.32,6.00,5.72,5.99,4.71,4.71,6.03
38.57,-1.12,-1.13,-7.15,-7.15,6.00,5.69,5.88,4.88,4.88,6.02
38.95,-0.96,-0.96,-6.97,-6.97,6.01,5.66,5.76,5.05,5.05,6.01
39.34,-0.79,-0.80,-6.79,-6.79,6.02,5.63,5.65,5.23,5.23,5.99
39.74,-0.63,-0.64,-6.61,-6.62,6.02,5.60,5.53,5.39,5.39,5.98
40.14,-0.49,-0.48,-6.46,-6.45,6.01,5.57,5.42,5.53,5.53,5.97
40.54,-0.33,-0.33,-6.28,-6.29,5.99,5.53,5.32,5.66,5.66,5.96
40.94,-0.18,-0.18,-6.13,-6.13,5.95,5.50,5.21,5.76,5.77,5.95
41.35,-0.03,-0.04,-5.97,-5.97,5.89,5.47,5.11,5.85,5.85,5.94
41.76,0.10,0.10,-5.83,-5.83,5.81,5.43,5.01,5.91,5.91,5.93
42.18,0.22,0.22,-5.71,-5.70,5.72,5.39,4.92,5.93,5.94,5.92
42.60,0.33,0.32,-5.58,-5.59,5.62,5.36,4.83,5.94,5.94,5.91
43.03,0.42,0.42,-5.48,-5.48,5.51,5.32,4.74,5.93,5.93,5.90
43.46,0.50,0.50,-5.39,-5.38,5.41,5.28,4.66,5.90,5.90,5.88
43.90,0.57,0.57,-5.29,-5.29,5.31,5.24,4.58,5.87,5.87,5.85
44.33,0.63,0.62,-5.21,-5.22,5.22,5.20,4.50,5.85,5.84,5.84
44.78,0.67,0.67,-5.15,-5.15,5.15,5.16,4.43,5.81,5.81,5.82
45.23,0.71,0.71,-5.09,-5.09,5.08,5.12,4.36,5.79,5.79,5.80
45.68,0.75,0.75,-5.04,-5.03,5.02,5.08,4.29,5.77,5.77,5.78
46.13,0.79,0.79,-4.98,-4.97,4.97,5.03,4.23,5.75,5.76,5.76
46.60,0.84,0.83,-4.92,-4.92,4.92,4.99,4.17,5.75,5.75,5.75
47.06,0.87,0.86,-4.87,-4.87,4.87,4.94,4.11,5.74,5.74,5.73
47.53,0.89,0.88,-4.83,-4.84,4.83,4.90,4.05,5.71,5.71,5.71
48.01,0.88,0.88,-4.83,-4.82,4.79,4.85,4.00,5.67,5.67,5.70
48.49,0.87,0.87,-4.81,-4.80,4.78,4.80,3.96,5.64,5.65,5.67
48.97,0.86,0.86,-4.79,-4.78,4.78,4.75,3.91,5.64,5.64,5.64
49.46,0.84,0.83,-4.77,-4.78,4.81,4.70,3.87,5.65,5.64,5.61
49.96,0.77,0.76,-4.81,-4.82,4.87,4.65,3.83,5.64,5.63,5.58
50.46,0.65,0.65,-4.92,-4.91,4.97,4.59,3.79,5.61,5.62,5.57
50.96,0.50,0.49,-5.05,-5.05,5.09,4.54,3.75,5.59,5.58,5.54
51.47,0.31,0.31,-5.20,-5.21,5.24,4.48,3.71,5.55,5.55,5.51
51.99,0.10,0.10,-5.39,-5.39,5.40,4.42,3.68,5.50,5.51,5.49
52.51,-0.10,-0.11,-5.58,-5.57,5.58,4.36,3.65,5.48,5.47,5.47
53.03,-0.30,-0.30,-5.75,-5.75,5.74,4.30,3.62,5.44,5.44,5.45
53.56,-0.47,-0.47,-5.90,-5.90,5.88,4.24,3.59,5.40,5.40,5.42
54.10,-0.61,-0.61,-6.01,-6.01,5.97,4.17,3.56,5.35,5.35,5.40
54.64,-0.69,-0.70,-6.07,-6.07,5.99,4.11,3.53,5.30,5.29,5.37
55.18,-0.71,-0.70,-6.06,-6.04,5.94,4.04,3.50,5.23,5.25,5.35
55.74,-0.61,-0.61,-5.93,-5.93,5.82,3.97,3.47,5.21,5.21,5.32
56.29,-0.41,-0.42,-5.71,-5.72,5.62,3.89,3.43,5.21,5.21,5.30
56.86,-0.16,-0.15,-5.43,-5.42,5.36,3.82,3.40,5.21,5.22,5.27
57.42,0.18,0.18,-5.07,-5.07,5.06,3.74,3.37,5.23,5.23,5.24
58.00,0.54,0.53,-4.69,-4.69,4.72,3.66,3.33,5.25,5.25,5.23
58.58,0.89,0.89,-4.32,-4.32,4.37,3.57,3.29,5.26,5.26,5.21
59.16,1.22,1.21,-3.97,-3.97,4.03,3.49,3.25,5.25,5.25,5.18
59.76,1.50,1.50,-3.66,-3.66,3.73,3.40,3.21,5.23,5.23,5.16
60.35,1.74,1.74,-3.39,-3.40,3.47,3.31,3.17,5.21,5.20,5.13
60.96,1.92,1.91,-3.19,-3.19,3.25,3.21,3.12,5.17,5.16,5.11
61.57,2.04,2.03,-3.03,-3.04,3.08,3.11,3.07,5.11,5.11,5.07
62.18,2.12,2.12,-2.92,-2.92,2.93,3.00,3.01,5.05,5.05,5.03
62.80,2.18,2.18,-2.83,-2.82,2.80,2.90,2.95,4.98,4.98,5.01
63.43,2.26,2.26,-2.72,-2.72,2.68,2.78,2.89,4.93,4.93,4.97
64.07,2.35,2.35,-2.60,-2.59,2.54,2.67,2.83,4.89,4.89,4.95
64.71,2.49,2.49,-2.43,-2.43,2.39,2.54,2.76,4.87,4.87,4.92
65.35,2.65,2.65,-2.25,-2.25,2.21,2.41,2.69,4.86,4.86,4.89
66.01,2.84,2.84,-2.03,-2.03,2.01,2.28,2.61,4.84,4.85,4.86
66.67,3.05,3.04,-1.79,-1.79,1.79,2.14,2.54,4.84,4.83,4.84
67.33,3.26,3.26,-1.55,-1.55,1.56,1.99,2.46,4.82,4.82,4.81
68.01,3.48,3.47,-1.30,-1.30,1.32,1.83,2.37,4.80,4.79,4.78
68.69,3.68,3.68,-1.07,-1.07,1.08,1.67,2.29,4.76,4.76,4.74
69.37,3.88,3.87,-0.84,-0.84,0.86,1.50,2.20,4.73,4.73,4.71
70.07,4.06,4.06,-0.62,-0.63,0.64,1.32,2.11,4.69,4.69,4.68
70.77,4.23,4.23,-0.43,-0.42,0.43,1.13,2.01,4.65,4.66,4.66
71.48,4.39,4.39,-0.24,-0.24,0.23,0.93,1.92,4.62,4.62,4.62
72.19,4.54,4.53,-0.05,-0.05,0.05,0.73,1.82,4.59,4.58,4.59
72.91,4.67,4.67,0.12,0.12,-0.12,0.52,1.72,4.55,4.55,4.55
73.64,4.80,4.80,0.28,0.28,-0.28,0.30,1.62,4.52,4.52,4.51
74.38,4.92,4.91,0.43,0.43,-0.42,0.08,1.52,4.49,4.49,4.49
75.12,5.02,5.02,0.57,0.57,-0.56,-0.15,1.42,4.46,4.46,4.45
75.87,5.11,5.10,0.69,0.68,-0.68,-0.37,1.31,4.42,4.42,4.42
76.63,5.18,5.18,0.79,0.79,-0.80,-0.60,1.21,4.38,4.38,4.39
77.40,5.25,5.25,0.89,0.89,-0.90,-0.81,1.10,4.35,4.35,4.36
78.17,5.31,5.31,0.99,0.99,-0.99,-1.02,1.00,4.32,4.32,4.32
78.95,5.37,5.36,1.07,1.07,-1.08,-1.20,0.89,4.29,4.29,4.29
79.74,5.41,5.41,1.15,1.15,-1.15,-1.38,0.78,4.25,4.26,4.26
80.54,5.45,5.45,1.22,1.22,-1.22,-1.52,0.68,4.22,4.23,4.23
81.35,5.48,5.47,1.29,1.28,-1.28,-1.64,0.57,4.19,4.19,4.19
82.16,5.50,5.50,1.34,1.34,-1.34,-1.72,0.46,4.16,4.16,4.15
82.98,5.51,5.51,1.38,1.39,-1.38,-1.79,0.35,4.12,4.12,4.13
83.81,5.52,5.51,1.44,1.43,-1.42,-1.82,0.24,4.09,4.09,4.08
84.65,5.51,5.51,1.46,1.46,-1.45,-1.83,0.13,4.05,4.05,4.04
85.50,5.50,5.50,1.48,1.49,-1.48,-1.82,0.02,4.02,4.02,4.01
86.35,5.48,5.48,1.50,1.50,-1.50,-1.79,-0.09,3.98,3.98,3.98
87.22,5.46,5.45,1.52,1.52,-1.52,-1.75,-0.20,3.94,3.94,3.94
88.09,5.43,5.43,1.53,1.53,-1.53,-1.70,-0.31,3.89,3.89,3.90
88.97,5.41,5.41,1.54,1.55,-1.55,-1.65,-0.42,3.85,3.85,3.86
89.86,5.39,5.39,1.56,1.57,-1.58,-1.60,-0.53,3.81,3.81,3.82
90.76,5.38,5.38,1.61,1.60,-1.61,-1.55,-0.64,3.77,3.77,3.77
91.66,5.38,5.37,1.64,1.64,-1.65,-1.51,-0.75,3.73,3.73,3.74
92.58,5.38,5.38,1.69,1.69,-1.69,-1.47,-0.87,3.69,3.69,3.68
93.51,5.39,5.39,1.74,1.74,-1.74,-1.43,-0.98,3.65,3.65,3.65
94.44,5.40,5.40,1.79,1.79,-1.79,-1.41,-1.09,3.60,3.60,3.61
95.39,5.41,5.41,1.84,1.85,-1.85,-1.39,-1.21,3.56,3.56,3.56
96.34,5.42,5.42,1.91,1.90,-1.90,-1.38,-1.32,3.51,3.51,3.51
97.30,5.43,5.42,1.96,1.96,-1.96,-1.38,-1.43,3.47,3.47,3.46
98.28,5.43,5.43,2.01,2.01,-2.01,-1.38,-1.55,3.42,3.42,3.42
99.26,5.44,5.43,2.06,2.06,-2.06,-1.39,-1.66,3.38,3.37,3.37
100.25,5.44,5.43,2.11,2.11,-2.11,-1.41,-1.77,3.33,3.33,3.33
101.25,5.43,5.43,2.15,2.15,-2.15,-1.43,-1.89,3.28,3.28,3.28
102.27,5.42,5.42,2.18,2.19,-2.19,-1.46,-2.00,3.23,3.23,3.23
103.29,5.41,5.40,2.23,2.22,-2.22,-1.50,-2.11,3.19,3.18,3.18
104.32,5.39,5.38,2.24,2.25,-2.25,-1.54,-2.22,3.14,3.14,3.14
105.37,5.36,5.36,2.26,2.27,-2.27,-1.58,-2.33,3.09,3.09,3.09
106.42,5.33,5.33,2.28,2.28,-2.28,-1.62,-2.44,3.05,3.05,3.05
107.48,5.30,5.29,2.29,2.29,-2.28,-1.67,-2.54,3.01,3.01,3.00
108.56,5.25,5.25,2.30,2.30,-2.28,-1.73,-2.65,2.97,2.97,2.95
109.64,5.19,5.19,2.29,2.28,-2.27,-1.78,-2.75,2.92,2.92,2.90
110.74,5.12,5.11,2.26,2.26,-2.25,-1.84,-2.85,2.86,2.86,2.85
111.85,5.04,5.04,2.23,2.23,-2.23,-1.90,-2.94,2.80,2.80,2.81
112.97,4.96,4.96,2.21,2.21,-2.21,-1.96,-3.03,2.74,2.74,2.74
114.10,4.89,4.88,2.19,2.19,-2.20,-2.02,-3.12,2.69,2.69,2.70
115.24,4.82,4.82,2.17,2.18,-2.19,-2.09,-3.20,2.63,2.63,2.64
116.39,4.77,4.77,2.18,2.18,-2.19,-2.15,-3.28,2.57,2.57,2.59
117.55,4.73,4.73,2.19,2.19,-2.20,-2.22,-3.35,2.52,2.53,2.53
118.73,4.71,4.71,2.23,2.22,-2.23,-2.28,-3.42,2.48,2.48,2.48
119.92,4.70,4.69,2.26,2.26,-2.26,-2.35,-3.48,2.43,2.43,2.44
121.12,4.69,4.69,2.30,2.31,-2.31,-2.42,-3.54,2.38,2.39,2.38
122.33,4.70,4.69,2.36,2.36,-2.36,-2.49,-3.59,2.34,2.34,2.33
123.55,4.71,4.70,2.42,2.41,-2.41,-2.56,-3.63,2.29,2.29,2.29
124.79,4.71,4.71,2.47,2.47,-2.47,-2.63,-3.67,2.24,2.24,2.24
126.03,4.72,4.72,2.53,2.53,-2.53,-2.70,-3.70,2.19,2.19,2.19
127.29,4.73,4.72,2.59,2.59,-2.58,-2.76,-3.72,2.14,2.14,2.14
128.57,4.73,4.73,2.65,2.64,-2.64,-2.83,-3.75,2.09,2.09,2.08
129.85,4.73,4.73,2.70,2.70,-2.69,-2.90,-3.76,2.04,2.04,2.03
131.15,4.73,4.73,2.74,2.74,-2.74,-2.97,-3.76,1.99,1.99,1.98
132.46,4.73,4.72,2.79,2.78,-2.78,-3.04,-3.76,1.94,1.94,1.94
133.79,4.72,4.72,2.82,2.83,-2.83,-3.10,-3.76,1.88,1.88,1.90
135.12,4.72,4.72,2.87,2.87,-2.88,-3.17,-3.75,1.83,1.84,1.84
136.48,4.73,4.73,2.92,2.92,-2.93,-3.23,-3.74,1.79,1.79,1.81
137.84,4.75,4.74,2.98,2.99,-2.99,-3.30,-3.72,1.76,1.76,1.76
139.22,4.77,4.76,3.06,3.05,-3.04,-3.36,-3.70,1.72,1.72,1.71
140.61,4.78,4.78,3.11,3.11,-3.10,-3.42,-3.68,1.68,1.68,1.67
142.02,4.80,4.80,3.15,3.16,-3.16,-3.48,-3.66,1.64,1.64,1.65
143.44,4.82,4.82,3.21,3.21,-3.21,-3.54,-3.63,1.61,1.61,1.60
144.87,4.84,4.83,3.27,3.27,-3.27,-3.61,-3.60,1.57,1.57,1.56
146.32,4.85,4.85,3.32,3.32,-3.32,-3.66,-3.57,1.53,1.53,1.52
147.78,4.86,4.86,3.36,3.37,-3.37,-3.72,-3.54,1.49,1.49,1.50
149.26,4.88,4.87,3.42,3.42,-3.42,-3.78,-3.51,1.45,1.45,1.46
150.75,4.89,4.89,3.48,3.47,-3.48,-3.83,-3.47,1.41,1.41,1.41
152.26,4.90,4.90,3.52,3.53,-3.54,-3.89,-3.44,1.36,1.36,1.37
153.78,4.92,4.92,3.58,3.58,-3.59,-3.94,-3.41,1.32,1.32,1.34
