frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-13.88,-13.88,-14.54,-14.54,6.00,6.59,2.92,-7.88,-7.88,0.67
20.20,-13.81,-13.81,-14.50,-14.50,6.00,6.58,3.01,-7.81,-7.81,0.70
20.40,-13.74,-13.74,-14.46,-14.47,6.00,6.57,3.09,-7.74,-7.74,0.73
20.61,-13.68,-13.67,-14.42,-14.42,6.00,6.56,3.18,-7.68,-7.67,0.74
20.81,-13.61,-13.61,-14.38,-14.39,6.00,6.54,3.27,-7.61,-7.61,0.77
21.02,-13.54,-13.54,-14.34,-14.34,6.00,6.53,3.36,-7.54,-7.54,0.80
21.23,-13.47,-13.46,-14.28,-14.28,6.00,6.52,3.46,-7.47,-7.46,0.81
21.44,-13.38,-13.37,-14.20,-14.20,6.00,6.50,3.56,-7.38,-7.37,0.82
21.66,-13.26,-13.26,-14.09,-14.09,6.00,6.49,3.66,-7.26,-7.26,0.83
21.87,-13.13,-13.12,-13.96,-13.96,6.00,6.47,3.76,-7.13,-7.12,0.83
22.09,-12.98,-12.98,-13.82,-13.81,6.00,6.46,3.87,-6.98,-6.98,0.84
22.31,-12.82,-12.82,-13.66,-13.66,6.00,6.44,3.98,-6.82,-6.82,0.84
22.54,-12.67,-12.66,-13.51,-13.50,6.00,6.43,4.09,-6.67,-6.66,0.84
22.76,-12.51,-12.51,-13.35,-13.34,6.00,6.41,4.21,-6.51,-6.51,0.84
22.99,-12.36,-12.36,-13.19,-13.19,6.00,6.40,4.32,-6.36,-6.36,0.83
23.22,-12.22,-12.22,-13.05,-13.05,6.00,6.38,4.45,-6.22,-6.22,0.83
23.45,-12.09,-12.09,-12.91,-12.91,6.00,6.37,4.57,-6.09,-6.09,0.83
23.69,-11.96,-11.96,-12.79,-12.78,6.00,6.35,4.70,-5.96,-5.96,0.83
23.92,-11.83,-11.82,-12.65,-12.65,6.00,6.34,4.82,-5.83,-5.82,0.83
24.16,-11.69,-11.68,-12.52,-12.52,6.00,6.32,4.96,-5.69,-5.68,0.83
24.40,-11.55,-11.55,-12.38,-12.38,6.00,6.30,5.09,-5.55,-5.55,0.83
24.65,-11.42,-11.42,-12.24,-12.25,6.00,6.29,5.23,-5.42,-5.42,0.82
24.89,-11.31,-11.31,-12.13,-12.13,6.00,6.27,5.36,-5.31,-5.31,0.82
25.14,-11.23,-11.23,-12.05,-12.05,6.00,6.25,5.50,-5.23,-5.23,0.82
25.39,-11.18,-11.19,-12.00,-12.01,6.00,6.24,5.64,-5.18,-5.19,0.82
25.65,-11.19,-11.19,-12.01,-12.00,6.00,6.22,5.79,-5.19,-5.19,0.82
25.91,-11.21,-11.22,-12.02,-12.03,6.00,6.20,5.93,-5.21,-5.22,0.81
26.16,-11.26,-11.25,-12.06,-12.06,6.00,6.18,6.07,-5.26,-5.25,0.81
26.43,-11.27,-11.26,-12.07,-12.07,6.00,6.16,6.21,-5.27,-5.26,0.81
26.69,-11.23,-11.23,-12.03,-12.03,6.00,6.15,6.35,-5.23,-5.23,0.80
26.96,-11.15,-11.14,-11.95,-11.94,6.00,6.13,6.49,-5.15,-5.14,0.80
27.23,-10.99,-10.99,-11.79,-11.79,6.00,6.11,6.63,-4.99,-4.99,0.80
27.50,-10.79,-10.79,-11.59,-11.59,6.00,6.09,6.76,-4.79,-4.79,0.80
27.77,-10.56,-10.57,-11.35,-11.36,6.00,6.07,6.89,-4.56,-4.57,0.79
28.05,-10.34,-10.34,-11.12,-11.12,6.00,6.05,7.02,-4.34,-4.34,0.79
28.33,-10.11,-10.11,-10.88,-10.89,6.00,6.03,7.13,-4.11,-4.11,0.78
28.62,-9.89,-9.89,-10.67,-10.66,6.00,6.01,7.25,-3.89,-3.89,0.77
28.90,-9.69,-9.69,-10.46,-10.46,6.00,5.99,7.35,-3.69,-3.69,0.77
29.19,-9.52,-9.52,-10.28,-10.29,6.00,5.97,7.44,-3.52,-3.52,0.76
29.48,-9.38,-9.38,-10.15,-10.15,6.00,5.95,7.53,-3.38,-3.38,0.77
29.78,-9.30,-9.29,-10.06,-10.05,6.00,5.93,7.60,-3.30,-3.29,0.76
30.08,-9.23,-9.23,-9.98,-9.99,6.00,5.91,7.67,-3.23,-3.23,0.76
30.38,-9.21,-9.21,-9.95,-9.96,6.00,5.89,7.72,-3.21,-3.21,0.74
30.68,-9.22,-9.22,-9.96,-9.96,6.00,5.87,7.76,-3.22,-3.22,0.74
30.99,-9.24,-9.24,-9.97,-9.97,6.00,5.84,7.79,-3.24,-3.24,0.73
31.30,-9.26,-9.26,-9.99,-9.99,6.00,5.82,7.80,-3.26,-3.26,0.73
31.61,-9.26,-9.26,-9.98,-9.98,6.00,5.80,7.80,-3.26,-3.26,0.73
31.93,-9.24,-9.23,-9.95,-9.94,6.00,5.78,7.79,-3.24,-3.23,0.71
32.24,-9.17,-9.17,-9.87,-9.87,6.00,5.76,7.77,-3.17,-3.17,0.70
32.57,-9.08,-9.08,-9.78,-9.78,6.00,5.73,7.73,-3.08,-3.08,0.70
32.89,-8.97,-8.97,-9.66,-9.66,6.00,5.71,7.68,-2.97,-2.97,0.70
33.22,-8.85,-8.85,-9.53,-9.54,6.00,5.69,7.62,-2.85,-2.85,0.68
33.55,-8.73,-8.73,-9.41,-9.41,6.00,5.66,7.56,-2.73,-2.73,0.68
33.89,-8.62,-8.61,-9.29,-9.28,6.00,5.64,7.48,-2.62,-2.61,0.67
34.23,-8.50,-8.50,-9.16,-9.16,6.00,5.61,7.39,-2.50,-2.50,0.66
34.57,-8.39,-8.39,-9.04,-9.04,6.00,5.59,7.30,-2.39,-2.39,0.65
