frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.43,11.43,4.51,4.50,-4.50,-3.38,-1.78,6.93,6.93,6.93
20.20,11.42,11.43,4.50,4.50,-4.50,-3.38,-1.83,6.92,6.92,6.93
20.40,11.42,11.42,4.50,4.50,-4.50,-3.37,-1.88,6.92,6.92,6.93
20.61,11.42,11.42,4.50,4.49,-4.50,-3.37,-1.94,6.93,6.92,6.92
20.81,11.41,11.42,4.49,4.49,-4.49,-3.37,-1.99,6.92,6.93,6.92
21.02,11.41,11.41,4.49,4.49,-4.48,-3.37,-2.05,6.93,6.93,6.92
21.23,11.40,11.40,4.48,4.48,-4.47,-3.37,-2.11,6.93,6.93,6.92
21.44,11.39,11.39,4.47,4.47,-4.46,-3.37,-2.18,6.93,6.93,6.92
21.66,11.37,11.37,4.45,4.45,-4.45,-3.37,-2.24,6.92,6.92,6.92
21.87,11.35,11.35,4.43,4.43,-4.43,-3.37,-2.31,6.92,6.92,6.92
22.09,11.33,11.33,4.41,4.41,-4.42,-3.37,-2.37,6.92,6.91,6.92
22.31,11.31,11.31,4.39,4.39,-4.40,-3.37,-2.44,6.91,6.91,6.92
22.54,11.29,11.30,4.37,4.38,-4.38,-3.36,-2.51,6.91,6.91,6.92
22.76,11.28,11.28,4.37,4.36,-4.37,-3.36,-2.59,6.91,6.91,6.92
22.99,11.27,11.27,4.36,4.35,-4.35,-3.36,-2.66,6.92,6.92,6.92
23.22,11.25,11.26,4.34,4.34,-4.34,-3.36,-2.74,6.92,6.92,6.91
23.45,11.24,11.24,4.33,4.33,-4.32,-3.36,-2.82,6.92,6.92,6.91
23.69,11.22,11.22,4.31,4.31,-4.31,-3.36,-2.90,6.92,6.92,6.91
23.92,11.20,11.20,4.29,4.29,-4.29,-3.36,-2.98,6.91,6.92,6.91
24.16,11.18,11.18,4.27,4.27,-4.27,-3.36,-3.06,6.91,6.91,6.91
24.40,11.16,11.16,4.25,4.25,-4.25,-3.35,-3.15,6.91,6.91,6.91
24.65,11.14,11.14,4.23,4.23,-4.24,-3.35,-3.23,6.90,6.90,6.91
24.89,11.12,11.12,4.22,4.22,-4.23,-3.35,-3.32,6.90,6.90,6.91
25.14,11.11,11.11,4.21,4.21,-4.22,-3.35,-3.40,6.90,6.90,6.91
