frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.71,7.70,0.26,0.25,-0.34,-0.13,-0.03,7.37,7.36,7.45
20.20,7.70,7.71,0.25,0.26,-0.30,-0.14,-0.03,7.41,7.42,7.45
20.40,7.70,7.72,0.25,0.27,-0.26,-0.14,-0.03,7.45,7.46,7.45
20.61,7.72,7.72,0.27,0.27,-0.22,-0.15,-0.03,7.50,7.50,7.45
20.81,7.73,7.73,0.28,0.28,-0.19,-0.16,-0.03,7.54,7.54,7.45
21.02,7.71,7.71,0.26,0.26,-0.16,-0.16,-0.03,7.55,7.55,7.45
21.23,7.67,7.67,0.22,0.22,-0.14,-0.17,-0.03,7.53,7.52,7.45
21.44,7.60,7.60,0.15,0.15,-0.12,-0.18,-0.04,7.48,7.47,7.45
21.66,7.52,7.52,0.08,0.08,-0.08,-0.19,-0.04,7.44,7.44,7.45
21.87,7.45,7.46,0.01,0.02,-0.05,-0.20,-0.04,7.40,7.41,7.45
22.09,7.43,7.43,-0.01,-0.01,-0.05,-0.21,-0.04,7.39,7.39,7.45
22.31,7.44,7.44,-0.00,-0.00,-0.06,-0.22,-0.04,7.38,7.38,7.44
22.54,7.49,7.50,0.05,0.05,-0.11,-0.24,-0.04,7.38,7.39,7.44
22.76,7.58,7.58,0.14,0.14,-0.18,-0.25,-0.05,7.41,7.41,7.44
22.99,7.69,7.69,0.25,0.25,-0.26,-0.27,-0.05,7.43,7.44,7.44
23.22,7.81,7.81,0.37,0.37,-0.34,-0.28,-0.05,7.47,7.47,7.44
23.45,7.90,7.90,0.46,0.46,-0.40,-0.30,-0.05,7.50,7.50,7.44
23.69,7.96,7.95,0.52,0.52,-0.44,-0.31,-0.06,7.52,7.52,7.44
23.92,7.96,7.96,0.52,0.52,-0.45,-0.33,-0.06,7.51,7.51,7.44
24.16,7.92,7.92,0.49,0.48,-0.43,-0.34,-0.06,7.49,7.49,7.44
24.40,7.84,7.84,0.41,0.40,-0.39,-0.36,-0.06,7.45,7.45,7.44
24.65,7.74,7.75,0.31,0.31,-0.34,-0.37,-0.06,7.40,7.41,7.43
24.89,7.66,7.67,0.23,0.24,-0.30,-0.38,-0.07,7.36,7.37,7.43
25.14,7.63,7.63,0.20,0.20,-0.27,-0.39,-0.07,7.36,7.36,7.43
25.39,7.61,7.63,0.18,0.20,-0.26,-0.40,-0.07,7.35,7.37,7.43
25.65,7.66,7.66,0.23,0.23,-0.26,-0.40,-0.07,7.40,7.40,7.43
25.91,7.72,7.72,0.29,0.29,-0.29,-0.40,-0.07,7.44,7.43,7.43
26.16,7.78,7.78,0.36,0.36,-0.32,-0.40,-0.08,7.47,7.46,7.43
26.43,7.83,7.82,0.41,0.40,-0.35,-0.39,-0.08,7.48,7.47,7.42
26.69,7.84,7.84,0.42,0.42,-0.38,-0.38,-0.08,7.46,7.46,7.42
26.96,7.83,7.84,0.41,0.42,-0.41,-0.37,-0.08,7.42,7.43,7.42
27.23,7.82,7.82,0.40,0.40,-0.42,-0.35,-0.08,7.40,7.40,7.42
27.50,7.80,7.81,0.39,0.39,-0.41,-0.34,-0.08,7.39,7.40,7.42
27.77,7.79,7.80,0.38,0.38,-0.39,-0.32,-0.09,7.40,7.41,7.41
28.05,7.79,7.79,0.38,0.37,-0.35,-0.30,-0.09,7.44,7.43,7.41
28.33,7.76,7.76,0.35,0.35,-0.31,-0.27,-0.09,7.45,7.45,7.41
28.62,7.72,7.72,0.31,0.31,-0.27,-0.25,-0.09,7.46,7.45,7.41
28.90,7.65,7.65,0.25,0.24,-0.23,-0.23,-0.09,7.42,7.42,7.41
29.19,7.58,7.58,0.18,0.18,-0.21,-0.21,-0.09,7.37,7.37,7.40
29.48,7.51,7.53,0.11,0.13,-0.21,-0.18,-0.09,7.31,7.32,7.40
29.78,7.52,7.52,0.12,0.12,-0.21,-0.16,-0.09,7.31,7.31,7.40
30.08,7.55,7.56,0.16,0.17,-0.23,-0.14,-0.09,7.32,7.33,7.40
30.38,7.63,7.63,0.24,0.24,-0.24,-0.12,-0.08,7.39,7.39,7.39
30.68,7.71,7.70,0.32,0.31,-0.25,-0.10,-0.08,7.47,7.45,7.39
30.99,7.73,7.73,0.34,0.34,-0.23,-0.08,-0.08,7.50,7.50,7.39
31.30,7.70,7.69,0.32,0.31,-0.20,-0.06,-0.08,7.50,7.49,7.38
31.61,7.60,7.60,0.22,0.21,-0.15,-0.04,-0.07,7.46,7.45,7.38
31.93,7.46,7.46,0.09,0.09,-0.08,-0.03,-0.07,7.38,7.38,7.38
32.24,7.32,7.33,-0.05,-0.05,-0.01,-0.01,-0.07,7.31,7.32,7.37
32.57,7.21,7.22,-0.16,-0.15,0.05,0.00,-0.06,7.27,7.28,7.37
32.89,7.16,7.17,-0.21,-0.20,0.10,0.02,-0.06,7.26,7.27,7.37
33.22,7.17,7.17,-0.19,-0.19,0.12,0.04,-0.05,7.30,7.30,7.36
33.55,7.21,7.21,-0.15,-0.15,0.13,0.05,-0.05,7.34,7.34,7.36
33.89,7.27,7.27,-0.08,-0.09,0.12,0.06,-0.04,7.39,7.38,7.36
34.23,7.31,7.31,-0.04,-0.04,0.10,0.08,-0.04,7.41,7.41,7.35
34.57,7.33,7.33,-0.02,-0.02,0.10,0.09,-0.03,7.43,7.42,7.35
34.92,7.31,7.31,-0.03,-0.04,0.10,0.11,-0.02,7.41,7.41,7.34
35.27,7.25,7.25,-0.09,-0.09,0.12,0.12,-0.02,7.37,7.37,7.34
35.62,7.17,7.17,-0.16,-0.16,0.15,0.13,-0.01,7.32,7.32,7.33
35.97,7.09,7.10,-0.24,-0.23,0.18,0.15,-0.00,7.27,7.28,7.33
36.33,7.04,7.05,-0.28,-0.27,0.21,0.16,0.00,7.25,7.26,7.32
36.70,7.03,7.03,-0.29,-0.28,0.23,0.17,0.01,7.26,7.26,7.32
37.06,7.04,7.05,-0.27,-0.26,0.24,0.19,0.02,7.28,7.29,7.31
37.43,7.08,7.07,-0.22,-0.23,0.24,0.20,0.03,7.32,7.32,7.31
37.81,7.09,7.09,-0.21,-0.21,0.24,0.21,0.03,7.33,7.33,7.30
38.19,7.10,7.10,-0.19,-0.20,0.24,0.23,0.04,7.34,7.34,7.29
38.57,7.08,7.08,-0.20,-0.21,0.24,0.24,0.05,7.33,7.32,7.29
38.95,7.04,7.04,-0.24,-0.24,0.26,0.25,0.06,7.30,7.30,7.28
39.34,6.99,6.99,-0.28,-0.28,0.28,0.27,0.07,7.27,7.27,7.27
39.74,6.94,6.94,-0.32,-0.32,0.30,0.28,0.08,7.25,7.24,7.27
40.14,6.89,6.90,-0.37,-0.36,0.33,0.30,0.09,7.22,7.23,7.26
40.54,6.87,6.87,-0.38,-0.38,0.35,0.31,0.09,7.22,7.22,7.25
40.94,6.86,6.86,-0.38,-0.38,0.37,0.33,0.10,7.23,7.23,7.24
41.35,6.85,6.86,-0.38,-0.38,0.38,0.34,0.11,7.23,7.23,7.23
41.76,6.85,6.85,-0.37,-0.38,0.39,0.36,0.12,7.24,7.24,7.22
42.18,6.83,6.83,-0.38,-0.38,0.41,0.37,0.13,7.24,7.24,7.22
42.60,6.80,6.80,-0.40,-0.41,0.43,0.39,0.14,7.23,7.23,7.21
43.03,6.76,6.76,-0.43,-0.44,0.46,0.41,0.15,7.22,7.22,7.20
43.46,6.70,6.71,-0.48,-0.48,0.49,0.42,0.16,7.19,7.20,7.19
43.90,6.65,6.65,-0.52,-0.53,0.52,0.44,0.17,7.17,7.17,7.18
44.33,6.59,6.59,-0.57,-0.57,0.55,0.46,0.18,7.14,7.14,7.17
44.78,6.54,6.55,-0.61,-0.61,0.57,0.48,0.18,7.11,7.12,7.15
45.23,6.52,6.53,-0.62,-0.61,0.59,0.49,0.19,7.11,7.12,7.14
45.68,6.53,6.53,-0.60,-0.60,0.59,0.51,0.20,7.12,7.13,7.13
46.13,6.55,6.54,-0.57,-0.57,0.59,0.53,0.21,7.14,7.13,7.12
46.60,6.55,6.54,-0.55,-0.56,0.57,0.55,0.22,7.12,7.11,7.11
47.06,6.53,6.53,-0.56,-0.56,0.55,0.57,0.23,7.08,7.08,7.09
47.53,6.51,6.53,-0.57,-0.55,0.54,0.58,0.24,7.05,7.07,7.08
48.01,6.52,6.53,-0.54,-0.53,0.54,0.60,0.25,7.06,7.07,7.06
48.49,6.54,6.54,-0.51,-0.51,0.55,0.62,0.26,7.09,7.09,7.05
48.97,6.53,6.52,-0.50,-0.51,0.56,0.64,0.27,7.09,7.08,7.03
49.46,6.48,6.46,-0.54,-0.56,0.58,0.66,0.29,7.06,7.04,7.02
49.96,6.36,6.38,-0.64,-0.62,0.60,0.67,0.30,6.96,6.98,7.00
50.46,6.30,6.31,-0.68,-0.67,0.62,0.69,0.31,6.93,6.94,6.98
50.96,6.26,6.28,-0.70,-0.69,0.65,0.71,0.32,6.92,6.93,6.97
51.47,6.29,6.27,-0.66,-0.67,0.68,0.72,0.33,6.97,6.96,6.95
51.99,6.26,6.24,-0.67,-0.69,0.71,0.74,0.34,6.97,6.96,6.93
52.51,6.20,6.20,-0.71,-0.71,0.73,0.75,0.36,6.94,6.93,6.91
53.03,6.11,6.14,-0.78,-0.75,0.75,0.77,0.37,6.86,6.89,6.89
53.56,6.09,6.10,-0.78,-0.78,0.76,0.78,0.38,6.86,6.86,6.87
54.10,6.07,6.06,-0.78,-0.79,0.78,0.79,0.39,6.85,6.84,6.85
54.64,6.04,6.03,-0.78,-0.79,0.80,0.80,0.41,6.84,6.83,6.83
