frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.82,9.81,0.83,0.82,-0.90,-0.85,-0.49,8.92,8.91,8.99
20.20,9.96,9.97,0.97,0.98,-1.00,-0.86,-0.50,8.96,8.96,8.99
20.40,10.08,10.09,1.09,1.10,-1.09,-0.86,-0.51,9.00,9.00,8.99
20.61,10.18,10.18,1.19,1.19,-1.14,-0.87,-0.53,9.03,9.03,8.99
20.81,10.24,10.24,1.25,1.25,-1.18,-0.88,-0.54,9.06,9.06,8.99
21.02,10.26,10.26,1.27,1.28,-1.20,-0.88,-0.56,9.06,9.07,8.99
21.23,10.25,10.24,1.26,1.26,-1.19,-0.89,-0.57,9.06,9.05,8.99
21.44,10.19,10.18,1.20,1.20,-1.17,-0.90,-0.59,9.02,9.02,8.99
21.66,10.08,10.09,1.10,1.10,-1.08,-0.90,-0.60,9.00,9.00,8.99
21.87,9.97,9.97,0.98,0.98,-0.99,-0.91,-0.62,8.98,8.98,8.99
22.09,9.85,9.85,0.86,0.86,-0.88,-0.92,-0.64,8.97,8.97,8.98
22.31,9.73,9.73,0.75,0.75,-0.77,-0.92,-0.66,8.96,8.96,8.98
22.54,9.62,9.63,0.64,0.64,-0.68,-0.93,-0.67,8.95,8.95,8.98
22.76,9.54,9.54,0.56,0.56,-0.60,-0.94,-0.69,8.95,8.95,8.98
22.99,9.49,9.49,0.51,0.51,-0.53,-0.95,-0.71,8.96,8.96,8.98
23.22,9.46,9.46,0.48,0.48,-0.49,-0.95,-0.73,8.97,8.97,8.98
23.45,9.45,9.45,0.47,0.47,-0.47,-0.96,-0.75,8.98,8.98,8.98
23.69,9.45,9.45,0.47,0.47,-0.46,-0.97,-0.77,8.99,8.99,8.98
23.92,9.45,9.45,0.47,0.47,-0.46,-0.98,-0.79,8.99,8.99,8.98
24.16,9.46,9.46,0.49,0.48,-0.48,-0.99,-0.81,8.98,8.98,8.98
24.40,9.47,9.47,0.50,0.50,-0.50,-0.99,-0.83,8.97,8.97,8.97
24.65,9.49,9.49,0.52,0.52,-0.52,-1.00,-0.85,8.97,8.97,8.97
24.89,9.52,9.52,0.55,0.55,-0.55,-1.01,-0.87,8.97,8.97,8.97
25.14,9.55,9.55,0.58,0.58,-0.59,-1.02,-0.90,8.97,8.97,8.97
25.39,9.59,9.59,0.62,0.62,-0.62,-1.03,-0.92,8.97,8.97,8.97
25.65,9.63,9.63,0.66,0.66,-0.65,-1.04,-0.94,8.98,8.97,8.97
25.91,9.66,9.66,0.69,0.70,-0.69,-1.05,-0.96,8.97,8.97,8.97
26.16,9.70,9.70,0.74,0.73,-0.72,-1.06,-0.99,8.98,8.97,8.96
26.43,9.72,9.72,0.76,0.76,-0.75,-1.07,-1.01,8.97,8.97,8.96
26.69,9.75,9.75,0.79,0.79,-0.78,-1.08,-1.03,8.97,8.96,8.96
26.96,9.77,9.77,0.81,0.81,-0.81,-1.09,-1.05,8.96,8.96,8.96
27.23,9.79,9.79,0.83,0.84,-0.84,-1.10,-1.08,8.95,8.95,8.96
27.50,9.82,9.82,0.86,0.86,-0.87,-1.11,-1.10,8.95,8.95,8.96
27.77,9.85,9.85,0.90,0.90,-0.90,-1.12,-1.12,8.95,8.95,8.95
28.05,9.88,9.88,0.93,0.93,-0.93,-1.13,-1.14,8.95,8.95,8.95
28.33,9.92,9.92,0.97,0.97,-0.97,-1.14,-1.16,8.95,8.95,8.95
28.62,9.95,9.95,1.00,1.00,-1.00,-1.15,-1.18,8.95,8.95,8.95
28.90,9.98,9.98,1.04,1.04,-1.03,-1.16,-1.20,8.95,8.95,8.95
29.19,10.01,10.01,1.07,1.06,-1.06,-1.18,-1.22,8.95,8.95,8.94
29.48,10.03,10.03,1.09,1.09,-1.09,-1.19,-1.24,8.94,8.94,8.94
29.78,10.05,10.05,1.11,1.12,-1.12,-1.20,-1.26,8.93,8.94,8.94
30.08,10.08,10.08,1.14,1.14,-1.14,-1.21,-1.28,8.94,8.93,8.94
30.38,10.10,10.10,1.17,1.17,-1.17,-1.23,-1.29,8.93,8.93,8.93
30.68,10.12,10.13,1.19,1.20,-1.20,-1.24,-1.31,8.92,8.93,8.93
30.99,10.15,10.15,1.22,1.22,-1.23,-1.25,-1.33,8.92,8.92,8.93
31.30,10.18,10.18,1.26,1.25,-1.25,-1.26,-1.34,8.93,8.92,8.92
31.61,10.20,10.21,1.28,1.28,-1.28,-1.28,-1.35,8.92,8.92,8.92
31.93,10.23,10.23,1.31,1.31,-1.31,-1.29,-1.36,8.92,8.92,8.92
32.24,10.25,10.25,1.34,1.33,-1.33,-1.31,-1.38,8.92,8.92,8.91
32.57,10.26,10.27,1.35,1.36,-1.35,-1.32,-1.39,8.91,8.92,8.91
32.89,10.28,10.28,1.37,1.37,-1.37,-1.33,-1.40,8.92,8.91,8.91
33.22,10.29,10.29,1.39,1.38,-1.38,-1.35,-1.41,8.91,8.91,8.90
33.55,10.29,10.29,1.39,1.39,-1.40,-1.36,-1.41,8.89,8.90,8.90
33.89,10.30,10.30,1.41,1.41,-1.41,-1.38,-1.42,8.89,8.89,8.90
34.23,10.31,10.31,1.42,1.42,-1.43,-1.39,-1.43,8.88,8.88,8.89
34.57,10.33,10.33,1.44,1.44,-1.45,-1.41,-1.44,8.88,8.88,8.89
34.92,10.35,10.35,1.47,1.47,-1.47,-1.43,-1.45,8.88,8.88,8.88
35.27,10.37,10.37,1.49,1.49,-1.49,-1.44,-1.45,8.88,8.88,8.88
35.62,10.39,10.39,1.52,1.52,-1.52,-1.46,-1.46,8.87,8.87,8.87
35.97,10.41,10.41,1.54,1.55,-1.55,-1.48,-1.47,8.87,8.87,8.87
36.33,10.44,10.44,1.58,1.58,-1.57,-1.49,-1.47,8.87,8.86,8.86
36.70,10.46,10.46,1.60,1.60,-1.60,-1.51,-1.48,8.86,8.86,8.86
37.06,10.48,10.48,1.63,1.63,-1.63,-1.53,-1.49,8.85,8.85,8.85
37.43,10.50,10.50,1.66,1.66,-1.66,-1.55,-1.50,8.85,8.85,8.85
37.81,10.52,10.52,1.68,1.68,-1.68,-1.56,-1.51,8.84,8.84,8.84
38.19,10.54,10.54,1.71,1.71,-1.71,-1.58,-1.52,8.83,8.83,8.83
38.57,10.56,10.56,1.73,1.74,-1.74,-1.60,-1.53,8.82,8.82,8.83
38.95,10.59,10.59,1.77,1.77,-1.77,-1.62,-1.54,8.82,8.82,8.82
39.34,10.61,10.61,1.80,1.80,-1.80,-1.64,-1.55,8.81,8.81,8.81
39.74,10.63,10.63,1.83,1.83,-1.83,-1.66,-1.56,8.80,8.81,8.81
40.14,10.65,10.65,1.85,1.85,-1.85,-1.68,-1.58,8.80,8.80,8.80
40.54,10.67,10.67,1.88,1.88,-1.88,-1.70,-1.59,8.79,8.79,8.79
40.94,10.69,10.69,1.91,1.91,-1.90,-1.72,-1.61,8.79,8.79,8.78
41.35,10.70,10.70,1.93,1.93,-1.93,-1.74,-1.62,8.77,8.78,8.77
41.76,10.72,10.72,1.96,1.95,-1.95,-1.76,-1.64,8.77,8.77,8.76
42.18,10.72,10.72,1.97,1.97,-1.97,-1.79,-1.66,8.75,8.75,8.76
42.60,10.73,10.73,1.98,1.99,-1.99,-1.81,-1.68,8.74,8.74,8.75
43.03,10.74,10.74,2.00,2.01,-2.01,-1.83,-1.70,8.73,8.73,8.74
43.46,10.76,10.76,2.03,2.03,-2.03,-1.85,-1.73,8.73,8.72,8.73
43.90,10.77,10.77,2.06,2.06,-2.05,-1.88,-1.75,8.72,8.72,8.72
44.33,10.78,10.78,2.08,2.08,-2.08,-1.90,-1.78,8.70,8.71,8.70
44.78,10.80,10.80,2.11,2.10,-2.10,-1.92,-1.80,8.70,8.70,8.69
45.23,10.81,10.81,2.13,2.13,-2.13,-1.95,-1.83,8.68,8.68,8.68
45.68,10.83,10.83,2.16,2.16,-2.16,-1.97,-1.86,8.67,8.67,8.67
46.13,10.84,10.84,2.18,2.19,-2.19,-2.00,-1.89,8.65,8.65,8.66
46.60,10.86,10.86,2.22,2.22,-2.22,-2.02,-1.92,8.64,8.64,8.64
47.06,10.88,10.88,2.25,2.25,-2.26,-2.05,-1.96,8.62,8.62,8.63
47.53,10.90,10.90,2.28,2.29,-2.29,-2.08,-1.99,8.61,8.61,8.62
48.01,10.93,10.93,2.33,2.33,-2.32,-2.10,-2.03,8.61,8.61,8.60
48.49,10.95,10.95,2.36,2.36,-2.34,-2.13,-2.06,8.61,8.61,8.59
48.97,10.96,10.96,2.39,2.39,-2.37,-2.16,-2.10,8.59,8.59,8.57
49.46,10.96,10.95,2.40,2.40,-2.39,-2.18,-2.14,8.57,8.57,8.56
49.96,10.94,10.94,2.40,2.40,-2.41,-2.21,-2.18,8.53,8.54,8.54
50.46,10.93,10.93,2.41,2.41,-2.43,-2.24,-2.22,8.51,8.51,8.52
50.96,10.93,10.93,2.42,2.43,-2.45,-2.27,-2.26,8.49,8.49,8.51
51.47,10.94,10.94,2.45,2.45,-2.47,-2.30,-2.30,8.47,8.48,8.49
51.99,10.96,10.96,2.49,2.49,-2.49,-2.33,-2.34,8.47,8.47,8.47
52.51,10.98,10.98,2.53,2.53,-2.52,-2.36,-2.39,8.46,8.46,8.45
53.03,10.99,10.99,2.56,2.56,-2.55,-2.39,-2.43,8.44,8.44,8.43
53.56,11.00,11.00,2.59,2.59,-2.59,-2.42,-2.48,8.41,8.42,8.41
54.10,11.01,11.01,2.62,2.62,-2.62,-2.45,-2.52,8.39,8.39,8.39
54.64,11.02,11.02,2.65,2.65,-2.65,-2.48,-2.56,8.37,8.37,8.37
55.18,11.02,11.02,2.68,2.68,-2.68,-2.51,-2.61,8.34,8.34,8.34
55.74,11.03,11.03,2.71,2.71,-2.71,-2.55,-2.65,8.32,8.32,8.32
56.29,11.03,11.03,2.73,2.74,-2.74,-2.58,-2.69,8.29,8.30,8.30
56.86,11.04,11.04,2.77,2.77,-2.76,-2.61,-2.73,8.28,8.27,8.27
57.42,11.04,11.04,2.79,2.79,-2.79,-2.65,-2.77,8.25,8.25,8.25
58.00,11.04,11.04,2.82,2.82,-2.82,-2.68,-2.81,8.22,8.22,8.22
58.58,11.04,11.04,2.85,2.85,-2.85,-2.72,-2.85,8.19,8.19,8.19
59.16,11.04,11.04,2.88,2.88,-2.88,-2.75,-2.89,8.16,8.16,8.16
59.76,11.04,11.04,2.91,2.90,-2.91,-2.79,-2.93,8.13,8.13,8.14
60.35,11.04,11.04,2.94,2.94,-2.94,-2.82,-2.96,8.10,8.10,8.11
60.96,11.04,11.04,2.97,2.97,-2.97,-2.86,-2.99,8.07,8.07,8.08
61.57,11.05,11.05,3.01,3.00,-3.00,-2.90,-3.03,8.05,8.04,8.04
62.18,11.05,11.05,3.04,3.04,-3.04,-2.93,-3.06,8.01,8.01,8.01
62.80,11.05,11.05,3.07,3.07,-3.07,-2.97,-3.08,7.98,7.98,7.98
63.43,11.05,11.05,3.11,3.11,-3.10,-3.01,-3.11,7.95,7.95,7.94
64.07,11.05,11.05,3.14,3.14,-3.14,-3.05,-3.14,7.91,7.91,7.91
64.71,11.04,11.04,3.17,3.17,-3.17,-3.09,-3.16,7.87,7.87,7.87
65.35,11.04,11.04,3.21,3.20,-3.20,-3.12,-3.18,7.84,7.83,7.84
66.01,11.03,11.03,3.23,3.23,-3.24,-3.16,-3.20,7.80,7.80,7.80
66.67,11.02,11.02,3.26,3.27,-3.27,-3.20,-3.22,7.75,7.76,7.76
67.33,11.02,11.02,3.30,3.30,-3.30,-3.24,-3.24,7.72,7.72,7.72
68.01,11.01,11.01,3.33,3.34,-3.34,-3.29,-3.26,7.67,7.68,7.68
68.69,11.01,11.01,3.38,3.37,-3.37,-3.33,-3.28,7.64,7.64,7.64
69.37,11.00,11.00,3.41,3.41,-3.41,-3.37,-3.30,7.59,7.59,7.59
70.07,10.99,10.99,3.44,3.45,-3.45,-3.41,-3.31,7.54,7.55,7.55
70.77,10.99,10.99,3.49,3.48,-3.48,-3.45,-3.33,7.51,7.50,7.50
71.48,10.98,10.98,3.52,3.52,-3.52,-3.50,-3.35,7.46,7.46,7.46
72.19,10.97,10.97,3.56,3.56,-3.56,-3.54,-3.37,7.41,7.41,7.41
72.91,10.96,10.96,3.60,3.60,-3.60,-3.58,-3.39,7.36,7.36,7.36
73.64,10.95,10.95,3.64,3.64,-3.64,-3.63,-3.41,7.31,7.31,7.31
74.38,10.94,10.94,3.68,3.68,-3.68,-3.67,-3.43,7.26,7.26,7.26
75.12,10.93,10.93,3.72,3.72,-3.72,-3.71,-3.45,7.21,7.21,7.21
75.87,10.92,10.92,3.76,3.76,-3.76,-3.76,-3.47,7.16,7.16,7.16
76.63,10.90,10.90,3.80,3.80,-3.80,-3.80,-3.50,7.10,7.10,7.10
77.40,10.89,10.89,3.84,3.84,-3.84,-3.85,-3.53,7.05,7.05,7.05
78.17,10.88,10.88,3.89,3.89,-3.89,-3.90,-3.56,6.99,6.99,7.00
78.95,10.87,10.87,3.93,3.93,-3.93,-3.94,-3.59,6.94,6.94,6.94
79.74,10.86,10.86,3.98,3.98,-3.97,-3.99,-3.62,6.89,6.88,6.88
