frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.47,8.48,1.87,1.88,-1.87,-1.87,-0.72,6.61,6.61,6.60
20.20,8.45,8.45,1.85,1.85,-1.84,-1.86,-0.74,6.61,6.61,6.60
20.40,8.42,8.42,1.82,1.82,-1.81,-1.86,-0.76,6.61,6.60,6.60
20.61,8.38,8.39,1.78,1.79,-1.79,-1.86,-0.79,6.60,6.60,6.60
20.81,8.35,8.36,1.75,1.76,-1.77,-1.85,-0.81,6.59,6.59,6.60
21.02,8.33,8.33,1.73,1.73,-1.75,-1.85,-0.83,6.58,6.58,6.60
21.23,8.31,8.32,1.72,1.72,-1.73,-1.84,-0.86,6.58,6.58,6.60
21.44,8.31,8.31,1.72,1.72,-1.72,-1.84,-0.89,6.59,6.59,6.60
21.66,8.31,8.32,1.72,1.72,-1.72,-1.83,-0.91,6.60,6.60,6.60
21.87,8.32,8.32,1.73,1.72,-1.71,-1.83,-0.94,6.61,6.61,6.60
22.09,8.32,8.32,1.73,1.73,-1.71,-1.82,-0.97,6.61,6.61,6.60
22.31,8.31,8.32,1.72,1.72,-1.71,-1.82,-1.00,6.60,6.61,6.59
22.54,8.31,8.31,1.72,1.72,-1.71,-1.81,-1.03,6.60,6.60,6.59
22.76,8.30,8.30,1.71,1.71,-1.71,-1.81,-1.06,6.59,6.59,6.59
22.99,8.29,8.30,1.70,1.71,-1.72,-1.80,-1.09,6.58,6.58,6.59
23.22,8.30,8.30,1.71,1.71,-1.73,-1.80,-1.12,6.58,6.58,6.59
23.45,8.31,8.31,1.72,1.72,-1.74,-1.79,-1.15,6.58,6.58,6.59
23.69,8.33,8.33,1.74,1.75,-1.75,-1.78,-1.19,6.58,6.58,6.59
23.92,8.35,8.36,1.77,1.77,-1.77,-1.78,-1.22,6.59,6.59,6.59
24.16,8.38,8.38,1.80,1.79,-1.78,-1.77,-1.25,6.60,6.60,6.59
24.40,8.39,8.39,1.81,1.81,-1.79,-1.77,-1.29,6.60,6.60,6.59
24.65,8.40,8.40,1.82,1.82,-1.80,-1.76,-1.32,6.60,6.60,6.58
24.89,8.39,8.40,1.81,1.81,-1.80,-1.75,-1.36,6.59,6.60,6.58
25.14,8.38,8.38,1.80,1.80,-1.79,-1.75,-1.40,6.59,6.59,6.58
25.39,8.36,8.36,1.78,1.78,-1.79,-1.74,-1.43,6.58,6.58,6.58
25.65,8.34,8.34,1.77,1.77,-1.78,-1.73,-1.47,6.57,6.57,6.58
25.91,8.32,8.33,1.75,1.75,-1.77,-1.73,-1.50,6.55,6.56,6.58
26.16,8.32,8.32,1.75,1.75,-1.76,-1.72,-1.54,6.56,6.56,6.58
26.43,8.32,8.33,1.75,1.75,-1.76,-1.71,-1.57,6.56,6.56,6.57
26.69,8.33,8.33,1.76,1.76,-1.76,-1.71,-1.61,6.57,6.57,6.57
26.96,8.34,8.34,1.77,1.77,-1.76,-1.70,-1.64,6.59,6.58,6.57
27.23,8.34,8.34,1.78,1.77,-1.76,-1.69,-1.67,6.59,6.59,6.57
27.50,8.33,8.33,1.77,1.76,-1.75,-1.68,-1.71,6.58,6.58,6.57
27.77,8.31,8.32,1.75,1.75,-1.75,-1.68,-1.74,6.57,6.57,6.56
28.05,8.29,8.30,1.73,1.73,-1.74,-1.67,-1.77,6.56,6.56,6.56
28.33,8.28,8.28,1.72,1.72,-1.73,-1.66,-1.79,6.56,6.55,6.56
28.62,8.26,8.27,1.71,1.71,-1.72,-1.65,-1.82,6.55,6.55,6.56
28.90,8.25,8.26,1.70,1.70,-1.71,-1.64,-1.84,6.55,6.55,6.56
29.19,8.25,8.25,1.70,1.70,-1.70,-1.63,-1.86,6.56,6.55,6.55
29.48,8.24,8.24,1.69,1.69,-1.69,-1.63,-1.88,6.55,6.55,6.55
29.78,8.23,8.24,1.68,1.69,-1.68,-1.62,-1.90,6.55,6.55,6.55
30.08,8.22,8.22,1.68,1.68,-1.68,-1.61,-1.91,6.55,6.55,6.55
30.38,8.21,8.21,1.67,1.67,-1.67,-1.60,-1.92,6.55,6.54,6.54
30.68,8.19,8.20,1.65,1.66,-1.65,-1.59,-1.93,6.54,6.54,6.54
30.99,8.18,8.18,1.65,1.64,-1.64,-1.58,-1.93,6.54,6.54,6.54
31.30,8.16,8.16,1.63,1.63,-1.62,-1.57,-1.93,6.54,6.54,6.53
31.61,8.13,8.14,1.60,1.61,-1.60,-1.56,-1.93,6.53,6.53,6.53
31.93,8.11,8.11,1.59,1.58,-1.58,-1.55,-1.93,6.53,6.53,6.53
32.24,8.08,8.09,1.56,1.56,-1.57,-1.54,-1.92,6.52,6.52,6.52
32.57,8.06,8.06,1.54,1.54,-1.55,-1.53,-1.91,6.51,6.51,6.52
32.89,8.04,8.04,1.53,1.52,-1.53,-1.52,-1.90,6.51,6.51,6.52
33.22,8.02,8.03,1.51,1.51,-1.52,-1.51,-1.88,6.51,6.51,6.51
33.55,8.01,8.01,1.50,1.50,-1.50,-1.49,-1.86,6.51,6.51,6.51
33.89,8.00,8.00,1.50,1.49,-1.49,-1.48,-1.84,6.52,6.51,6.51
34.23,7.98,7.98,1.48,1.48,-1.47,-1.47,-1.82,6.51,6.51,6.50
34.57,7.95,7.96,1.46,1.46,-1.46,-1.46,-1.79,6.50,6.50,6.50
34.92,7.93,7.93,1.44,1.44,-1.44,-1.45,-1.77,6.50,6.49,6.49
35.27,7.90,7.91,1.42,1.42,-1.42,-1.44,-1.74,6.48,6.48,6.49
35.62,7.88,7.88,1.40,1.40,-1.40,-1.42,-1.71,6.48,6.48,6.48
35.97,7.86,7.86,1.39,1.38,-1.39,-1.41,-1.68,6.48,6.47,6.48
36.33,7.84,7.84,1.37,1.37,-1.37,-1.40,-1.65,6.47,6.47,6.47
36.70,7.82,7.83,1.36,1.36,-1.36,-1.38,-1.61,6.46,6.46,6.47
37.06,7.81,7.81,1.35,1.35,-1.35,-1.37,-1.58,6.46,6.46,6.46
37.43,7.79,7.80,1.34,1.34,-1.34,-1.36,-1.55,6.45,6.46,6.46
37.81,7.78,7.78,1.33,1.33,-1.33,-1.34,-1.51,6.46,6.45,6.45
38.19,7.76,7.76,1.32,1.32,-1.32,-1.33,-1.48,6.45,6.45,6.44
38.57,7.74,7.75,1.31,1.31,-1.30,-1.32,-1.44,6.44,6.44,6.44
38.95,7.72,7.72,1.29,1.29,-1.29,-1.30,-1.41,6.44,6.43,6.43
39.34,7.69,7.69,1.27,1.27,-1.27,-1.29,-1.37,6.42,6.42,6.42
39.74,7.66,7.67,1.25,1.25,-1.26,-1.27,-1.34,6.41,6.41,6.42
40.14,7.64,7.64,1.24,1.24,-1.24,-1.26,-1.30,6.40,6.40,6.41
40.54,7.62,7.62,1.22,1.22,-1.22,-1.24,-1.27,6.40,6.40,6.40
40.94,7.60,7.60,1.21,1.21,-1.21,-1.23,-1.24,6.40,6.39,6.39
41.35,7.57,7.58,1.19,1.19,-1.19,-1.21,-1.20,6.38,6.39,6.38
41.76,7.55,7.55,1.18,1.18,-1.17,-1.20,-1.17,6.38,6.38,6.38
42.18,7.52,7.52,1.16,1.16,-1.16,-1.18,-1.14,6.37,6.37,6.37
42.60,7.49,7.49,1.14,1.14,-1.14,-1.16,-1.11,6.36,6.36,6.36
43.03,7.46,7.46,1.12,1.12,-1.12,-1.15,-1.08,6.35,6.35,6.35
43.46,7.43,7.43,1.10,1.10,-1.10,-1.13,-1.05,6.34,6.34,6.34
43.90,7.40,7.40,1.08,1.08,-1.08,-1.11,-1.02,6.33,6.33,6.33
44.33,7.37,7.37,1.06,1.05,-1.06,-1.10,-1.00,6.32,6.31,6.32
44.78,7.33,7.34,1.03,1.03,-1.04,-1.08,-0.97,6.30,6.30,6.30
45.23,7.30,7.31,1.01,1.01,-1.02,-1.06,-0.94,6.29,6.29,6.29
45.68,7.28,7.28,1.00,1.00,-1.00,-1.05,-0.92,6.29,6.28,6.28
46.13,7.25,7.25,0.99,0.99,-0.98,-1.03,-0.89,6.27,6.27,6.27
46.60,7.22,7.22,0.97,0.97,-0.96,-1.01,-0.87,6.26,6.26,6.26
47.06,7.18,7.18,0.94,0.94,-0.95,-0.99,-0.85,6.24,6.24,6.24
47.53,7.14,7.15,0.92,0.92,-0.93,-0.98,-0.82,6.22,6.22,6.23
48.01,7.11,7.12,0.90,0.90,-0.90,-0.96,-0.80,6.21,6.21,6.21
48.49,7.09,7.09,0.89,0.89,-0.88,-0.94,-0.78,6.21,6.21,6.20
48.97,7.06,7.06,0.88,0.87,-0.85,-0.92,-0.76,6.21,6.20,6.18
49.46,7.01,7.01,0.85,0.84,-0.83,-0.90,-0.74,6.18,6.18,6.17
49.96,6.94,6.95,0.79,0.80,-0.81,-0.89,-0.72,6.13,6.14,6.15
50.46,6.89,6.90,0.76,0.77,-0.79,-0.87,-0.71,6.11,6.11,6.13
50.96,6.86,6.87,0.75,0.75,-0.77,-0.85,-0.69,6.10,6.10,6.12
51.47,6.86,6.85,0.76,0.75,-0.75,-0.83,-0.67,6.11,6.10,6.10
