frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.74,11.74,4.32,4.33,-4.34,-4.36,-1.81,7.40,7.40,7.41
20.20,11.74,11.73,4.33,4.32,-4.32,-4.36,-1.87,7.41,7.41,7.41
20.40,11.73,11.73,4.32,4.32,-4.31,-4.35,-1.92,7.41,7.42,7.41
20.61,11.73,11.72,4.32,4.31,-4.30,-4.35,-1.98,7.42,7.42,7.41
20.81,11.72,11.72,4.31,4.31,-4.30,-4.34,-2.04,7.42,7.42,7.41
21.02,11.72,11.71,4.31,4.30,-4.30,-4.34,-2.10,7.42,7.42,7.41
21.23,11.71,11.71,4.30,4.30,-4.30,-4.33,-2.16,7.41,7.41,7.41
21.44,11.71,11.71,4.30,4.30,-4.30,-4.33,-2.22,7.40,7.40,7.41
21.66,11.72,11.71,4.31,4.31,-4.31,-4.32,-2.29,7.40,7.40,7.41
21.87,11.72,11.72,4.31,4.32,-4.33,-4.32,-2.36,7.39,7.40,7.41
22.09,11.74,11.74,4.33,4.33,-4.34,-4.31,-2.42,7.39,7.39,7.40
22.31,11.76,11.76,4.35,4.36,-4.37,-4.31,-2.50,7.39,7.39,7.40
22.54,11.79,11.79,4.38,4.38,-4.39,-4.30,-2.57,7.40,7.40,7.40
22.76,11.82,11.81,4.42,4.41,-4.41,-4.29,-2.64,7.40,7.40,7.40
22.99,11.84,11.84,4.44,4.44,-4.43,-4.29,-2.72,7.41,7.41,7.40
23.22,11.86,11.85,4.46,4.45,-4.44,-4.28,-2.80,7.42,7.42,7.40
23.45,11.86,11.85,4.46,4.45,-4.43,-4.28,-2.88,7.42,7.42,7.40
23.69,11.84,11.84,4.44,4.44,-4.42,-4.27,-2.96,7.42,7.42,7.40
23.92,11.81,11.81,4.41,4.41,-4.39,-4.26,-3.04,7.42,7.42,7.40
24.16,11.77,11.76,4.37,4.37,-4.36,-4.25,-3.13,7.41,7.41,7.40
24.40,11.71,11.71,4.31,4.31,-4.32,-4.25,-3.21,7.39,7.39,7.39
24.65,11.66,11.66,4.26,4.26,-4.28,-4.24,-3.30,7.38,7.38,7.39
24.89,11.61,11.61,4.21,4.22,-4.25,-4.23,-3.39,7.36,7.36,7.39
25.14,11.59,11.59,4.20,4.20,-4.22,-4.22,-3.48,7.36,7.36,7.39
25.39,11.58,11.58,4.19,4.19,-4.21,-4.22,-3.56,7.37,7.37,7.39
25.65,11.59,11.59,4.20,4.20,-4.21,-4.21,-3.65,7.38,7.38,7.39
25.91,11.60,11.60,4.21,4.21,-4.21,-4.20,-3.74,7.39,7.39,7.39
26.16,11.61,11.61,4.22,4.22,-4.21,-4.19,-3.83,7.40,7.40,7.38
26.43,11.62,11.61,4.23,4.23,-4.21,-4.18,-3.92,7.41,7.40,7.38
26.69,11.61,11.61,4.23,4.23,-4.21,-4.17,-4.01,7.40,7.40,7.38
26.96,11.60,11.59,4.22,4.21,-4.20,-4.16,-4.09,7.39,7.39,7.38
27.23,11.57,11.57,4.19,4.19,-4.19,-4.15,-4.18,7.38,7.38,7.38
27.50,11.55,11.54,4.17,4.17,-4.17,-4.14,-4.26,7.37,7.37,7.38
27.77,11.52,11.52,4.14,4.15,-4.15,-4.13,-4.34,7.36,7.37,7.37
28.05,11.50,11.50,4.12,4.13,-4.14,-4.12,-4.41,7.36,7.36,7.37
28.33,11.49,11.48,4.12,4.11,-4.12,-4.11,-4.48,7.37,7.36,7.37
28.62,11.47,11.47,4.10,4.10,-4.10,-4.10,-4.55,7.36,7.36,7.37
28.90,11.46,11.46,4.09,4.09,-4.09,-4.09,-4.61,7.36,7.36,7.37
29.19,11.45,11.45,4.08,4.08,-4.09,-4.08,-4.67,7.36,7.36,7.36
29.48,11.44,11.44,4.08,4.08,-4.08,-4.07,-4.72,7.36,7.36,7.36
29.78,11.43,11.43,4.07,4.07,-4.07,-4.06,-4.77,7.36,7.36,7.36
30.08,11.42,11.42,4.06,4.06,-4.06,-4.04,-4.80,7.36,7.36,7.36
30.38,11.41,11.41,4.05,4.05,-4.04,-4.03,-4.84,7.37,7.37,7.35
30.68,11.39,11.39,4.04,4.04,-4.02,-4.02,-4.86,7.37,7.37,7.35
30.99,11.36,11.35,4.01,4.01,-4.00,-4.00,-4.88,7.36,7.36,7.35
31.30,11.32,11.32,3.97,3.97,-3.98,-3.99,-4.88,7.34,7.34,7.34
31.61,11.28,11.28,3.94,3.94,-3.95,-3.98,-4.89,7.32,7.32,7.34
31.93,11.25,11.25,3.91,3.91,-3.93,-3.96,-4.88,7.31,7.31,7.34
32.24,11.23,11.23,3.89,3.90,-3.91,-3.95,-4.87,7.31,7.32,7.33
