frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.55,6.55,0.41,0.41,-0.41,-0.53,-0.31,6.14,6.14,6.14
20.20,6.59,6.60,0.45,0.45,-0.45,-0.53,-0.32,6.14,6.15,6.14
20.40,6.63,6.63,0.49,0.49,-0.48,-0.53,-0.33,6.15,6.15,6.14
20.61,6.66,6.66,0.52,0.52,-0.51,-0.53,-0.34,6.15,6.15,6.14
20.81,6.68,6.68,0.54,0.54,-0.54,-0.53,-0.35,6.14,6.14,6.14
21.02,6.69,6.69,0.55,0.56,-0.56,-0.54,-0.36,6.13,6.13,6.14
21.23,6.70,6.71,0.56,0.57,-0.59,-0.54,-0.37,6.12,6.12,6.14
21.44,6.72,6.72,0.59,0.58,-0.60,-0.54,-0.38,6.12,6.12,6.14
21.66,6.74,6.74,0.61,0.61,-0.63,-0.54,-0.39,6.12,6.12,6.14
21.87,6.76,6.77,0.63,0.63,-0.65,-0.54,-0.41,6.11,6.12,6.14
22.09,6.79,6.79,0.66,0.66,-0.66,-0.54,-0.42,6.13,6.13,6.14
22.31,6.81,6.81,0.68,0.68,-0.67,-0.54,-0.43,6.15,6.15,6.13
22.54,6.82,6.82,0.69,0.69,-0.65,-0.55,-0.44,6.17,6.17,6.13
22.76,6.80,6.80,0.67,0.67,-0.61,-0.55,-0.45,6.19,6.19,6.13
22.99,6.76,6.75,0.63,0.62,-0.56,-0.55,-0.47,6.20,6.19,6.13
23.22,6.67,6.67,0.54,0.54,-0.50,-0.55,-0.48,6.18,6.17,6.13
23.45,6.57,6.57,0.44,0.44,-0.44,-0.55,-0.49,6.13,6.13,6.13
23.69,6.49,6.48,0.36,0.35,-0.40,-0.55,-0.51,6.09,6.08,6.13
23.92,6.41,6.42,0.29,0.30,-0.38,-0.55,-0.52,6.03,6.04,6.13
24.16,6.41,6.42,0.29,0.29,-0.40,-0.56,-0.54,6.02,6.02,6.13
24.40,6.48,6.48,0.35,0.36,-0.44,-0.56,-0.55,6.03,6.04,6.13
24.65,6.59,6.60,0.47,0.47,-0.51,-0.56,-0.56,6.08,6.08,6.12
24.89,6.75,6.74,0.62,0.62,-0.60,-0.56,-0.58,6.15,6.14,6.12
25.14,6.88,6.87,0.75,0.75,-0.69,-0.56,-0.59,6.19,6.19,6.12
25.39,6.98,6.97,0.86,0.85,-0.76,-0.57,-0.61,6.23,6.21,6.12
25.65,7.01,7.01,0.90,0.89,-0.81,-0.57,-0.62,6.21,6.21,6.12
25.91,7.00,7.00,0.89,0.88,-0.83,-0.57,-0.64,6.18,6.18,6.12
26.16,6.95,6.95,0.84,0.84,-0.82,-0.57,-0.65,6.13,6.13,6.12
26.43,6.88,6.89,0.77,0.77,-0.80,-0.57,-0.67,6.08,6.08,6.11
26.69,6.82,6.83,0.71,0.71,-0.78,-0.58,-0.68,6.05,6.05,6.11
26.96,6.78,6.79,0.67,0.68,-0.75,-0.58,-0.70,6.04,6.05,6.11
