frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.32,5.32,-1.75,-1.75,1.75,1.42,-0.10,7.06,7.06,7.06
20.20,5.35,5.35,-1.72,-1.72,1.72,1.38,-0.10,7.06,7.06,7.06
20.40,5.38,5.38,-1.69,-1.68,1.68,1.35,-0.10,7.06,7.06,7.06
20.61,5.42,5.41,-1.65,-1.65,1.65,1.31,-0.10,7.07,7.06,7.06
20.81,5.45,5.45,-1.61,-1.61,1.61,1.27,-0.10,7.06,7.06,7.06
21.02,5.49,5.49,-1.57,-1.57,1.58,1.24,-0.10,7.06,7.06,7.06
21.23,5.53,5.53,-1.53,-1.53,1.53,1.20,-0.11,7.06,7.06,7.06
21.44,5.57,5.57,-1.49,-1.49,1.49,1.16,-0.11,7.06,7.06,7.06
21.66,5.62,5.61,-1.44,-1.45,1.45,1.13,-0.11,7.06,7.06,7.06
21.87,5.66,5.66,-1.40,-1.40,1.40,1.09,-0.11,7.06,7.06,7.06
22.09,5.71,5.71,-1.35,-1.35,1.35,1.05,-0.12,7.06,7.06,7.06
22.31,5.76,5.76,-1.30,-1.30,1.30,1.01,-0.12,7.05,7.05,7.06
22.54,5.81,5.81,-1.25,-1.25,1.24,0.97,-0.12,7.05,7.05,7.05
22.76,5.87,5.87,-1.19,-1.19,1.18,0.93,-0.12,7.05,7.05,7.05
22.99,5.93,5.93,-1.13,-1.13,1.12,0.89,-0.13,7.05,7.05,7.05
23.22,5.99,5.99,-1.07,-1.06,1.07,0.85,-0.13,7.05,7.05,7.05
23.45,6.05,6.05,-1.00,-1.00,1.01,0.81,-0.13,7.06,7.06,7.05
23.69,6.11,6.10,-0.94,-0.95,0.95,0.77,-0.13,7.06,7.06,7.05
23.92,6.16,6.16,-0.89,-0.89,0.90,0.73,-0.14,7.06,7.06,7.05
24.16,6.21,6.20,-0.84,-0.84,0.85,0.69,-0.14,7.06,7.05,7.05
24.40,6.25,6.25,-0.80,-0.80,0.80,0.64,-0.14,7.05,7.05,7.05
24.65,6.29,6.29,-0.76,-0.76,0.75,0.60,-0.15,7.04,7.04,7.04
24.89,6.34,6.34,-0.71,-0.71,0.70,0.56,-0.15,7.04,7.04,7.04
25.14,6.39,6.39,-0.66,-0.65,0.65,0.52,-0.15,7.04,7.04,7.04
25.39,6.45,6.45,-0.59,-0.60,0.59,0.47,-0.16,7.04,7.04,7.04
25.65,6.51,6.51,-0.53,-0.53,0.53,0.43,-0.16,7.03,7.03,7.04
25.91,6.57,6.57,-0.46,-0.46,0.46,0.38,-0.17,7.03,7.03,7.04
26.16,6.65,6.65,-0.39,-0.39,0.38,0.34,-0.17,7.03,7.03,7.04
26.43,6.72,6.73,-0.31,-0.31,0.31,0.30,-0.18,7.03,7.03,7.03
26.69,6.81,6.81,-0.23,-0.23,0.23,0.25,-0.18,7.04,7.03,7.03
26.96,6.89,6.88,-0.15,-0.15,0.15,0.21,-0.19,7.04,7.04,7.03
27.23,6.96,6.96,-0.07,-0.07,0.08,0.16,-0.19,7.04,7.04,7.03
27.50,7.03,7.02,-0.00,-0.00,0.02,0.12,-0.20,7.04,7.04,7.03
27.77,7.09,7.08,0.06,0.06,-0.05,0.07,-0.20,7.04,7.04,7.03
28.05,7.14,7.14,0.11,0.11,-0.11,0.02,-0.21,7.03,7.03,7.02
28.33,7.19,7.19,0.16,0.16,-0.17,-0.02,-0.22,7.02,7.02,7.02
28.62,7.24,7.24,0.22,0.22,-0.23,-0.07,-0.23,7.01,7.01,7.02
28.90,7.29,7.29,0.27,0.27,-0.29,-0.11,-0.23,7.00,7.00,7.02
29.19,7.36,7.35,0.34,0.34,-0.35,-0.16,-0.24,7.01,7.00,7.01
29.48,7.42,7.42,0.40,0.41,-0.41,-0.21,-0.25,7.00,7.01,7.01
29.78,7.50,7.49,0.49,0.48,-0.48,-0.25,-0.26,7.02,7.02,7.01
30.08,7.56,7.56,0.55,0.55,-0.54,-0.30,-0.27,7.02,7.02,7.01
30.38,7.62,7.61,0.61,0.61,-0.59,-0.35,-0.28,7.02,7.02,7.00
30.68,7.67,7.66,0.66,0.66,-0.65,-0.39,-0.29,7.02,7.01,7.00
30.99,7.71,7.71,0.71,0.71,-0.70,-0.44,-0.31,7.00,7.00,7.00
31.30,7.75,7.75,0.75,0.75,-0.76,-0.49,-0.32,6.99,6.99,7.00
31.61,7.79,7.79,0.79,0.80,-0.81,-0.53,-0.33,6.97,6.97,6.99
31.93,7.84,7.84,0.85,0.85,-0.87,-0.58,-0.35,6.97,6.97,6.99
32.24,7.90,7.90,0.91,0.91,-0.92,-0.63,-0.36,6.98,6.97,6.99
32.57,7.96,7.96,0.97,0.98,-0.97,-0.67,-0.38,6.98,6.99,6.98
32.89,8.02,8.02,1.04,1.04,-1.02,-0.72,-0.39,7.00,7.00,6.98
33.22,8.07,8.06,1.09,1.09,-1.06,-0.76,-0.41,7.00,7.00,6.97
33.55,8.10,8.09,1.13,1.12,-1.11,-0.81,-0.43,6.99,6.99,6.97
33.89,8.12,8.11,1.15,1.15,-1.15,-0.85,-0.45,6.97,6.97,6.97
34.23,8.13,8.13,1.16,1.17,-1.18,-0.90,-0.46,6.94,6.95,6.96
34.57,8.15,8.15,1.19,1.19,-1.22,-0.94,-0.48,6.93,6.93,6.96
34.92,8.18,8.18,1.22,1.23,-1.25,-0.99,-0.50,6.93,6.94,6.95
35.27,8.23,8.22,1.28,1.27,-1.27,-1.03,-0.53,6.95,6.95,6.95
35.62,8.27,8.26,1.32,1.32,-1.30,-1.08,-0.55,6.97,6.97,6.94
35.97,8.30,8.29,1.36,1.35,-1.32,-1.12,-0.57,6.97,6.97,6.94
