frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,16.16,16.16,8.86,8.86,-8.86,-8.79,-3.70,7.30,7.30,7.30
20.20,16.15,16.15,8.85,8.85,-8.85,-8.78,-3.80,7.30,7.30,7.30
20.40,16.13,16.13,8.83,8.83,-8.83,-8.76,-3.90,7.30,7.30,7.30
20.61,16.12,16.12,8.82,8.82,-8.81,-8.75,-4.01,7.31,7.30,7.30
20.81,16.10,16.10,8.80,8.80,-8.80,-8.74,-4.12,7.30,7.30,7.30
21.02,16.08,16.08,8.78,8.78,-8.78,-8.72,-4.24,7.30,7.30,7.30
21.23,16.06,16.06,8.76,8.76,-8.76,-8.71,-4.35,7.30,7.30,7.30
21.44,16.03,16.03,8.73,8.74,-8.74,-8.69,-4.47,7.29,7.30,7.30
21.66,16.01,16.01,8.71,8.71,-8.71,-8.68,-4.59,7.30,7.30,7.30
21.87,15.99,15.99,8.69,8.69,-8.69,-8.66,-4.72,7.30,7.30,7.30
22.09,15.96,15.96,8.66,8.67,-8.67,-8.64,-4.85,7.29,7.30,7.30
22.31,15.94,15.94,8.64,8.64,-8.64,-8.63,-4.98,7.30,7.30,7.30
22.54,15.91,15.91,8.62,8.62,-8.62,-8.61,-5.12,7.29,7.29,7.29
22.76,15.88,15.89,8.59,8.59,-8.59,-8.59,-5.26,7.29,7.29,7.29
22.99,15.86,15.86,8.57,8.56,-8.56,-8.58,-5.40,7.30,7.29,7.29
23.22,15.83,15.83,8.54,8.54,-8.54,-8.56,-5.55,7.29,7.29,7.29
23.45,15.80,15.80,8.51,8.51,-8.51,-8.54,-5.70,7.29,7.29,7.29
23.69,15.77,15.77,8.48,8.48,-8.48,-8.52,-5.85,7.29,7.29,7.29
23.92,15.74,15.74,8.45,8.45,-8.45,-8.50,-6.01,7.29,7.29,7.29
24.16,15.71,15.71,8.42,8.43,-8.43,-8.49,-6.17,7.28,7.28,7.29
24.40,15.69,15.69,8.40,8.40,-8.40,-8.47,-6.33,7.29,7.28,7.29
24.65,15.66,15.66,8.38,8.38,-8.38,-8.45,-6.50,7.28,7.29,7.28
24.89,15.64,15.64,8.36,8.36,-8.36,-8.43,-6.67,7.28,7.28,7.28
25.14,15.62,15.62,8.34,8.33,-8.33,-8.41,-6.84,7.29,7.28,7.28
25.39,15.59,15.59,8.31,8.31,-8.31,-8.39,-7.02,7.28,7.28,7.28
25.65,15.57,15.57,8.29,8.29,-8.29,-8.37,-7.19,7.28,7.28,7.28
25.91,15.55,15.55,8.27,8.27,-8.27,-8.35,-7.37,7.28,7.28,7.28
26.16,15.53,15.53,8.25,8.26,-8.25,-8.32,-7.54,7.28,7.28,7.28
26.43,15.51,15.51,8.24,8.24,-8.23,-8.30,-7.72,7.28,7.28,7.27
26.69,15.49,15.49,8.22,8.21,-8.21,-8.28,-7.90,7.28,7.27,7.27
26.96,15.46,15.47,8.19,8.19,-8.19,-8.26,-8.07,7.27,7.27,7.27
27.23,15.44,15.44,8.17,8.17,-8.17,-8.24,-8.24,7.27,7.27,7.27
27.50,15.42,15.42,8.15,8.15,-8.15,-8.21,-8.42,7.27,7.27,7.27
27.77,15.39,15.39,8.12,8.13,-8.13,-8.19,-8.58,7.26,7.27,7.27
28.05,15.37,15.37,8.11,8.11,-8.11,-8.17,-8.74,7.26,7.26,7.26
28.33,15.34,15.34,8.08,8.08,-8.08,-8.14,-8.89,7.26,7.26,7.26
28.62,15.32,15.32,8.06,8.06,-8.06,-8.12,-9.04,7.26,7.26,7.26
28.90,15.29,15.29,8.03,8.04,-8.04,-8.09,-9.17,7.25,7.26,7.26
29.19,15.27,15.27,8.02,8.01,-8.01,-8.07,-9.30,7.26,7.26,7.25
29.48,15.24,15.24,7.99,7.99,-7.99,-8.04,-9.42,7.25,7.25,7.25
29.78,15.21,15.21,7.96,7.96,-7.96,-8.02,-9.52,7.25,7.25,7.25
30.08,15.18,15.18,7.93,7.93,-7.93,-7.99,-9.61,7.25,7.25,7.25
30.38,15.15,15.15,7.91,7.91,-7.91,-7.97,-9.68,7.25,7.24,7.24
30.68,15.12,15.12,7.88,7.88,-7.88,-7.94,-9.74,7.24,7.24,7.24
30.99,15.08,15.09,7.84,7.85,-7.85,-7.91,-9.79,7.23,7.24,7.24
31.30,15.05,15.05,7.82,7.82,-7.82,-7.88,-9.81,7.24,7.24,7.24
31.61,15.02,15.02,7.79,7.79,-7.78,-7.86,-9.83,7.24,7.23,7.23
31.93,14.98,14.98,7.75,7.75,-7.75,-7.83,-9.82,7.23,7.23,7.23
32.24,14.95,14.95,7.72,7.72,-7.72,-7.80,-9.80,7.23,7.23,7.23
32.57,14.91,14.91,7.69,7.69,-7.69,-7.77,-9.76,7.22,7.22,7.22
32.89,14.88,14.88,7.66,7.66,-7.66,-7.74,-9.72,7.22,7.22,7.22
33.22,14.84,14.84,7.63,7.63,-7.63,-7.71,-9.65,7.21,7.21,7.21
33.55,14.81,14.81,7.60,7.60,-7.60,-7.69,-9.58,7.21,7.21,7.21
33.89,14.78,14.78,7.57,7.57,-7.57,-7.66,-9.49,7.21,7.20,7.21
34.23,14.75,14.75,7.55,7.55,-7.55,-7.63,-9.40,7.20,7.20,7.20
34.57,14.72,14.72,7.52,7.52,-7.52,-7.60,-9.30,7.20,7.20,7.20
34.92,14.69,14.69,7.50,7.50,-7.50,-7.57,-9.19,7.20,7.20,7.19
35.27,14.66,14.66,7.47,7.47,-7.47,-7.54,-9.07,7.19,7.19,7.19
35.62,14.63,14.63,7.45,7.45,-7.44,-7.51,-8.95,7.19,7.19,7.18
35.97,14.60,14.60,7.42,7.42,-7.42,-7.47,-8.83,7.18,7.18,7.18
36.33,14.56,14.56,7.39,7.39,-7.39,-7.44,-8.70,7.17,7.17,7.17
36.70,14.53,14.53,7.36,7.36,-7.37,-7.41,-8.58,7.17,7.17,7.17
37.06,14.50,14.50,7.34,7.34,-7.34,-7.38,-8.45,7.16,7.16,7.16
37.43,14.47,14.47,7.31,7.31,-7.31,-7.35,-8.32,7.16,7.16,7.16
37.81,14.44,14.44,7.29,7.29,-7.29,-7.32,-8.20,7.16,7.15,7.15
38.19,14.40,14.40,7.26,7.26,-7.26,-7.29,-8.07,7.14,7.15,7.14
38.57,14.37,14.37,7.23,7.23,-7.23,-7.25,-7.95,7.14,7.14,7.14
38.95,14.33,14.33,7.20,7.20,-7.20,-7.22,-7.83,7.13,7.13,7.13
39.34,14.30,14.30,7.18,7.17,-7.18,-7.19,-7.72,7.13,7.12,7.12
39.74,14.26,14.26,7.14,7.15,-7.15,-7.16,-7.60,7.11,7.12,7.12
40.14,14.23,14.23,7.12,7.12,-7.12,-7.13,-7.50,7.11,7.11,7.11
40.54,14.19,14.19,7.09,7.09,-7.09,-7.10,-7.39,7.10,7.10,7.10
40.94,14.15,14.15,7.06,7.06,-7.06,-7.06,-7.29,7.09,7.09,7.09
41.35,14.11,14.11,7.03,7.03,-7.03,-7.03,-7.20,7.08,7.08,7.08
41.76,14.08,14.08,7.00,7.00,-7.00,-7.00,-7.10,7.08,7.07,7.08
42.18,14.04,14.04,6.97,6.97,-6.97,-6.97,-7.02,7.07,7.07,7.07
42.60,14.00,14.00,6.94,6.95,-6.95,-6.94,-6.94,7.05,7.06,7.06
43.03,13.97,13.97,6.92,6.92,-6.92,-6.91,-6.86,7.05,7.05,7.05
43.46,13.93,13.93,6.89,6.89,-6.89,-6.88,-6.79,7.04,7.04,7.04
43.90,13.89,13.89,6.86,6.87,-6.87,-6.85,-6.72,7.02,7.03,7.03
44.33,13.86,13.86,6.84,6.84,-6.84,-6.82,-6.66,7.02,7.01,7.02
44.78,13.82,13.82,6.82,6.82,-6.82,-6.79,-6.60,7.00,7.00,7.01
45.23,13.79,13.79,6.80,6.80,-6.79,-6.76,-6.55,7.00,6.99,6.99
45.68,13.75,13.75,6.77,6.77,-6.77,-6.73,-6.50,6.98,6.98,6.98
46.13,13.72,13.72,6.75,6.75,-6.75,-6.70,-6.46,6.97,6.97,6.97
46.60,13.68,13.68,6.72,6.72,-6.72,-6.67,-6.42,6.96,6.96,6.96
47.06,13.64,13.64,6.70,6.70,-6.70,-6.64,-6.38,6.94,6.94,6.94
47.53,13.60,13.60,6.67,6.67,-6.67,-6.62,-6.36,6.93,6.93,6.93
48.01,13.56,13.56,6.65,6.65,-6.65,-6.59,-6.33,6.91,6.91,6.91
48.49,13.52,13.52,6.62,6.62,-6.63,-6.56,-6.31,6.89,6.90,6.90
48.97,13.49,13.49,6.61,6.60,-6.60,-6.54,-6.29,6.89,6.88,6.88
49.46,13.45,13.45,6.58,6.58,-6.58,-6.51,-6.28,6.87,6.87,6.87
