frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.59,8.59,1.87,1.87,-1.87,-1.94,-0.81,6.72,6.72,6.72
20.20,8.61,8.61,1.89,1.89,-1.89,-1.94,-0.83,6.72,6.72,6.72
20.40,8.62,8.62,1.90,1.90,-1.90,-1.93,-0.85,6.72,6.72,6.72
20.61,8.63,8.63,1.91,1.92,-1.92,-1.93,-0.88,6.71,6.72,6.72
20.81,8.65,8.64,1.93,1.93,-1.93,-1.93,-0.91,6.72,6.72,6.72
21.02,8.65,8.65,1.93,1.94,-1.94,-1.92,-0.93,6.71,6.72,6.72
21.23,8.66,8.66,1.94,1.95,-1.94,-1.92,-0.96,6.72,6.72,6.72
21.44,8.67,8.67,1.96,1.95,-1.95,-1.91,-0.99,6.72,6.72,6.72
21.66,8.67,8.67,1.96,1.96,-1.95,-1.91,-1.02,6.72,6.72,6.71
21.87,8.67,8.67,1.96,1.95,-1.96,-1.90,-1.05,6.72,6.71,6.71
22.09,8.66,8.66,1.95,1.95,-1.95,-1.90,-1.08,6.71,6.71,6.71
22.31,8.66,8.66,1.95,1.95,-1.95,-1.89,-1.12,6.71,6.71,6.71
22.54,8.66,8.66,1.95,1.95,-1.95,-1.89,-1.15,6.72,6.71,6.71
22.76,8.65,8.65,1.94,1.94,-1.94,-1.88,-1.18,6.71,6.71,6.71
22.99,8.64,8.64,1.93,1.93,-1.93,-1.88,-1.22,6.71,6.71,6.71
23.22,8.63,8.63,1.92,1.92,-1.92,-1.87,-1.26,6.71,6.71,6.71
23.45,8.61,8.61,1.90,1.90,-1.90,-1.87,-1.29,6.71,6.71,6.71
23.69,8.59,8.60,1.88,1.89,-1.89,-1.86,-1.33,6.70,6.70,6.71
23.92,8.58,8.58,1.88,1.87,-1.88,-1.86,-1.37,6.70,6.70,6.71
24.16,8.57,8.57,1.87,1.86,-1.86,-1.85,-1.40,6.71,6.70,6.70
24.40,8.55,8.55,1.85,1.85,-1.85,-1.84,-1.44,6.70,6.70,6.70
24.65,8.54,8.54,1.84,1.84,-1.84,-1.84,-1.48,6.70,6.70,6.70
24.89,8.53,8.53,1.83,1.83,-1.83,-1.83,-1.52,6.70,6.70,6.70
25.14,8.52,8.52,1.82,1.82,-1.82,-1.83,-1.56,6.70,6.70,6.70
25.39,8.51,8.51,1.81,1.81,-1.81,-1.82,-1.60,6.70,6.70,6.70
