frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.96,3.96,-2.79,-2.79,2.79,2.14,0.60,6.75,6.75,6.75
20.20,4.02,4.02,-2.73,-2.74,2.74,2.12,0.62,6.76,6.75,6.75
20.40,4.07,4.07,-2.68,-2.68,2.68,2.10,0.63,6.75,6.75,6.75
20.61,4.12,4.12,-2.63,-2.63,2.63,2.08,0.65,6.75,6.75,6.75
20.81,4.17,4.17,-2.58,-2.58,2.58,2.06,0.67,6.75,6.75,6.75
21.02,4.22,4.22,-2.53,-2.53,2.53,2.04,0.70,6.75,6.75,6.75
21.23,4.27,4.27,-2.48,-2.48,2.48,2.01,0.72,6.75,6.75,6.75
21.44,4.32,4.32,-2.43,-2.43,2.43,1.99,0.74,6.75,6.75,6.75
21.66,4.37,4.37,-2.38,-2.38,2.38,1.97,0.76,6.75,6.75,6.75
21.87,4.42,4.42,-2.33,-2.33,2.33,1.95,0.78,6.75,6.75,6.75
22.09,4.46,4.46,-2.29,-2.28,2.28,1.93,0.81,6.74,6.75,6.75
22.31,4.51,4.51,-2.24,-2.24,2.23,1.91,0.83,6.74,6.74,6.74
22.54,4.56,4.56,-2.19,-2.19,2.19,1.88,0.86,6.75,6.74,6.74
22.76,4.60,4.60,-2.14,-2.14,2.14,1.86,0.88,6.74,6.74,6.74
22.99,4.65,4.65,-2.09,-2.10,2.10,1.84,0.91,6.75,6.74,6.74
23.22,4.69,4.69,-2.05,-2.05,2.05,1.82,0.94,6.74,6.74,6.74
23.45,4.73,4.73,-2.01,-2.01,2.01,1.80,0.96,6.74,6.74,6.74
23.69,4.78,4.78,-1.96,-1.96,1.96,1.77,0.99,6.74,6.74,6.74
23.92,4.82,4.82,-1.92,-1.92,1.92,1.75,1.02,6.74,6.74,6.74
24.16,4.86,4.86,-1.88,-1.88,1.87,1.73,1.05,6.73,6.74,6.74
24.40,4.90,4.90,-1.84,-1.83,1.83,1.71,1.08,6.73,6.73,6.74
24.65,4.95,4.95,-1.79,-1.79,1.79,1.68,1.11,6.74,6.73,6.73
24.89,4.99,4.99,-1.74,-1.74,1.75,1.66,1.14,6.74,6.74,6.73
25.14,5.03,5.03,-1.70,-1.70,1.70,1.64,1.17,6.73,6.73,6.73
25.39,5.07,5.07,-1.66,-1.66,1.66,1.62,1.20,6.73,6.73,6.73
25.65,5.10,5.10,-1.63,-1.63,1.62,1.60,1.23,6.72,6.73,6.73
25.91,5.14,5.14,-1.59,-1.59,1.59,1.57,1.26,6.72,6.72,6.73
26.16,5.18,5.18,-1.55,-1.55,1.55,1.55,1.29,6.73,6.72,6.73
26.43,5.21,5.21,-1.52,-1.51,1.51,1.53,1.32,6.72,6.72,6.72
26.69,5.25,5.25,-1.47,-1.48,1.48,1.50,1.35,6.73,6.72,6.72
26.96,5.28,5.28,-1.44,-1.44,1.44,1.48,1.38,6.72,6.72,6.72
27.23,5.31,5.31,-1.41,-1.41,1.41,1.46,1.41,6.72,6.72,6.72
27.50,5.34,5.34,-1.38,-1.38,1.38,1.44,1.43,6.72,6.72,6.72
27.77,5.36,5.36,-1.36,-1.35,1.35,1.41,1.46,6.71,6.71,6.71
28.05,5.39,5.39,-1.32,-1.33,1.32,1.39,1.48,6.71,6.71,6.71
28.33,5.41,5.41,-1.30,-1.30,1.30,1.37,1.51,6.71,6.71,6.71
28.62,5.44,5.44,-1.27,-1.27,1.27,1.34,1.53,6.71,6.71,6.71
28.90,5.46,5.46,-1.25,-1.25,1.25,1.32,1.55,6.70,6.70,6.71
29.19,5.48,5.48,-1.22,-1.22,1.22,1.30,1.56,6.70,6.70,6.70
29.48,5.51,5.51,-1.19,-1.20,1.20,1.28,1.58,6.71,6.70,6.70
29.78,5.53,5.53,-1.17,-1.17,1.17,1.25,1.59,6.70,6.70,6.70
30.08,5.55,5.55,-1.15,-1.15,1.15,1.23,1.60,6.70,6.70,6.70
30.38,5.57,5.57,-1.12,-1.13,1.13,1.21,1.61,6.70,6.69,6.69
30.68,5.58,5.58,-1.11,-1.11,1.11,1.18,1.62,6.69,6.69,6.69
30.99,5.60,5.60,-1.09,-1.09,1.08,1.16,1.62,6.68,6.68,6.69
31.30,5.62,5.62,-1.07,-1.06,1.06,1.14,1.62,6.68,6.68,6.69
31.61,5.65,5.64,-1.03,-1.04,1.03,1.11,1.62,6.68,6.68,6.68
31.93,5.67,5.67,-1.01,-1.01,1.01,1.09,1.61,6.68,6.68,6.68
32.24,5.69,5.69,-0.99,-0.98,0.98,1.07,1.61,6.67,6.68,6.68
32.57,5.72,5.72,-0.95,-0.96,0.96,1.05,1.59,6.68,6.67,6.67
32.89,5.74,5.74,-0.93,-0.93,0.94,1.02,1.58,6.68,6.67,6.67
33.22,5.75,5.75,-0.92,-0.91,0.92,1.00,1.57,6.66,6.67,6.66
33.55,5.77,5.77,-0.89,-0.89,0.90,0.98,1.55,6.67,6.66,6.66
33.89,5.78,5.78,-0.88,-0.88,0.88,0.96,1.53,6.66,6.66,6.66
34.23,5.79,5.79,-0.86,-0.86,0.86,0.94,1.51,6.65,6.65,6.65
34.57,5.80,5.80,-0.85,-0.85,0.85,0.92,1.49,6.64,6.64,6.65
34.92,5.81,5.81,-0.83,-0.83,0.83,0.90,1.47,6.64,6.64,6.64
35.27,5.82,5.82,-0.82,-0.82,0.81,0.88,1.44,6.63,6.63,6.64
35.62,5.84,5.84,-0.79,-0.80,0.79,0.86,1.41,6.63,6.63,6.63
35.97,5.86,5.86,-0.77,-0.77,0.77,0.84,1.38,6.63,6.63,6.63
36.33,5.87,5.87,-0.75,-0.75,0.75,0.82,1.36,6.62,6.63,6.62
36.70,5.89,5.89,-0.73,-0.73,0.74,0.80,1.33,6.62,6.62,6.62
37.06,5.90,5.90,-0.71,-0.71,0.72,0.79,1.30,6.62,6.62,6.61
37.43,5.91,5.91,-0.70,-0.70,0.70,0.77,1.27,6.61,6.61,6.61
37.81,5.91,5.91,-0.69,-0.69,0.69,0.75,1.23,6.60,6.60,6.60
38.19,5.92,5.92,-0.67,-0.68,0.67,0.74,1.20,6.59,6.59,6.59
38.57,5.92,5.92,-0.67,-0.67,0.66,0.72,1.17,6.58,6.58,6.59
38.95,5.93,5.93,-0.65,-0.65,0.65,0.71,1.14,6.58,6.58,6.58
39.34,5.93,5.93,-0.64,-0.64,0.64,0.70,1.11,6.57,6.57,6.57
39.74,5.94,5.94,-0.63,-0.63,0.63,0.68,1.08,6.57,6.57,6.57
40.14,5.94,5.94,-0.62,-0.62,0.62,0.67,1.05,6.56,6.56,6.56
40.54,5.94,5.94,-0.61,-0.61,0.61,0.66,1.02,6.55,6.55,6.55
40.94,5.94,5.94,-0.60,-0.60,0.60,0.65,0.99,6.54,6.54,6.54
