frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.81,5.81,-0.30,-0.30,0.30,-0.95,-0.44,6.11,6.11,6.11
20.20,5.86,5.86,-0.25,-0.25,0.25,-0.95,-0.45,6.11,6.11,6.11
20.40,5.91,5.91,-0.20,-0.20,0.20,-0.95,-0.47,6.11,6.11,6.11
20.61,5.96,5.96,-0.15,-0.16,0.16,-0.95,-0.48,6.11,6.11,6.11
20.81,6.00,6.00,-0.11,-0.11,0.11,-0.95,-0.49,6.11,6.11,6.11
21.02,6.05,6.05,-0.06,-0.06,0.06,-0.95,-0.51,6.11,6.11,6.11
21.23,6.10,6.09,-0.01,-0.02,0.01,-0.95,-0.52,6.11,6.11,6.11
21.44,6.14,6.14,0.03,0.03,-0.03,-0.95,-0.54,6.11,6.11,6.11
21.66,6.18,6.18,0.07,0.08,-0.07,-0.95,-0.55,6.10,6.11,6.11
21.87,6.23,6.23,0.12,0.12,-0.12,-0.95,-0.57,6.11,6.11,6.11
22.09,6.27,6.27,0.16,0.16,-0.16,-0.95,-0.59,6.11,6.11,6.11
22.31,6.31,6.31,0.20,0.20,-0.20,-0.95,-0.60,6.11,6.11,6.11
22.54,6.35,6.35,0.24,0.24,-0.25,-0.95,-0.62,6.10,6.10,6.10
22.76,6.39,6.39,0.29,0.29,-0.29,-0.95,-0.64,6.10,6.10,6.10
22.99,6.43,6.43,0.33,0.33,-0.33,-0.95,-0.66,6.10,6.10,6.10
23.22,6.47,6.47,0.37,0.37,-0.37,-0.95,-0.68,6.10,6.10,6.10
23.45,6.51,6.51,0.41,0.41,-0.41,-0.95,-0.70,6.10,6.10,6.10
23.69,6.55,6.55,0.45,0.45,-0.45,-0.95,-0.72,6.10,6.10,6.10
23.92,6.58,6.58,0.48,0.48,-0.48,-0.95,-0.74,6.10,6.10,6.10
24.16,6.62,6.62,0.52,0.52,-0.52,-0.95,-0.76,6.10,6.10,6.10
24.40,6.65,6.65,0.55,0.56,-0.56,-0.95,-0.78,6.09,6.10,6.10
24.65,6.69,6.69,0.59,0.59,-0.59,-0.95,-0.80,6.10,6.09,6.10
