frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.51,8.51,0.03,0.03,-0.03,-0.61,-0.48,8.48,8.48,8.48
20.20,8.54,8.54,0.06,0.06,-0.06,-0.62,-0.50,8.48,8.48,8.48
20.40,8.57,8.57,0.09,0.09,-0.09,-0.62,-0.51,8.47,8.47,8.47
20.61,8.60,8.60,0.12,0.12,-0.13,-0.63,-0.53,8.47,8.47,8.47
20.81,8.63,8.63,0.16,0.15,-0.16,-0.64,-0.54,8.47,8.47,8.47
21.02,8.66,8.66,0.19,0.19,-0.19,-0.65,-0.56,8.47,8.47,8.47
21.23,8.69,8.69,0.22,0.22,-0.22,-0.65,-0.57,8.47,8.47,8.47
21.44,8.73,8.73,0.26,0.25,-0.25,-0.66,-0.59,8.48,8.47,8.47
21.66,8.76,8.76,0.29,0.29,-0.29,-0.67,-0.60,8.47,8.47,8.47
21.87,8.79,8.79,0.32,0.32,-0.32,-0.68,-0.62,8.47,8.47,8.47
22.09,8.82,8.82,0.35,0.35,-0.35,-0.69,-0.64,8.47,8.47,8.47
22.31,8.85,8.85,0.38,0.38,-0.38,-0.70,-0.66,8.47,8.47,8.47
22.54,8.88,8.88,0.41,0.41,-0.41,-0.70,-0.67,8.47,8.47,8.47
22.76,8.91,8.91,0.44,0.44,-0.44,-0.71,-0.69,8.47,8.47,8.47
22.99,8.94,8.94,0.47,0.47,-0.47,-0.72,-0.71,8.46,8.46,8.47
23.22,8.97,8.97,0.50,0.50,-0.51,-0.73,-0.73,8.46,8.46,8.46
23.45,9.00,9.00,0.54,0.54,-0.54,-0.74,-0.75,8.46,8.46,8.46
23.69,9.03,9.03,0.57,0.57,-0.57,-0.75,-0.77,8.46,8.46,8.46
23.92,9.06,9.06,0.60,0.60,-0.60,-0.76,-0.79,8.46,8.46,8.46
24.16,9.09,9.09,0.63,0.63,-0.63,-0.77,-0.82,8.46,8.46,8.46
24.40,9.12,9.12,0.66,0.66,-0.66,-0.78,-0.84,8.46,8.46,8.46
24.65,9.14,9.14,0.68,0.69,-0.69,-0.79,-0.86,8.45,8.45,8.46
24.89,9.17,9.17,0.71,0.72,-0.72,-0.81,-0.88,8.45,8.45,8.46
25.14,9.21,9.21,0.75,0.75,-0.75,-0.82,-0.90,8.46,8.45,8.45
25.39,9.24,9.24,0.79,0.79,-0.78,-0.83,-0.93,8.46,8.46,8.45
25.65,9.27,9.27,0.82,0.82,-0.81,-0.84,-0.95,8.46,8.45,8.45
25.91,9.29,9.29,0.84,0.84,-0.84,-0.85,-0.97,8.45,8.45,8.45
26.16,9.32,9.32,0.87,0.87,-0.87,-0.87,-1.00,8.45,8.45,8.45
26.43,9.35,9.35,0.90,0.90,-0.90,-0.88,-1.02,8.45,8.45,8.45
