frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.25,13.24,5.53,5.53,-5.53,-5.76,-2.66,7.72,7.72,7.72
20.20,13.26,13.26,5.54,5.54,-5.54,-5.77,-2.74,7.71,7.72,7.72
20.40,13.28,13.28,5.56,5.56,-5.56,-5.77,-2.81,7.72,7.72,7.72
20.61,13.29,13.29,5.57,5.57,-5.57,-5.77,-2.89,7.71,7.72,7.72
20.81,13.31,13.30,5.59,5.59,-5.59,-5.78,-2.97,7.72,7.72,7.72
21.02,13.32,13.32,5.60,5.60,-5.60,-5.78,-3.06,7.71,7.71,7.71
21.23,13.33,13.33,5.61,5.62,-5.62,-5.78,-3.14,7.71,7.71,7.71
21.44,13.35,13.34,5.63,5.63,-5.63,-5.79,-3.24,7.72,7.71,7.71
21.66,13.36,13.36,5.64,5.64,-5.64,-5.79,-3.33,7.71,7.71,7.71
21.87,13.37,13.37,5.66,5.66,-5.66,-5.79,-3.42,7.71,7.71,7.71
22.09,13.39,13.38,5.68,5.67,-5.67,-5.80,-3.52,7.71,7.71,7.71
22.31,13.40,13.40,5.69,5.69,-5.69,-5.80,-3.62,7.71,7.71,7.71
22.54,13.41,13.41,5.70,5.70,-5.70,-5.81,-3.72,7.71,7.71,7.71
22.76,13.42,13.42,5.71,5.71,-5.71,-5.81,-3.82,7.70,7.71,7.71
22.99,13.44,13.43,5.73,5.73,-5.73,-5.81,-3.93,7.71,7.71,7.71
23.22,13.45,13.45,5.74,5.74,-5.74,-5.82,-4.04,7.71,7.71,7.71
23.45,13.46,13.46,5.75,5.75,-5.75,-5.82,-4.15,7.71,7.71,7.70
23.69,13.47,13.47,5.76,5.76,-5.76,-5.82,-4.27,7.70,7.70,7.70
23.92,13.48,13.48,5.77,5.77,-5.78,-5.83,-4.38,7.70,7.70,7.70
24.16,13.49,13.49,5.79,5.79,-5.79,-5.83,-4.50,7.70,7.70,7.70
24.40,13.50,13.50,5.80,5.80,-5.80,-5.84,-4.62,7.70,7.70,7.70
24.65,13.52,13.51,5.82,5.81,-5.81,-5.84,-4.75,7.70,7.70,7.70
24.89,13.53,13.53,5.83,5.83,-5.83,-5.84,-4.87,7.70,7.70,7.70
25.14,13.54,13.54,5.84,5.84,-5.84,-5.85,-5.00,7.70,7.70,7.70
25.39,13.55,13.55,5.85,5.85,-5.85,-5.85,-5.12,7.69,7.69,7.70
25.65,13.56,13.56,5.86,5.86,-5.86,-5.86,-5.25,7.69,7.69,7.69
25.91,13.57,13.57,5.87,5.88,-5.88,-5.86,-5.38,7.69,7.69,7.69
26.16,13.58,13.58,5.89,5.89,-5.89,-5.86,-5.51,7.69,7.69,7.69
26.43,13.59,13.58,5.90,5.90,-5.89,-5.87,-5.64,7.69,7.69,7.69
26.69,13.59,13.59,5.90,5.90,-5.90,-5.87,-5.76,7.69,7.69,7.69
26.96,13.60,13.59,5.91,5.91,-5.91,-5.88,-5.89,7.69,7.69,7.69
27.23,13.60,13.60,5.91,5.91,-5.91,-5.88,-6.01,7.68,7.68,7.68
27.50,13.60,13.60,5.92,5.92,-5.92,-5.89,-6.13,7.68,7.68,7.68
27.77,13.60,13.60,5.92,5.92,-5.92,-5.89,-6.25,7.68,7.68,7.68
28.05,13.60,13.60,5.92,5.92,-5.92,-5.89,-6.37,7.68,7.68,7.68
28.33,13.60,13.60,5.92,5.92,-5.92,-5.90,-6.47,7.67,7.67,7.68
28.62,13.60,13.60,5.92,5.92,-5.92,-5.90,-6.58,7.67,7.67,7.67
28.90,13.60,13.60,5.93,5.93,-5.93,-5.91,-6.67,7.67,7.67,7.67
29.19,13.60,13.60,5.93,5.93,-5.93,-5.91,-6.77,7.67,7.67,7.67
29.48,13.60,13.60,5.93,5.93,-5.93,-5.91,-6.85,7.67,7.67,7.67
29.78,13.60,13.60,5.93,5.93,-5.93,-5.92,-6.92,7.67,7.67,7.66
30.08,13.60,13.60,5.94,5.94,-5.93,-5.92,-6.99,7.66,7.66,7.66
30.38,13.60,13.59,5.94,5.93,-5.93,-5.93,-7.05,7.66,7.66,7.66
30.68,13.59,13.59,5.93,5.93,-5.94,-5.93,-7.09,7.65,7.65,7.66
30.99,13.59,13.59,5.93,5.93,-5.94,-5.93,-7.13,7.65,7.65,7.65
31.30,13.59,13.59,5.94,5.94,-5.94,-5.94,-7.16,7.65,7.65,7.65
31.61,13.59,13.59,5.94,5.94,-5.94,-5.94,-7.18,7.65,7.65,7.65
31.93,13.59,13.59,5.94,5.94,-5.94,-5.95,-7.18,7.64,7.64,7.64
32.24,13.59,13.59,5.95,5.95,-5.95,-5.95,-7.19,7.64,7.64,7.64
32.57,13.59,13.59,5.95,5.95,-5.95,-5.95,-7.17,7.64,7.64,7.64
32.89,13.59,13.59,5.95,5.95,-5.95,-5.96,-7.16,7.64,7.64,7.63
33.22,13.59,13.58,5.96,5.95,-5.95,-5.96,-7.13,7.64,7.63,7.63
33.55,13.58,13.58,5.95,5.95,-5.95,-5.96,-7.09,7.63,7.63,7.63
33.89,13.57,13.57,5.95,5.95,-5.95,-5.97,-7.05,7.62,7.62,7.62
34.23,13.57,13.57,5.95,5.95,-5.95,-5.97,-7.00,7.61,7.61,7.62
34.57,13.57,13.56,5.95,5.95,-5.95,-5.97,-6.95,7.61,7.61,7.61
34.92,13.56,13.56,5.95,5.95,-5.95,-5.98,-6.89,7.60,7.61,7.61
35.27,13.56,13.56,5.95,5.95,-5.96,-5.98,-6.83,7.60,7.60,7.60
35.62,13.56,13.56,5.96,5.96,-5.96,-5.98,-6.76,7.60,7.60,7.60
35.97,13.56,13.56,5.96,5.96,-5.96,-5.98,-6.69,7.60,7.59,7.59
36.33,13.56,13.55,5.97,5.97,-5.96,-5.99,-6.62,7.59,7.59,7.59
36.70,13.55,13.55,5.96,5.97,-5.97,-5.99,-6.55,7.58,7.58,7.58
37.06,13.55,13.54,5.97,5.97,-5.97,-5.99,-6.48,7.58,7.58,7.58
37.43,13.54,13.54,5.97,5.97,-5.97,-5.99,-6.41,7.57,7.57,7.57
37.81,13.54,13.53,5.97,5.97,-5.97,-5.99,-6.34,7.57,7.57,7.56
38.19,13.53,13.53,5.97,5.97,-5.97,-6.00,-6.27,7.56,7.56,7.56
38.57,13.52,13.52,5.96,5.97,-5.97,-6.00,-6.20,7.55,7.55,7.55
38.95,13.51,13.51,5.96,5.96,-5.96,-6.00,-6.13,7.54,7.54,7.55
39.34,13.50,13.50,5.96,5.96,-5.96,-6.00,-6.07,7.54,7.54,7.54
39.74,13.49,13.49,5.96,5.96,-5.95,-6.00,-6.01,7.53,7.53,7.53
40.14,13.48,13.47,5.95,5.95,-5.95,-6.00,-5.95,7.53,7.53,7.52
40.54,13.46,13.46,5.94,5.94,-5.94,-6.00,-5.89,7.51,7.52,7.52
40.94,13.45,13.44,5.94,5.94,-5.94,-6.00,-5.84,7.51,7.51,7.51
41.35,13.43,13.43,5.93,5.93,-5.93,-6.00,-5.79,7.50,7.50,7.50
