frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.05,3.05,-3.06,-3.06,3.06,1.94,0.89,6.11,6.11,6.11
20.20,3.09,3.09,-3.02,-3.02,3.02,1.94,0.91,6.11,6.11,6.11
20.40,3.13,3.13,-2.98,-2.97,2.97,1.94,0.94,6.10,6.11,6.11
20.61,3.18,3.18,-2.93,-2.93,2.93,1.94,0.97,6.11,6.11,6.11
20.81,3.22,3.22,-2.89,-2.89,2.89,1.94,1.00,6.11,6.11,6.11
21.02,3.26,3.26,-2.85,-2.85,2.85,1.93,1.03,6.11,6.11,6.11
21.23,3.30,3.30,-2.81,-2.80,2.81,1.93,1.06,6.11,6.11,6.11
21.44,3.34,3.34,-2.76,-2.77,2.77,1.93,1.09,6.11,6.11,6.10
21.66,3.38,3.38,-2.72,-2.73,2.73,1.93,1.12,6.11,6.10,6.10
21.87,3.41,3.41,-2.69,-2.69,2.69,1.93,1.16,6.10,6.10,6.10
22.09,3.45,3.45,-2.65,-2.65,2.65,1.93,1.19,6.10,6.10,6.10
22.31,3.49,3.49,-2.61,-2.61,2.61,1.93,1.23,6.10,6.10,6.10
22.54,3.53,3.53,-2.57,-2.57,2.57,1.92,1.26,6.10,6.10,6.10
22.76,3.56,3.56,-2.54,-2.54,2.54,1.92,1.30,6.10,6.10,6.10
22.99,3.60,3.60,-2.50,-2.50,2.50,1.92,1.34,6.10,6.10,6.10
23.22,3.63,3.63,-2.47,-2.47,2.47,1.92,1.38,6.09,6.10,6.10
23.45,3.67,3.67,-2.43,-2.43,2.43,1.92,1.42,6.10,6.10,6.10
23.69,3.70,3.70,-2.40,-2.40,2.39,1.92,1.46,6.09,6.09,6.10
23.92,3.73,3.73,-2.36,-2.36,2.36,1.91,1.50,6.09,6.09,6.09
24.16,3.77,3.77,-2.32,-2.33,2.33,1.91,1.54,6.10,6.09,6.09
24.40,3.80,3.80,-2.29,-2.29,2.29,1.91,1.58,6.09,6.09,6.09
24.65,3.83,3.83,-2.26,-2.26,2.26,1.91,1.63,6.09,6.09,6.09
24.89,3.86,3.86,-2.23,-2.23,2.23,1.91,1.67,6.09,6.09,6.09
25.14,3.89,3.89,-2.20,-2.20,2.20,1.90,1.71,6.09,6.09,6.09
25.39,3.92,3.92,-2.17,-2.17,2.17,1.90,1.76,6.09,6.09,6.09
25.65,3.95,3.95,-2.14,-2.14,2.14,1.90,1.80,6.09,6.08,6.08
25.91,3.98,3.98,-2.10,-2.11,2.11,1.90,1.85,6.09,6.08,6.08
26.16,4.00,4.00,-2.08,-2.08,2.08,1.89,1.89,6.08,6.08,6.08
26.43,4.03,4.03,-2.05,-2.05,2.05,1.89,1.93,6.08,6.08,6.08
26.69,4.05,4.05,-2.03,-2.03,2.03,1.89,1.98,6.08,6.08,6.08
26.96,4.08,4.08,-2.00,-2.00,2.00,1.89,2.02,6.08,6.08,6.08
27.23,4.10,4.10,-1.98,-1.98,1.98,1.88,2.06,6.08,6.08,6.07
27.50,4.11,4.11,-1.96,-1.96,1.96,1.88,2.10,6.07,6.08,6.07
27.77,4.13,4.13,-1.94,-1.94,1.94,1.88,2.14,6.07,6.07,6.07
28.05,4.14,4.14,-1.93,-1.93,1.92,1.87,2.18,6.06,6.07,6.07
28.33,4.16,4.16,-1.91,-1.91,1.91,1.87,2.21,6.07,6.06,6.07
28.62,4.17,4.17,-1.90,-1.89,1.89,1.87,2.25,6.06,6.06,6.06
28.90,4.19,4.19,-1.87,-1.88,1.87,1.86,2.28,6.06,6.06,6.06
29.19,4.20,4.20,-1.86,-1.86,1.86,1.86,2.31,6.06,6.06,6.06
29.48,4.22,4.22,-1.84,-1.84,1.84,1.85,2.33,6.06,6.06,6.06
29.78,4.23,4.23,-1.83,-1.83,1.83,1.85,2.35,6.06,6.06,6.06
30.08,4.24,4.24,-1.81,-1.81,1.81,1.85,2.37,6.05,6.05,6.05
30.38,4.25,4.25,-1.80,-1.80,1.80,1.84,2.39,6.05,6.05,6.05
30.68,4.26,4.26,-1.79,-1.79,1.79,1.84,2.40,6.05,6.05,6.05
30.99,4.27,4.27,-1.78,-1.78,1.77,1.83,2.41,6.04,6.04,6.04
31.30,4.28,4.28,-1.76,-1.76,1.76,1.83,2.42,6.04,6.04,6.04
31.61,4.29,4.29,-1.75,-1.75,1.74,1.82,2.42,6.03,6.04,6.04
31.93,4.31,4.31,-1.73,-1.73,1.73,1.82,2.42,6.04,6.04,6.03
32.24,4.32,4.32,-1.71,-1.71,1.72,1.81,2.42,6.04,6.04,6.03
32.57,4.33,4.33,-1.70,-1.70,1.71,1.81,2.41,6.03,6.03,6.03
32.89,4.33,4.33,-1.69,-1.69,1.69,1.80,2.40,6.02,6.02,6.02
33.22,4.34,4.34,-1.68,-1.68,1.68,1.80,2.39,6.02,6.02,6.02
33.55,4.34,4.34,-1.68,-1.67,1.67,1.79,2.38,6.01,6.01,6.02
33.89,4.35,4.35,-1.66,-1.66,1.66,1.78,2.36,6.01,6.01,6.01
34.23,4.36,4.36,-1.65,-1.65,1.65,1.78,2.34,6.01,6.01,6.01
34.57,4.37,4.37,-1.63,-1.64,1.64,1.77,2.32,6.01,6.01,6.00
34.92,4.37,4.37,-1.63,-1.63,1.63,1.76,2.29,6.00,6.00,6.00
35.27,4.37,4.37,-1.63,-1.63,1.62,1.76,2.27,5.99,5.99,5.99
35.62,4.37,4.37,-1.62,-1.62,1.62,1.75,2.24,5.99,5.99,5.99
35.97,4.37,4.37,-1.62,-1.61,1.61,1.74,2.21,5.98,5.98,5.98
36.33,4.38,4.38,-1.60,-1.60,1.60,1.73,2.18,5.98,5.98,5.98
36.70,4.38,4.38,-1.59,-1.60,1.60,1.73,2.15,5.98,5.97,5.97
37.06,4.38,4.38,-1.59,-1.59,1.59,1.72,2.12,5.97,5.97,5.97
37.43,4.38,4.38,-1.58,-1.58,1.58,1.71,2.09,5.96,5.96,5.96
37.81,4.38,4.38,-1.58,-1.58,1.58,1.70,2.06,5.95,5.95,5.96
38.19,4.38,4.38,-1.57,-1.57,1.57,1.70,2.03,5.95,5.95,5.95
38.57,4.38,4.38,-1.56,-1.56,1.57,1.69,2.00,5.94,5.94,5.94
38.95,4.38,4.38,-1.56,-1.56,1.56,1.68,1.97,5.94,5.94,5.94
39.34,4.37,4.37,-1.56,-1.56,1.56,1.67,1.94,5.93,5.93,5.93
39.74,4.37,4.37,-1.55,-1.56,1.56,1.66,1.91,5.93,5.92,5.92
40.14,4.36,4.36,-1.56,-1.56,1.56,1.66,1.88,5.92,5.91,5.91
40.54,4.35,4.35,-1.56,-1.56,1.56,1.65,1.86,5.90,5.91,5.91
40.94,4.34,4.34,-1.56,-1.56,1.55,1.64,1.83,5.89,5.90,5.90
