frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.75,5.75,3.63,3.63,-3.63,-3.03,-1.51,2.12,2.12,2.12
20.20,5.77,5.78,3.62,3.63,-3.62,-3.03,-1.55,2.15,2.15,2.15
20.40,5.80,5.80,3.62,3.62,-3.62,-3.03,-1.60,2.18,2.18,2.18
20.61,5.82,5.82,3.62,3.61,-3.61,-3.03,-1.65,2.21,2.21,2.20
20.81,5.83,5.84,3.60,3.61,-3.61,-3.03,-1.69,2.22,2.23,2.23
21.02,5.85,5.85,3.59,3.60,-3.60,-3.03,-1.74,2.25,2.25,2.26
21.23,5.86,5.86,3.59,3.59,-3.60,-3.03,-1.80,2.26,2.26,2.27
21.44,5.87,5.87,3.59,3.59,-3.59,-3.03,-1.85,2.28,2.28,2.28
21.66,5.88,5.88,3.60,3.59,-3.59,-3.03,-1.90,2.29,2.29,2.29
21.87,5.88,5.88,3.60,3.59,-3.59,-3.03,-1.96,2.29,2.29,2.29
22.09,5.88,5.88,3.59,3.59,-3.59,-3.03,-2.02,2.29,2.29,2.30
22.31,5.88,5.88,3.59,3.59,-3.59,-3.03,-2.08,2.29,2.29,2.29
22.54,5.88,5.88,3.59,3.58,-3.59,-3.03,-2.14,2.29,2.29,2.29
22.76,5.87,5.87,3.58,3.58,-3.59,-3.03,-2.20,2.29,2.29,2.29
22.99,5.87,5.87,3.59,3.58,-3.58,-3.03,-2.26,2.29,2.29,2.28
23.22,5.86,5.86,3.58,3.58,-3.58,-3.03,-2.33,2.28,2.29,2.28
23.45,5.86,5.86,3.58,3.58,-3.57,-3.03,-2.39,2.29,2.29,2.28
23.69,5.85,5.85,3.57,3.57,-3.57,-3.03,-2.46,2.28,2.28,2.28
23.92,5.84,5.84,3.56,3.56,-3.56,-3.03,-2.53,2.28,2.28,2.28
24.16,5.83,5.83,3.54,3.55,-3.56,-3.03,-2.60,2.28,2.28,2.29
24.40,5.83,5.83,3.54,3.54,-3.55,-3.03,-2.67,2.28,2.28,2.29
24.65,5.82,5.82,3.54,3.54,-3.54,-3.03,-2.75,2.28,2.28,2.28
24.89,5.81,5.82,3.54,3.54,-3.54,-3.03,-2.82,2.27,2.28,2.28
25.14,5.81,5.81,3.54,3.53,-3.53,-3.03,-2.89,2.28,2.28,2.28
25.39,5.80,5.80,3.53,3.53,-3.53,-3.03,-2.97,2.27,2.27,2.27
25.65,5.79,5.79,3.52,3.52,-3.52,-3.03,-3.04,2.27,2.27,2.27
25.91,5.78,5.78,3.52,3.52,-3.51,-3.03,-3.12,2.27,2.27,2.26
26.16,5.77,5.77,3.51,3.51,-3.50,-3.03,-3.19,2.27,2.26,2.26
26.43,5.75,5.76,3.49,3.50,-3.49,-3.02,-3.26,2.26,2.26,2.26
26.69,5.74,5.74,3.48,3.48,-3.48,-3.02,-3.34,2.26,2.26,2.26
26.96,5.73,5.73,3.47,3.47,-3.47,-3.02,-3.41,2.26,2.26,2.26
