frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.81,6.81,3.76,3.76,-3.77,-4.01,-2.00,3.04,3.04,3.04
20.20,6.84,6.84,3.76,3.76,-3.76,-4.01,-2.06,3.08,3.08,3.07
20.40,6.86,6.86,3.75,3.76,-3.76,-4.01,-2.12,3.10,3.11,3.10
20.61,6.89,6.89,3.76,3.76,-3.75,-4.02,-2.18,3.13,3.13,3.12
20.81,6.91,6.91,3.76,3.75,-3.76,-4.02,-2.24,3.15,3.15,3.15
21.02,6.93,6.93,3.75,3.75,-3.76,-4.02,-2.31,3.17,3.17,3.18
21.23,6.95,6.95,3.76,3.76,-3.77,-4.02,-2.37,3.18,3.19,3.19
21.44,6.98,6.98,3.78,3.77,-3.77,-4.03,-2.44,3.20,3.20,3.20
21.66,7.00,7.00,3.79,3.79,-3.79,-4.03,-2.51,3.21,3.21,3.21
21.87,7.02,7.02,3.81,3.81,-3.80,-4.03,-2.58,3.22,3.22,3.21
22.09,7.04,7.04,3.82,3.82,-3.82,-4.04,-2.66,3.22,3.22,3.22
22.31,7.06,7.06,3.84,3.84,-3.84,-4.04,-2.74,3.22,3.22,3.22
22.54,7.08,7.08,3.86,3.86,-3.86,-4.04,-2.81,3.22,3.22,3.22
22.76,7.10,7.10,3.88,3.88,-3.88,-4.05,-2.89,3.21,3.21,3.22
22.99,7.12,7.12,3.91,3.91,-3.91,-4.05,-2.97,3.21,3.21,3.21
23.22,7.14,7.14,3.93,3.93,-3.93,-4.05,-3.06,3.21,3.21,3.21
23.45,7.16,7.16,3.95,3.95,-3.95,-4.06,-3.14,3.21,3.21,3.21
23.69,7.18,7.18,3.97,3.97,-3.97,-4.06,-3.23,3.21,3.21,3.20
23.92,7.20,7.20,3.99,3.99,-3.99,-4.06,-3.32,3.21,3.21,3.20
24.16,7.22,7.22,4.01,4.01,-4.01,-4.07,-3.41,3.21,3.21,3.21
24.40,7.24,7.24,4.03,4.03,-4.03,-4.07,-3.51,3.21,3.21,3.21
24.65,7.26,7.26,4.06,4.05,-4.05,-4.07,-3.60,3.20,3.20,3.20
24.89,7.28,7.28,4.08,4.08,-4.08,-4.08,-3.69,3.20,3.20,3.20
25.14,7.30,7.30,4.10,4.10,-4.10,-4.08,-3.79,3.20,3.20,3.20
25.39,7.32,7.32,4.12,4.12,-4.12,-4.08,-3.89,3.20,3.20,3.20
25.65,7.34,7.34,4.14,4.14,-4.15,-4.09,-3.98,3.19,3.19,3.20
25.91,7.36,7.36,4.17,4.17,-4.17,-4.09,-4.08,3.19,3.19,3.19
26.16,7.38,7.38,4.19,4.19,-4.19,-4.10,-4.18,3.19,3.19,3.19
