frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.14,4.14,-2.89,-2.89,2.89,2.50,0.75,7.03,7.03,7.02
20.20,4.17,4.17,-2.86,-2.86,2.86,2.49,0.77,7.02,7.02,7.02
20.40,4.20,4.20,-2.83,-2.83,2.82,2.47,0.79,7.02,7.02,7.02
20.61,4.23,4.23,-2.80,-2.79,2.79,2.46,0.82,7.02,7.02,7.02
20.81,4.27,4.26,-2.76,-2.76,2.76,2.44,0.84,7.02,7.02,7.02
21.02,4.30,4.30,-2.72,-2.73,2.72,2.43,0.87,7.02,7.02,7.02
21.23,4.33,4.33,-2.69,-2.69,2.69,2.41,0.89,7.01,7.02,7.02
21.44,4.37,4.37,-2.65,-2.65,2.65,2.40,0.92,7.02,7.02,7.02
21.66,4.41,4.40,-2.61,-2.62,2.62,2.38,0.95,7.02,7.02,7.02
21.87,4.44,4.44,-2.58,-2.58,2.58,2.37,0.98,7.02,7.02,7.02
22.09,4.48,4.47,-2.54,-2.54,2.54,2.35,1.01,7.02,7.02,7.02
22.31,4.51,4.51,-2.51,-2.51,2.51,2.33,1.04,7.02,7.02,7.02
22.54,4.54,4.54,-2.48,-2.47,2.48,2.32,1.07,7.01,7.02,7.02
22.76,4.58,4.57,-2.44,-2.44,2.44,2.30,1.11,7.02,7.01,7.01
22.99,4.61,4.61,-2.41,-2.41,2.41,2.28,1.14,7.01,7.01,7.01
23.22,4.64,4.64,-2.38,-2.38,2.38,2.27,1.17,7.01,7.01,7.01
23.45,4.67,4.67,-2.34,-2.35,2.34,2.25,1.21,7.01,7.01,7.01
23.69,4.70,4.70,-2.31,-2.31,2.31,2.23,1.24,7.01,7.01,7.01
23.92,4.73,4.73,-2.28,-2.28,2.28,2.21,1.28,7.01,7.01,7.01
24.16,4.76,4.76,-2.25,-2.25,2.25,2.20,1.32,7.01,7.01,7.01
24.40,4.79,4.79,-2.22,-2.22,2.22,2.18,1.35,7.01,7.01,7.01
24.65,4.82,4.81,-2.19,-2.19,2.19,2.16,1.39,7.01,7.01,7.01
24.89,4.84,4.84,-2.17,-2.17,2.16,2.14,1.43,7.00,7.00,7.00
25.14,4.87,4.87,-2.14,-2.14,2.13,2.12,1.47,7.00,7.00,7.00
25.39,4.90,4.90,-2.10,-2.10,2.10,2.10,1.50,7.00,7.00,7.00
25.65,4.94,4.93,-2.06,-2.07,2.06,2.08,1.54,7.00,7.00,7.00
25.91,4.97,4.97,-2.03,-2.03,2.03,2.06,1.58,6.99,7.00,7.00
26.16,5.01,5.00,-1.99,-1.99,1.99,2.04,1.62,7.00,7.00,7.00
26.43,5.04,5.04,-1.96,-1.96,1.96,2.02,1.65,6.99,7.00,7.00
26.69,5.08,5.07,-1.92,-1.92,1.92,2.00,1.69,7.00,7.00,6.99
26.96,5.11,5.11,-1.89,-1.89,1.89,1.98,1.73,6.99,7.00,6.99
27.23,5.14,5.14,-1.85,-1.85,1.86,1.96,1.76,6.99,6.99,6.99
27.50,5.17,5.16,-1.82,-1.83,1.83,1.93,1.79,6.99,6.99,6.99
27.77,5.19,5.19,-1.80,-1.80,1.80,1.91,1.82,6.99,6.99,6.99
28.05,5.21,5.21,-1.78,-1.77,1.77,1.89,1.85,6.98,6.98,6.98
28.33,5.24,5.23,-1.75,-1.75,1.75,1.87,1.88,6.98,6.98,6.98
28.62,5.26,5.26,-1.72,-1.72,1.72,1.85,1.91,6.98,6.98,6.98
28.90,5.29,5.28,-1.69,-1.69,1.69,1.82,1.93,6.98,6.98,6.98
29.19,5.31,5.31,-1.67,-1.67,1.67,1.80,1.95,6.97,6.98,6.98
29.48,5.34,5.34,-1.64,-1.64,1.64,1.78,1.97,6.97,6.97,6.97
29.78,5.37,5.36,-1.60,-1.61,1.61,1.75,1.98,6.97,6.97,6.97
30.08,5.39,5.39,-1.58,-1.58,1.58,1.73,1.99,6.96,6.97,6.97
30.38,5.42,5.42,-1.55,-1.55,1.55,1.70,2.00,6.96,6.96,6.96
30.68,5.45,5.45,-1.52,-1.52,1.52,1.68,2.00,6.96,6.96,6.96
30.99,5.48,5.48,-1.48,-1.48,1.49,1.65,2.01,6.96,6.96,6.96
31.30,5.51,5.50,-1.45,-1.45,1.45,1.63,2.00,6.96,6.96,6.96
31.61,5.53,5.53,-1.43,-1.42,1.42,1.60,2.00,6.95,6.95,6.95
31.93,5.56,5.56,-1.39,-1.39,1.39,1.58,1.99,6.95,6.95,6.95
32.24,5.59,5.59,-1.36,-1.36,1.36,1.55,1.97,6.95,6.95,6.95
32.57,5.62,5.61,-1.33,-1.33,1.33,1.52,1.95,6.95,6.95,6.94
32.89,5.64,5.64,-1.30,-1.30,1.30,1.50,1.94,6.94,6.94,6.94
33.22,5.66,5.66,-1.28,-1.27,1.28,1.47,1.91,6.93,6.94,6.94
33.55,5.69,5.68,-1.25,-1.25,1.25,1.44,1.89,6.93,6.93,6.93
33.89,5.71,5.71,-1.22,-1.22,1.22,1.42,1.86,6.93,6.93,6.93
34.23,5.73,5.73,-1.20,-1.19,1.19,1.39,1.82,6.92,6.92,6.92
34.57,5.76,5.75,-1.16,-1.17,1.16,1.36,1.79,6.92,6.92,6.92
34.92,5.78,5.78,-1.14,-1.14,1.13,1.33,1.75,6.91,6.91,6.91
35.27,5.81,5.80,-1.10,-1.11,1.11,1.30,1.71,6.91,6.91,6.91
35.62,5.83,5.83,-1.08,-1.08,1.07,1.27,1.67,6.90,6.90,6.90
35.97,5.86,5.86,-1.04,-1.04,1.04,1.24,1.63,6.90,6.90,6.90
36.33,5.89,5.88,-1.01,-1.01,1.01,1.22,1.59,6.90,6.89,6.89
36.70,5.91,5.91,-0.98,-0.98,0.98,1.19,1.54,6.89,6.89,6.89
