frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.74,6.74,-0.61,-0.61,0.62,0.23,-0.08,7.36,7.36,7.35
20.20,6.76,6.75,-0.59,-0.60,0.60,0.23,-0.08,7.36,7.35,7.35
20.40,6.77,6.77,-0.58,-0.58,0.58,0.22,-0.08,7.34,7.35,7.35
20.61,6.79,6.79,-0.56,-0.56,0.55,0.21,-0.08,7.34,7.34,7.35
20.81,6.82,6.81,-0.53,-0.54,0.53,0.20,-0.08,7.35,7.34,7.35
21.02,6.84,6.84,-0.51,-0.51,0.51,0.20,-0.08,7.35,7.35,7.35
21.23,6.86,6.86,-0.49,-0.49,0.49,0.19,-0.09,7.34,7.35,7.35
21.44,6.89,6.88,-0.46,-0.46,0.46,0.18,-0.09,7.35,7.35,7.35
21.66,6.91,6.91,-0.44,-0.44,0.44,0.18,-0.09,7.35,7.35,7.35
21.87,6.93,6.93,-0.42,-0.42,0.42,0.17,-0.09,7.35,7.35,7.35
22.09,6.95,6.95,-0.40,-0.40,0.40,0.16,-0.09,7.34,7.34,7.34
22.31,6.97,6.97,-0.38,-0.38,0.38,0.15,-0.10,7.34,7.34,7.34
22.54,6.99,6.99,-0.36,-0.35,0.35,0.14,-0.10,7.34,7.34,7.34
22.76,7.01,7.01,-0.33,-0.33,0.33,0.13,-0.10,7.34,7.34,7.34
22.99,7.03,7.03,-0.31,-0.31,0.31,0.13,-0.10,7.34,7.34,7.34
23.22,7.05,7.05,-0.29,-0.29,0.29,0.12,-0.10,7.34,7.34,7.34
23.45,7.07,7.07,-0.27,-0.27,0.27,0.11,-0.11,7.34,7.34,7.34
23.69,7.09,7.09,-0.25,-0.25,0.25,0.10,-0.11,7.34,7.34,7.34
23.92,7.11,7.11,-0.23,-0.23,0.23,0.09,-0.11,7.34,7.34,7.34
24.16,7.13,7.13,-0.21,-0.21,0.21,0.08,-0.11,7.34,7.34,7.34
24.40,7.15,7.15,-0.19,-0.19,0.19,0.07,-0.11,7.33,7.33,7.33
24.65,7.17,7.17,-0.17,-0.17,0.17,0.06,-0.12,7.33,7.33,7.33
24.89,7.19,7.19,-0.14,-0.14,0.14,0.05,-0.12,7.33,7.33,7.33
25.14,7.21,7.21,-0.12,-0.12,0.12,0.04,-0.12,7.33,7.33,7.33
25.39,7.23,7.23,-0.10,-0.10,0.10,0.03,-0.12,7.33,7.33,7.33
25.65,7.25,7.25,-0.08,-0.08,0.08,0.02,-0.13,7.33,7.33,7.33
25.91,7.27,7.27,-0.06,-0.06,0.06,0.01,-0.13,7.33,7.33,7.33
26.16,7.29,7.29,-0.04,-0.04,0.04,-0.00,-0.13,7.32,7.32,7.32
26.43,7.31,7.31,-0.02,-0.02,0.01,-0.02,-0.14,7.32,7.32,7.32
26.69,7.33,7.33,0.01,0.01,-0.01,-0.03,-0.14,7.32,7.32,7.32
26.96,7.35,7.35,0.03,0.03,-0.03,-0.04,-0.14,7.32,7.32,7.32
27.23,7.37,7.37,0.05,0.05,-0.05,-0.05,-0.15,7.32,7.32,7.32
27.50,7.39,7.39,0.07,0.07,-0.07,-0.06,-0.15,7.32,7.32,7.32
27.77,7.41,7.40,0.09,0.09,-0.09,-0.08,-0.16,7.32,7.31,7.31
28.05,7.42,7.42,0.11,0.11,-0.11,-0.09,-0.16,7.31,7.31,7.31
28.33,7.44,7.44,0.13,0.13,-0.13,-0.10,-0.16,7.31,7.31,7.31
28.62,7.46,7.45,0.15,0.15,-0.15,-0.12,-0.17,7.31,7.31,7.31
28.90,7.47,7.47,0.16,0.17,-0.17,-0.13,-0.17,7.30,7.31,7.30
29.19,7.49,7.49,0.18,0.18,-0.19,-0.15,-0.18,7.30,7.30,7.30
29.48,7.51,7.50,0.21,0.20,-0.20,-0.16,-0.19,7.30,7.30,7.30
29.78,7.52,7.52,0.22,0.22,-0.22,-0.17,-0.19,7.29,7.30,7.30
30.08,7.54,7.54,0.24,0.24,-0.24,-0.19,-0.20,7.30,7.30,7.30
30.38,7.56,7.55,0.26,0.26,-0.26,-0.21,-0.20,7.30,7.29,7.29
30.68,7.57,7.57,0.28,0.28,-0.28,-0.22,-0.21,7.29,7.29,7.29
30.99,7.59,7.59,0.30,0.30,-0.30,-0.24,-0.22,7.29,7.29,7.29
31.30,7.60,7.60,0.31,0.32,-0.32,-0.25,-0.22,7.28,7.28,7.28
31.61,7.62,7.62,0.34,0.34,-0.34,-0.27,-0.23,7.28,7.28,7.28
31.93,7.63,7.63,0.35,0.35,-0.35,-0.29,-0.24,7.27,7.28,7.28
32.24,7.65,7.65,0.37,0.37,-0.37,-0.30,-0.25,7.28,7.27,7.27
32.57,7.66,7.66,0.39,0.39,-0.39,-0.32,-0.26,7.27,7.27,7.27
32.89,7.68,7.67,0.41,0.41,-0.41,-0.34,-0.27,7.27,7.27,7.27
33.22,7.69,7.69,0.42,0.42,-0.42,-0.36,-0.28,7.26,7.26,7.26
33.55,7.70,7.70,0.44,0.44,-0.44,-0.37,-0.29,7.26,7.26,7.26
33.89,7.72,7.71,0.46,0.46,-0.46,-0.39,-0.30,7.26,7.25,7.25
34.23,7.73,7.73,0.48,0.48,-0.48,-0.41,-0.31,7.25,7.25,7.25
34.57,7.74,7.74,0.49,0.50,-0.49,-0.43,-0.32,7.24,7.25,7.25
34.92,7.76,7.75,0.52,0.51,-0.51,-0.45,-0.33,7.25,7.24,7.24
35.27,7.77,7.77,0.53,0.53,-0.53,-0.46,-0.34,7.24,7.24,7.24
35.62,7.78,7.78,0.55,0.55,-0.55,-0.48,-0.35,7.23,7.23,7.23
35.97,7.79,7.79,0.56,0.56,-0.57,-0.50,-0.37,7.22,7.23,7.23
36.33,7.81,7.80,0.59,0.58,-0.58,-0.52,-0.38,7.22,7.22,7.22
36.70,7.82,7.82,0.60,0.60,-0.60,-0.54,-0.39,7.22,7.22,7.22
37.06,7.83,7.83,0.62,0.62,-0.62,-0.56,-0.41,7.21,7.21,7.21
37.43,7.85,7.84,0.64,0.64,-0.64,-0.57,-0.42,7.21,7.21,7.20
37.81,7.86,7.86,0.66,0.66,-0.66,-0.59,-0.43,7.20,7.20,7.20
38.19,7.87,7.87,0.68,0.68,-0.68,-0.61,-0.45,7.19,7.19,7.19
38.57,7.88,7.88,0.69,0.69,-0.69,-0.63,-0.46,7.19,7.19,7.19
38.95,7.89,7.89,0.71,0.71,-0.71,-0.64,-0.48,7.18,7.18,7.18
39.34,7.90,7.90,0.73,0.73,-0.73,-0.66,-0.50,7.17,7.17,7.17
39.74,7.91,7.91,0.74,0.74,-0.74,-0.68,-0.51,7.17,7.17,7.16
40.14,7.92,7.91,0.76,0.76,-0.76,-0.70,-0.53,7.16,7.16,7.16
40.54,7.92,7.92,0.77,0.77,-0.77,-0.71,-0.55,7.14,7.15,7.15
40.94,7.93,7.93,0.79,0.79,-0.79,-0.73,-0.57,7.14,7.14,7.14
41.35,7.94,7.94,0.81,0.80,-0.80,-0.75,-0.58,7.13,7.13,7.13
41.76,7.95,7.95,0.82,0.82,-0.82,-0.76,-0.60,7.13,7.13,7.12
42.18,7.95,7.95,0.83,0.84,-0.83,-0.78,-0.62,7.11,7.12,7.11
42.60,7.96,7.96,0.85,0.85,-0.85,-0.80,-0.64,7.11,7.11,7.11
43.03,7.96,7.96,0.86,0.86,-0.86,-0.82,-0.66,7.09,7.09,7.10
43.46,7.97,7.97,0.88,0.88,-0.88,-0.83,-0.68,7.09,7.09,7.09
43.90,7.97,7.97,0.89,0.89,-0.90,-0.85,-0.71,7.07,7.07,7.08
44.33,7.98,7.98,0.91,0.91,-0.91,-0.87,-0.73,7.07,7.07,7.06
44.78,7.98,7.98,0.92,0.93,-0.93,-0.88,-0.75,7.05,7.05,7.05
45.23,7.99,7.99,0.95,0.94,-0.94,-0.90,-0.77,7.05,7.04,7.04
45.68,7.99,7.99,0.96,0.96,-0.96,-0.92,-0.80,7.03,7.03,7.03
46.13,8.00,7.99,0.98,0.98,-0.98,-0.94,-0.82,7.02,7.02,7.02
46.60,8.00,8.00,0.99,1.00,-1.00,-0.96,-0.85,7.00,7.00,7.00
47.06,8.01,8.01,1.02,1.02,-1.02,-0.98,-0.87,6.99,6.99,6.99
47.53,8.02,8.02,1.04,1.04,-1.05,-1.00,-0.90,6.97,6.97,6.98
48.01,8.03,8.03,1.06,1.07,-1.07,-1.01,-0.92,6.96,6.96,6.96
48.49,8.04,8.04,1.09,1.09,-1.09,-1.03,-0.95,6.94,6.95,6.95
48.97,8.06,8.06,1.13,1.12,-1.12,-1.05,-0.98,6.94,6.94,6.93
49.46,8.07,8.06,1.15,1.15,-1.14,-1.08,-1.00,6.93,6.93,6.92
49.96,8.07,8.07,1.17,1.17,-1.16,-1.10,-1.03,6.91,6.91,6.90
50.46,8.06,8.06,1.17,1.18,-1.17,-1.12,-1.06,6.89,6.89,6.88
50.96,8.05,8.05,1.18,1.18,-1.18,-1.14,-1.09,6.86,6.86,6.87
51.47,8.04,8.04,1.19,1.19,-1.19,-1.16,-1.12,6.84,6.84,6.85
51.99,8.03,8.03,1.20,1.20,-1.20,-1.18,-1.14,6.83,6.83,6.83
52.51,8.02,8.02,1.21,1.21,-1.21,-1.21,-1.17,6.81,6.81,6.81
53.03,8.01,8.01,1.22,1.22,-1.22,-1.23,-1.20,6.79,6.79,6.79
53.56,8.00,8.00,1.23,1.23,-1.23,-1.25,-1.23,6.77,6.77,6.77
54.10,7.99,7.99,1.24,1.24,-1.24,-1.28,-1.26,6.75,6.75,6.75
54.64,7.98,7.98,1.25,1.25,-1.26,-1.30,-1.29,6.72,6.72,6.73
55.18,7.98,7.97,1.27,1.27,-1.27,-1.32,-1.31,6.70,6.70,6.70
55.74,7.97,7.97,1.29,1.29,-1.29,-1.35,-1.34,6.68,6.68,6.68
56.29,7.97,7.97,1.31,1.31,-1.31,-1.37,-1.37,6.66,6.66,6.66
56.86,7.97,7.96,1.34,1.33,-1.33,-1.40,-1.40,6.64,6.63,6.63
57.42,7.96,7.96,1.35,1.36,-1.35,-1.42,-1.42,6.60,6.61,6.61
58.00,7.96,7.96,1.38,1.38,-1.37,-1.45,-1.45,6.59,6.58,6.58
58.58,7.95,7.95,1.40,1.39,-1.39,-1.47,-1.47,6.56,6.56,6.55
59.16,7.94,7.94,1.41,1.41,-1.41,-1.50,-1.49,6.53,6.53,6.52
59.76,7.92,7.92,1.42,1.43,-1.43,-1.53,-1.52,6.49,6.49,6.49
60.35,7.91,7.91,1.44,1.44,-1.44,-1.55,-1.54,6.46,6.46,6.47
60.96,7.90,7.89,1.46,1.46,-1.46,-1.58,-1.56,6.44,6.43,6.43
61.57,7.88,7.88,1.47,1.48,-1.48,-1.61,-1.58,6.40,6.40,6.40
62.18,7.87,7.87,1.50,1.50,-1.50,-1.63,-1.59,6.37,6.37,6.37
62.80,7.86,7.85,1.52,1.52,-1.52,-1.66,-1.61,6.34,6.34,6.34
63.43,7.84,7.84,1.53,1.54,-1.54,-1.69,-1.63,6.30,6.30,6.30
64.07,7.83,7.83,1.56,1.56,-1.56,-1.72,-1.64,6.27,6.27,6.27
64.71,7.82,7.81,1.59,1.58,-1.58,-1.75,-1.65,6.24,6.23,6.23
65.35,7.80,7.80,1.60,1.61,-1.61,-1.77,-1.67,6.19,6.20,6.19
66.01,7.79,7.79,1.63,1.63,-1.63,-1.80,-1.68,6.16,6.16,6.16
66.67,7.77,7.77,1.65,1.65,-1.65,-1.83,-1.69,6.11,6.12,6.12
67.33,7.76,7.76,1.68,1.68,-1.68,-1.86,-1.70,6.08,6.08,6.08
68.01,7.74,7.74,1.70,1.70,-1.70,-1.89,-1.71,6.03,6.04,6.04
68.69,7.73,7.73,1.73,1.73,-1.73,-1.92,-1.72,6.00,6.00,5.99
69.37,7.71,7.71,1.76,1.76,-1.75,-1.94,-1.73,5.95,5.95,5.95
70.07,7.69,7.69,1.78,1.78,-1.78,-1.97,-1.74,5.91,5.91,5.91
70.77,7.67,7.67,1.81,1.81,-1.81,-2.00,-1.75,5.86,5.86,5.86
71.48,7.65,7.65,1.83,1.83,-1.83,-2.03,-1.76,5.82,5.82,5.82
