frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.46,3.46,-3.04,-3.03,3.05,2.71,1.02,6.51,6.51,6.49
20.20,3.49,3.48,-3.01,-3.01,3.02,2.70,1.05,6.50,6.50,6.49
20.40,3.51,3.50,-2.99,-2.99,2.98,2.69,1.08,6.49,6.49,6.49
20.61,3.53,3.53,-2.97,-2.96,2.95,2.68,1.12,6.48,6.48,6.49
20.81,3.56,3.56,-2.93,-2.94,2.92,2.67,1.15,6.48,6.48,6.49
21.02,3.59,3.58,-2.90,-2.91,2.89,2.66,1.18,6.48,6.48,6.49
21.23,3.62,3.62,-2.87,-2.87,2.86,2.66,1.22,6.48,6.48,6.49
21.44,3.65,3.65,-2.84,-2.84,2.83,2.65,1.26,6.48,6.48,6.49
21.66,3.69,3.69,-2.80,-2.80,2.80,2.64,1.29,6.48,6.49,6.49
21.87,3.73,3.72,-2.76,-2.76,2.77,2.63,1.33,6.49,6.49,6.49
22.09,3.76,3.76,-2.73,-2.73,2.74,2.62,1.37,6.50,6.50,6.49
22.31,3.79,3.78,-2.70,-2.70,2.72,2.61,1.41,6.50,6.50,6.49
22.54,3.80,3.80,-2.69,-2.69,2.70,2.60,1.46,6.50,6.50,6.48
22.76,3.81,3.81,-2.68,-2.68,2.68,2.59,1.50,6.49,6.49,6.48
22.99,3.82,3.81,-2.67,-2.67,2.67,2.58,1.54,6.49,6.48,6.48
23.22,3.82,3.82,-2.67,-2.66,2.65,2.57,1.59,6.47,6.47,6.48
23.45,3.83,3.83,-2.65,-2.65,2.63,2.56,1.63,6.46,6.46,6.48
23.69,3.85,3.85,-2.63,-2.63,2.61,2.55,1.68,6.46,6.46,6.48
23.92,3.88,3.88,-2.60,-2.60,2.59,2.54,1.73,6.46,6.47,6.48
24.16,3.92,3.92,-2.56,-2.56,2.56,2.53,1.78,6.48,6.48,6.48
24.40,3.96,3.95,-2.52,-2.52,2.53,2.52,1.83,6.49,6.49,6.48
24.65,3.99,3.99,-2.49,-2.49,2.51,2.51,1.88,6.50,6.49,6.47
24.89,4.01,4.01,-2.47,-2.47,2.49,2.50,1.93,6.50,6.49,6.47
25.14,4.02,4.01,-2.46,-2.46,2.47,2.48,1.98,6.49,6.49,6.47
25.39,4.02,4.02,-2.45,-2.46,2.46,2.47,2.03,6.47,6.47,6.47
25.65,4.02,4.02,-2.45,-2.45,2.44,2.46,2.08,6.46,6.46,6.47
25.91,4.02,4.02,-2.45,-2.45,2.42,2.45,2.13,6.44,6.44,6.47
26.16,4.04,4.04,-2.43,-2.43,2.41,2.44,2.18,6.44,6.44,6.47
26.43,4.06,4.06,-2.41,-2.40,2.39,2.43,2.23,6.44,6.45,6.46
26.69,4.10,4.09,-2.37,-2.37,2.37,2.41,2.28,6.47,6.47,6.46
26.96,4.13,4.12,-2.34,-2.34,2.36,2.40,2.33,6.49,6.48,6.46
27.23,4.15,4.14,-2.31,-2.32,2.35,2.39,2.38,6.50,6.49,6.46
27.50,4.15,4.14,-2.31,-2.32,2.35,2.38,2.42,6.49,6.49,6.46
27.77,4.13,4.13,-2.33,-2.33,2.34,2.36,2.46,6.47,6.47,6.46
28.05,4.11,4.10,-2.35,-2.35,2.34,2.35,2.51,6.45,6.45,6.45
28.33,4.09,4.09,-2.37,-2.36,2.33,2.34,2.55,6.42,6.42,6.45
28.62,4.09,4.09,-2.36,-2.36,2.32,2.33,2.58,6.41,6.41,6.45
28.90,4.12,4.11,-2.33,-2.33,2.30,2.31,2.62,6.41,6.41,6.45
29.19,4.16,4.16,-2.29,-2.29,2.26,2.30,2.65,6.42,6.42,6.44
29.48,4.22,4.22,-2.23,-2.23,2.23,2.29,2.68,6.44,6.44,6.44
29.78,4.28,4.27,-2.16,-2.17,2.19,2.27,2.70,6.46,6.46,6.44
30.08,4.33,4.32,-2.11,-2.11,2.15,2.26,2.72,6.47,6.47,6.44
30.38,4.36,4.35,-2.08,-2.08,2.12,2.25,2.74,6.47,6.47,6.43
30.68,4.37,4.36,-2.07,-2.07,2.09,2.23,2.75,6.46,6.45,6.43
30.99,4.36,4.36,-2.07,-2.07,2.07,2.22,2.76,6.43,6.43,6.43
31.30,4.36,4.36,-2.07,-2.07,2.05,2.20,2.76,6.41,6.41,6.43
31.61,4.36,4.36,-2.07,-2.07,2.04,2.19,2.76,6.39,6.39,6.42
31.93,4.37,4.37,-2.05,-2.05,2.02,2.18,2.76,6.39,6.39,6.42
32.24,4.40,4.39,-2.02,-2.02,2.01,2.16,2.75,6.40,6.40,6.42
32.57,4.43,4.42,-1.99,-1.99,1.99,2.15,2.74,6.42,6.41,6.41
32.89,4.45,4.45,-1.96,-1.96,1.98,2.13,2.72,6.42,6.43,6.41
