frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.26,9.26,2.10,2.10,-2.09,-1.64,-0.86,7.16,7.16,7.16
20.20,9.25,9.25,2.09,2.10,-2.09,-1.64,-0.88,7.15,7.16,7.16
20.40,9.25,9.25,2.09,2.09,-2.10,-1.64,-0.91,7.15,7.15,7.16
20.61,9.25,9.25,2.09,2.09,-2.10,-1.64,-0.94,7.15,7.15,7.15
20.81,9.25,9.25,2.09,2.09,-2.10,-1.64,-0.97,7.15,7.15,7.15
21.02,9.25,9.25,2.09,2.09,-2.10,-1.64,-0.99,7.15,7.15,7.15
21.23,9.25,9.25,2.10,2.10,-2.10,-1.64,-1.02,7.15,7.15,7.15
21.44,9.25,9.25,2.10,2.10,-2.10,-1.64,-1.05,7.15,7.15,7.15
21.66,9.25,9.25,2.10,2.10,-2.10,-1.64,-1.09,7.15,7.15,7.15
21.87,9.25,9.25,2.10,2.10,-2.10,-1.64,-1.12,7.15,7.15,7.15
22.09,9.25,9.25,2.10,2.10,-2.09,-1.64,-1.15,7.15,7.15,7.15
22.31,9.24,9.24,2.09,2.09,-2.09,-1.64,-1.19,7.15,7.15,7.15
22.54,9.24,9.24,2.09,2.09,-2.09,-1.64,-1.22,7.15,7.15,7.15
22.76,9.23,9.23,2.08,2.08,-2.08,-1.64,-1.26,7.14,7.15,7.15
22.99,9.23,9.22,2.08,2.08,-2.08,-1.64,-1.29,7.15,7.15,7.15
23.22,9.22,9.22,2.07,2.07,-2.07,-1.64,-1.33,7.14,7.14,7.14
23.45,9.21,9.21,2.06,2.07,-2.07,-1.64,-1.37,7.14,7.14,7.14
23.69,9.21,9.20,2.07,2.06,-2.06,-1.64,-1.41,7.14,7.14,7.14
23.92,9.20,9.20,2.06,2.06,-2.06,-1.64,-1.45,7.14,7.14,7.14
24.16,9.20,9.20,2.06,2.06,-2.05,-1.64,-1.49,7.14,7.14,7.14
24.40,9.19,9.19,2.05,2.05,-2.05,-1.64,-1.53,7.14,7.14,7.14
24.65,9.19,9.18,2.05,2.05,-2.05,-1.64,-1.57,7.14,7.14,7.14
24.89,9.18,9.18,2.04,2.04,-2.04,-1.64,-1.61,7.14,7.14,7.14
25.14,9.17,9.17,2.03,2.04,-2.04,-1.64,-1.65,7.13,7.13,7.13
25.39,9.17,9.16,2.03,2.03,-2.03,-1.64,-1.70,7.13,7.13,7.13
25.65,9.16,9.16,2.03,2.03,-2.03,-1.64,-1.74,7.13,7.13,7.13
25.91,9.16,9.16,2.03,2.02,-2.02,-1.64,-1.78,7.14,7.13,7.13
26.16,9.15,9.15,2.02,2.02,-2.02,-1.64,-1.82,7.13,7.13,7.13
26.43,9.14,9.14,2.01,2.01,-2.01,-1.64,-1.86,7.13,7.13,7.13
26.69,9.13,9.13,2.00,2.01,-2.01,-1.64,-1.90,7.12,7.12,7.13
26.96,9.13,9.12,2.00,2.00,-2.00,-1.64,-1.95,7.13,7.12,7.12
27.23,9.12,9.12,2.00,1.99,-2.00,-1.64,-1.98,7.12,7.12,7.12
27.50,9.11,9.11,1.99,1.99,-1.99,-1.64,-2.02,7.12,7.12,7.12
