frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.78,7.78,-0.98,-0.98,0.98,0.81,0.16,8.76,8.76,8.76
20.20,7.80,7.80,-0.96,-0.96,0.96,0.81,0.17,8.76,8.76,8.76
20.40,7.81,7.81,-0.95,-0.95,0.95,0.80,0.17,8.76,8.76,8.76
20.61,7.83,7.83,-0.93,-0.93,0.93,0.80,0.18,8.76,8.76,8.76
20.81,7.84,7.84,-0.92,-0.91,0.91,0.80,0.18,8.76,8.76,8.76
21.02,7.86,7.86,-0.90,-0.90,0.90,0.80,0.19,8.76,8.76,8.76
21.23,7.87,7.87,-0.89,-0.89,0.89,0.79,0.20,8.76,8.76,8.76
21.44,7.88,7.88,-0.87,-0.87,0.87,0.79,0.20,8.75,8.76,8.76
21.66,7.89,7.89,-0.86,-0.86,0.86,0.79,0.21,8.75,8.76,8.76
21.87,7.91,7.90,-0.84,-0.85,0.85,0.79,0.22,8.76,8.76,8.75
22.09,7.91,7.91,-0.84,-0.84,0.84,0.78,0.22,8.75,8.75,8.75
22.31,7.92,7.92,-0.83,-0.83,0.83,0.78,0.23,8.75,8.75,8.75
22.54,7.93,7.93,-0.82,-0.82,0.82,0.78,0.24,8.75,8.75,8.75
22.76,7.94,7.94,-0.81,-0.81,0.81,0.77,0.25,8.75,8.75,8.75
22.99,7.95,7.95,-0.80,-0.80,0.80,0.77,0.25,8.75,8.75,8.75
23.22,7.96,7.96,-0.79,-0.78,0.78,0.77,0.26,8.74,8.75,8.75
23.45,7.98,7.98,-0.77,-0.77,0.77,0.76,0.27,8.75,8.75,8.75
23.69,7.99,7.99,-0.76,-0.76,0.76,0.76,0.28,8.75,8.75,8.75
23.92,8.00,8.00,-0.74,-0.74,0.75,0.76,0.29,8.75,8.75,8.75
24.16,8.01,8.01,-0.73,-0.73,0.73,0.75,0.29,8.74,8.74,8.74
24.40,8.02,8.02,-0.72,-0.72,0.72,0.75,0.30,8.74,8.74,8.74
24.65,8.03,8.03,-0.71,-0.71,0.71,0.75,0.31,8.74,8.74,8.74
24.89,8.04,8.04,-0.70,-0.70,0.70,0.74,0.32,8.74,8.74,8.74
25.14,8.05,8.05,-0.69,-0.69,0.69,0.74,0.33,8.74,8.74,8.74
25.39,8.06,8.06,-0.68,-0.68,0.68,0.74,0.34,8.74,8.74,8.74
25.65,8.06,8.06,-0.68,-0.67,0.67,0.73,0.35,8.73,8.74,8.74
25.91,8.07,8.07,-0.66,-0.66,0.66,0.73,0.35,8.73,8.73,8.73
26.16,8.08,8.08,-0.65,-0.65,0.65,0.72,0.36,8.73,8.73,8.73
26.43,8.09,8.09,-0.64,-0.64,0.64,0.72,0.37,8.73,8.73,8.73
26.69,8.09,8.09,-0.64,-0.64,0.64,0.72,0.38,8.73,8.73,8.73
26.96,8.10,8.10,-0.63,-0.63,0.63,0.71,0.39,8.73,8.73,8.73
27.23,8.11,8.11,-0.62,-0.62,0.62,0.71,0.40,8.73,8.73,8.73
27.50,8.12,8.12,-0.60,-0.61,0.61,0.70,0.40,8.73,8.72,8.72
27.77,8.12,8.13,-0.60,-0.60,0.60,0.70,0.41,8.72,8.72,8.72
28.05,8.13,8.13,-0.59,-0.59,0.59,0.69,0.42,8.72,8.72,8.72
28.33,8.14,8.14,-0.58,-0.58,0.58,0.69,0.43,8.72,8.72,8.72
28.62,8.14,8.14,-0.58,-0.57,0.57,0.68,0.43,8.71,8.72,8.72
28.90,8.15,8.15,-0.56,-0.57,0.57,0.68,0.44,8.72,8.71,8.71
29.19,8.15,8.15,-0.56,-0.56,0.56,0.67,0.44,8.71,8.71,8.71
29.48,8.16,8.16,-0.55,-0.55,0.55,0.67,0.45,8.71,8.71,8.71
29.78,8.16,8.16,-0.55,-0.55,0.55,0.66,0.45,8.71,8.71,8.71
30.08,8.16,8.16,-0.54,-0.54,0.54,0.66,0.45,8.70,8.70,8.70
30.38,8.17,8.17,-0.53,-0.53,0.53,0.65,0.46,8.70,8.70,8.70
30.68,8.17,8.17,-0.53,-0.53,0.53,0.65,0.46,8.70,8.70,8.70
30.99,8.17,8.17,-0.52,-0.52,0.52,0.64,0.46,8.69,8.70,8.70
31.30,8.17,8.17,-0.52,-0.52,0.52,0.64,0.46,8.69,8.69,8.69
31.61,8.18,8.18,-0.51,-0.51,0.51,0.63,0.46,8.69,8.69,8.69
31.93,8.18,8.18,-0.51,-0.51,0.51,0.62,0.46,8.69,8.69,8.69
32.24,8.18,8.18,-0.50,-0.50,0.50,0.62,0.45,8.68,8.68,8.68
32.57,8.18,8.18,-0.50,-0.50,0.50,0.61,0.45,8.68,8.68,8.68
32.89,8.18,8.18,-0.49,-0.49,0.49,0.60,0.45,8.67,8.67,8.68
33.22,8.18,8.18,-0.49,-0.49,0.49,0.60,0.44,8.67,8.67,8.67
33.55,8.19,8.19,-0.48,-0.48,0.48,0.59,0.44,8.67,8.67,8.67
33.89,8.19,8.19,-0.47,-0.47,0.48,0.58,0.43,8.67,8.67,8.66
34.23,8.19,8.19,-0.47,-0.47,0.47,0.58,0.43,8.66,8.66,8.66
34.57,8.19,8.19,-0.46,-0.46,0.46,0.57,0.42,8.66,8.66,8.66
34.92,8.19,8.19,-0.46,-0.46,0.46,0.56,0.41,8.65,8.65,8.65
35.27,8.19,8.19,-0.46,-0.46,0.45,0.56,0.41,8.65,8.65,8.65
35.62,8.19,8.19,-0.45,-0.45,0.45,0.55,0.40,8.64,8.64,8.64
