frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.44,6.44,-2.59,-2.59,2.59,2.35,0.93,9.03,9.03,9.03
20.20,6.46,6.46,-2.57,-2.57,2.57,2.35,0.96,9.03,9.03,9.03
20.40,6.48,6.48,-2.55,-2.55,2.55,2.34,0.98,9.02,9.02,9.03
20.61,6.50,6.50,-2.53,-2.53,2.52,2.34,1.01,9.02,9.02,9.03
20.81,6.52,6.52,-2.51,-2.51,2.50,2.34,1.04,9.02,9.02,9.03
21.02,6.54,6.54,-2.49,-2.49,2.48,2.33,1.08,9.02,9.02,9.02
21.23,6.56,6.56,-2.46,-2.47,2.47,2.33,1.11,9.03,9.02,9.02
21.44,6.57,6.57,-2.45,-2.45,2.45,2.33,1.14,9.02,9.02,9.02
21.66,6.59,6.59,-2.43,-2.44,2.44,2.33,1.18,9.03,9.02,9.02
21.87,6.60,6.60,-2.42,-2.42,2.42,2.32,1.21,9.02,9.02,9.02
22.09,6.61,6.61,-2.41,-2.41,2.41,2.32,1.25,9.02,9.02,9.02
22.31,6.62,6.62,-2.40,-2.40,2.40,2.32,1.28,9.02,9.02,9.02
22.54,6.63,6.63,-2.39,-2.39,2.39,2.32,1.32,9.02,9.02,9.02
22.76,6.63,6.63,-2.39,-2.39,2.38,2.31,1.36,9.01,9.02,9.02
22.99,6.64,6.64,-2.38,-2.38,2.37,2.31,1.40,9.01,9.01,9.02
23.22,6.65,6.65,-2.37,-2.37,2.36,2.31,1.44,9.01,9.01,9.02
23.45,6.66,6.66,-2.36,-2.35,2.35,2.30,1.48,9.01,9.01,9.01
23.69,6.68,6.68,-2.34,-2.34,2.34,2.30,1.53,9.02,9.01,9.01
23.92,6.69,6.69,-2.32,-2.32,2.32,2.30,1.57,9.01,9.01,9.01
24.16,6.70,6.70,-2.31,-2.31,2.31,2.29,1.61,9.01,9.01,9.01
24.40,6.71,6.71,-2.30,-2.30,2.30,2.29,1.66,9.01,9.01,9.01
24.65,6.73,6.73,-2.28,-2.28,2.29,2.29,1.71,9.01,9.01,9.01
24.89,6.74,6.74,-2.27,-2.27,2.27,2.28,1.75,9.01,9.01,9.01
25.14,6.75,6.75,-2.26,-2.26,2.26,2.28,1.80,9.01,9.01,9.01
25.39,6.75,6.75,-2.26,-2.25,2.25,2.27,1.84,9.00,9.00,9.01
25.65,6.76,6.76,-2.24,-2.24,2.24,2.27,1.89,9.00,9.00,9.00
25.91,6.77,6.77,-2.23,-2.23,2.23,2.27,1.94,9.00,9.00,9.00
26.16,6.79,6.79,-2.21,-2.21,2.21,2.26,1.98,9.00,9.00,9.00
26.43,6.80,6.80,-2.20,-2.20,2.20,2.26,2.03,9.00,9.00,9.00
26.69,6.81,6.81,-2.19,-2.19,2.19,2.25,2.07,9.00,9.00,9.00
26.96,6.82,6.82,-2.18,-2.18,2.18,2.25,2.12,9.00,9.00,9.00
