frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.68,8.68,0.49,0.49,-0.49,-0.58,-0.26,8.19,8.19,8.19
20.20,8.69,8.68,0.50,0.50,-0.50,-0.58,-0.27,8.19,8.19,8.19
20.40,8.69,8.69,0.50,0.50,-0.51,-0.58,-0.28,8.18,8.18,8.19
20.61,8.70,8.70,0.51,0.51,-0.52,-0.58,-0.29,8.18,8.18,8.19
20.81,8.71,8.71,0.52,0.52,-0.52,-0.58,-0.30,8.18,8.18,8.18
21.02,8.72,8.72,0.53,0.53,-0.53,-0.58,-0.31,8.19,8.19,8.18
21.23,8.73,8.72,0.54,0.54,-0.54,-0.58,-0.31,8.19,8.18,8.18
21.44,8.73,8.73,0.55,0.55,-0.55,-0.58,-0.32,8.18,8.18,8.18
21.66,8.74,8.74,0.56,0.56,-0.56,-0.58,-0.33,8.18,8.18,8.18
21.87,8.75,8.74,0.57,0.56,-0.56,-0.58,-0.34,8.18,8.18,8.18
22.09,8.75,8.75,0.57,0.57,-0.57,-0.57,-0.35,8.18,8.18,8.18
22.31,8.76,8.76,0.58,0.58,-0.58,-0.57,-0.36,8.18,8.18,8.18
22.54,8.77,8.76,0.59,0.59,-0.59,-0.57,-0.37,8.18,8.18,8.18
22.76,8.77,8.77,0.59,0.59,-0.59,-0.57,-0.39,8.17,8.18,8.18
22.99,8.78,8.78,0.60,0.60,-0.60,-0.57,-0.40,8.18,8.18,8.18
23.22,8.78,8.78,0.60,0.61,-0.60,-0.57,-0.41,8.17,8.18,8.18
23.45,8.79,8.79,0.61,0.61,-0.61,-0.57,-0.42,8.18,8.18,8.17
23.69,8.79,8.79,0.61,0.61,-0.61,-0.57,-0.43,8.18,8.17,8.17
23.92,8.79,8.79,0.62,0.62,-0.62,-0.57,-0.45,8.17,8.17,8.17
24.16,8.79,8.79,0.62,0.62,-0.62,-0.57,-0.46,8.17,8.17,8.17
24.40,8.79,8.79,0.62,0.62,-0.62,-0.57,-0.47,8.17,8.17,8.17
24.65,8.79,8.79,0.62,0.62,-0.62,-0.57,-0.48,8.17,8.17,8.17
24.89,8.79,8.79,0.62,0.62,-0.62,-0.57,-0.50,8.17,8.17,8.17
25.14,8.79,8.79,0.62,0.62,-0.62,-0.57,-0.51,8.17,8.17,8.17
25.39,8.79,8.79,0.62,0.62,-0.62,-0.57,-0.52,8.16,8.16,8.16
25.65,8.79,8.79,0.62,0.62,-0.63,-0.57,-0.53,8.16,8.16,8.16
25.91,8.79,8.79,0.63,0.63,-0.63,-0.56,-0.55,8.16,8.16,8.16
26.16,8.79,8.79,0.63,0.63,-0.63,-0.56,-0.56,8.16,8.16,8.16
26.43,8.79,8.79,0.63,0.63,-0.63,-0.56,-0.57,8.16,8.16,8.16
26.69,8.79,8.79,0.63,0.63,-0.63,-0.56,-0.59,8.16,8.16,8.16
26.96,8.79,8.78,0.63,0.63,-0.63,-0.56,-0.60,8.16,8.15,8.15
27.23,8.78,8.78,0.62,0.63,-0.63,-0.56,-0.61,8.15,8.15,8.15
27.50,8.78,8.78,0.63,0.63,-0.63,-0.56,-0.62,8.15,8.15,8.15
27.77,8.78,8.78,0.63,0.63,-0.63,-0.56,-0.63,8.15,8.15,8.15
28.05,8.78,8.78,0.63,0.63,-0.63,-0.56,-0.64,8.15,8.15,8.15
28.33,8.77,8.77,0.62,0.63,-0.62,-0.56,-0.65,8.14,8.15,8.15
28.62,8.77,8.77,0.62,0.62,-0.62,-0.55,-0.66,8.15,8.14,8.14
